2	***CATEGORICAL***	-1	1

-1	***BIAS***	-0.213709

the	MCD	1.257940

for	FDX	0.802778

:	XOM	0.688212

's	JCP	0.667388

Rating	MCO	0.633406

Kinder	KMI	0.621847

,	MO	0.613733

:	HSY	0.588313

,	DHR	0.574574

#	BLK	0.568530

:	COF	0.537887

'	HD	0.528785

,	WM	0.523247

NYSE	NDAQ	0.504159

Simon	SPG	0.488648

,	DPS	0.468291

to	IBM	0.467045

for	MS	0.465885

in	SCHW	0.464759

to	TYC	-1.487670

;	PRU	-0.987018

's	CSCO	-0.912147

,	NE	-0.793065

U.S.	TJX	-0.790932

Heparin	BAX	-0.754191

's	BIIB	-0.748070

OMX	NDAQ	-0.732011

in	UPS	-0.693788

Hospira	HSP	-0.686126

in	SBUX	-0.629751

:	VZ	-0.625211

:	DD	-0.614652

to	JNJ	-0.584459

U.S.	GPS	-0.575072

:	SNDK	-0.543723

stocks	QEP	-0.529196

:	IBM	-0.522547

the	CME	-0.521123

To	APC	-0.519524

