Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,17.12,17.35,17.10,17.17,4326500,17.17
2014-10-09,17.12,17.36,17.07,17.12,4583500,17.12
2014-10-08,16.84,17.15,16.75,17.14,4179400,17.14
2014-10-07,16.83,16.95,16.70,16.83,4068800,16.83
2014-10-06,16.75,16.90,16.74,16.86,2952000,16.86
2014-10-03,16.70,16.82,16.55,16.75,2132800,16.75
2014-10-02,16.75,16.81,16.47,16.61,4465900,16.61
2014-10-01,16.73,16.97,16.62,16.79,8083300,16.79
2014-09-30,16.60,16.73,16.49,16.73,7644200,16.73
2014-09-29,16.45,16.64,16.38,16.63,3264100,16.63
2014-09-26,16.35,16.61,16.25,16.55,4877100,16.55
2014-09-25,16.39,16.39,16.22,16.35,3982500,16.35
2014-09-24,16.39,16.61,16.35,16.39,2327500,16.39
2014-09-23,16.59,16.70,16.53,16.54,4427600,16.39
2014-09-22,16.67,16.72,16.57,16.64,6446900,16.48
2014-09-19,16.91,16.95,16.65,16.67,6605700,16.51
2014-09-18,16.98,17.06,16.74,16.78,5636900,16.62
2014-09-17,17.19,17.29,16.97,16.98,2926400,16.82
2014-09-16,17.05,17.23,17.05,17.11,6062500,16.95
2014-09-15,17.16,17.26,16.98,17.06,6811700,16.90
2014-09-12,17.32,17.52,17.07,17.16,8854800,17.00
2014-09-11,17.81,17.94,17.73,17.82,1704100,17.65
2014-09-10,18.01,18.05,17.80,17.82,1432000,17.65
2014-09-09,18.14,18.19,18.04,18.09,2737600,17.92
2014-09-08,18.20,18.26,18.10,18.19,1806400,18.02
2014-09-05,18.04,18.20,18.04,18.18,2313700,18.01
2014-09-04,18.10,18.20,18.03,18.06,2281100,17.89
2014-09-03,18.17,18.26,18.11,18.12,2257300,17.95
2014-09-02,18.26,18.30,18.08,18.10,2146400,17.93
2014-08-29,18.00,18.22,17.97,18.22,2294600,18.05
2014-08-28,17.99,18.04,17.92,17.98,1093100,17.81
2014-08-27,18.07,18.12,17.93,18.03,1220900,17.86
2014-08-26,18.00,18.14,17.97,18.05,1695200,17.88
2014-08-25,18.07,18.15,17.89,17.96,1188400,17.79
2014-08-22,18.20,18.26,17.96,18.01,1520400,17.84
2014-08-21,18.24,18.37,18.19,18.19,1248500,18.02
2014-08-20,18.04,18.24,17.96,18.22,1355900,18.05
2014-08-19,17.98,18.12,17.96,18.07,1354500,17.90
2014-08-18,17.81,18.00,17.80,17.99,2448500,17.82
2014-08-15,18.01,18.05,17.79,17.79,3423600,17.62
2014-08-14,17.99,18.12,17.97,17.99,2787500,17.82
2014-08-13,17.81,18.00,17.76,17.99,1662700,17.82
2014-08-12,17.76,17.82,17.67,17.73,1391500,17.56
2014-08-11,17.67,17.81,17.63,17.75,1664300,17.58
2014-08-08,17.56,17.70,17.46,17.63,2272700,17.46
2014-08-07,17.36,17.60,17.36,17.55,3494700,17.39
2014-08-06,17.27,17.41,17.27,17.34,2454600,17.18
2014-08-05,17.50,17.54,17.30,17.32,1990300,17.16
2014-08-04,17.41,17.62,17.34,17.54,1476500,17.38
2014-08-01,17.48,17.67,17.42,17.42,2387100,17.26
2014-07-31,17.53,17.75,17.46,17.54,2773000,17.38
2014-07-30,17.78,17.90,17.58,17.68,1721600,17.51
2014-07-29,17.84,17.89,17.73,17.78,1482200,17.61
2014-07-28,17.77,17.95,17.77,17.83,1830800,17.66
2014-07-25,17.90,17.98,17.75,17.75,1571100,17.58
2014-07-24,18.06,18.12,17.89,17.93,1837700,17.76
2014-07-23,17.96,18.09,17.93,18.06,2310800,17.89
2014-07-22,17.90,18.00,17.86,17.95,1205400,17.78
2014-07-21,17.91,17.91,17.79,17.85,703300,17.68
2014-07-18,17.79,17.96,17.76,17.93,1315300,17.76
2014-07-17,17.85,17.91,17.75,17.77,1404100,17.60
2014-07-16,17.93,17.95,17.81,17.89,1039600,17.72
2014-07-15,17.85,17.94,17.76,17.92,1849000,17.75
2014-07-14,17.85,17.93,17.67,17.83,3990400,17.66
2014-07-11,17.92,17.92,17.74,17.81,1830600,17.64
2014-07-10,17.78,17.96,17.74,17.93,2924700,17.76
2014-07-09,17.83,17.89,17.70,17.83,2189900,17.66
2014-07-08,17.65,17.81,17.64,17.78,1797100,17.61
2014-07-07,17.64,17.72,17.59,17.65,2449700,17.48
2014-07-03,17.74,17.78,17.51,17.60,942800,17.44
2014-07-02,17.76,17.81,17.62,17.74,1671200,17.57
2014-07-01,17.63,17.82,17.58,17.74,2330500,17.57
2014-06-30,17.73,17.78,17.50,17.63,1871200,17.46
2014-06-27,17.37,17.77,17.34,17.72,4082000,17.55
2014-06-26,17.57,17.61,17.33,17.41,2019000,17.25
2014-06-25,17.63,17.67,17.48,17.57,1829800,17.41
2014-06-24,17.61,17.68,17.53,17.61,2190700,17.44
2014-06-23,17.73,17.77,17.62,17.65,1812100,17.48
2014-06-20,17.70,17.78,17.52,17.72,2624000,17.55
2014-06-19,17.58,17.68,17.50,17.68,1708300,17.51
2014-06-18,17.32,17.60,17.27,17.54,2316600,17.38
2014-06-17,17.28,17.39,17.24,17.30,2081100,17.14
2014-06-16,17.38,17.49,17.24,17.32,2141800,17.16
2014-06-13,17.28,17.42,17.10,17.37,3243400,17.21
2014-06-12,17.25,17.35,17.03,17.26,3825500,17.10
2014-06-11,17.31,17.45,17.18,17.26,3416800,17.10
2014-06-10,17.50,17.57,17.35,17.36,2284100,17.20
2014-06-09,17.78,17.92,17.52,17.64,4775200,17.32
2014-06-06,17.87,17.87,17.77,17.81,3145600,17.49
2014-06-05,17.49,17.81,17.41,17.80,3086700,17.48
