Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,60.80,61.31,59.91,59.94,3478400,59.94
2014-10-09,61.50,61.60,60.39,60.63,3511300,60.63
2014-10-08,61.20,61.79,61.01,61.61,3906700,61.61
2014-10-07,61.60,61.60,61.01,61.05,1637900,61.05
2014-10-06,62.55,62.56,61.73,61.83,2591900,61.83
2014-10-03,61.55,62.53,61.29,62.41,2641400,62.41
2014-10-02,59.89,61.11,59.89,61.06,4012000,61.06
2014-10-01,61.23,61.26,59.95,60.28,4873800,60.28
2014-09-30,61.12,61.43,60.78,61.11,3255700,61.11
2014-09-29,61.18,62.02,61.15,61.33,1333700,61.33
2014-09-26,61.44,61.85,61.21,61.49,2215900,61.49
2014-09-25,62.09,62.27,61.20,61.20,1937800,61.20
2014-09-24,61.86,62.51,61.83,62.28,1837500,62.28
2014-09-23,61.87,62.43,61.53,61.97,3354000,61.97
2014-09-22,62.82,62.92,61.85,61.97,4110500,61.97
2014-09-19,63.33,63.46,62.66,63.10,4543000,63.10
2014-09-18,63.67,63.75,62.34,63.00,5863900,63.00
2014-09-17,63.80,64.08,63.55,63.60,2990700,63.60
2014-09-16,63.44,63.93,63.36,63.86,4455300,63.86
2014-09-15,63.93,64.00,63.46,63.47,2588000,63.47
2014-09-12,64.05,64.09,63.70,63.93,3984700,63.93
2014-09-11,63.54,63.90,63.46,63.77,2325400,63.77
2014-09-10,63.58,63.91,63.26,63.70,3793300,63.70
2014-09-09,63.26,64.07,62.97,63.42,5494200,63.42
2014-09-08,63.04,64.74,62.60,63.39,4873200,63.39
2014-09-05,63.25,63.39,62.31,63.01,13103900,63.01
2014-09-04,64.12,64.48,64.04,64.48,5648100,64.48
2014-09-03,64.38,64.58,64.08,64.48,2254700,64.48
2014-09-02,64.50,65.10,64.21,64.36,3899100,64.36
2014-08-29,64.30,64.42,63.41,63.99,3665000,63.99
2014-08-28,63.66,65.04,63.39,64.20,6081900,64.20
2014-08-27,63.86,64.31,63.55,63.70,6215300,63.70
2014-08-26,63.83,64.00,63.39,63.52,2683100,63.52
2014-08-25,64.00,64.21,63.54,63.90,2588800,63.90
2014-08-22,63.59,64.41,63.48,63.68,4594700,63.68
2014-08-21,63.02,63.98,62.80,63.61,6540200,63.61
2014-08-20,63.39,64.03,63.11,63.76,5830700,63.76
2014-08-19,64.49,64.52,63.51,63.59,11558600,63.59
2014-08-18,64.00,64.73,62.30,64.14,42445200,64.14
2014-08-15,57.68,57.98,57.04,57.46,7159700,57.46
2014-08-14,57.25,58.03,57.10,57.88,6003500,57.88
2014-08-13,57.23,57.50,56.76,57.01,3488400,57.01
2014-08-12,57.33,57.54,56.94,57.19,2633100,57.19
2014-08-11,57.94,58.00,56.94,57.45,5034500,57.45
2014-08-08,57.94,58.19,57.50,58.05,6190800,58.05
2014-08-07,57.81,58.06,56.99,57.68,5038100,57.68
2014-08-06,57.53,57.84,56.28,57.56,5691100,57.56
2014-08-05,55.51,59.50,55.48,57.79,17211400,57.79
2014-08-04,55.77,56.07,55.60,55.91,2938900,55.91
2014-08-01,55.31,56.03,55.15,55.77,2967000,55.77
2014-07-31,56.24,56.55,55.22,55.23,4688100,55.23
2014-07-30,56.36,56.94,56.01,56.88,5145100,56.88
2014-07-29,55.78,56.64,55.74,56.10,5431800,56.10
2014-07-28,53.80,57.70,53.78,55.56,22677700,55.56
2014-07-25,55.90,56.06,55.56,55.61,3370400,55.61
2014-07-24,55.77,56.44,55.65,56.04,3768900,56.04
2014-07-23,55.00,55.85,54.94,55.82,3831200,55.82
2014-07-22,55.47,55.56,54.75,55.12,5184600,55.12
2014-07-21,55.45,55.59,54.93,55.33,6280400,55.33
2014-07-18,54.57,55.67,54.40,55.45,6003500,55.45
2014-07-17,55.31,55.40,54.34,54.41,4941400,54.41
2014-07-16,56.06,56.18,55.00,55.57,10802300,55.57
2014-07-15,56.37,56.84,55.93,55.94,5492400,55.94
2014-07-14,56.96,57.03,56.62,56.64,3375700,56.64
2014-07-11,57.44,57.44,56.72,56.79,3351500,56.79
2014-07-10,57.14,57.65,56.88,57.36,4658400,57.36
2014-07-09,57.65,57.75,57.38,57.53,6225700,57.53
2014-07-08,57.60,57.82,57.33,57.36,5118300,57.36
2014-07-07,57.76,58.11,57.48,57.74,2878500,57.74
2014-07-03,58.12,58.44,57.91,58.22,2667100,58.22
2014-07-02,57.59,58.19,57.50,58.12,4222700,58.12
2014-07-01,57.57,58.13,57.40,57.71,6015200,57.71
2014-06-30,57.00,57.55,56.50,57.36,10277100,57.36
2014-06-27,61.28,61.28,56.76,57.19,31291300,57.19
2014-06-26,61.54,61.78,60.92,61.68,1947300,61.68
2014-06-25,61.46,61.86,60.97,61.48,2178900,61.48
2014-06-24,61.14,62.01,61.00,61.69,2603900,61.69
2014-06-23,62.52,62.79,61.54,61.66,3938300,61.66
2014-06-20,62.01,63.35,61.92,62.82,10003300,62.82
2014-06-19,61.66,61.87,61.20,61.52,2063500,61.52
2014-06-18,61.39,61.85,61.04,61.43,3232900,61.43
2014-06-17,61.10,61.96,60.97,61.53,3758600,61.53
2014-06-16,60.71,61.56,60.57,61.55,3942400,61.55
2014-06-13,60.19,60.69,59.94,60.69,3765700,60.69
2014-06-12,60.52,60.52,59.66,60.19,4445000,60.19
2014-06-11,61.04,61.39,60.39,60.48,3357000,60.48
2014-06-10,62.06,62.12,60.94,61.14,6772000,61.14
2014-06-09,63.43,65.99,61.98,62.25,25419300,62.25
2014-06-06,57.75,58.35,57.66,57.99,4187300,57.99
2014-06-05,56.51,57.77,56.16,57.69,4886500,57.69
2014-06-04,56.43,56.63,55.80,56.62,5454300,56.62
2014-06-03,55.65,57.00,55.32,56.41,10719500,56.41
2014-06-02,53.79,54.44,53.70,54.30,5514900,54.30
2014-05-30,53.62,53.82,53.00,53.78,6107500,53.78
2014-05-29,53.92,54.08,53.49,53.50,9414800,53.50
2014-05-28,55.13,55.38,54.33,54.60,5405900,54.60
2014-05-27,55.81,56.44,55.81,56.30,4199400,56.30
2014-05-23,55.42,55.79,55.28,55.74,1993800,55.74
2014-05-22,55.76,56.09,55.13,55.42,3703500,55.42
2014-05-21,54.65,55.26,54.57,54.70,4547800,54.70
2014-05-20,55.80,55.81,54.62,54.72,4925300,54.72
2014-05-19,55.63,56.08,55.39,56.00,3625900,56.00
2014-05-16,55.33,56.11,54.77,55.63,7928300,55.63
2014-05-15,55.97,56.03,54.99,55.26,3758600,55.26
2014-05-14,56.47,56.64,56.13,56.24,1510500,56.24
2014-05-13,57.00,57.12,56.16,56.40,2453500,56.40
2014-05-12,56.86,57.19,56.75,57.01,2569100,57.01
2014-05-09,56.79,56.86,56.19,56.74,3401400,56.74
2014-05-08,56.70,57.30,56.43,56.72,3287300,56.72
2014-05-07,56.93,57.09,56.31,56.76,3648600,56.76
2014-05-06,56.79,57.45,56.40,56.92,4453200,56.92
2014-05-05,56.69,57.01,56.35,56.89,1751600,56.89
2014-05-02,56.76,57.34,56.61,57.00,1785600,57.00
2014-05-01,56.71,57.01,56.41,56.65,1765000,56.65
2014-04-30,56.05,56.59,55.71,56.44,3484700,56.44
2014-04-29,56.50,56.59,55.85,56.02,2964500,56.02
2014-04-28,56.40,57.01,55.85,56.26,3582800,56.26
2014-04-25,55.29,56.66,55.00,56.33,5371200,56.33
2014-04-24,55.42,55.51,54.97,55.31,2829500,55.31
2014-04-23,55.14,55.51,55.00,55.33,3489600,55.33
2014-04-22,55.02,55.39,54.74,55.09,2724900,55.09
2014-04-21,55.35,55.43,54.80,55.09,1680500,55.09
2014-04-17,54.79,55.44,54.73,55.43,3289600,55.43
2014-04-16,55.46,55.63,54.79,54.88,3047300,54.88
2014-04-15,55.30,55.60,54.48,54.97,3484900,54.97
2014-04-14,55.09,55.35,54.71,55.20,2262800,55.20
2014-04-11,55.05,55.34,54.43,54.74,4429200,54.74
2014-04-10,56.37,56.55,55.44,55.45,6080000,55.45
2014-04-09,55.47,56.45,55.38,56.36,3521600,56.36
2014-04-08,55.31,55.60,54.89,55.45,5050500,55.45
2014-04-07,56.41,56.72,55.12,55.38,5228900,55.38
2014-04-04,57.50,57.54,56.40,56.68,3710300,56.68
2014-04-03,56.98,57.52,56.98,57.31,3750500,57.31
2014-04-02,56.39,57.28,56.21,57.22,4396900,57.22
2014-04-01,55.50,56.49,55.48,56.42,4532300,56.42
2014-03-31,55.67,55.88,55.12,55.48,3526300,55.48
2014-03-28,55.53,56.08,55.38,55.40,4945700,55.40
2014-03-27,55.84,55.89,55.27,55.67,8177900,55.67
2014-03-26,55.55,56.04,55.16,55.59,6938300,55.59
2014-03-25,56.51,56.61,55.08,55.20,11358400,55.20
2014-03-24,58.07,58.16,56.16,56.29,7224900,56.29
2014-03-21,58.06,58.24,57.58,58.03,5263800,58.03
2014-03-20,57.81,58.18,57.34,57.58,8502200,57.58
2014-03-19,57.82,58.26,57.64,57.85,5325300,57.85
2014-03-18,57.73,58.12,57.55,57.91,4888300,57.91
2014-03-17,57.29,58.00,57.14,57.72,6439500,57.72
2014-03-14,57.44,58.19,57.11,57.19,5101400,57.19
2014-03-13,58.02,58.45,57.09,57.66,10240000,57.66
2014-03-12,59.09,59.39,58.67,59.29,4135800,59.29
2014-03-11,59.37,59.50,58.93,59.40,3338800,59.40
2014-03-10,59.38,59.53,58.66,59.40,2617200,59.40
2014-03-07,59.77,59.91,59.05,59.39,3486500,59.39
2014-03-06,59.72,59.88,59.28,59.41,3403200,59.41
2014-03-05,59.93,60.01,59.10,59.71,2046200,59.71
2014-03-04,60.19,60.62,58.95,59.82,4560500,59.82
2014-03-03,59.58,60.15,59.31,59.84,1935600,59.84
2014-02-28,59.84,61.18,59.33,59.90,3505800,59.90
2014-02-27,59.80,60.21,59.42,59.77,2435500,59.77
2014-02-26,58.05,60.46,57.87,59.88,4651800,59.88
2014-02-25,57.87,58.39,57.77,58.02,3172000,58.02
2014-02-24,57.55,58.66,57.47,58.03,3130700,58.03
2014-02-21,57.34,57.78,57.26,57.49,2560100,57.49
2014-02-20,57.15,57.71,56.74,57.10,3996900,57.10
2014-02-19,57.27,57.87,56.82,57.44,3730800,57.44
2014-02-18,57.50,58.45,57.50,58.02,3394700,58.02
2014-02-14,56.11,57.42,56.05,57.26,3642100,57.26
2014-02-13,56.08,56.41,55.50,55.91,3766700,55.91
2014-02-12,56.86,57.20,56.08,56.27,3577100,56.27
2014-02-11,56.57,57.29,56.57,56.70,3755300,56.70
2014-02-10,57.20,57.99,56.37,56.66,3372200,56.66
2014-02-07,57.46,57.93,57.05,57.10,3192800,57.10
2014-02-06,56.25,57.65,56.17,57.24,2990100,57.24
2014-02-05,56.35,56.89,55.70,56.14,3762600,56.14
2014-02-04,55.53,56.18,55.20,55.79,3912800,55.79
2014-02-03,56.48,56.74,55.22,55.51,5905300,55.51
2014-01-31,55.92,56.72,55.08,56.32,5360100,56.32
2014-01-30,56.93,57.30,56.14,56.50,4563300,56.50
2014-01-29,56.87,57.37,56.57,56.62,3309800,56.62
2014-01-28,57.72,57.96,57.09,57.27,3308000,57.27
2014-01-27,57.55,58.03,56.95,57.51,3475100,57.51
2014-01-24,57.18,57.66,56.73,57.35,3700600,57.35
2014-01-23,57.96,57.99,57.32,57.59,2745200,57.59
2014-01-22,58.55,58.61,57.72,57.95,5386600,57.95
2014-01-21,60.18,60.41,58.52,58.67,4058300,58.67
2014-01-17,60.76,61.31,59.76,60.10,7995200,60.10
2014-01-16,61.22,61.50,60.32,60.57,2507300,60.57
2014-01-15,61.35,61.66,60.89,61.19,2681100,61.19
2014-01-14,60.96,61.71,60.39,61.59,2710000,61.59
2014-01-13,62.63,62.76,60.58,60.69,4163100,60.69
2014-01-10,61.42,62.93,60.83,62.87,6431600,62.87
2014-01-09,59.01,62.64,58.94,61.54,8043800,61.54
2014-01-08,59.88,60.06,59.28,59.70,4418700,59.70
2014-01-07,59.82,60.42,59.60,59.89,2584500,59.89
2014-01-06,61.22,61.33,59.57,59.61,4007800,59.61
2014-01-03,61.22,61.77,60.98,60.98,2697800,60.98
2014-01-02,60.38,61.62,60.38,61.20,6018200,61.20
