Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,43.72,44.03,42.47,42.55,389900,42.55
2014-10-09,44.14,44.43,43.42,43.62,403400,43.62
2014-10-08,43.23,44.24,42.83,44.14,316200,44.14
2014-10-07,44.07,44.20,43.25,43.31,348100,43.31
2014-10-06,44.31,44.92,44.25,44.27,737700,44.27
2014-10-03,44.24,44.65,44.08,44.13,582100,44.13
2014-10-02,43.59,44.14,43.11,43.86,362200,43.86
2014-10-01,43.94,43.94,43.19,43.54,864400,43.54
2014-09-30,42.99,43.33,42.55,42.81,407800,42.81
2014-09-29,42.44,43.42,42.27,43.00,478200,43.00
2014-09-26,42.22,42.85,42.20,42.78,388600,42.78
2014-09-25,42.21,42.43,41.61,42.18,490400,42.18
2014-09-24,42.57,42.57,41.59,42.40,474900,42.40
2014-09-23,43.42,43.73,42.40,42.44,424400,42.44
2014-09-22,44.34,44.34,43.59,43.66,313000,43.66
2014-09-19,44.49,44.64,43.75,44.46,634100,44.46
2014-09-18,44.80,44.81,44.28,44.37,269400,44.37
2014-09-17,44.45,44.73,44.24,44.52,207200,44.52
2014-09-16,43.88,44.61,43.51,44.45,495900,44.45
2014-09-15,44.46,44.46,43.93,43.99,325200,43.99
2014-09-12,44.21,44.51,43.67,44.37,332800,44.37
2014-09-11,43.36,44.12,42.97,44.08,464600,44.08
2014-09-10,43.50,43.75,43.05,43.68,524100,43.68
2014-09-09,43.66,43.85,42.99,43.39,591900,43.39
2014-09-08,43.02,43.96,42.37,43.86,462900,43.86
2014-09-05,43.09,43.27,42.63,43.20,385700,43.20
2014-09-04,42.98,43.55,42.81,43.20,367300,43.20
2014-09-03,42.85,43.71,42.62,43.03,456700,43.03
2014-09-02,42.80,43.23,42.53,42.75,411700,42.75
2014-08-29,42.29,42.99,42.20,42.93,235600,42.93
2014-08-28,42.71,42.76,42.15,42.27,313900,42.27
2014-08-27,43.13,43.14,42.46,42.75,219800,42.75
2014-08-26,42.94,43.25,42.79,42.97,249600,42.97
2014-08-25,43.53,43.56,42.94,43.00,213300,43.00
2014-08-22,43.13,43.76,43.01,43.39,268400,43.39
2014-08-21,43.48,43.51,43.19,43.24,370600,43.24
2014-08-20,43.46,43.55,43.05,43.47,296300,43.47
2014-08-19,42.86,43.50,42.85,43.46,329100,43.46
2014-08-18,42.53,43.05,42.53,42.85,436500,42.85
2014-08-15,42.00,42.54,41.91,42.24,499300,42.24
2014-08-14,41.29,41.86,41.17,41.83,527000,41.83
2014-08-13,40.45,41.21,40.29,41.21,370500,41.21
2014-08-12,39.47,40.34,39.07,40.29,536500,40.29
2014-08-11,39.88,39.88,39.18,39.42,1555100,39.42
2014-08-08,40.36,40.36,38.36,39.60,1259600,39.60
2014-08-07,41.16,41.35,40.34,40.59,655100,40.59
2014-08-06,41.51,41.76,40.81,40.92,382700,40.92
2014-08-05,41.84,42.37,41.37,41.78,607900,41.78
2014-08-04,41.16,42.07,40.79,41.74,696800,41.74
2014-08-01,40.50,41.06,40.18,40.91,771600,40.91
2014-07-31,40.24,40.66,39.97,39.97,350800,39.97
2014-07-30,40.29,40.93,40.08,40.50,334300,40.50
2014-07-29,40.32,40.59,40.03,40.03,305000,40.03
2014-07-28,40.32,40.49,40.15,40.25,330700,40.25
2014-07-25,40.95,41.04,40.21,40.31,787600,40.31
2014-07-24,41.30,41.33,40.87,41.05,468500,41.05
2014-07-23,41.57,41.62,41.04,41.24,298700,41.24
2014-07-22,41.42,41.88,40.34,41.50,645700,41.50
2014-07-21,42.27,42.31,41.40,41.48,295300,41.48
2014-07-18,42.14,42.53,41.76,42.48,234500,42.48
2014-07-17,42.40,42.88,42.03,42.17,199200,42.17
2014-07-16,43.38,43.53,42.48,42.65,344300,42.65
2014-07-15,43.49,43.76,43.08,43.30,403700,43.30
2014-07-14,43.96,44.13,43.56,43.59,281800,43.59
2014-07-11,44.06,44.27,43.06,43.80,286600,43.80
2014-07-10,42.61,44.89,42.39,44.21,1039300,44.21
2014-07-09,42.50,43.21,42.07,43.16,370700,43.16
2014-07-08,43.05,43.26,42.36,42.49,691400,42.49
2014-07-07,43.72,43.96,43.10,43.19,332600,43.19
2014-07-03,43.16,43.98,43.00,43.92,267700,43.92
2014-07-02,43.57,43.91,42.88,43.01,205600,43.01
2014-07-01,42.43,43.92,42.43,43.57,533600,43.57
2014-06-30,42.30,42.64,41.88,42.34,619500,42.34
2014-06-27,42.56,42.90,41.91,42.49,668800,42.49
2014-06-26,43.36,43.36,41.98,42.63,413100,42.63
2014-06-25,42.02,43.37,41.80,43.29,444800,43.29
2014-06-24,42.30,43.00,41.94,42.27,315100,42.27
2014-06-23,43.30,43.30,42.23,42.36,407200,42.36
2014-06-20,43.10,43.32,42.36,43.26,653500,43.26
2014-06-19,43.84,43.93,42.80,43.16,521700,43.16
2014-06-18,44.20,44.36,43.81,43.86,341400,43.86
2014-06-17,43.32,44.16,43.05,44.13,424000,44.13
2014-06-16,43.16,43.38,42.79,43.31,242300,43.31
2014-06-13,43.06,43.53,42.99,43.18,279800,43.18
2014-06-12,43.48,43.61,42.99,43.11,400700,43.11
2014-06-11,43.20,43.52,43.20,43.48,464500,43.48
2014-06-10,43.24,43.70,42.94,43.42,464500,43.42
2014-06-09,42.50,43.35,42.38,43.28,607700,43.28
2014-06-06,42.65,42.99,42.21,42.48,591600,42.48
2014-06-05,41.95,42.70,41.70,42.65,416800,42.65
2014-06-04,40.91,42.18,40.69,41.89,746300,41.89
2014-06-03,41.94,42.02,40.98,41.39,776600,41.22
2014-06-02,42.41,42.64,41.75,42.03,688900,41.86
2014-05-30,41.92,42.27,41.53,42.23,663200,42.06
2014-05-29,41.91,42.20,41.65,41.96,451500,41.79
2014-05-28,42.20,42.26,41.69,41.85,537000,41.68
2014-05-27,42.53,42.53,41.96,42.17,357100,42.00
2014-05-23,42.22,42.54,41.49,42.06,1048800,41.89
2014-05-22,44.51,44.93,41.84,42.00,1366400,41.83
2014-05-21,44.21,44.68,43.55,44.62,505100,44.44
2014-05-20,44.29,44.29,43.37,43.98,530000,43.80
2014-05-19,43.51,44.38,43.24,44.29,720700,44.11
2014-05-16,43.70,43.82,43.34,43.64,530200,43.46
2014-05-15,43.35,43.84,42.87,43.60,713900,43.42
2014-05-14,43.92,44.01,43.27,43.50,336600,43.32
2014-05-13,44.49,44.78,43.94,44.01,456800,43.83
2014-05-12,44.04,45.00,43.90,44.45,569300,44.27
2014-05-09,43.85,44.29,43.40,44.05,347700,43.87
2014-05-08,44.95,45.15,43.71,43.87,367700,43.69
2014-05-07,44.55,45.20,44.09,45.00,801100,44.82
2014-05-06,44.16,44.61,43.85,44.36,447300,44.18
2014-05-05,44.50,44.67,43.80,44.27,686400,44.09
2014-05-02,44.77,45.20,44.27,44.81,720800,44.63
2014-05-01,45.09,45.32,44.19,44.66,780700,44.48
2014-04-30,44.96,45.18,44.58,45.03,906000,44.85
2014-04-29,44.14,45.05,43.84,44.99,740500,44.81
2014-04-28,45.98,46.97,44.00,44.03,1969200,43.85
2014-04-25,44.49,47.73,44.40,45.99,3232900,45.80
2014-04-24,40.96,40.96,40.11,40.36,801600,40.19
2014-04-23,41.03,41.28,40.61,40.69,522600,40.52
2014-04-22,40.65,41.31,40.35,40.93,491600,40.76
2014-04-21,40.00,40.68,39.85,40.62,534200,40.45
2014-04-17,39.02,40.20,39.02,39.90,517200,39.74
2014-04-16,38.75,39.21,38.52,39.01,652900,38.85
2014-04-15,38.44,38.88,38.15,38.37,649600,38.21
2014-04-14,38.71,38.89,37.91,38.40,549500,38.24
2014-04-11,38.90,39.28,38.35,38.49,305300,38.33
2014-04-10,40.13,40.48,39.06,39.21,215200,39.05
2014-04-09,40.30,40.41,39.32,40.21,274700,40.04
2014-04-08,39.88,40.42,39.59,40.20,340300,40.03
2014-04-07,41.50,41.82,39.50,39.75,718600,39.59
2014-04-04,42.67,42.67,41.33,41.64,529600,41.47
2014-04-03,42.06,42.35,41.78,42.28,860300,42.11
2014-04-02,42.75,43.22,41.99,42.09,548700,41.92
2014-04-01,42.50,43.16,42.47,43.01,676500,42.83
2014-03-31,40.51,42.87,40.42,42.39,740600,42.22
2014-03-28,40.20,41.09,40.02,40.27,266300,40.10
2014-03-27,40.43,40.86,39.97,40.09,276800,39.93
2014-03-26,40.94,40.94,40.10,40.32,183100,40.15
2014-03-25,40.73,41.20,40.09,40.68,181200,40.51
2014-03-24,41.29,41.56,40.34,40.54,274500,40.37
2014-03-21,41.68,42.00,41.05,41.16,523600,40.99
2014-03-20,40.30,41.46,39.91,41.44,333800,41.27
2014-03-19,40.79,40.87,40.20,40.40,236100,40.23
2014-03-18,40.10,41.01,39.92,40.79,375600,40.62
2014-03-17,39.99,40.54,39.51,40.00,428400,39.84
2014-03-14,39.89,40.00,39.14,39.80,762300,39.64
2014-03-13,39.92,40.04,39.62,40.02,313200,39.86
2014-03-12,39.76,40.50,39.51,39.87,512800,39.71
2014-03-11,40.90,40.90,39.85,40.02,261500,39.86
2014-03-10,40.58,41.01,40.28,40.80,245600,40.63
2014-03-07,41.27,41.59,40.88,40.98,227300,40.81
2014-03-06,41.22,41.39,40.85,41.03,344400,40.86
2014-03-05,41.28,41.38,40.81,41.09,350300,40.92
2014-03-04,41.46,42.20,41.14,41.25,510100,41.08
2014-03-03,41.42,42.30,40.94,41.07,873000,40.90
2014-02-28,42.41,42.72,41.75,42.01,475100,41.84
2014-02-27,41.85,42.60,41.51,42.42,589200,42.25
2014-02-26,42.08,42.34,41.76,42.03,751600,41.86
2014-02-25,41.54,42.01,41.14,41.97,850800,41.80
2014-02-24,40.33,41.90,40.33,41.51,1035200,41.34
2014-02-21,37.88,40.90,37.85,40.26,1726800,40.09
2014-02-20,37.39,37.81,37.09,37.75,634500,37.59
2014-02-19,37.13,37.50,36.81,37.39,650900,37.24
2014-02-18,36.69,37.44,36.53,37.28,536000,37.13
2014-02-14,36.14,36.77,35.59,36.66,511200,36.51
2014-02-13,35.21,36.37,35.21,36.16,561100,36.01
2014-02-12,34.98,35.64,34.94,35.56,909300,35.41
2014-02-11,34.62,35.17,34.40,35.05,579800,34.91
2014-02-10,35.01,35.16,34.04,34.62,559300,34.48
2014-02-07,35.52,35.63,34.89,35.05,488500,34.91
2014-02-06,34.30,35.33,34.13,35.30,581100,35.16
2014-02-05,36.34,37.17,34.06,34.41,1560400,34.27
2014-02-04,35.47,36.62,35.23,36.12,1033900,35.97
2014-02-03,36.17,36.33,35.07,35.33,897000,35.18
2014-01-31,36.44,36.69,36.10,36.14,610700,35.99
2014-01-30,37.15,37.67,36.65,36.93,724600,36.78
2014-01-29,37.29,37.29,36.51,36.85,664800,36.70
2014-01-28,37.41,37.94,37.08,37.72,475300,37.57
2014-01-27,37.65,37.98,37.02,37.60,739200,37.45
2014-01-24,39.15,39.15,37.80,37.85,464800,37.69
2014-01-23,39.62,39.67,39.15,39.43,458100,39.27
2014-01-22,39.89,40.22,39.57,39.91,735800,39.75
2014-01-21,39.81,39.99,39.49,39.76,550800,39.60
2014-01-17,39.45,39.94,39.15,39.51,814400,39.35
2014-01-16,38.44,39.47,38.27,39.40,627800,39.24
2014-01-15,38.05,38.68,37.96,38.52,519200,38.36
2014-01-14,37.54,38.36,37.46,38.00,681000,37.84
2014-01-13,37.88,38.03,37.32,37.58,606200,37.43
2014-01-10,37.76,37.98,37.38,37.97,562000,37.81
2014-01-09,38.07,38.56,37.63,37.76,563400,37.60
2014-01-08,36.34,38.29,36.22,38.19,1737400,38.03
2014-01-07,34.35,36.03,34.17,35.93,821600,35.78
2014-01-06,34.59,34.81,34.23,34.27,797500,34.13
2014-01-03,34.92,34.92,34.03,34.44,566300,34.30
2014-01-02,35.49,35.51,34.42,34.98,472900,34.84
