Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,61.69,62.51,59.94,60.23,1211900,60.23
2014-10-09,63.30,63.30,61.44,61.84,903200,61.84
2014-10-08,61.99,63.51,61.13,63.42,784400,63.42
2014-10-07,62.80,63.19,61.69,61.70,678600,61.70
2014-10-06,63.29,63.91,62.84,62.97,696500,62.97
2014-10-03,63.87,64.31,62.98,63.16,1632300,63.16
2014-10-02,63.86,64.21,62.75,63.38,2144700,63.38
2014-10-01,65.94,65.94,63.54,64.05,1016700,64.05
2014-09-30,66.22,66.52,65.31,65.90,827600,65.90
2014-09-29,65.28,66.16,65.21,65.89,603000,65.89
2014-09-26,65.68,66.05,65.39,65.98,810200,65.98
2014-09-25,66.10,66.30,65.31,65.42,1412400,65.42
2014-09-24,66.50,66.95,65.81,66.16,1101400,66.16
2014-09-23,66.43,67.74,66.43,66.72,744500,66.72
2014-09-22,67.85,68.09,66.47,67.01,609500,67.01
2014-09-19,69.12,69.37,67.66,68.18,998300,68.18
2014-09-18,69.23,69.51,68.56,68.91,513800,68.91
2014-09-17,69.20,69.74,68.80,68.98,614900,68.98
2014-09-16,69.53,69.91,68.86,69.44,809300,69.44
2014-09-15,70.50,70.69,69.22,69.70,765400,69.70
2014-09-12,71.56,71.56,70.37,70.45,696500,70.45
2014-09-11,71.44,71.59,71.09,71.54,668500,71.54
2014-09-10,71.94,72.32,71.40,71.65,581500,71.65
2014-09-09,73.06,73.15,71.86,71.94,746400,71.94
2014-09-08,72.83,73.53,72.52,73.02,462400,73.02
2014-09-05,72.81,73.10,72.50,72.77,722900,72.77
2014-09-04,72.57,73.93,72.25,72.96,2408100,72.96
2014-09-03,70.98,71.22,70.16,70.45,889100,70.45
2014-09-02,69.51,70.72,69.51,70.68,1051400,70.68
2014-08-29,69.27,69.61,69.05,69.59,542100,69.59
2014-08-28,68.00,69.29,67.90,69.27,727900,69.27
2014-08-27,68.85,69.11,68.11,68.29,577600,68.29
2014-08-26,68.29,68.89,68.00,68.85,586400,68.85
2014-08-25,69.08,69.55,67.76,68.15,812200,68.15
2014-08-22,68.39,69.30,68.08,68.52,873900,68.52
2014-08-21,68.51,68.72,68.07,68.38,767700,68.38
2014-08-20,68.10,68.54,67.99,68.41,1568800,68.41
2014-08-19,68.51,68.68,68.19,68.40,743800,68.40
2014-08-18,67.91,68.83,67.77,68.38,1552200,68.38
2014-08-15,66.66,67.44,66.28,67.39,1067100,67.39
2014-08-14,65.00,66.52,64.88,66.38,1040800,66.38
2014-08-13,64.37,65.42,64.34,64.77,943600,64.77
2014-08-12,64.86,65.27,64.07,64.38,1706700,64.04
2014-08-11,64.26,65.46,64.08,64.97,1164900,64.63
2014-08-08,64.45,64.45,63.81,64.04,970100,63.70
2014-08-07,63.94,64.52,63.67,64.22,1967800,63.88
2014-08-06,64.48,65.06,63.69,63.80,5857800,63.46
2014-08-05,65.97,66.17,64.38,64.76,1544600,64.42
2014-08-04,66.36,66.76,65.89,66.21,1707000,65.86
2014-08-01,66.94,67.62,65.68,66.30,1227800,65.95
2014-07-31,69.21,69.33,66.97,67.20,1921000,66.85
2014-07-30,63.24,69.95,63.00,69.90,5471900,69.53
2014-07-29,66.82,67.00,66.13,66.76,1605600,66.41
2014-07-28,66.50,66.71,65.75,66.55,1485000,66.20
2014-07-25,66.60,66.96,66.14,66.50,1098800,66.15
2014-07-24,66.81,67.21,66.56,66.88,846200,66.53
2014-07-23,66.50,66.95,66.17,66.72,1145500,66.37
2014-07-22,65.71,67.09,65.56,66.47,1376200,66.12
2014-07-21,65.62,65.69,64.99,65.51,961600,65.16
2014-07-18,65.85,66.35,65.36,65.88,821200,65.53
2014-07-17,65.40,66.07,64.96,65.23,939200,64.89
2014-07-16,66.57,66.91,65.47,65.80,1261100,65.45
2014-07-15,66.43,66.85,66.13,66.49,1093800,66.14
2014-07-14,65.60,67.08,65.55,66.61,1288100,66.26
2014-07-11,65.63,65.71,65.01,65.24,492800,64.90
2014-07-10,65.20,66.12,64.56,65.56,889100,65.21
2014-07-09,66.43,66.53,65.67,65.87,874700,65.52
2014-07-08,68.15,68.15,65.79,66.21,1222000,65.86
2014-07-07,68.55,69.06,67.81,68.28,840700,67.92
2014-07-03,68.85,69.27,68.71,69.00,704100,68.64
2014-07-02,70.03,70.33,68.83,68.85,1094900,68.49
2014-07-01,69.35,70.87,69.04,70.35,1072400,69.98
2014-06-30,68.99,69.75,68.49,69.23,1021300,68.86
2014-06-27,69.08,69.56,68.39,68.95,1457300,68.59
2014-06-26,69.12,69.64,68.61,69.28,765500,68.91
2014-06-25,69.09,69.67,67.42,68.93,2517300,68.57
2014-06-24,69.28,69.98,68.89,69.26,1132700,68.89
2014-06-23,69.50,69.74,69.12,69.39,590100,69.02
2014-06-20,68.93,69.58,68.21,69.57,718800,69.20
2014-06-19,68.98,69.44,68.03,68.85,692200,68.49
2014-06-18,68.28,68.85,67.57,68.82,696100,68.46
2014-06-17,68.19,68.47,67.84,68.27,402900,67.91
2014-06-16,68.24,68.63,67.93,68.47,435300,68.11
2014-06-13,68.37,68.75,67.72,68.65,455500,68.29
