Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,17.04,17.30,16.80,16.85,6585400,16.85
2014-10-09,17.72,17.72,17.03,17.07,4014700,17.07
2014-10-08,17.31,17.77,17.24,17.76,3810100,17.76
2014-10-07,17.64,17.74,17.33,17.33,4326000,17.33
2014-10-06,18.09,18.11,17.61,17.79,6108100,17.79
2014-10-03,17.95,18.11,17.88,18.06,4365300,18.06
2014-10-02,17.87,17.94,17.39,17.80,5564300,17.80
2014-10-01,18.27,18.28,17.85,17.90,3749400,17.90
2014-09-30,18.39,18.45,18.25,18.32,4868400,18.32
2014-09-29,18.29,18.51,17.96,18.39,6444000,18.39
2014-09-26,18.17,18.48,18.09,18.42,3969700,18.42
2014-09-25,18.15,18.21,17.95,18.14,5531900,18.14
2014-09-24,18.16,18.30,17.89,18.24,6807900,18.24
2014-09-23,18.22,18.34,18.10,18.15,5658800,18.15
2014-09-22,18.75,18.78,18.19,18.21,7928000,18.21
2014-09-19,18.84,18.87,18.68,18.81,3733300,18.81
2014-09-18,18.62,18.80,18.61,18.74,2148200,18.74
2014-09-17,18.68,18.85,18.55,18.60,3534200,18.60
2014-09-16,18.72,18.74,18.59,18.66,5856000,18.66
2014-09-15,18.90,18.96,18.76,18.80,4757200,18.80
2014-09-12,19.27,19.27,18.77,18.86,6743000,18.86
2014-09-11,19.18,19.31,19.12,19.23,3024500,19.23
2014-09-10,19.29,19.31,19.05,19.27,2461800,19.27
2014-09-09,19.37,19.37,19.13,19.26,4280000,19.26
2014-09-08,19.43,19.59,19.33,19.38,2739800,19.38
2014-09-05,19.57,19.61,19.35,19.49,4435100,19.49
2014-09-04,19.61,19.83,19.53,19.62,7846000,19.62
2014-09-03,19.63,19.82,19.57,19.62,6633200,19.62
2014-09-02,19.54,19.64,19.46,19.61,4318700,19.61
2014-08-29,19.80,19.80,19.51,19.53,3314500,19.53
2014-08-28,19.87,19.91,19.73,19.77,2847400,19.77
2014-08-27,19.84,19.95,19.68,19.94,3328300,19.85
2014-08-26,19.87,19.91,19.69,19.73,13244700,19.64
2014-08-25,19.97,19.97,19.74,19.81,3901300,19.72
2014-08-22,19.93,19.97,19.71,19.84,3460400,19.75
2014-08-21,19.96,19.99,19.87,19.92,4692100,19.83
2014-08-20,19.87,20.00,19.86,19.97,5222400,19.87
2014-08-19,20.10,20.16,19.91,19.97,2060200,19.87
2014-08-18,19.97,20.11,19.97,20.08,2620900,19.98
2014-08-15,19.90,20.07,19.69,19.82,3754700,19.73
2014-08-14,19.85,19.91,19.75,19.85,2223700,19.76
2014-08-13,19.55,19.91,19.53,19.85,6339600,19.76
2014-08-12,19.52,19.55,19.38,19.53,2834400,19.44
2014-08-11,19.40,19.64,19.40,19.50,2261400,19.41
2014-08-08,18.93,19.38,18.93,19.37,5690500,19.28
2014-08-07,19.54,19.67,19.23,19.25,4075900,19.16
2014-08-06,19.59,19.61,19.42,19.48,4582600,19.39
2014-08-05,19.74,19.84,19.61,19.72,4428900,19.63
2014-08-04,19.54,19.82,19.45,19.78,4543200,19.69
2014-08-01,20.05,20.32,19.46,19.54,4310900,19.45
2014-07-31,19.98,20.01,19.67,19.71,6026200,19.62
2014-07-30,20.54,20.59,20.13,20.17,7644000,20.07
2014-07-29,20.25,20.64,20.18,20.54,14887700,20.44
2014-07-28,20.16,20.33,19.88,20.23,9863700,20.13
2014-07-25,19.87,20.12,19.87,19.99,6962800,19.89
2014-07-24,20.37,20.37,19.84,20.15,12130800,20.05
2014-07-23,19.89,19.89,19.70,19.85,8515800,19.76
2014-07-22,19.74,19.85,19.63,19.83,6492100,19.74
2014-07-21,19.48,19.79,19.40,19.75,8847400,19.66
2014-07-18,19.30,19.44,19.05,19.40,8515800,19.31
2014-07-17,19.17,19.28,18.98,19.03,7560500,18.94
2014-07-16,19.37,19.49,19.24,19.28,4763000,19.19
2014-07-15,19.24,19.38,19.19,19.27,10884000,19.18
2014-07-14,19.26,19.45,18.84,19.41,8416100,19.32
2014-07-11,19.11,19.40,19.09,19.32,6387900,19.23
2014-07-10,19.00,19.16,18.86,19.13,9160900,19.04
2014-07-09,19.07,19.29,18.84,19.28,10024700,19.19
2014-07-08,19.33,19.35,18.85,18.97,8340900,18.88
2014-07-07,19.40,19.41,19.25,19.30,4811400,19.21
2014-07-03,19.53,19.55,19.36,19.39,4633800,19.30
2014-07-02,19.48,19.50,19.36,19.38,3547400,19.29
2014-07-01,19.55,19.61,19.40,19.49,7120100,19.40
2014-06-30,19.54,19.62,19.38,19.51,7345000,19.42
2014-06-27,19.47,19.59,19.37,19.53,6110000,19.44
2014-06-26,19.44,19.51,19.28,19.40,4678300,19.31
2014-06-25,19.35,19.53,19.22,19.46,6479300,19.37
2014-06-24,19.49,19.50,19.27,19.35,6758200,19.26
2014-06-23,19.70,19.73,19.47,19.55,5589100,19.46
2014-06-20,19.50,19.66,19.50,19.66,4988200,19.57
2014-06-19,19.51,19.69,19.23,19.50,6120500,19.41
2014-06-18,19.59,19.63,19.47,19.54,6040300,19.45
2014-06-17,19.54,19.68,19.48,19.62,3752200,19.53
2014-06-16,19.60,19.62,19.39,19.55,5552100,19.46
2014-06-13,19.56,19.65,19.48,19.56,7534500,19.47
2014-06-12,19.65,19.72,19.49,19.56,7310400,19.47
2014-06-11,19.62,19.76,19.55,19.69,6355500,19.60
2014-06-10,19.64,19.77,19.57,19.58,8219200,19.49
2014-06-09,19.53,19.70,19.37,19.63,10509200,19.54
2014-06-06,19.58,19.60,19.47,19.50,10945600,19.41
2014-06-05,19.40,19.61,19.36,19.58,3828100,19.49
2014-06-04,19.30,19.39,19.28,19.32,6623100,19.23
2014-06-03,19.14,19.35,19.11,19.32,7330000,19.23
2014-06-02,19.13,19.27,19.10,19.24,6134600,19.15
2014-05-30,19.06,19.21,18.92,19.12,7972400,19.03
2014-05-29,19.03,19.50,18.96,19.11,12741500,18.92
2014-05-28,18.80,19.02,18.70,18.93,15395700,18.75
2014-05-27,18.74,18.91,18.63,18.82,11672200,18.64
2014-05-23,18.50,18.62,18.43,18.56,3758200,18.38
2014-05-22,18.28,18.55,18.14,18.55,9316500,18.37
2014-05-21,17.90,18.36,17.90,18.24,8646000,18.06
2014-05-20,17.81,17.99,17.77,17.93,11029100,17.76
2014-05-19,17.77,17.90,17.72,17.82,3138700,17.65
2014-05-16,17.57,17.84,17.47,17.80,4582600,17.63
2014-05-15,17.71,17.73,17.38,17.56,4358000,17.39
2014-05-14,17.89,18.04,17.74,17.74,6369300,17.57
2014-05-13,17.93,18.00,17.86,17.94,2662200,17.77
2014-05-12,17.88,17.97,17.74,17.91,4588400,17.74
2014-05-09,17.70,17.98,17.62,17.84,17436400,17.67
2014-05-08,17.46,17.78,17.38,17.45,3692700,17.28
2014-05-07,17.57,17.66,17.27,17.49,8770200,17.32
2014-05-06,17.40,17.60,17.40,17.48,5633700,17.31
2014-05-05,17.31,17.46,17.20,17.42,2557200,17.25
2014-05-02,17.37,17.61,17.34,17.40,7738400,17.23
2014-05-01,17.46,17.56,17.33,17.34,3557100,17.17
