Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,30.68,30.94,30.57,30.73,5080200,30.73
2014-10-09,31.38,31.57,30.58,30.62,4709200,30.62
2014-10-08,31.42,31.64,30.98,31.55,4029300,31.55
2014-10-07,31.74,32.17,31.39,31.45,4451900,31.45
2014-10-06,31.94,32.00,31.44,31.86,5251500,31.86
2014-10-03,31.31,32.10,31.22,31.78,6334500,31.78
2014-10-02,30.65,31.20,30.41,31.11,4674000,31.11
2014-10-01,30.62,30.62,30.29,30.46,4974200,30.46
2014-09-30,30.49,30.66,29.96,30.65,7288600,30.65
2014-09-29,30.28,30.64,30.15,30.48,5381800,30.48
2014-09-26,31.15,31.34,30.45,30.81,5933600,30.81
2014-09-25,31.38,31.57,31.14,31.20,5357900,31.20
2014-09-24,31.94,32.19,31.41,31.67,9059500,31.67
2014-09-23,32.89,32.90,31.99,32.07,4779700,32.07
2014-09-22,33.72,33.80,32.79,32.83,4288000,32.83
2014-09-19,34.22,34.31,33.69,33.88,5000900,33.88
2014-09-18,34.41,34.41,34.02,34.04,1768200,34.04
2014-09-17,34.19,34.30,33.96,34.16,2107000,34.16
2014-09-16,34.13,34.35,34.07,34.08,2344500,34.08
2014-09-15,34.31,34.38,34.24,34.32,1327500,34.32
2014-09-12,34.71,34.71,34.29,34.34,2116800,34.34
2014-09-11,34.26,34.62,34.26,34.59,1642500,34.59
2014-09-10,34.42,34.49,34.25,34.41,1282400,34.41
2014-09-09,34.67,34.91,34.28,34.32,2297500,34.32
2014-09-08,35.08,35.15,34.76,34.84,1575600,34.84
2014-09-05,34.77,35.15,34.73,35.10,1743400,35.10
2014-09-04,34.52,34.97,34.51,34.93,1974000,34.93
2014-09-03,34.74,34.85,34.48,34.51,2602500,34.51
2014-09-02,34.53,34.78,34.30,34.58,2899300,34.58
2014-08-29,34.60,34.72,34.40,34.49,2897200,34.49
2014-08-28,34.80,34.83,34.59,34.70,2073600,34.70
2014-08-27,34.55,34.90,34.55,34.84,2057300,34.84
2014-08-26,34.90,34.90,34.46,34.66,2193000,34.66
2014-08-25,34.84,34.98,34.56,34.87,2198100,34.87
2014-08-22,35.41,35.50,34.96,34.99,2479100,34.61
2014-08-21,34.90,35.30,34.82,35.28,2440200,34.90
2014-08-20,35.26,35.34,34.73,34.90,4185200,34.52
2014-08-19,35.33,35.39,35.10,35.24,3599100,34.86
2014-08-18,35.22,35.41,35.10,35.31,1966300,34.93
2014-08-15,35.38,35.50,34.80,35.08,2579500,34.70
2014-08-14,35.26,35.32,34.85,35.17,3264800,34.79
2014-08-13,35.29,35.38,35.03,35.13,1855300,34.75
2014-08-12,35.68,35.98,35.17,35.24,2786100,34.86
2014-08-11,35.87,35.98,35.67,35.72,1226200,35.33
2014-08-08,35.19,35.83,35.19,35.78,1932800,35.39
2014-08-07,35.65,35.76,35.10,35.18,1621400,34.80
2014-08-06,35.24,35.53,35.16,35.41,2882500,35.03
2014-08-05,35.34,35.55,35.14,35.29,2357900,34.91
2014-08-04,35.08,35.32,34.88,35.24,2369300,34.86
2014-08-01,35.40,35.52,35.05,35.25,1866000,34.87
2014-07-31,35.57,35.65,35.21,35.42,2784300,35.04
2014-07-30,35.40,35.84,35.35,35.69,2103100,35.30
2014-07-29,35.36,35.44,35.09,35.25,1945500,34.87
2014-07-28,35.24,35.46,35.24,35.42,1704100,35.04
2014-07-25,35.36,35.58,35.14,35.30,1569000,34.92
2014-07-24,35.41,35.46,35.26,35.40,2485500,35.02
2014-07-23,35.53,35.53,35.10,35.28,5555100,34.90
2014-07-22,36.00,36.10,35.37,35.48,5285900,35.09
2014-07-21,36.10,36.10,35.40,35.96,5563000,35.57
2014-07-18,36.31,36.46,35.90,36.20,6757600,35.81
2014-07-17,37.10,37.20,35.95,36.46,15120900,36.06
2014-07-16,39.14,39.39,38.94,39.03,4695400,38.61
2014-07-15,39.67,39.77,38.90,38.94,4213100,38.52
