Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,53.59,54.37,52.91,53.18,2460600,53.18
2014-10-09,54.95,55.23,53.71,53.91,2584100,53.91
2014-10-08,54.24,55.57,53.73,55.50,1996300,55.50
2014-10-07,54.49,55.06,54.33,54.38,1453200,54.38
2014-10-06,55.10,55.44,54.35,54.94,1202400,54.94
2014-10-03,55.71,55.80,54.74,55.05,1156900,55.05
2014-10-02,55.40,56.20,54.51,55.72,1498600,55.72
2014-10-01,56.92,56.98,56.11,56.13,2471700,56.13
2014-09-30,57.00,58.40,56.76,56.91,2800100,56.91
2014-09-29,56.43,57.19,56.00,57.00,1122200,57.00
2014-09-26,56.23,57.35,56.21,57.06,924900,57.06
2014-09-25,57.31,57.31,56.18,56.18,946200,56.18
2014-09-24,57.56,57.60,56.53,57.28,1326200,57.28
2014-09-23,57.13,58.10,57.03,57.56,1397200,57.56
2014-09-22,57.17,57.44,56.87,57.15,764200,57.15
2014-09-19,57.98,58.07,57.52,57.86,1289500,57.86
2014-09-18,58.30,58.45,57.58,57.70,782400,57.70
2014-09-17,58.49,58.77,58.19,58.27,903300,58.27
2014-09-16,58.00,59.00,57.84,58.49,1207600,58.49
2014-09-15,57.03,58.00,56.75,57.94,1392900,57.94
2014-09-12,57.77,57.90,57.09,57.27,706700,57.27
2014-09-11,57.83,58.29,57.44,58.01,1183900,58.01
2014-09-10,58.48,58.59,57.80,58.33,822100,58.33
2014-09-09,59.04,59.17,58.22,58.60,841000,58.60
2014-09-08,59.57,59.60,58.37,58.99,1058000,58.99
2014-09-05,59.72,60.02,59.28,59.94,1010700,59.94
2014-09-04,61.14,61.17,59.39,59.68,1314200,59.68
2014-09-03,61.41,61.69,61.11,61.20,934200,61.20
2014-09-02,62.30,62.45,60.66,60.96,945800,60.96
2014-08-29,61.52,62.53,61.24,62.47,1290800,62.47
2014-08-28,60.74,61.40,60.52,61.11,733100,61.11
2014-08-27,61.25,61.34,60.68,60.79,716100,60.79
2014-08-26,61.39,61.97,61.12,61.13,737900,61.13
2014-08-25,61.07,61.40,60.94,61.28,594900,61.28
2014-08-22,61.12,61.12,60.32,60.85,618000,60.85
2014-08-21,60.50,61.41,60.45,61.32,780200,61.32
2014-08-20,60.49,60.66,60.06,60.61,830100,60.61
2014-08-19,60.76,61.01,60.46,60.48,1363200,60.48
2014-08-18,60.57,60.75,60.19,60.55,1264800,60.55
2014-08-15,60.20,60.55,60.00,60.46,999900,60.46
2014-08-14,59.88,60.09,59.58,59.86,981000,59.86
2014-08-13,60.55,60.88,59.88,60.02,1175200,59.67
2014-08-12,60.88,61.08,60.03,60.29,871700,59.94
2014-08-11,61.69,61.86,61.08,61.13,723400,60.77
2014-08-08,60.50,61.39,60.35,61.32,1110300,60.96
2014-08-07,61.69,62.91,60.12,60.37,1491200,60.02
2014-08-06,60.44,61.33,60.17,60.85,1358800,60.50
2014-08-05,61.59,61.89,60.39,60.67,1526900,60.32
