Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,223.84,226.43,222.05,223.62,983200,223.62
2014-10-09,228.79,229.52,222.84,223.47,722300,223.47
2014-10-08,224.29,229.27,222.82,228.94,845700,228.94
2014-10-07,227.75,228.65,223.80,223.93,644500,223.93
2014-10-06,231.84,233.64,229.58,229.75,925300,229.75
2014-10-03,229.06,232.02,228.32,231.62,700200,231.62
2014-10-02,229.08,230.35,226.17,227.10,1045400,227.10
2014-10-01,236.87,236.87,229.54,229.58,1076500,229.58
2014-09-30,237.30,238.53,236.46,236.88,991900,236.88
2014-09-29,236.67,237.65,235.42,237.25,735700,237.25
2014-09-26,237.10,240.38,237.03,239.50,402100,239.50
2014-09-25,239.63,239.63,236.78,237.22,576400,237.22
2014-09-24,239.21,241.25,239.21,240.09,876800,240.09
2014-09-23,241.18,241.94,239.14,239.21,723700,239.21
2014-09-22,244.87,245.11,242.26,242.55,595300,242.55
2014-09-19,248.90,249.12,245.54,245.68,815200,245.68
2014-09-18,244.17,247.40,244.05,247.04,680200,247.04
2014-09-17,242.82,245.44,242.34,244.22,507400,244.22
2014-09-16,242.00,242.89,239.96,242.37,748100,242.37
2014-09-15,239.51,242.99,239.44,242.37,883800,242.37
2014-09-12,241.52,241.79,239.35,239.96,494100,239.96
2014-09-11,241.32,242.18,240.94,241.67,486700,241.67
2014-09-10,241.49,242.82,240.44,242.27,288700,242.27
2014-09-09,241.68,242.99,240.79,241.26,422700,241.26
2014-09-08,241.65,243.18,240.35,241.76,557300,241.76
2014-09-05,238.39,241.25,237.55,241.18,629500,241.18
2014-09-04,241.77,241.78,238.62,239.21,708900,239.21
2014-09-03,241.02,244.91,240.43,240.99,456200,240.99
2014-09-02,243.89,244.69,240.61,241.34,977100,241.31
2014-08-29,243.17,244.19,241.89,244.06,370800,244.03
2014-08-28,242.23,243.97,240.86,243.11,447800,243.08
2014-08-27,244.07,244.07,242.31,242.52,479800,242.49
2014-08-26,243.78,244.51,243.26,243.81,456900,243.78
2014-08-25,243.97,244.26,242.80,243.53,353800,243.50
2014-08-22,243.53,243.92,241.88,242.98,400100,242.95
2014-08-21,243.86,244.31,242.84,243.85,378800,243.82
2014-08-20,241.71,243.83,241.15,243.71,649800,243.68
2014-08-19,241.84,242.67,241.38,242.30,428200,242.27
2014-08-18,241.56,242.84,240.93,241.62,612100,241.59
2014-08-15,241.55,241.93,236.68,239.67,1119300,239.64
2014-08-14,237.42,240.76,237.23,240.37,938800,240.34
2014-08-13,234.17,235.76,232.64,235.55,500100,235.52
2014-08-12,233.75,234.61,231.44,232.58,354200,232.55
2014-08-11,233.64,236.18,233.51,233.78,758600,233.75
2014-08-08,229.32,234.01,228.69,233.83,590500,233.80
2014-08-07,229.03,231.32,229.03,229.54,1047200,229.51
2014-08-06,227.35,229.18,226.38,228.50,777200,228.47
2014-08-05,227.96,232.60,227.94,229.32,982600,229.29
2014-08-04,229.25,229.95,227.92,229.18,1101200,229.15
2014-08-01,228.55,231.54,228.00,229.25,1210600,229.22
2014-07-31,231.56,231.75,228.28,228.80,1390900,228.77
2014-07-30,233.03,234.64,231.25,233.03,1107000,233.00
2014-07-29,234.25,234.25,231.34,231.41,1203600,231.38
2014-07-28,233.87,234.70,232.75,233.58,1309100,233.55
2014-07-25,234.15,235.17,231.12,232.86,2550600,232.83
2014-07-24,246.12,246.80,230.10,236.21,4407600,236.18
2014-07-23,256.67,257.10,249.80,250.03,1305000,250.00
2014-07-22,258.00,258.20,255.20,256.70,679000,256.67
2014-07-21,256.55,257.32,254.79,256.59,403000,256.56
2014-07-18,255.48,258.00,254.60,257.39,364400,257.36
2014-07-17,255.96,258.62,254.50,254.71,573000,254.68
2014-07-16,252.78,260.04,252.15,257.72,462200,257.69
2014-07-15,259.01,261.49,257.16,259.51,981500,259.48
2014-07-14,256.67,260.00,256.63,259.28,659300,259.25
