Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,4.85,5.16,4.75,5.12,3792200,5.12
2014-10-09,5.82,5.85,4.92,4.99,5866600,4.99
2014-10-08,5.90,5.93,5.70,5.85,3265500,5.85
2014-10-07,5.95,6.24,5.83,5.96,4081500,5.96
2014-10-06,5.97,6.15,5.93,5.96,2783200,5.96
2014-10-03,5.96,6.14,5.84,5.99,2200900,5.99
2014-10-02,6.01,6.05,5.62,5.92,5552600,5.92
2014-10-01,5.97,6.35,5.93,6.12,3016900,6.12
2014-09-30,6.14,6.18,5.92,6.15,3402500,6.15
2014-09-29,6.51,6.55,6.17,6.18,2079900,6.18
2014-09-26,6.42,6.69,6.29,6.63,1904400,6.63
2014-09-25,6.61,6.68,6.41,6.42,1789700,6.42
2014-09-24,6.41,6.74,6.26,6.66,3387700,6.66
2014-09-23,6.31,6.66,6.27,6.33,5665300,6.33
2014-09-22,6.28,6.50,6.13,6.23,5970000,6.23
2014-09-19,6.74,6.95,6.10,6.22,9273000,6.22
2014-09-18,6.97,7.06,6.61,6.73,5877000,6.73
2014-09-17,6.92,7.09,6.92,6.94,3176300,6.94
2014-09-16,7.05,7.22,6.90,6.97,3894700,6.97
2014-09-15,7.18,7.39,7.08,7.15,3492300,7.15
2014-09-12,7.31,7.42,7.15,7.16,4509900,7.16
2014-09-11,7.18,7.57,7.11,7.40,4441100,7.40
2014-09-10,7.38,7.42,6.86,7.20,4515700,7.20
2014-09-09,8.22,8.23,7.32,7.35,5707200,7.35
2014-09-08,8.32,8.32,8.15,8.22,2959500,8.22
2014-09-05,8.64,8.73,8.02,8.24,5829400,8.24
2014-09-04,8.78,8.91,8.57,8.62,4322300,8.62
2014-09-03,9.32,9.42,8.71,8.77,8070700,8.77
2014-09-02,9.38,9.45,9.20,9.32,3125400,9.32
2014-08-29,9.32,9.35,9.21,9.32,2000400,9.32
2014-08-28,9.24,9.30,9.10,9.19,2685800,9.19
2014-08-27,9.28,9.28,9.10,9.24,1920300,9.24
2014-08-26,9.24,9.34,9.15,9.19,1952700,9.19
2014-08-25,9.43,9.45,9.12,9.29,1933300,9.29
2014-08-22,9.45,9.56,9.25,9.30,2693300,9.30
2014-08-21,9.55,9.63,9.39,9.45,3965400,9.45
2014-08-20,9.21,9.62,9.21,9.51,3047800,9.51
2014-08-19,9.42,9.56,9.23,9.30,4392700,9.30
2014-08-18,9.36,9.56,9.32,9.50,2367900,9.50
2014-08-15,9.35,9.49,9.26,9.46,2739000,9.46
2014-08-14,9.15,9.48,9.11,9.43,3556500,9.43
2014-08-13,9.49,9.52,9.22,9.28,7045200,9.28
2014-08-12,9.55,9.66,9.36,9.51,4225000,9.51
2014-08-11,9.77,10.05,9.36,9.82,4929200,9.82
2014-08-08,9.67,9.84,9.50,9.54,7456900,9.54
2014-08-07,10.11,10.25,9.59,9.80,5572200,9.80
2014-08-06,10.05,10.30,10.01,10.09,4537700,10.09
2014-08-05,10.80,10.97,10.08,10.10,6519600,10.10
2014-08-04,11.21,11.78,10.82,11.00,7423800,11.00
2014-08-01,11.55,12.00,11.26,11.78,10808700,11.78
2014-07-31,11.31,12.48,11.25,11.40,769300,11.40
2014-07-30,11.30,11.65,11.18,11.27,383200,11.27
2014-07-29,11.70,11.83,11.37,11.42,480300,11.42
2014-07-28,11.67,11.96,11.35,11.70,930900,11.70
2014-07-25,11.66,11.82,11.30,11.60,288900,11.60
2014-07-24,12.00,12.00,11.50,11.85,594100,11.85
2014-07-23,12.50,12.50,11.95,12.00,516600,12.00
2014-07-22,12.65,12.85,12.06,12.49,1554200,12.49
2014-07-21,17.50,17.50,11.90,12.50,784500,12.50
