Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,37.11,37.71,36.55,37.05,7010900,37.05
2014-10-09,38.57,38.64,36.68,37.10,6998800,37.10
2014-10-08,38.64,38.74,37.93,38.65,3680900,38.65
2014-10-07,39.03,39.34,38.63,38.63,2931100,38.63
2014-10-06,39.33,39.60,38.90,39.19,2251800,39.19
2014-10-03,39.03,39.34,38.73,39.26,3117100,39.26
2014-10-02,38.90,39.06,38.36,38.79,3974500,38.79
2014-10-01,39.21,39.53,38.94,38.98,3125600,38.98
2014-09-30,39.16,39.63,39.00,39.26,4219500,39.26
2014-09-29,38.90,39.29,38.79,39.23,2163400,39.23
2014-09-26,38.73,39.33,38.55,39.18,2248200,39.18
2014-09-25,39.35,39.40,38.64,38.80,4300400,38.80
2014-09-24,39.65,39.71,39.18,39.32,4824800,39.32
2014-09-23,39.96,40.17,39.76,39.76,2705500,39.76
2014-09-22,40.26,40.36,39.79,39.99,2734200,39.99
2014-09-19,40.44,40.58,40.28,40.44,3580100,40.44
2014-09-18,40.62,40.78,40.19,40.28,3267700,40.28
2014-09-17,40.87,40.93,40.33,40.53,1953600,40.53
2014-09-16,40.00,40.87,40.00,40.70,2952900,40.70
2014-09-15,39.80,40.17,39.55,40.10,3309600,40.10
2014-09-12,40.48,40.64,39.71,39.84,3114700,39.84
2014-09-11,40.68,40.85,40.41,40.65,2499400,40.65
2014-09-10,41.28,41.45,40.56,40.90,3300200,40.90
2014-09-09,41.86,41.89,41.19,41.43,2219100,41.43
2014-09-08,42.06,42.18,41.61,41.73,2128900,41.73
2014-09-05,41.67,42.16,41.66,42.16,2095600,42.16
2014-09-04,41.85,42.06,41.59,41.75,2298700,41.75
2014-09-03,41.90,42.08,41.76,41.79,2346800,41.79
2014-09-02,41.59,41.78,41.31,41.72,2620200,41.72
2014-08-29,41.69,41.69,41.42,41.66,1671900,41.66
2014-08-28,41.01,41.60,40.83,41.48,2053800,41.48
2014-08-27,40.99,41.20,40.68,41.14,3573200,41.14
2014-08-26,40.86,41.12,40.75,40.99,1312100,40.99
2014-08-25,40.93,41.06,40.72,40.83,1422700,40.83
2014-08-22,40.75,40.94,40.64,40.71,1342300,40.71
2014-08-21,40.90,41.26,40.83,40.94,2247500,40.94
2014-08-20,40.78,41.06,40.56,40.80,2752700,40.80
2014-08-19,40.25,40.83,40.25,40.79,3106000,40.79
2014-08-18,40.72,40.78,40.19,40.25,2679000,40.25
2014-08-15,40.05,40.64,40.05,40.64,6845100,40.64
2014-08-14,40.11,40.34,39.94,40.02,2436900,40.02
2014-08-13,40.22,40.43,39.99,40.03,2577900,40.03
2014-08-12,39.73,40.01,39.50,39.97,3471700,39.97
2014-08-11,40.12,40.50,39.74,39.75,4157100,39.75
2014-08-08,39.45,39.83,39.23,39.81,3585000,39.81
2014-08-07,40.15,40.32,39.68,39.76,3025200,39.42
2014-08-06,40.00,40.50,39.28,40.03,2777600,39.69
2014-08-05,40.85,40.95,40.03,40.22,4247700,39.88
2014-08-04,40.65,40.96,40.23,40.87,3682000,40.53
2014-08-01,40.80,41.12,40.39,40.55,4221300,40.21
2014-07-31,41.99,42.02,40.91,40.92,5789600,40.58
2014-07-30,42.69,42.86,42.07,42.17,2616500,41.81
2014-07-29,42.66,42.95,42.60,42.65,2319100,42.29
2014-07-28,42.59,42.83,42.51,42.71,1515400,42.35
2014-07-25,42.75,42.82,42.51,42.58,1461800,42.22
2014-07-24,42.89,43.12,42.68,42.85,2020500,42.49
2014-07-23,42.91,43.09,42.61,42.75,1719900,42.39
2014-07-22,42.66,43.03,42.48,43.00,2274200,42.64
2014-07-21,42.61,42.72,42.26,42.44,1818200,42.08
2014-07-18,42.50,42.85,42.34,42.81,2074000,42.45
2014-07-17,42.62,42.87,42.34,42.40,2653600,42.04
2014-07-16,42.64,42.78,42.56,42.69,2117500,42.33
2014-07-15,42.65,42.73,42.35,42.51,2491800,42.15
2014-07-14,42.82,42.91,42.69,42.76,1612800,42.40
2014-07-11,42.59,42.84,42.35,42.70,2862900,42.34
2014-07-10,42.10,42.72,42.10,42.66,2519800,42.30
2014-07-09,42.27,42.64,42.01,42.56,2243500,42.20
2014-07-08,42.05,42.39,42.05,42.27,2503100,41.91
2014-07-07,42.30,42.46,42.08,42.21,2414700,41.85
2014-07-03,42.18,42.38,41.96,42.37,2109800,42.01
2014-07-02,42.30,42.52,42.21,42.31,2675800,41.95
2014-07-01,42.61,42.72,42.34,42.45,2499200,42.09
2014-06-30,42.30,42.51,42.11,42.48,2427500,42.12
2014-06-27,42.22,42.61,42.19,42.50,2156100,42.14
2014-06-26,42.25,42.32,41.95,42.29,2670200,41.93
2014-06-25,41.94,42.31,41.85,42.28,2934000,41.92
2014-06-24,42.16,42.58,41.97,42.10,3349200,41.75
2014-06-23,42.01,42.24,41.95,42.16,2710000,41.80
2014-06-20,41.92,42.24,41.80,42.00,5949000,41.65
2014-06-19,41.50,42.26,41.34,42.02,4685400,41.67
2014-06-18,41.26,41.53,40.84,41.50,3439300,41.15
2014-06-17,41.62,41.81,41.31,41.33,2696000,40.98
2014-06-16,41.32,42.00,41.20,41.80,2829000,41.45
2014-06-13,41.17,41.19,40.82,41.17,1950100,40.82
2014-06-12,41.28,41.40,40.82,40.97,1914900,40.62
2014-06-11,41.31,41.34,40.88,41.12,1646500,40.77
2014-06-10,41.49,41.58,41.25,41.29,1410700,40.94
2014-06-09,41.52,41.74,41.35,41.49,1513500,41.14
2014-06-06,41.44,41.73,41.27,41.70,1567500,41.35
2014-06-05,40.90,41.54,40.88,41.43,1680800,41.08
2014-06-04,40.81,40.91,40.60,40.89,1711100,40.55
2014-06-03,41.22,41.35,40.79,40.85,2415700,40.51
2014-06-02,40.75,41.35,40.72,41.29,2526900,40.94
2014-05-30,40.71,40.86,40.54,40.58,3920500,40.24
2014-05-29,40.90,40.92,40.57,40.72,1325900,40.38
2014-05-28,40.64,40.96,40.41,40.80,1991000,40.46
2014-05-27,40.91,40.99,40.54,40.59,1937100,40.25
2014-05-23,40.51,40.91,40.43,40.89,2499500,40.55
2014-05-22,40.22,40.62,40.22,40.55,2203400,40.21
2014-05-21,39.88,40.28,39.85,40.19,2160700,39.85
2014-05-20,39.59,39.84,39.49,39.69,2041300,39.36
2014-05-19,39.66,39.79,39.49,39.61,1958600,39.28
2014-05-16,39.60,39.87,39.58,39.66,2367100,39.33
2014-05-15,39.66,39.73,39.34,39.66,2568200,39.33
2014-05-14,39.86,39.90,39.57,39.81,2545600,39.47
2014-05-13,39.61,39.79,39.45,39.75,2579300,39.42
2014-05-12,39.53,39.74,39.47,39.61,1916700,39.28
2014-05-09,39.58,39.74,39.38,39.42,2225500,39.09
2014-05-08,39.27,39.97,39.27,39.53,3259400,39.20
2014-05-07,38.79,39.55,38.10,39.17,4238200,38.84
2014-05-06,39.55,39.70,39.18,39.26,3551000,38.60
2014-05-05,39.35,39.71,39.34,39.60,2014500,38.93
2014-05-02,39.67,39.73,39.19,39.41,2158900,38.74
2014-05-01,39.58,39.83,39.37,39.62,1712600,38.95
2014-04-30,39.53,40.14,39.43,39.71,3346200,39.04
2014-04-29,39.38,39.78,39.37,39.57,2367700,38.90
2014-04-28,39.20,39.37,38.89,39.21,2729300,38.55
2014-04-25,39.09,39.15,38.83,38.97,1575100,38.31
2014-04-24,39.25,39.46,39.03,39.09,2330700,38.43
2014-04-23,39.02,39.37,38.99,39.24,1626200,38.58
2014-04-22,39.50,39.50,38.97,39.03,3095800,38.37
2014-04-21,39.40,39.59,39.19,39.42,2062400,38.75
2014-04-17,39.05,39.45,39.01,39.34,1961200,38.68
2014-04-16,39.08,39.28,38.85,39.20,2152600,38.54
2014-04-15,38.33,38.85,38.21,38.80,3230700,38.14
2014-04-14,38.31,38.41,38.08,38.33,2613700,37.68
2014-04-11,38.05,38.29,37.87,38.04,2698200,37.40
2014-04-10,38.06,38.37,37.87,38.08,3274200,37.44
2014-04-09,37.90,38.19,37.71,38.12,1928700,37.48
2014-04-08,37.47,38.03,37.22,37.90,2957200,37.26
2014-04-07,37.98,38.16,37.43,37.45,1882300,36.82
2014-04-04,37.93,38.32,37.73,37.92,2385400,37.28
2014-04-03,37.77,37.96,37.51,37.73,1796100,37.09
2014-04-02,37.68,37.74,37.46,37.68,2632200,37.04
2014-04-01,37.25,37.69,37.17,37.69,2450500,37.05
2014-03-31,37.12,37.21,36.70,36.94,3091200,36.32
2014-03-28,36.95,37.01,36.64,36.82,1770900,36.20
2014-03-27,36.57,36.94,36.31,36.86,2059900,36.24
2014-03-26,36.43,36.91,36.42,36.51,3170600,35.89
2014-03-25,36.46,36.50,36.23,36.38,1970100,35.77
2014-03-24,36.66,36.74,36.26,36.38,2319700,35.77
2014-03-21,37.49,37.49,36.59,36.63,5197200,36.01
2014-03-20,36.41,36.53,36.09,36.50,2832700,35.88
2014-03-19,37.10,37.11,36.39,36.50,2784100,35.88
2014-03-18,36.76,37.20,36.76,37.01,1858700,36.39
2014-03-17,36.69,36.84,36.52,36.77,1801300,36.15
2014-03-14,36.24,36.78,36.21,36.58,2208100,35.96
2014-03-13,36.72,36.73,36.22,36.42,2434100,35.80
2014-03-12,36.50,36.67,36.40,36.65,2098900,36.03
2014-03-11,37.06,37.09,36.38,36.74,2866700,36.12
2014-03-10,37.44,37.49,37.03,37.06,2353200,36.43
2014-03-07,37.39,37.55,37.07,37.41,2440100,36.78
2014-03-06,37.31,37.49,37.22,37.32,1915100,36.69
2014-03-05,37.72,37.87,37.17,37.31,2748100,36.68
2014-03-04,37.41,37.77,37.16,37.66,3553800,37.02
2014-03-03,37.14,37.27,36.74,37.00,2789100,36.38
2014-02-28,37.21,37.36,37.04,37.28,2586000,36.65
2014-02-27,37.15,37.32,36.74,36.93,3188100,36.31
2014-02-26,37.32,37.53,37.19,37.24,2298600,36.61
2014-02-25,37.50,37.72,37.24,37.35,2889500,36.72
2014-02-24,37.73,38.05,37.48,37.52,3621900,36.89
2014-02-21,37.67,38.00,37.52,37.64,3082700,37.00
2014-02-20,37.16,37.91,37.15,37.73,3010000,37.09
2014-02-19,36.94,37.45,36.89,37.12,2830900,36.49
2014-02-18,37.05,37.34,37.00,37.04,2433500,36.41
2014-02-14,37.06,37.16,36.85,37.05,1962800,36.42
2014-02-13,36.80,37.28,36.75,37.07,2579400,36.44
2014-02-12,37.39,37.39,36.80,36.88,3673900,36.26
2014-02-11,37.00,37.92,36.92,37.73,4900600,36.76
2014-02-10,36.59,37.02,36.33,37.02,4256900,36.07
2014-02-07,36.78,37.37,36.64,36.79,3248800,35.85
2014-02-06,35.74,36.65,35.69,36.55,3762200,35.61
