Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,214.00,216.73,213.11,213.14,565900,213.14
2014-10-09,216.79,217.31,213.99,214.01,667300,214.01
2014-10-08,212.54,217.06,211.73,216.76,650800,216.76
2014-10-07,214.04,214.46,211.44,211.44,495800,211.44
2014-10-06,216.32,217.10,213.87,214.64,543900,214.64
2014-10-03,215.21,217.53,215.21,215.99,386600,215.99
2014-10-02,213.72,214.99,211.36,214.51,449900,214.51
2014-10-01,218.63,218.91,213.07,213.74,509100,213.74
2014-09-30,220.47,221.75,218.80,218.99,548600,218.99
2014-09-29,219.61,222.53,218.81,221.44,473300,221.44
2014-09-26,218.25,221.18,218.22,220.79,366600,220.79
2014-09-25,220.11,220.98,218.36,218.37,402800,218.37
2014-09-24,218.67,221.44,218.20,221.01,506500,221.01
2014-09-23,218.88,219.95,218.40,218.48,461200,218.48
2014-09-22,220.04,220.82,219.05,219.05,478600,219.05
2014-09-19,221.06,221.27,219.90,220.54,712900,220.54
2014-09-18,217.98,220.47,217.65,219.86,441800,219.86
2014-09-17,216.94,218.29,216.11,217.09,292500,217.09
2014-09-16,215.23,217.71,214.70,216.52,471700,216.52
2014-09-15,215.16,215.91,213.61,215.18,442800,215.18
2014-09-12,217.45,217.73,214.68,215.55,421100,215.55
2014-09-11,216.45,218.21,216.12,218.04,388800,218.04
2014-09-10,217.11,217.16,215.95,216.80,404700,216.80
2014-09-09,217.21,217.56,216.35,216.52,409800,216.52
2014-09-08,218.25,218.51,216.94,217.92,280600,217.92
2014-09-05,216.89,218.50,216.34,218.29,398400,218.29
2014-09-04,217.13,218.77,216.90,217.45,283700,217.45
2014-09-03,218.78,219.20,216.69,217.23,317700,217.23
2014-09-02,218.59,219.02,217.03,217.57,370600,217.57
2014-08-29,217.87,218.32,216.90,218.11,300700,218.11
2014-08-28,216.55,219.21,216.00,218.13,277600,218.13
2014-08-27,218.00,218.32,216.39,217.63,419600,217.63
2014-08-26,217.65,218.50,216.83,217.80,255700,217.80
2014-08-25,217.55,218.00,216.59,217.59,350400,217.59
2014-08-22,217.25,217.99,216.30,216.96,291500,216.96
2014-08-21,215.45,217.85,215.29,217.25,482100,217.25
2014-08-20,214.12,215.45,213.49,215.04,404600,215.04
2014-08-19,214.96,214.98,214.06,214.35,325900,214.35
2014-08-18,213.62,214.49,212.94,214.13,390900,214.13
2014-08-15,212.72,213.84,210.84,212.80,466100,212.80
2014-08-14,212.54,212.83,210.98,211.81,420700,211.81
2014-08-13,211.13,212.06,209.91,211.75,396800,211.75
2014-08-12,208.68,210.96,208.63,210.62,530000,210.07
2014-08-11,209.21,210.77,208.55,208.84,339800,208.29
2014-08-08,206.70,209.06,206.11,208.91,605700,208.36
2014-08-07,208.13,208.33,205.27,205.85,748900,205.31
2014-08-06,204.97,207.53,204.97,207.40,828700,206.86
2014-08-05,207.28,208.45,204.63,205.02,777200,204.48
2014-08-04,205.83,208.84,203.92,208.38,520000,207.84
2014-08-01,205.44,206.16,203.65,204.76,882100,204.23
2014-07-31,209.78,209.87,206.05,206.23,595600,205.69
2014-07-30,210.94,211.83,209.72,210.16,561700,209.61
2014-07-29,212.95,213.44,210.73,210.74,574900,210.19
2014-07-28,213.00,213.79,211.60,212.65,529600,212.09
2014-07-25,213.47,214.50,212.53,212.77,347900,212.21
2014-07-24,215.05,215.05,213.18,213.47,544100,212.91
2014-07-23,215.00,215.62,213.81,214.61,474000,214.05
2014-07-22,212.67,214.93,212.58,213.96,593500,213.40
2014-07-21,212.11,212.66,211.20,212.58,615300,212.02
2014-07-18,210.81,212.38,209.74,212.18,1241100,211.63
2014-07-17,209.14,211.37,205.60,210.95,1656500,210.40
2014-07-16,203.00,203.17,201.49,201.73,759200,201.20
2014-07-15,203.98,204.65,201.77,202.32,586900,201.79
2014-07-14,202.82,203.64,202.76,203.22,354900,202.69
2014-07-11,202.46,202.94,201.47,202.76,346500,202.23
2014-07-10,202.91,202.91,201.85,202.28,658800,201.75
2014-07-09,203.42,205.22,202.99,205.12,506700,204.58
2014-07-08,205.33,205.42,202.65,203.21,545700,202.68
2014-07-07,207.23,207.65,204.75,205.24,389400,204.70
2014-07-03,206.98,207.68,206.47,207.46,197300,206.92
2014-07-02,207.00,207.90,206.04,206.59,297400,206.05
2014-07-01,207.02,208.27,206.90,207.35,431400,206.81
2014-06-30,208.00,208.00,206.52,206.91,676400,206.37
2014-06-27,204.29,207.68,204.29,207.46,624000,206.92
2014-06-26,205.95,205.95,203.61,205.29,356200,204.75
2014-06-25,204.81,206.39,204.65,206.05,396400,205.51
2014-06-24,204.00,206.10,203.88,204.77,523600,204.24
2014-06-23,204.26,205.10,203.60,204.59,343600,204.06
2014-06-20,203.94,204.96,203.35,203.99,544200,203.46
2014-06-19,203.26,203.63,202.64,203.32,326600,202.79
2014-06-18,202.83,203.93,201.36,203.72,338500,203.19
2014-06-17,201.72,203.78,201.50,202.77,275400,202.24
2014-06-16,202.64,204.04,201.52,202.33,332000,201.80
2014-06-13,202.84,203.28,201.66,202.73,261000,202.20
2014-06-12,203.11,204.42,201.66,202.22,393900,201.69
2014-06-11,204.05,204.51,202.96,203.25,285400,202.72
2014-06-10,204.03,204.83,203.30,204.42,342300,203.89
2014-06-09,203.98,205.26,203.62,204.30,383300,203.77
2014-06-06,204.43,206.00,203.97,204.43,374700,203.90
2014-06-05,203.89,204.74,201.50,203.95,386700,203.42
2014-06-04,203.00,204.28,201.64,203.87,413100,203.34
2014-06-03,202.72,204.83,202.72,203.77,363700,203.24
2014-06-02,204.51,205.13,203.05,203.57,456100,203.04
2014-05-30,203.06,205.32,202.74,204.61,440700,204.08
2014-05-29,202.72,203.60,201.76,203.37,380700,202.84
2014-05-28,202.42,203.91,201.71,201.71,429400,201.18
2014-05-27,203.69,203.69,201.82,202.02,436400,201.49
2014-05-23,200.15,202.71,199.77,202.41,592400,201.88
2014-05-22,200.29,201.48,199.65,200.44,338800,199.92
2014-05-21,200.43,201.45,199.34,200.44,450200,199.92
2014-05-20,199.75,201.57,199.49,200.32,649000,199.80
2014-05-19,199.40,201.71,199.31,199.43,480900,198.91
2014-05-16,198.20,199.94,197.08,199.84,521600,199.32
2014-05-15,198.43,199.07,195.85,198.35,496100,197.83
2014-05-14,199.75,200.21,198.71,198.92,384900,198.40
2014-05-13,201.70,202.16,200.03,200.26,461100,199.19
2014-05-12,200.04,202.58,199.56,201.84,614100,200.76
2014-05-09,197.51,199.86,196.12,199.80,465200,198.73
2014-05-08,199.32,199.89,196.68,197.46,677600,196.40
2014-05-07,199.51,200.07,197.29,199.25,651100,198.18
2014-05-06,198.96,199.86,197.33,198.43,611700,197.37
2014-05-05,199.31,200.74,198.29,199.66,500500,198.59
2014-05-02,199.88,201.57,199.83,200.86,597600,199.79
2014-05-01,199.50,200.39,198.63,199.89,435700,198.82
2014-04-30,199.54,200.46,199.20,199.84,675700,198.77
2014-04-29,199.20,200.00,197.38,199.79,574800,198.72
