2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.0115575
r_up	BBY_'s	0.246316
r_up	HES_gains	0.633154
r_up	LMT_'s	-0.274234
r_up	UPS_'s	0.590675
r_up	M_'s	0.0387337
r_up	M_retail	0.548758
r_up	LUV_'s	-0.438818
r_up	COST_'s	0.314879
r_up	BBBY_stocks	0.22243
r_up	COST_sales	0.193935
r_up	CMCSA_'s	-0.101465
r_up	VLO_stocks	0.818893
r_up	VLO_gains	0.401193
r_up	APA_stocks	-1.03304
r_up	OXY_stocks	-0.179761
r_up	JCP_after	1.00463
r_up	HES_stocks	-0.485569
r_up	ANF_stocks	-0.171475
r_up	AMAT_up	-0.051458
r_up	BBBY_retail	1.08375
r_up	ANF_'s	-0.107787
r_up	FDX_outlook	0.00567673
r_up	BBY_stocks	-0.112534
r_up	LOW_'s	0.0343926
r_up	PG_'s	-0.245865
r_up	CSCO_rise	-0.0713382
r_up	URBN_stocks	0.0798747
r_up	CME_'s	-0.416112
r_up	KO_watch	0.756868
r_up	X_'s	0.149376
r_up	WLP_'s	-0.120609
r_up	URBN_biggest	0.278056
r_up	KO_advisories	-0.182005
r_up	PRU_$	0.156878
r_up	AET_'s	0.480373
r_up	DIS_54	0.327808
r_up	RF_'s	0.202379
r_up	KEY_'s	0.225355
r_up	CI_'s	-0.724277
r_up	MDT_'s	-0.155608
r_up	CVX_energy	-0.0315695
r_up	CVX_stocks	-0.198567
r_up	KO_surprises	-0.182005
r_up	AIG_focus	0.336939
r_up	ALL_surprises	0.489966
r_up	ALL_advisories	0.489966
r_up	USB_'s	-0.0904693
r_up	WFC_'s	-0.208939
r_up	ORCL_'s	0.252849
r_up	F_sales	0.113835
r_up	T_'s	0.0736551
r_up	NBR_stocks	-0.120408
r_up	IBM_'s	0.0289806
r_up	AVP_'s	0.00618637
r_up	SNDK_after	-0.326776
r_up	VLO_energy	0.219925
r_up	AIG_'s	0.0246107
r_up	FSLR_stocks	0.272837
r_up	XOM_stocks	-0.141991
r_up	M_10	0.362347
r_up	MCD_'s	-0.137785
r_up	CHK_shares	-0.0596649
r_up	TXN_rally	0.908156
r_up	GPS_focus	0.0304486
r_up	NKE_focus	0.418716
r_up	CHK_gains	0.0613528
r_up	A_'s	0.349149
r_up	KO_after	0.734134
r_up	EMC_$	-0.120703
r_up	LLY_stocks	-0.320059
r_up	KO_$	-0.583854
r_up	MRO_$	-0.0593727
r_up	PCG_$	0.151264
r_up	EMR_'s	-0.0296591
r_up	GILD_$	0.0304568
r_up	BBT_'s	0.672801
r_up	GILD_stocks	0.558489
r_up	FITB_'s	-0.552579
r_up	CAH_'s	0.440407
r_up	DVN_stocks	-0.0430855
r_up	HAL_stocks	0.417425
r_up	SLB_$	0.0324099
r_up	CHK_stocks	-0.128055
r_up	EXC_stocks	-1.01306
r_up	PNC_$	0.594172
r_up	HAL_$	0.304195
r_up	SLB_stocks	-0.291409
r_up	MRO_stocks	0.167387
r_up	SPLS_'s	0.499649
r_up	WAG_'s	-0.0811157
r_up	V_'s	0.285123
r_up	COP_'s	-0.230331
r_up	BIIB_'s	-0.540433
r_up	SPG_'s	0.0343432
r_up	TWX_'s	0.241899
r_up	VLO_'s	0.0971737
r_up	FFIV_'s	-0.051635
r_up	SYMC_$	0.0955739
r_up	COP_$	-0.0110849
r_up	DVN_$	0.316616
r_up	TXN_shares	-0.0142538
r_up	NKE_'s	-0.0814837
r_up	COST_after	-0.18749
r_up	K_'s	-0.808178
r_up	JNPR_but	-0.292918
r_up	TWX_$	0.0490136
r_up	LLY_'s	0.197888
r_up	EA_sales	-0.0737484
r_up	MDLZ_'s	0.179935
r_up	DVN_'s	0.107138
r_up	EMC_close	0.357602
r_up	EMC_stocks	0.102671
r_up	SCHW_advisories	-0.573269
r_up	FITB_declining	-0.121481
r_up	SLB_'s	-0.205016
r_up	ADBE_watch	0.132259
r_up	USB_$	-0.496771
r_up	BBT_$	-1.40355
r_up	GD_'s	0.259551
r_up	NKE_stocks	0.0567331
r_up	ABT_stocks	0.554328
r_up	MCO_'s	-0.194984
r_up	APC_$	0.0459517
r_up	CHK_$	-0.279649
r_up	PM_'s	-0.0943674
r_up	BBY_watch	-0.466274
r_up	BBY_futures	0.725388
r_up	SCHW_surprises	-0.573269
r_up	HSP_'s	-0.602126
r_up	JOY_surprises	0.035417
r_up	NVDA_rally	0.39314
r_up	EA_$	0.142834
r_up	LEN_'s	0.0811136
r_up	AMD_stocks	0.154887
r_up	BRCM_stocks	0.890346
r_up	FDX_2010	0.330462
r_up	PRU_'s	0.178399
r_up	SYMC_stocks	-0.177646
r_up	BBY_drop	-1.43086
r_up	JOY_advisories	0.035417
r_up	PRU_stocks	-1.44784
r_up	BRCM_'s	0.474086
r_up	EA_shares	-0.15223
r_up	CAT_3	-0.477796
r_up	V_shares	0.32388
r_up	LUV_oil	0.364033
r_up	FDX_'s	0.314332
r_up	HUM_'s	0.0217231
r_up	ABT_$	-0.116849
r_up	MRO_lead	-1.37122
r_up	ZION_$	0.162159
r_up	AIV_stocks	0.63889
r_up	MCD_but	-0.335285
r_up	CBS_'s	-0.00157879
r_up	YUM_'s	0.490932
r_up	BMY_stocks	0.163875
r_up	MDT_stocks	-1.37134
r_up	GT_'s	-0.126025
r_up	AMD_focus	0.40176
r_up	AMD_rise	0.432354
r_up	AMD_shares	-0.664839
r_up	AMD_up	-0.212887
r_up	MAR_stocks	-0.0953805
r_up	MON_stocks	0.0886522
r_up	SYMC_'s	-0.356528
r_up	HOT_stocks	-0.813611
r_up	BRCM_sector	-0.306308
r_up	NOV_stocks	-0.969725
r_up	MAR_'s	-0.492851
r_up	HIG_'s	0.460567
r_up	MUR_'s	-0.142525
r_up	SLB_surprises	-0.856955
r_up	BTU_up	0.824908
r_up	OMC_'s	-0.0197898
r_up	OXY_$	-0.288787
r_up	MU_'s	0.122318
r_up	LLY_$	-0.0036579
r_up	SLB_advisories	-0.856955
r_up	BMY_$	0.0531293
r_up	BTU_stocks	-0.345815
r_up	INTU_advisories	-0.044345
r_up	AGN_'s	0.195471
r_up	INTU_surprises	-0.044345
r_up	TXN_$	0.279398
r_up	AXP_up	0.278437
r_up	GPS_surprises	-0.169764
r_up	GPS_advisories	-0.169764
r_up	AA_stocks	-0.0248339
r_up	NTAP_'s	0.27664
r_up	NTAP_focus	-0.0582526
r_up	CAT_'s	-0.216413
r_up	AA_gaining	-0.173323
r_up	CRM_focus	0.214952
r_up	TXN_gains	0.214602
r_up	THC_'s	0.357653
r_up	EMC_tech	0.786531
r_up	NTAP_gains	-0.826954
r_up	VIAB_$	0.380854
r_up	LH_'s	0.122256
r_up	HD_7.2	0.0788807
r_up	AA_biggest	-0.173323
r_up	WYNN_'s	0.0371286
r_up	TWC_'s	-0.073531
r_up	V_$	0.222226
r_up	FITB_banks	0.379857
r_up	STI_banks	0.420669
r_up	HON_'s	-0.125458
r_up	ABT_2	-0.0604048
r_up	SLM_'s	0.0491354
r_up	MA_stocks	-0.343581
r_up	CPB_'s	-0.762892
r_up	HIG_after	-0.0497402
r_up	MA_'s	0.152836
r_up	NEM_$	0.433669
r_up	PCLN_stocks	0.224866
r_up	VIAB_'s	0.13952
r_up	ADM_stocks	0.0892356
r_up	WFM_'s	0.481889
r_up	SE_'s	0.334807
r_up	TRV_stocks	0.956223
r_up	HSP_stocks	-0.749802
r_up	THC_stocks	0.200736
r_up	ADM_'s	-0.345832
r_up	QCOM_$	0.0900275
r_up	LO_$	-0.0610526
r_up	VRSN_stocks	-0.16387
r_up	WMB_lower	-1.35154
r_up	WMB_'s	0.0110208
r_up	QCOM_'s	-0.406054
r_up	SBUX_$	-0.55277
r_up	ICE_lower	-0.210465
r_up	ICE_stocks	0.0862353
r_up	PCLN_advisories	0.063948
r_up	SJM_profit	0.313045
r_up	HUM_stocks	0.455845
r_up	KMB_'s	0.0398955
r_up	PCLN_surprises	0.063948
r_up	FHN_stocks	1.56118
r_up	DD_stocks	-0.130295
r_up	ORCL_$	0.216114
r_up	INTC_'s	0.385727
r_up	ORCL_stocks	0.0312803
r_up	LLY_5	-0.419479
r_up	NFLX_'s	0.29963
r_up	MON_biggest	0.595007
r_up	ORCL_tech	-1.37118
r_up	DIS_'s	-0.192841
r_up	COP_energy	0.735376
r_up	NVDA_tech	-0.274068
r_up	MAT_'s	0.0330108
r_up	GD_$	-0.0563173
r_up	TXN_rise	0.155819
