2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.164917
r_up	LEN_advisories	-0.164101
r_up	BLK_'s	0.0457699
r_up	HD_'s	-0.113749
r_up	M_'s	0.0390658
r_up	LUV_'s	0.121876
r_up	COST_'s	-0.0343355
r_up	AMAT_stocks	0.243911
r_up	APOL_stocks	-0.1943
r_up	COST_sales	-0.0459914
r_up	CMCSA_'s	-0.115389
r_up	VLO_gains	0.770596
r_up	CMG_'s	-0.789424
r_up	CCI_'s	0.0168346
r_up	TJX_surprises	0.723895
r_up	HES_stocks	0.369998
r_up	UPS_advisories	0.033
r_up	ANF_'s	0.144783
r_up	LEN_surprises	-0.164101
r_up	TJX_stocks	-0.223341
r_up	BBY_stocks	-0.299747
r_up	JCP_stocks	0.0727432
r_up	APOL_'s	-0.169626
r_up	TJX_advisories	0.723895
r_up	JCP_'s	0.29255
r_up	UPS_surprises	0.033
r_up	LOW_'s	0.0842327
r_up	MET_$	0.103818
r_up	PG_'s	0.057622
r_up	AMD_'s	-0.222976
r_up	NDAQ_'s	-0.453033
r_up	PNC_'s	0.478381
r_up	KO_watch	0.33662
r_up	ICE_'s	0.692898
r_up	CVX_$	-0.511797
r_up	STI_'s	0.0461173
r_up	PRU_$	-0.195243
r_up	AET_'s	-0.411246
r_up	NDAQ_stock	0.890929
r_up	AIG_$	-0.355966
r_up	KEY_'s	-0.169801
r_up	URBN_$	-0.341819
r_up	WFM_after	0.125852
r_up	CVX_stocks	-0.734327
r_up	DD_10	0.00807752
r_up	DIS_shares	0.106192
r_up	WFC_'s	0.120661
r_up	ORCL_'s	-0.227908
r_up	F_sales	0.149524
r_up	T_'s	0.48358
r_up	NBR_stocks	-0.692652
r_up	SNDK_shares	-0.649793
r_up	SNDK_after	-1.21394
r_up	VLO_energy	0.258146
r_up	AIG_'s	0.398895
r_up	HIG_biggest	-0.181633
r_up	F_'s	-0.833355
r_up	BA_'s	0.473745
r_up	MU_shares	-0.0324297
r_up	NFLX_futures	-0.252735
r_up	MCD_'s	0.0362369
r_up	CHK_gains	-0.532024
r_up	ADBE_surprises	-0.462996
r_up	PEP_$	0.118665
r_up	JWN_retail	-0.133364
r_up	HD_data	-1.04802
r_up	ADBE_advisories	-0.462996
r_up	KO_$	0.252131
r_up	MRO_$	-0.195719
r_up	VLO_$	0.537599
r_up	SCHW_rally	0.207884
r_up	EMR_'s	-0.0880636
r_up	GILD_$	0.0237833
r_up	BBT_'s	0.180763
r_up	GILD_stocks	-0.0648042
r_up	HBAN_'s	0.0243974
r_up	CAH_'s	-0.235008
r_up	SPLS_futures	-0.155383
r_up	APC_stocks	0.0785227
r_up	HAL_'s	0.181444
r_up	HAL_stocks	0.503803
r_up	SLB_$	-0.076429
r_up	CAM_stocks	-0.0165769
r_up	NVDA_day	-0.380291
r_up	CHK_stocks	-0.180937
r_up	APC_broad	0.297793
r_up	DOW_'s	0.0340844
r_up	EMC_'s	-0.0307925
r_up	SLB_stocks	-0.114524
r_up	MRO_broad	-0.394865
r_up	MCK_'s	0.172578
r_up	SPLS_'s	-0.0556665
r_up	WMB_market	-1.57715
r_up	CF_'s	-0.20019
r_up	EXC_'s	-0.0745354
r_up	BIG_'s	-0.193316
r_up	RRC_'s	-0.244193
