2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.444906
r_down	LMT_'s	0.122545
r_down	UPS_'s	-0.199205
r_down	M_'s	0.000356508
r_down	M_retail	-0.0343271
r_down	LUV_'s	-0.350855
r_down	COST_'s	-0.399615
r_down	LUV_stocks	-0.0419221
r_down	CMCSA_'s	0.255829
r_down	VLO_stocks	0.00297675
r_down	CMG_'s	0.619516
r_down	COST_stocks	-0.147597
r_down	CCI_$	0.539716
r_down	BBY_stocks	0.0527458
r_down	LOW_'s	0.034092
r_down	PG_'s	0.157269
r_down	AMD_'s	-0.0595737
r_down	NDAQ_'s	0.117572
r_down	CSCO_but	-0.073856
r_down	SJM_surprises	-0.502546
r_down	CME_'s	0.281334
r_down	PNC_'s	-0.419876
r_down	ICE_'s	0.218852
r_down	WLP_'s	0.324957
r_down	CVX_$	0.10368
r_down	AET_'s	0.518262
r_down	AIG_$	0.319783
r_down	RF_'s	0.43455
r_down	KEY_'s	0.264577
r_down	SJM_advisories	-0.502546
r_down	CI_'s	0.209084
r_down	CVX_energy	0.00668021
r_down	CVX_stocks	0.619833
r_down	STX_'s	-0.0689044
r_down	CSCO_shares	-0.714273
r_down	CSCO_18	0.00564897
r_down	MDT_$	0.0393626
r_down	USB_'s	0.366574
r_down	MET_advisories	-0.676245
r_down	WFC_'s	-0.0418835
r_down	ORCL_'s	-0.231329
r_down	VZ_'s	0.123132
r_down	T_'s	0.252879
r_down	FSLR_energy	-0.970049
r_down	MUR_stocks	0.0928756
r_down	HIG_stocks	-0.0211708
r_down	AVP_'s	0.318531
r_down	SNDK_after	0.22702
r_down	VLO_energy	0.393395
r_down	AIG_'s	-0.157892
r_down	F_'s	0.171988
r_down	TAP_'s	0.0118649
r_down	XOM_stocks	-0.124674
r_down	AIG_financials	0.118934
r_down	PFG_'s	-0.039354
r_down	MCD_'s	0.0401673
r_down	VLO_rally	-0.328291
r_down	CRM_'s	0.144532
r_down	TXN_rally	-0.56715
r_down	GPS_focus	-0.217734
