2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.0514227
r_down	NVDA_market	0.0719396
r_down	LEN_advisories	0.951663
r_down	BLK_'s	-0.433986
r_down	BBY_'s	-0.016638
r_down	HD_'s	-0.285725
r_down	M_retail	-0.0214075
r_down	LUV_stocks	0.324533
r_down	CMCSA_'s	-0.0763462
r_down	VLO_stocks	-0.403766
r_down	AMAT_close	0.230821
r_down	VLO_gains	0.190308
r_down	APA_stocks	-0.417893
r_down	OXY_stocks	0.354273
r_down	ANF_'s	0.0214099
r_down	LEN_surprises	0.951663
r_down	TJX_stocks	0.776443
r_down	JCP_stocks	0.289928
r_down	LOW_'s	0.0155857
r_down	PG_'s	0.100603
r_down	URBN_stocks	0.288201
r_down	NDAQ_'s	0.0745006
r_down	CME_'s	0.237227
r_down	PNC_'s	0.232946
r_down	X_'s	0.231308
r_down	WLP_'s	0.247763
r_down	CVX_$	-0.400785
r_down	PRU_$	0.462196
r_down	AES_'s	0.0823625
r_down	WFM_advisories	0.131107
r_down	CI_'s	0.125625
r_down	CVX_stocks	0.471686
r_down	STX_'s	-0.134488
r_down	CSCO_shares	-0.167693
r_down	AKAM_watch	-1.07826
r_down	WFM_surprises	0.131107
r_down	CTL_'s	0.0928228
r_down	WFC_'s	0.213191
r_down	F_sales	0.328186
r_down	VZ_'s	-0.0332355
r_down	NBR_stocks	-0.0193405
r_down	MUR_stocks	0.55867
r_down	AVP_$	0.0638559
r_down	AIG_'s	-0.0434874
r_down	USB_banks	0.0368372
r_down	TAP_'s	0.0545006
r_down	BA_'s	-0.512817
r_down	MCD_'s	0.242247
r_down	VLO_rally	-0.846545
r_down	CRM_'s	-0.216481
r_down	TXN_rally	-0.632444
r_down	TSO_stocks	-0.0892543
r_down	JWN_stocks	-0.242477
r_down	MET_'s	-0.0584939
r_down	A_'s	-0.949
r_down	AA_shares	0.248591
r_down	NBL_$	0.160392
r_down	LM_fund	-1.17266
r_down	SNI_'s	0.21903
r_down	GIS_'s	0.55879
r_down	KO_$	-0.282277
r_down	MRO_$	0.186887
r_down	OXY_prices	-0.413813
r_down	EXC_surprises	-0.189675
r_down	COF_'s	0.0902269
r_down	EMR_'s	0.220398
r_down	GILD_$	-0.298799
r_down	SPLS_sector	0.103104
r_down	BBT_'s	-0.370222
r_down	HBAN_'s	-0.114818
r_down	EXC_advisories	-0.189675
r_down	UTX_'s	-0.281871
r_down	APC_stocks	0.624477
r_down	HAL_stocks	-0.250111
r_down	SLB_$	-0.177206
r_down	CAM_stocks	0.103659
r_down	CHK_stocks	0.208874
r_down	EXC_stocks	1.1058
r_down	APC_market	0.625082
r_down	EMC_'s	0.12828
r_down	WMB_stocks	0.209959
r_down	SLB_stocks	0.647526
r_down	DO_'s	-0.19258
r_down	SPLS_'s	0.430635
r_down	BIG_'s	-0.344863
r_down	WAG_$	0.0715431
r_down	V_'s	0.0377619
r_down	COP_'s	0.165853
r_down	GLW_$	-0.712663
r_down	TWX_'s	0.455182
