2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.149319
r_up	BLK_'s	0.181899
r_up	BBY_'s	0.0291152
r_up	NVDA_'s	0.101391
r_up	HES_gains	0.146586
r_up	LMT_'s	-0.356975
r_up	M_'s	0.0118159
r_up	BBY_sales	0.454634
r_up	CMCSA_'s	-0.303331
r_up	AMAT_gains	-0.288371
r_up	VLO_stocks	0.114149
r_up	CCI_'s	0.576103
r_up	HES_stocks	1.08039
r_up	ANF_'s	-0.0394006
r_up	JCP_stocks	0.414676
r_up	JCP_'s	0.0686608
r_up	M_stocks	0.402122
r_up	LOW_'s	0.0428996
r_up	MET_$	-0.356976
r_up	PG_'s	-0.420569
r_up	AMD_'s	0.225991
r_up	NDAQ_'s	-0.163186
r_up	CSCO_but	-0.763329
r_up	CME_'s	-0.382374
r_up	PNC_'s	0.238826
r_up	X_'s	-0.244473
r_up	WLP_'s	-0.551761
r_up	CVX_$	0.112912
r_up	PRU_$	-0.11834
r_up	WFM_advisories	0.314486
r_up	CI_'s	-0.338238
r_up	AKAM_watch	0.278746
r_up	WFM_surprises	0.314486
r_up	USB_'s	-0.47964
r_up	WFC_'s	-0.184584
r_up	VZ_'s	-0.373076
r_up	T_'s	-0.0266322
r_up	NBR_stocks	-0.354275
r_up	IBM_'s	0.232896
r_up	MUR_stocks	-0.0233863
r_up	HIG_stocks	-0.0878644
r_up	M_$	0.0915585
r_up	F_stocks	0.508303
r_up	AIG_'s	0.366843
r_up	HIG_biggest	-0.0405734
r_up	F_'s	-0.471705
r_up	TAP_'s	-0.983557
r_up	XOM_stocks	0.00940837
r_up	MCD_'s	-0.17721
r_up	CRM_'s	0.59119
r_up	CHK_shares	0.518413
r_up	TXN_rally	0.669415
r_up	MET_'s	0.265186
r_up	AA_shares	-0.213415
r_up	CHK_lead	0.352885
r_up	GIS_'s	-0.0659545
r_up	EMC_$	0.184621
r_up	LLY_stocks	-0.279824
r_up	NTAP_$	0.314126
r_up	APC_lead	-1.00917
r_up	MRO_$	-0.152257
r_up	KO_'s	0.276243
r_up	PCG_$	0.399102
r_up	COF_'s	0.038051
r_up	EMR_'s	0.145788
r_up	OXY_crude	0.698507
r_up	UTX_'s	0.387772
r_up	APC_stocks	0.105045
r_up	BK_'s	0.20466
r_up	LUV_higher	0.336674
r_up	SLB_$	0.333027
r_up	USB_stocks	0.787002
r_up	CHK_stocks	-0.181236
r_up	EXC_stocks	-0.176674
r_up	APC_broad	0.0146742
r_up	SPLS_stocks	-0.186128
r_up	DOW_'s	-0.2569
r_up	EMC_'s	-0.401156
r_up	SLB_stocks	-0.51953
r_up	WAG_'s	0.0878792
r_up	MRK_n't	0.328206
r_up	HUM_$	0.76977
r_up	LLY_n't	-0.146986
r_up	OXY_'s	-0.0717992
r_up	FCX_'s	-0.0821864
r_up	VLO_'s	-0.0375509
r_up	AA_'s	0.0161518
r_up	PG_$	-0.0494208
r_up	SYMC_$	0.276224
r_up	COP_$	0.0736635
r_up	APC_n't	-0.394996
r_up	LOW_rise	0.562194
r_up	PLL_biggest	0.00920954
r_up	DPS_'s	0.266257
r_up	PEP_'s	0.208666
r_up	PLL_stocks	0.00920954
