2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.290052
r_up	BLK_'s	0.455643
r_up	BBY_'s	0.154277
r_up	NVDA_'s	-0.501923
r_up	M_'s	-0.0505876
r_up	M_retail	-0.245777
r_up	COST_'s	-0.127148
r_up	ALL_n't	0.562079
r_up	CMCSA_'s	-0.3858
r_up	VLO_stocks	0.776066
r_up	ANF_stocks	0.0671959
r_up	ANF_'s	0.599529
r_up	CCI_$	-0.0311484
r_up	BBY_stocks	-0.0597918
r_up	JCP_stocks	0.459767
r_up	JCP_'s	0.499091
r_up	LOW_'s	0.0773206
r_up	MET_$	0.545884
r_up	PG_'s	0.405107
r_up	AMD_'s	-0.146608
r_up	NDAQ_'s	-0.236087
r_up	PNC_'s	0.701601
r_up	ICE_'s	0.859043
r_up	WLP_'s	-0.639846
r_up	URBN_biggest	0.0411317
r_up	DIS_watch	0.0236203
r_up	CVX_$	0.131116
r_up	AET_'s	0.489805
r_up	CSCO_watch	0.802663
r_up	MDLZ_futures	0.359837
r_up	MDT_$	-0.133758
r_up	WFC_'s	0.0948248
r_up	VZ_'s	-0.251754
r_up	T_'s	0.111116
r_up	COF_card	0.185377
r_up	SNDK_shares	-0.108522
r_up	F_stocks	-0.647617
r_up	AIG_'s	-0.0408935
r_up	BA_'s	0.721877
r_up	MCD_'s	-0.1264
r_up	NKE_data	0.74823
r_up	TXN_rally	0.28875
r_up	WYNN_$	-0.337927
r_up	MET_'s	-0.0205511
r_up	A_'s	0.587962
r_up	FDX_focus	1.34318
r_up	HD_sector	-0.161985
r_up	LLY_stocks	-0.0939484
r_up	KO_$	0.177801
r_up	MRO_$	-0.161499
r_up	KO_'s	0.466712
r_up	PCG_$	0.849948
r_up	COF_'s	-0.167665
r_up	EMR_'s	-0.606825
r_up	BBT_'s	-0.292649
r_up	HBAN_'s	0.833569
r_up	MTB_'s	-0.0439303
r_up	FITB_'s	-0.343879
r_up	BK_'s	-0.118545
r_up	HAL_stocks	0.247489
r_up	SLB_$	-0.608596
r_up	CAM_stocks	-0.267986
r_up	SPLS_stocks	-0.0711467
r_up	DOW_'s	-0.406337
r_up	PNC_$	-0.148096
r_up	EMC_'s	-0.0779978
r_up	MRO_stocks	-0.332632
r_up	SPLS_'s	-0.777349
r_up	CF_'s	-0.0759406
r_up	WAG_'s	-0.110036
r_up	COP_'s	-0.607334
r_up	BIIB_'s	0.3622
r_up	GLW_$	0.102885
r_up	TWX_'s	0.0696402
r_up	FCX_'s	-0.415913
r_up	VLO_'s	0.35002
r_up	DNR_'s	-0.489819
r_up	COP_$	-0.0234494
r_up	D_'s	0.0624548
r_up	DPS_'s	-0.0251154
r_up	EIX_$	-0.158167
r_up	PEP_'s	0.165583
r_up	TXN_shares	0.876277
r_up	NKE_'s	-0.255645
r_up	COST_after	1.02302
r_up	JNPR_but	-0.658533
r_up	CVS_$	-0.0794089
r_up	PBCT_'s	0.286745
r_up	TWX_$	-0.578352
r_up	LOW_stocks	-0.962608
r_up	LLY_'s	-0.376256
r_up	JNPR_tech	-0.0368635
r_up	DVN_'s	0.168807
r_up	FLR_'s	0.141937
r_up	SCHW_advisories	0.262373
r_up	SLB_'s	-0.00855992
r_up	AXP_lower	0.0627866
r_up	WIN_$	-0.106653
r_up	USB_$	0.425142
r_up	AMGN_'s	0.360867
r_up	MCO_'s	-0.0697437
r_up	ABT_'s	0.235026
r_up	AEP_$	0.318611
r_up	APC_$	-0.200921
r_up	SCHW_surprises	0.262373
r_up	TXN_'s	0.0862347
r_up	CRM_stocks	-0.304529
r_up	BRCM_shares	0.141739
r_up	CF_stocks	-0.0182245
r_up	BRCM_stocks	-0.375082
r_up	PHM_stocks	0.178489
r_up	FDX_2010	0.624605
r_up	NVDA_stocks	0.0934601
