2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.00202636
r_down	KSS_advisories	-0.0307569
r_down	NVDA_market	0.858012
r_down	BBY_'s	-0.135888
r_down	HD_'s	0.18416
r_down	LMT_'s	0.428682
r_down	UPS_'s	-0.304449
r_down	M_'s	-0.00567644
r_down	LUV_'s	-0.183469
r_down	LUV_stocks	1.22985
r_down	COST_sales	0.0328829
r_down	BBY_sales	-0.0930179
r_down	CMCSA_'s	0.184005
r_down	VLO_stocks	-0.532803
r_down	APA_stocks	0.446426
r_down	HES_stocks	0.0100416
r_down	ANF_stocks	-0.0740318
r_down	ANF_'s	-0.101341
r_down	TJX_stocks	0.247604
r_down	JCP_stocks	0.506653
r_down	JCP_'s	-0.230212
r_down	M_stocks	-0.28531
r_down	LOW_'s	-0.146969
r_down	KSS_surprises	-0.0307569
r_down	PG_'s	0.352779
r_down	CSCO_rise	-0.279301
r_down	NDAQ_'s	-0.0962188
r_down	ICE_'s	0.167145
r_down	PRU_$	0.293495
r_down	MET_watch	0.684778
r_down	AIG_$	0.139305
r_down	AVP_stocks	0.0955886
r_down	WFM_advisories	0.26908
r_down	MDT_'s	-0.495338
r_down	CVX_energy	0.325408
r_down	CVX_stocks	0.541582
r_down	WFM_surprises	0.26908
r_down	MDT_$	0.419358
r_down	USB_'s	0.0308126
r_down	KO_focus	-0.256804
r_down	WFC_'s	0.0296254
r_down	ORCL_'s	-0.00640334
r_down	VZ_'s	0.0380704
r_down	T_'s	0.659753
r_down	SNDK_after	0.0698228
r_down	AIG_'s	-0.0406297
r_down	FSLR_stocks	0.24672
r_down	XOM_energy	0.36247
r_down	MCD_'s	-0.152475
r_down	NUE_surprises	0.0888799
r_down	CRM_'s	-0.146643
r_down	CHK_shares	-0.169413
r_down	WYNN_$	-0.360168
r_down	MET_'s	0.481588
r_down	A_'s	-0.551976
r_down	AA_shares	-0.179469
r_down	NUE_advisories	0.0888799
r_down	CHK_gas	-0.910365
r_down	SNI_'s	0.273996
r_down	EMC_$	-0.34683
r_down	LLY_stocks	-0.0981963
r_down	NTAP_$	-0.532579
r_down	HD_data	0.0169432
r_down	ADBE_focus	0.855564
r_down	DRI_'s	0.244783
r_down	PCG_$	-0.527871
r_down	OXY_market	-0.877175
r_down	COF_'s	0.690728
r_down	EMR_'s	-0.27614
r_down	BBT_'s	-0.0435139
r_down	HBAN_'s	-0.277639
r_down	APC_stocks	0.131759
r_down	HAL_'s	-0.110721
r_down	HAL_stocks	-0.0137938
r_down	USB_declining	0.0408104
r_down	USB_gaining	0.0408104
r_down	CHK_stocks	0.655499
r_down	EXC_stocks	0.52865
r_down	RAI_'s	0.717912
r_down	CMA_stocks	-0.258551
r_down	DOW_'s	0.280247
r_down	USB_biggest	0.0408104
r_down	HAL_$	0.140012
r_down	DO_'s	-0.293289
r_down	CF_'s	0.205795
r_down	EXC_'s	0.229435
r_down	WAG_'s	-0.229207
r_down	WAG_$	-0.210793
r_down	V_'s	0.0153911
r_down	BIIB_'s	0.195253
r_down	TWX_'s	-0.0408125
r_down	OXY_'s	-0.188841
r_down	FCX_'s	0.160001
r_down	MMM_$	-0.0871526
r_down	AA_'s	0.158715
r_down	SYMC_$	-0.330918
r_down	COP_$	0.080451
r_down	DPS_'s	-0.0586578
r_down	EIX_$	-0.376116
r_down	TXN_shares	-0.117164
r_down	BSX_'s	-0.427452
r_down	GCI_declining	-0.98329
r_down	JNPR_but	0.118565
r_down	CVS_$	0.35889
r_down	NOC_'s	-0.0511538
r_down	EA_'s	0.103336
r_down	LOW_stocks	0.408774
r_down	CI_stocks	-0.783193
r_down	APC_back	-0.0228628
r_down	LLY_'s	0.140516
r_down	JNPR_tech	-0.138843
r_down	EA_sales	-0.292145
r_down	EMC_stocks	0.0687872
r_down	STI_gaining	0.0154398
r_down	HSY_'s	0.867119
r_down	SLB_'s	0.10685
r_down	FITB_gaining	0.79994
r_down	VLO_higher	0.437464
r_down	ADBE_stocks	0.251013
r_down	AMGN_declining	-0.385881
r_down	BBT_$	0.391483
r_down	STI_biggest	0.0154398
r_down	AMGN_'s	0.121377
r_down	MCO_'s	-0.0286176
r_down	AMGN_gaining	-0.385881
r_down	ABT_'s	-0.34691
r_down	APC_$	0.543153
r_down	CHK_$	-0.247035
r_down	PM_'s	0.553404
r_down	AMGN_biggest	-0.385881
r_down	QCOM_telecoms	0.791915
r_down	HSP_'s	0.676439
r_down	TXN_'s	0.230066
r_down	EA_$	-0.33093
r_down	DHI_stocks	0.662219
r_down	LEN_'s	0.123156
r_down	PRU_'s	-0.405092
r_down	DD_'s	-0.0616784
r_down	SYMC_stocks	0.0414069
r_down	SWN_shares	0.0700178
r_down	LUV_oil	-0.256356
r_down	HUM_'s	-0.537685
r_down	ABT_$	-0.348133
r_down	GME_$	0.893911
r_down	MU_results	-0.261344
r_down	ZION_$	-1.06778
r_down	CBS_'s	0.342368
r_down	MU_up	0.470913
r_down	AMD_shares	0.32524
r_down	AMD_up	-0.498704
r_down	HES_'s	0.0436523
r_down	AMGN_n't	-0.337257
r_down	MAR_stocks	0.81223
r_down	SYMC_'s	0.392272
r_down	TXN_broad	0.773676
r_down	CSX_stocks	0.783668
r_down	ADBE_'s	0.227581
r_down	FCX_stocks	1.78205
r_down	NOV_stocks	0.333772
r_down	CNX_stocks	-0.644107
r_down	EA_game	-0.285674
r_down	SCHW_'s	0.0842342
r_down	BTU_stocks	-0.304646
r_down	GPS_stocks	-0.0747439
r_down	GPS_data	-0.135236
r_down	AXP_$	-0.0309129
r_down	INTU_advisories	0.499645
r_down	AGN_'s	-0.428183
r_down	INTU_surprises	0.499645
r_down	GPS_surprises	-0.223272
r_down	GPS_advisories	-0.223272
r_down	GPS_mixed	-0.537654
r_down	AA_stocks	0.515405
r_down	LLY_drug	-1.407
r_down	LNC_'s	0.289812
r_down	DD_$	-0.734188
r_down	RF_stocks	-0.276932
r_down	WYNN_'s	0.430981
r_down	LUV_sector	-0.111147
r_down	V_$	-0.169163
r_down	RSG_$	0.210054
r_down	RHT_20	-0.0390128
r_down	HRL_'s	-0.0739596
r_down	ADBE_tech	0.101756
r_down	ABT_2	0.478389
r_down	MCD_stocks	-0.134522
r_down	SLM_'s	0.356733
r_down	CPB_'s	0.212333
r_down	M_holiday	0.486918
r_down	HIG_after	0.598408
r_down	FCX_$	-0.206127
r_down	KEY_$	-0.31914
r_down	ADM_higher	1.07166
r_down	CSC_stocks	-0.186176
r_down	DUK_'s	-0.301574
r_down	WFM_stocks	0.63453
r_down	ADM_'s	-0.0617945
r_down	VLO_market	-0.547974
r_down	QCOM_$	-0.966021
r_down	LO_$	-0.0686035
r_down	VRSN_stocks	-0.0879363
r_down	COST_retailers	1.02697
r_down	GPS_retailers	0.188039
r_down	QCOM_'s	-0.109436
r_down	SBUX_$	-0.288591
r_down	DE_'s	0.0639098
r_down	ICE_stocks	0.174186
r_down	WY_advisories	0.191264
r_down	APC_surprises	-0.139797
r_down	SLB_oil	0.187357
r_down	PG_profit	0.269082
r_down	APC_advisories	-0.139797
r_down	FHN_stocks	-0.0708338
r_down	WY_surprises	0.191264
r_down	ORCL_$	-0.35852
r_down	NVDA_$	-0.414085
r_down	CVS_'s	-0.471332
r_down	INTC_'s	0.321818
r_down	ORCL_tech	0.0341822
r_down	DIS_'s	-0.190468
r_down	COP_energy	0.27702
r_down	NVDA_tech	0.342138
r_down	MAT_'s	-0.49305
r_down	DFS_$	0.316694
r_down	AXP_'s	-0.257779
r_down	NVDA_rise	-0.869741
r_down	TIF_profit	-0.259072
r_down	MON_'s	-0.0307431
r_down	DTV_$	-1.1988
r_down	YUM_watch	-0.232698
r_down	DE_$	0.079095
r_down	VNO_$	-0.184044
r_down	NEM_'s	-0.165211
r_down	NWL_'s	-0.0228693
r_down	CBS_gaining	-0.19043
r_down	GILD_'s	0.0604571
r_down	CBS_declining	-0.19043
r_down	SBUX_stocks	-0.781311
r_down	DVA_$	-0.776978
r_down	PPL_advisories	0.14893
r_down	K_stocks	-0.0695184
r_down	PPL_surprises	0.14893
r_down	UTX_$	0.0185656
r_down	TXN_chip	-0.653911
r_down	MRK_'s	-0.289735
r_down	PM_$	0.312772
r_down	MDLZ_after	-0.165141
r_down	MAR_$	-0.187639
r_down	KSS_stocks	0.333502
r_down	STJ_$	0.393272
r_down	WFC_$	0.852973
r_down	JOY_'s	0.0660065
r_down	INTC_but	-1.06309
r_down	RF_$	0.370682
r_down	HES_crude	-0.00386149
r_down	SCHW_12	0.0717846
r_down	NTRS_'s	0.314882
r_down	SNDK_stocks	0.0779317
r_down	RF_banks	0.178335
r_down	MTB_$	0.787994
r_down	STT_'s	-0.767809
r_down	STT_$	0.26275
r_down	CVC_$	-0.0303931
r_down	ETN_'s	0.178466
r_down	GWW_12	0.540724
r_down	GWW_$	-0.673433
r_down	FE_2	0.198612
r_down	UTX_22	-0.557888
r_down	SCHW_$	0.0126215
r_down	BLK_$	-0.313791
r_down	BBT_stocks	-0.0719533
r_down	BAX_'s	0.304034
r_down	NUE_'s	-0.265526
r_down	CSCO_stocks	-0.771172
r_down	TROW_'s	-0.37373
r_down	NFLX_shares	-0.28168
r_down	CBS_$	-0.0567058
