2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.527486
r_up	KSS_advisories	0.0819414
r_up	BLK_'s	0.0759469
r_up	BBY_'s	0.562246
r_up	HD_'s	0.201181
r_up	LMT_'s	-0.485937
r_up	UPS_'s	0.157329
r_up	CB_n't	0.00296647
r_up	COST_'s	0.218299
r_up	COST_sales	-0.214312
r_up	CMCSA_'s	-0.01229
r_up	VLO_stocks	0.35355
r_up	LMT_may	0.822477
r_up	CCI_'s	0.431809
r_up	TJX_surprises	0.285765
r_up	ANF_'s	-0.14899
r_up	FDX_outlook	-0.360843
r_up	BBY_stocks	-0.560383
r_up	TJX_advisories	0.285765
r_up	M_stocks	0.00501743
r_up	LOW_'s	-0.0642432
r_up	MET_$	0.198568
r_up	KSS_surprises	0.0819414
r_up	PG_'s	0.0425778
r_up	CME_'s	-0.0015981
r_up	PNC_'s	0.348686
r_up	KO_watch	0.45835
r_up	ICE_'s	-0.192444
r_up	NDAQ_after	-0.306868
r_up	WLP_'s	-0.308029
r_up	CVX_$	0.418596
r_up	PRU_$	0.031605
r_up	AET_'s	0.366149
r_up	RF_'s	-0.355517
r_up	WFM_advisories	-0.012058
r_up	KEY_'s	-0.125403
r_up	CVX_energy	0.127702
r_up	CL_'s	-0.169709
r_up	CVX_stocks	-0.363677
r_up	ALL_surprises	-0.312432
r_up	WFM_surprises	-0.012058
r_up	MDT_$	-0.201802
r_up	ALL_advisories	-0.312432
r_up	USB_'s	-0.460532
r_up	WYNN_watch	-0.0413529
r_up	WFC_'s	-0.0776251
r_up	ORCL_'s	0.229438
r_up	T_'s	-0.326728
r_up	NBR_stocks	-0.188875
r_up	IBM_'s	0.0179875
r_up	AVP_$	-0.0366495
r_up	VLO_energy	-0.325869
r_up	FSLR_stocks	-0.311134
r_up	F_'s	0.155219
r_up	TAP_'s	-0.54327
r_up	BA_'s	0.557651
r_up	NBR_energy	-0.0462714
r_up	WYNN_$	0.225466
r_up	MET_'s	0.615522
r_up	LOW_sector	-0.345248
r_up	PEP_$	0.156353
r_up	AA_shares	-0.109293
r_up	OXY_lead	-0.387613
r_up	DFS_focus	-0.198718
r_up	CHK_gas	1.93979
r_up	LLY_stocks	-0.999677
r_up	HD_data	-0.366485
r_up	APC_shares	0.602889
r_up	DRI_'s	0.0524636
r_up	KO_$	0.240613
r_up	CAM_gains	1.29038
r_up	KO_'s	0.548009
r_up	PCG_$	0.306817
r_up	VLO_$	0.0304933
r_up	OXY_market	0.359013
r_up	EMR_'s	0.339914
r_up	JCI_advisories	0.00433349
r_up	JCI_surprises	0.00433349
r_up	BBT_'s	-0.0429029
r_up	HBAN_'s	0.310052
r_up	SPLS_gains	0.805926
r_up	BK_gains	0.46042
r_up	FITB_'s	0.348242
r_up	UTX_'s	-0.0667093
r_up	DVN_stocks	0.932761
r_up	HAL_stocks	0.527556
r_up	SLB_$	-0.191117
r_up	USB_stocks	0.161147
r_up	CHK_stocks	-0.53462
r_up	SPLS_stocks	-0.021454
r_up	DOW_'s	0.158158
r_up	EMC_'s	-0.450272
r_up	WMB_stocks	0.182568
r_up	MCK_'s	0.429275
r_up	BIG_'s	0.142257
r_up	WAG_'s	-0.109249
r_up	WAG_$	0.486658
r_up	HUM_$	0.270387
r_up	COP_'s	-0.032981
r_up	BIIB_'s	0.30717
r_up	GME_'s	-0.128253
r_up	SPG_'s	0.415461
r_up	VLO_'s	0.307987
r_up	DNR_'s	-0.0411574
r_up	AA_'s	-0.32092
r_up	SYMC_$	0.644371
r_up	COP_$	0.057014
r_up	DVN_$	0.0920076
r_up	LOW_rise	0.113732
r_up	PEP_'s	0.208916
r_up	COST_stock	0.786163
r_up	TXN_shares	0.73211
r_up	BSX_'s	0.37058
r_up	GCI_'s	-0.891268
r_up	NOC_'s	-0.617405
r_up	EA_'s	-0.370659
r_up	TWX_$	-0.0823882
r_up	KR_profit	-0.714595
r_up	BIIB_stocks	0.0966944
r_up	LLY_'s	-0.0479078
r_up	STJ_2010	0.411611
r_up	MDLZ_'s	0.106044
r_up	FITB_lower	-0.259283
r_up	DVN_'s	0.28587
r_up	FLR_'s	-0.326055
r_up	AMGN_stocks	1.02969
r_up	BK_n't	-0.232968
r_up	SLB_'s	0.0715916
r_up	CHK_'s	-0.385669
r_up	ADBE_stocks	-0.24662
