2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.0960442
r_up	KSS_advisories	0.0192494
r_up	BBY_'s	0.129811
r_up	M_report	-0.243313
r_up	NVDA_'s	0.383488
r_up	HES_gains	-0.074888
r_up	M_'s	0.0492014
r_up	LUV_'s	0.0116051
r_up	COST_'s	-0.204453
r_up	ALL_n't	0.584711
r_up	BBY_sales	0.148332
r_up	VLO_gains	0.113557
r_up	OXY_stocks	-0.0254689
r_up	UPS_stocks	-0.779894
r_up	TJX_surprises	0.415921
r_up	BBBY_retail	0.943563
r_up	TJX_stocks	-0.424752
r_up	APOL_'s	-0.111412
r_up	TJX_advisories	0.415921
r_up	JCP_'s	0.37837
r_up	M_stocks	0.149723
r_up	LOW_'s	0.0364955
r_up	MET_$	-0.013282
r_up	KSS_surprises	0.0192494
r_up	PG_'s	-0.0993422
r_up	URBN_stocks	0.132843
r_up	ICE_'s	0.018764
r_up	WLP_'s	-0.376983
r_up	STI_'s	-0.735338
r_up	PRU_$	-0.0920591
r_up	URBN_declining	0.861929
r_up	MDT_'s	-0.095145
r_up	CVX_stocks	-0.0284373
r_up	IR_52	1.00429
r_up	CSCO_18	-0.515164
r_up	WYNN_watch	-0.482739
r_up	T_'s	0.274547
r_up	NBR_stocks	-0.192112
r_up	IBM_'s	0.334771
r_up	AVP_'s	-0.301987
r_up	M_$	0.426927
r_up	KEY_banks	0.206195
r_up	AIG_'s	-0.150782
r_up	FSLR_stocks	-0.476127
r_up	USB_banks	-0.115841
r_up	XOM_stocks	-0.746391
r_up	XOM_energy	-0.221842
r_up	MU_shares	-0.611371
r_up	MCD_'s	0.079093
r_up	CRM_'s	0.256039
r_up	TXN_rally	0.279056
r_up	TSO_stocks	0.457689
r_up	MET_'s	0.103082
r_up	LOW_sector	-0.779816
r_up	CHK_gas	1.72141
r_up	LLY_stocks	-0.458712
r_up	NTAP_$	-0.462901
r_up	KO_$	0.46753
r_up	PCG_$	0.47465
r_up	COF_'s	0.338538
r_up	MTB_'s	0.315921
r_up	FITB_'s	-0.430477
r_up	UTX_'s	0.373455
r_up	CAH_'s	-0.175087
r_up	BK_'s	-0.124541
r_up	HAL_'s	0.104862
r_up	HAL_stocks	0.206733
r_up	CHK_stocks	-0.0844509
r_up	RAI_'s	-0.212617
r_up	SPLS_stocks	-0.135872
r_up	HBAN_down	-1.48037
r_up	EMC_'s	-0.0578284
r_up	SLB_stocks	0.40189
r_up	MRO_stocks	-0.0671411
r_up	DO_'s	0.54083
r_up	SPLS_'s	-0.141871
r_up	CF_'s	-0.35395
r_up	LLY_n't	-0.434345
r_up	COP_'s	-0.444633
r_up	GME_'s	0.14344
r_up	SPG_'s	0.566398
r_up	PPG_$	0.078918
r_up	MMM_$	-0.0305224
r_up	AA_'s	0.0300133
r_up	COF_$	0.324401
r_up	SYMC_$	0.646564
r_up	COP_$	-0.170204
r_up	D_'s	0.241572
r_up	MJN_'s	1.20637
r_up	DVN_$	0.167637
r_up	APC_n't	-0.210766
r_up	TXN_shares	0.0137681
r_up	BSX_'s	0.260533
r_up	NKE_'s	-0.0413172
r_up	COST_after	0.27979
r_up	NOC_'s	-0.0253217
r_up	MDT_2010	0.551888
r_up	COST_focus	0.256245
r_up	PBCT_'s	0.301991
r_up	EA_'s	-0.0331894
r_up	AA_jobs	-0.0914444
r_up	SBUX_'s	-0.475392
r_up	BIIB_stocks	0.163313
r_up	LLY_'s	-0.0526497
r_up	STJ_2010	0.0312
r_up	MDLZ_'s	0.149052
r_up	AMGN_stocks	0.0193696
r_up	GPS_'s	-0.604177
r_up	STI_gaining	-0.512958
r_up	MDLZ_stock	0.136382
r_up	DFS_stocks	-0.182966
r_up	GILD_focus	0.262172
r_up	AXP_lower	-1.18588
r_up	STI_biggest	-0.512958
r_up	NKE_stocks	0.340904
r_up	AMGN_'s	-0.205399
r_up	MCO_'s	0.0702093
r_up	CHK_$	-0.246243
r_up	MU_$	-0.243586
r_up	RRC_stocks	-1.49476
r_up	HSP_'s	-0.465804
r_up	TXN_'s	0.619988
r_up	EA_$	0.431269
r_up	DHI_stocks	-0.834329
r_up	DHI_'s	-0.252324
r_up	LEN_'s	-0.0858544
r_up	HON_$	0.19181
r_up	PHM_declining	0.247412
r_up	PHM_stocks	0.0149691
r_up	PRU_'s	-0.110432
r_up	ITW_$	-0.35198
r_up	NVDA_declining	-0.566025
r_up	DD_'s	-0.160305
r_up	PHM_'s	0.58176
r_up	SYMC_stocks	-1.41778
r_up	AMD_gains	0.0680584
r_up	NVDA_chip	-0.603812
r_up	PHM_gaining	0.247412
r_up	BRCM_after	0.194184
r_up	FDX_after	-0.734329
r_up	UNH_'s	-0.36804
r_up	NKE_futures	0.071339
r_up	BHI_'s	-1.05229
r_up	NKE_stock	0.863418
r_up	GME_$	0.0369143
r_up	ZION_$	0.202432
r_up	NOV_sector	0.338097
r_up	CBS_'s	-0.252762
r_up	ADP_jobs	-0.306163
r_up	NVDA_sector	-0.321858
r_up	PG_3	-0.2843
r_up	RDC_stocks	-0.54685
r_up	PG_stocks	-0.045581
r_up	HES_'s	0.259843
r_up	AMAT_lower	-1.05507
r_up	TXN_stocks	0.0511733
r_up	CAH_$	0.479089
r_up	AMGN_n't	0.36822
r_up	MON_stocks	0.543858
r_up	LUV_market	-0.316608
r_up	MET_n't	-0.0207093
r_up	VNO_'s	-0.26252
r_up	TXN_sector	0.0827327
r_up	ADBE_'s	0.0537291
r_up	NOV_stocks	-0.860092
r_up	MAR_'s	-0.714505
r_up	HIG_'s	0.0579808
r_up	IP_'s	-0.105668
r_up	OMC_'s	-0.741827
r_up	OXY_$	-0.189271
r_up	MU_'s	-0.113712
r_up	LLY_$	-0.00687538
r_up	ADBE_but	0.205206
r_up	AXP_$	-0.184168
r_up	AGN_'s	0.566041
r_up	TXN_$	0.428844
r_up	LUV_5	0.0256281
r_up	GPS_mixed	0.531552
r_up	AA_stocks	-0.068098
r_up	NTAP_'s	0.0538621
r_up	NTAP_focus	-0.131973
r_up	CAT_'s	0.0614206
r_up	THC_'s	0.0896677
r_up	SWN_crude	0.25231
r_up	VIAB_$	0.717206
r_up	TXN_close	0.487195
r_up	PETM_'s	-0.0167777
r_up	LNC_'s	0.492647
r_up	SJM_focus	1.6741
r_up	RF_stocks	0.107374
r_up	WYNN_'s	-0.586263
r_up	ROST_'s	-0.957115
r_up	SO_'s	-0.29837
r_up	V_$	0.683094
r_up	STI_banks	-0.786514
r_up	HON_'s	-0.301534
r_up	ABT_2	-0.206282
r_up	PNC_stocks	0.971989
r_up	X_$	-0.913883
r_up	HIG_$	-0.346664
r_up	PCLN_stocks	0.0423261
r_up	MYL_stocks	-0.391588
r_up	THC_biggest	-0.561854
r_up	CSC_stocks	0.0963067
r_up	PCLN_'s	-0.108593
r_up	VLO_lower	-0.541997
r_up	M_hit	-0.106084
r_up	AES_$	-0.589812
r_up	QCOM_'s	0.00350971
r_up	STI_financials	-0.284673
r_up	BRCM_biggest	-1.27231
r_up	DE_'s	0.451124
r_up	BRCM_$	-0.169251
r_up	KSS_'s	-0.00295124
r_up	APC_surprises	0.644077
r_up	APC_advisories	0.644077
r_up	HUM_stocks	0.127666
r_up	KMB_'s	-0.135523
r_up	JNPR_rise	0.334635
r_up	DD_stocks	-0.0700886
r_up	ORCL_$	-0.0456451
r_up	NVDA_$	0.804982
r_up	CVS_'s	0.00271546
r_up	INTC_'s	0.417277
r_up	ORCL_stocks	-0.208239
r_up	CSCO_'s	-0.422721
r_up	EBAY_'s	-0.178211
r_up	NFLX_'s	-0.106339
r_up	COP_stocks	-0.0929236
r_up	HOT_'s	-0.21082
r_up	JNPR_techs	-0.203792
r_up	AXP_'s	-0.0310254
r_up	VLO_gas	-0.0717755
r_up	GD_$	-0.0632291
r_up	HAL_end	-0.743516
r_up	DTV_$	0.0254727
r_up	YUM_watch	0.350919
r_up	DIS_stocks	-0.371895
r_up	DE_$	0.715612
r_up	SBUX_stocks	0.0930703
r_up	MO_'s	0.335986
r_up	ADP_'s	0.179049
r_up	AON_'s	-0.829066
r_up	CA_stocks	0.00964377
r_up	AON_focus	0.843971
r_up	LM_'s	0.00251839
r_up	DTE_'s	0.453695
r_up	UTX_$	-0.0829813
r_up	M_rise	0.149994
r_up	M_sales	-0.0562354
r_up	MRK_'s	-0.0686724
r_up	WDC_biggest	0.372943
r_up	FSLR_'s	0.237883
r_up	TGT_stocks	0.72865
r_up	TGT_rise	0.187131
r_up	SPG_stocks	0.215982
r_up	ITW_'s	-0.00650532
r_up	NFLX_biggest	0.389869
r_up	FFIV_stocks	0.381182
r_up	STJ_$	-0.482288
r_up	GPS_sales	-0.0655473
r_up	WFC_$	-0.770856
r_up	INTC_slips	0.291675
r_up	INTC_but	0.466692
r_up	CVX_'s	0.199978
r_up	RF_$	0.0504746
r_up	SO_$	-0.253338
r_up	HES_crude	0.817801
r_up	SCHW_12	0.0629945
r_up	CSX_profit	0.881822
r_up	NTRS_'s	-0.143572
r_up	RF_banks	0.1243
r_up	STT_'s	-0.0504458
r_up	LRCX_stocks	0.389174
r_up	WIN_'s	-0.30068
r_up	TSN_'s	0.279416
r_up	SNDK_focus	0.165715
r_up	SCHW_$	-0.0187945
r_up	ALTR_stocks	0.569239
r_up	TXN_retreat	-0.523261
r_up	HOG_stocks	0.483173
r_up	BBT_stocks	0.147255
r_up	LEG_focus	0.230359
