2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.0118076
r_down	NVDA_market	0.612679
r_down	BBY_'s	-0.288174
r_down	NVDA_'s	-0.342146
r_down	UPS_'s	0.0100113
r_down	M_'s	-0.0717231
r_down	COST_'s	-0.0052632
r_down	VLO_fall	1.25076
r_down	CMCSA_'s	0.0427276
r_down	APOL_focus	0.0611883
r_down	AMAT_close	0.0518619
r_down	APA_stocks	-0.0538822
r_down	APA_gains	0.325984
r_down	HES_stocks	-0.12923
r_down	ANF_'s	-0.809825
r_down	CCI_$	0.185692
r_down	BBY_stocks	0.168662
r_down	APOL_'s	0.314449
r_down	MET_$	-0.0778167
r_down	PG_'s	0.197825
r_down	AMD_'s	0.476206
r_down	CSCO_but	-1.17039
r_down	SJM_surprises	-0.283916
r_down	CME_'s	0.0948408
r_down	PNC_'s	-0.193298
r_down	WLP_'s	-0.203825
r_down	BK_after	0.949803
r_down	STI_'s	-0.74307
r_down	AIG_$	-0.143987
r_down	AVP_stocks	-0.906157
r_down	KEY_'s	0.495649
r_down	SJM_advisories	-0.283916
r_down	MDT_'s	0.462593
r_down	CL_'s	-0.498247
r_down	STX_'s	-0.151819
r_down	CSCO_shares	-0.907151
r_down	ALL_surprises	-0.0648825
r_down	CSCO_18	0.143239
r_down	ALL_advisories	-0.0648825
r_down	USB_'s	0.431442
r_down	WFC_'s	-0.0787887
r_down	ORCL_'s	-0.118467
r_down	F_sales	-0.219599
r_down	VZ_'s	0.253826
r_down	T_'s	-0.53251
r_down	IBM_'s	0.631586
r_down	M_$	-0.113429
r_down	SNDK_after	1.54171
r_down	KEY_banks	-0.528041
r_down	AIG_'s	-0.178323
r_down	FSLR_stocks	0.0599362
r_down	USB_banks	0.0598902
r_down	F_'s	-0.0424893
r_down	TAP_'s	0.126669
r_down	NBR_energy	-0.331281
r_down	MCD_'s	0.139231
r_down	VLO_rally	-0.0424652
r_down	CRM_'s	-0.39031
r_down	NKE_profit	-0.167644
r_down	JWN_stocks	-0.101008
r_down	MET_'s	-0.27578
r_down	A_'s	-0.669153
r_down	LOW_data	0.150754
r_down	NBL_$	-0.0544645
r_down	CHK_gas	-0.669064
r_down	GIS_'s	-0.0909719
r_down	LLY_stocks	0.0546775
r_down	KO_$	-0.035748
r_down	MRO_$	1.09095
r_down	KO_'s	-0.0200963
r_down	PCG_$	0.071275
r_down	VLO_$	-0.0998985
r_down	COF_'s	-0.171272
r_down	EMR_'s	0.0447774
r_down	GILD_$	-0.119481
r_down	BBT_'s	-0.569361
r_down	GILD_stocks	-0.032695
r_down	OXY_crude	-0.653172
r_down	UTX_'s	-0.276994
r_down	HAL_stocks	-0.61939
r_down	SPLS_'s	-0.43005
r_down	CF_'s	-0.0345975
r_down	RRC_'s	-1.22303
r_down	V_'s	0.0461266
r_down	BIIB_'s	0.0447864
r_down	SWY_$	-0.250814
r_down	PPG_$	0.191903
r_down	TWX_'s	0.271209
r_down	OXY_'s	0.138192
r_down	FCX_'s	0.114452
r_down	JDSU_'s	-0.0669936
r_down	AA_'s	-0.00559183
