2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.719509
r_up	BBY_'s	0.449044
r_up	HD_'s	-0.10717
r_up	BBY_after	-0.0253914
r_up	M_'s	-0.136128
r_up	M_retail	0.0617407
r_up	LUV_'s	0.239554
r_up	COST_'s	0.231214
r_up	MYL_$	0.191565
r_up	LUV_stocks	-0.233292
r_up	ALL_n't	0.304008
r_up	M_data	0.119324
r_up	VLO_stocks	0.427928
r_up	VLO_gains	0.144097
r_up	APA_stocks	-0.453902
r_up	OXY_stocks	0.140159
r_up	TJX_surprises	0.17376
r_up	COST_stocks	0.914143
r_up	ANF_'s	0.115355
r_up	BBY_stocks	0.0251725
r_up	JCP_stocks	-0.0148429
r_up	APOL_'s	0.168832
r_up	TJX_advisories	0.17376
r_up	JCP_'s	0.0848664
r_up	M_stocks	0.0512663
r_up	LOW_'s	-0.0213695
r_up	PG_'s	0.251106
r_up	CSCO_rise	-0.422246
r_up	NDAQ_'s	0.0587503
r_up	CME_'s	0.0796073
r_up	PEP_watch	0.287256
r_up	WLP_'s	-0.827714
r_up	CVX_$	0.754717
r_up	STI_'s	-0.421101
r_up	AET_'s	0.432326
r_up	AIG_$	0.143533
r_up	KEY_'s	0.0813384
r_up	CI_'s	-0.240252
r_up	ICE_higher	-0.00525967
r_up	CL_'s	-0.416985
r_up	CVX_stocks	-0.0390837
r_up	STX_'s	0.0823193
r_up	CSCO_18	-0.402556
r_up	MDT_$	-0.726363
r_up	CTL_'s	-0.142099
r_up	USB_'s	0.139916
r_up	WFC_'s	0.124984
r_up	VLO_losses	-0.27906
r_up	ORCL_'s	0.117522
r_up	VZ_'s	0.126389
r_up	T_'s	-0.0217527
r_up	NBR_stocks	-0.447897
r_up	M_$	0.759739
r_up	KEY_banks	0.996845
r_up	F_stocks	-0.0204585
r_up	F_'s	-0.0477798
r_up	BA_'s	0.260554
r_up	VLO_rally	0.126939
r_up	CRM_'s	0.240613
r_up	CHK_shares	-0.33639
r_up	TXN_rally	0.43235
r_up	APC_gas	-0.129847
r_up	WYNN_$	0.466802
r_up	MET_'s	0.602502
r_up	PEP_$	-0.0721148
r_up	AA_shares	-0.229921
r_up	OXY_lead	-0.319211
r_up	TSO_advisories	0.312052
r_up	GIS_'s	-0.411282
r_up	TSO_surprises	0.312052
r_up	EMC_$	0.551173
r_up	APC_gains	0.270543
r_up	KO_$	-0.0300837
r_up	MRO_$	-0.29731
r_up	KO_'s	0.179064
r_up	PCG_$	0.0114681
r_up	VLO_$	0.0247242
r_up	EXC_surprises	0.00615213
r_up	COF_'s	0.281934
r_up	BBT_'s	0.289482
r_up	EXC_advisories	0.00615213
r_up	BK_gains	0.330838
r_up	FITB_'s	0.011858
r_up	UTX_'s	0.400578
r_up	APC_stocks	0.167244
r_up	BK_'s	0.0527388
r_up	HAL_stocks	0.309326
r_up	SLB_$	0.00458639
r_up	USB_stocks	1.07694
r_up	CHK_stocks	-0.190659
r_up	SCHW_stocks	-1.00104
r_up	HBAN_down	-0.262333
r_up	DOW_'s	0.0592304
r_up	EMC_'s	-0.136036
r_up	SLB_stocks	0.138265
r_up	MRO_stocks	-0.00868365
r_up	DO_'s	0.159014
r_up	MCK_'s	-0.0902278
r_up	SPLS_'s	-0.90752
r_up	CF_'s	-0.309328
r_up	WAG_$	0.0945669
r_up	V_'s	0.346804
r_up	COP_'s	-0.00811067
r_up	BIIB_'s	0.230219
r_up	GME_'s	-0.0259361
r_up	SPG_'s	0.43764
r_up	TWX_'s	-0.124034
r_up	OXY_'s	-0.116958
r_up	SYMC_$	0.224417
r_up	APC_n't	-0.366778
r_up	MMM_stocks	-0.512044
r_up	TXN_shares	0.607742
r_up	BSX_'s	-0.295285
r_up	NKE_'s	-0.168451
r_up	K_'s	0.670067
r_up	PBCT_'s	0.904795
r_up	EA_'s	0.266137
r_up	SBUX_'s	-0.316477
r_up	BMY_'s	0.18324
r_up	COST_data	0.593645
r_up	LLY_'s	0.00400223
r_up	EA_sales	0.121213
r_up	MDLZ_'s	0.182889
r_up	ADBE_close	-0.319782
r_up	EMC_stocks	-0.30674
r_up	AMGN_stocks	0.961672
