2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.0566134
r_down	NVDA_market	0.455812
r_down	LEN_advisories	0.173371
r_down	BLK_'s	-0.338533
r_down	NVDA_'s	-0.324567
r_down	HES_gains	-1.05102
r_down	LMT_'s	0.0399484
r_down	LUV_'s	-0.087136
r_down	COST_'s	0.0669259
r_down	M_after	0.0609827
r_down	CMCSA_'s	0.644463
r_down	VLO_stocks	-0.476422
r_down	APA_gains	0.184616
r_down	UPS_stocks	0.644089
r_down	TJX_surprises	-0.0559063
r_down	COST_stocks	0.668849
r_down	HES_stocks	-0.38976
r_down	AMAT_up	0.657403
r_down	LEN_surprises	0.173371
r_down	BBY_stocks	0.722902
r_down	JCP_stocks	-0.522607
r_down	TJX_advisories	-0.0559063
r_down	JCP_'s	-0.233062
r_down	LOW_'s	0.117611
r_down	URBN_stocks	-0.179134
r_down	NDAQ_'s	0.110396
r_down	CME_'s	0.314891
r_down	KO_watch	-0.321902
r_down	X_'s	-0.0612941
r_down	WLP_'s	0.263162
r_down	CVX_$	-0.274832
r_down	AET_'s	-0.0522472
r_down	AIG_$	0.165527
r_down	AVP_stocks	-0.0837694
r_down	CI_'s	0.106678
r_down	ICE_higher	-0.531772
r_down	CVX_energy	0.0657767
r_down	CVX_stocks	0.207025
r_down	DIS_rise	-0.707126
r_down	IR_52	-0.756665
r_down	USB_'s	0.125977
r_down	ORCL_'s	-0.409417
r_down	T_'s	0.0146985
r_down	NBR_stocks	0.196835
r_down	IBM_'s	-0.402417
r_down	SNDK_fall	-0.392224
r_down	AVP_'s	-0.35066
r_down	M_$	-0.448839
r_down	F_stocks	1.01034
r_down	VLO_energy	-0.133499
r_down	AIG_'s	0.133444
r_down	USB_banks	0.478023
r_down	DRI_stocks	-0.173609
r_down	F_'s	0.407479
r_down	TAP_'s	-0.0573589
r_down	BA_'s	-0.606127
r_down	ANF_biggest	0.132996
r_down	MU_shares	0.226189
r_down	MCD_'s	0.184775
r_down	CRM_'s	-0.213189
r_down	TXN_rally	-0.612763
r_down	TSO_stocks	-0.297379
r_down	WYNN_$	0.220139
r_down	MET_'s	-0.0727681
r_down	A_'s	-0.469759
r_down	CHK_gas	-0.330642
r_down	LLY_stocks	0.0360887
r_down	APC_gains	-0.180025
r_down	KO_$	-0.266927
r_down	MRO_$	0.415901
