2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.353349
r_up	BLK_'s	0.474379
r_up	BBY_'s	0.634346
r_up	M_'s	-0.142572
r_up	MYL_$	1.0017
r_up	AMAT_stocks	-0.617557
r_up	BBBY_stocks	0.30942
r_up	CMCSA_'s	-0.10457
r_up	X_gains	0.725702
r_up	OXY_gains	-0.0719639
r_up	BBY_data	0.12495
r_up	CMG_'s	-0.0958093
r_up	HES_stocks	0.0722196
r_up	BBBY_retail	0.261148
r_up	TJX_stocks	-0.00248878
r_up	CMG_biggest	0.0876673
r_up	JCP_'s	0.127108
r_up	LOW_'s	0.0164358
r_up	PG_'s	-0.18987
r_up	CME_'s	-0.384617
r_up	PNC_'s	0.0470944
r_up	X_'s	0.296096
r_up	ICE_'s	0.473247
r_up	WLP_'s	-0.52132
r_up	PNC_higher	0.269661
r_up	DIS_54	0.269784
r_up	RF_'s	0.222008
r_up	WFM_shares	-0.0112489
r_up	URBN_declining	0.553536
r_up	MDT_'s	-0.220446
r_up	CVX_energy	0.126686
r_up	CVX_stocks	-0.019558
r_up	WLP_2011	0.2303
r_up	AKAM_watch	0.294082
r_up	WFM_watch	0.198509
r_up	MDT_$	0.12009
r_up	USB_'s	-0.209958
r_up	WFC_'s	0.118905
r_up	ORCL_'s	0.25742
r_up	NBR_stocks	-0.142759
r_up	IBM_'s	0.169851
r_up	M_$	0.29822
r_up	SNDK_after	-0.298736
r_up	KEY_banks	0.209758
r_up	AIG_'s	-0.157473
r_up	USB_banks	-0.474836
r_up	F_'s	-0.572136
r_up	TAP_'s	-0.338188
r_up	BA_'s	0.258468
r_up	ANF_biggest	-0.0756858
r_up	MU_shares	-0.188228
r_up	NBR_energy	-0.370505
r_up	MCD_'s	-0.101884
r_up	CRM_'s	0.556212
r_up	TXN_rally	0.754278
r_up	MET_'s	0.00255195
r_up	LOW_sector	-0.199085
r_up	CHK_sector	0.214864
r_up	A_'s	-0.107247
r_up	ADBE_surprises	0.110563
r_up	PEP_$	-0.1995
r_up	CHK_lead	0.673413
r_up	ADBE_advisories	0.110563
r_up	APC_gains	0.336368
r_up	APC_shares	-0.176775
r_up	JWN_higher	0.293293
r_up	MRO_$	-0.636208
r_up	KO_'s	0.252544
r_up	VLO_$	0.269632
r_up	COF_'s	-0.0576271
r_up	GILD_$	0.0105019
r_up	QCOM_2009	0.0294149
r_up	BBT_'s	0.251884
r_up	GILD_stocks	0.150827
r_up	FITB_'s	-0.266391
r_up	UTX_'s	0.263525
r_up	CAH_'s	0.51543
r_up	APC_stocks	0.0263982
r_up	HAL_stocks	0.221032
r_up	CHK_stocks	-0.0375938
r_up	RAI_'s	-0.296418
r_up	SPLS_stocks	-0.206533
r_up	SCHW_stocks	-0.0261508
r_up	CMA_stocks	0.742549
r_up	DOW_'s	0.102742
r_up	PNC_$	0.162721
r_up	EMC_'s	-0.040173
r_up	MRO_stocks	-0.235715
r_up	COF_bank	-0.809782
r_up	HES_market	0.881421
r_up	TWX_shares	0.336944
r_up	MRO_'s	-0.0435488
r_up	MMM_``	0.140274
r_up	MMM_''	0.140274
r_up	HUM_$	0.0118946
r_up	COP_'s	-0.492248
r_up	BIIB_'s	-0.320428
r_up	GLW_$	0.00834208
r_up	PPG_$	0.274755
r_up	TWX_'s	0.0284358
r_up	FCX_'s	-0.130904
r_up	VLO_'s	-0.304609
r_up	ITW_2010	0.145691
r_up	SWN_'s	0.456616
r_up	COF_$	0.364081
r_up	SYMC_$	1.21628
r_up	DVN_$	0.116637
r_up	APC_n't	-0.49194
r_up	PEP_'s	0.0529707
r_up	BIIB_focus	-0.243918
r_up	COST_stock	0.399216
r_up	NKE_'s	-0.0164646
r_up	COST_after	0.274508
r_up	NOC_'s	0.433949
r_up	COST_profit	0.189465
r_up	PBCT_'s	0.26722
r_up	TWX_$	-0.792452
r_up	SBUX_'s	-0.682795
r_up	LOW_stocks	0.97707
r_up	APC_back	0.31405
r_up	ABT_2010	0.0499247
r_up	BMY_'s	0.193122
r_up	COST_data	0.292195
r_up	LLY_'s	-0.0416421
r_up	EA_sales	0.0826819
r_up	MDLZ_'s	0.198331
r_up	DVN_'s	0.109435
r_up	EMC_stocks	-0.173736
r_up	BBY_up	0.512289
r_up	GPS_'s	-0.298256
r_up	SLB_'s	0.164151
r_up	GILD_focus	0.361542
r_up	V_stocks	0.23608
r_up	APC_'s	0.00553635
r_up	MCO_'s	0.0391584
r_up	ABT_'s	0.316123
r_up	APC_$	-0.394066
r_up	CHK_$	-0.0950635
r_up	PM_'s	0.409723
r_up	QCOM_lead	0.158094
r_up	STI_declining	-1.41513
r_up	BRCM_gains	-1.00628
r_up	DHI_stocks	-0.760909
r_up	LEN_'s	-0.0930367
r_up	HON_$	-0.124601
r_up	NVDA_stocks	0.301015
r_up	LEN_stocks	-0.0479608
r_up	DD_'s	-0.29621
r_up	PHM_'s	0.287867
r_up	SYMC_stocks	-0.98036
r_up	BRCM_'s	-0.517364
r_up	CELG_'s	0.383284
r_up	BHI_'s	-1.03629
r_up	SWN_gains	-0.700536
r_up	FDX_'s	-0.686654
r_up	ABT_$	-0.503316
r_up	GME_$	-0.264209
r_up	MU_results	0.229502
r_up	AIV_stocks	0.241257
r_up	GME_stocks	-0.404788
r_up	GNW_stocks	0.40945
r_up	YUM_'s	0.274356
r_up	MDT_stocks	-0.0625993
r_up	PH_'s	0.120976
r_up	NVDA_sector	-0.26569
r_up	PG_3	-0.146305
r_up	RDC_stocks	-0.165995
r_up	AMAT_lower	-0.144915
r_up	TXN_stocks	0.346299
r_up	FDO_stocks	-0.168591
r_up	CAH_$	-0.311806
r_up	MAR_stocks	-0.227249
r_up	VNO_'s	-0.0703052
r_up	ADBE_'s	0.0339623
r_up	FCX_stocks	-0.236356
r_up	NOV_stocks	-0.414251
r_up	HCBK_'s	-0.144126
r_up	BMY_declining	0.192678
r_up	MAR_'s	-0.100149
r_up	BMY_gaining	0.192678
r_up	BMY_n't	0.248748
r_up	TSO_'s	-0.169624
r_up	IP_'s	-0.0923754
r_up	OXY_$	-0.326248
r_up	EA_game	0.140163
r_up	MU_'s	-0.00306259
r_up	SCHW_'s	0.0549267
r_up	LLY_$	-0.840951
r_up	MU_losses	-0.373616
r_up	BMY_biggest	0.192678
r_up	GPS_stocks	0.236302
r_up	ADBE_but	0.26675
r_up	AXP_$	-0.274725
r_up	AGN_'s	1.06537
r_up	TXN_$	0.095344
r_up	AXP_up	0.249968
r_up	CVC_'s	0.15703
r_up	NTAP_'s	-0.0986955
r_up	NTAP_focus	-0.0503297
r_up	CRM_focus	0.104806
r_up	SWN_crude	0.190766
r_up	VIAB_$	1.06252
r_up	LNC_'s	0.356643
r_up	LUV_prices	0.254229
r_up	WYNN_'s	-0.0308994
r_up	ROST_'s	-0.836327
r_up	V_$	0.165134
r_up	STI_banks	-0.255702
r_up	BK_$	-0.158547
r_up	ADBE_tech	0.120911
r_up	SLM_'s	0.633005
r_up	CPB_'s	0.244145
r_up	KO_futures	-0.0806856
r_up	PNC_stocks	0.762831
r_up	NEM_$	0.135527
r_up	PCLN_stocks	0.269754
r_up	KEY_$	0.839195
r_up	HSP_biggest	-0.118512
r_up	VIAB_'s	0.357728
r_up	EMR_stocks	-0.326586
r_up	ADM_stocks	0.194539
r_up	WY_'s	0.86831
r_up	MMC_'s	-0.0904121
r_up	HSP_stocks	-0.502331
r_up	DF_stocks	0.131652
r_up	DUK_'s	-0.968103
r_up	LUV_airlines	-0.0428188
r_up	PCLN_'s	-0.706117
r_up	VLO_lower	-0.137252
r_up	QCOM_$	0.167481
r_up	LO_$	-0.0138602
r_up	COST_retailers	-0.915791
r_up	AES_$	-0.218071
r_up	QCOM_'s	0.0661152
r_up	ROST_retailers	-0.228763
r_up	DE_'s	0.625794
r_up	VLO_biggest	0.387424
r_up	KSS_'s	0.013507
r_up	SJM_'s	0.376561
r_up	FHN_stocks	0.109778
r_up	NVDA_$	-0.241278
r_up	OXY_energy	-0.099253
r_up	ESRX_'s	-0.0522999
r_up	LLY_5	-0.249827
r_up	NFLX_'s	-0.230147
r_up	ORCL_tech	-0.279931
r_up	AMD_tech	-0.0855999
r_up	NVDA_tech	-0.353809
r_up	AXP_'s	-0.242418
r_up	TIF_futures	0.505365
r_up	JWN_profit	1.56702
r_up	TXN_rise	0.191777
r_up	DE_$	0.287703
r_up	CI_focus	-0.0829311
r_up	AKAM_stocks	1.12646
r_up	ADP_'s	0.117077
r_up	TXN_chip	0.290979
r_up	M_off	0.0650692
r_up	WDC_biggest	0.34962
r_up	SPG_$	0.669177
r_up	WDC_'s	0.0259338
r_up	SPG_stocks	0.388136
r_up	MAR_$	0.073009
r_up	FFIV_stocks	0.393931
r_up	WFC_$	0.0324743
r_up	HPQ_falls	0.816604
r_up	MO_$	0.136178
r_up	SO_$	-0.202064
r_up	HES_crude	0.318886
r_up	HES_shares	-0.00260094
r_up	NTRS_'s	-0.266199
r_up	LMT_$	-0.128855
r_up	CVC_$	0.0604627
r_up	ETN_'s	-0.137765
r_up	TSN_'s	0.0925395
r_up	TXT_$	0.0194723
r_up	COG_energy	0.581146
r_up	SNDK_$	0.717411
r_up	BLK_$	-0.169643
r_up	LEG_focus	0.219344
r_up	HOG_$	-0.118223
r_up	UTX_focus	0.428232
r_up	EA_stocks	0.000599896
r_up	NWL_surprises	-0.299304
r_up	NWL_advisories	-0.299304
r_up	IBM_gains	-0.360818
r_up	JNPR_shares	0.132944
r_up	HPQ_day	-1.1071
r_up	T_10	0.620706
r_up	COP_lower	-0.414707
r_up	GCI_$	-0.207304
r_up	BBBY_'s	0.147739
r_up	GPS_shares	0.125299
r_up	ANF_sales	0.173265
r_up	MMM_'s	-0.120791
r_up	SBUX_but	0.126503
r_up	HAL_focus	-1.11101
r_up	SYK_'s	0.426728
r_up	HAL_watch	-0.637003
r_up	TXN_up	0.0170349
r_up	HPQ_techs	-0.201052
r_up	NSC_'s	-0.0717915
r_up	HAL_oil	-0.0992605
r_up	HAL_shares	-0.0728902
r_up	JNJ_'s	-0.251807
r_up	BHI_stocks	0.240193
r_up	ZION_financial	0.550845
r_up	TWC_declining	-0.667104
r_up	JNPR_'s	-0.195056
r_up	AMD_$	0.0551426
r_up	YHOO_$	0.266049
r_up	NFLX_rise	0.749816
r_up	DOW_n't	0.0631373
r_up	T_$	0.0319011
r_up	TXN_sales	0.00877814
r_up	GD_watch	0.80068
r_up	JCP_up	0.148645
r_up	KR_'s	-0.0260801
r_up	SYK_$	0.49617
r_up	JWN_'s	0.332575
r_up	ZION_declining	-0.0806041
r_up	HES_$	-0.155969
r_up	FIS_'s	0.0588184
r_up	XRX_'s	-0.0498179
r_up	NDAQ_$	0.165958
r_up	MUR_$	-0.0496652
r_up	HON_focus	0.13693
r_up	ALL_stocks	-0.35605
r_up	APA_$	0.0576075
