2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.333348
r_up	NVDA_market	-0.987147
r_up	BLK_'s	0.258138
r_up	BBY_'s	0.107346
r_up	HD_'s	0.23319
r_up	UPS_'s	0.121605
r_up	M_'s	-0.0583615
r_up	LUV_'s	0.0313758
r_up	COST_retail	0.597304
r_up	COST_'s	0.212691
r_up	APOL_stocks	-0.0784616
r_up	HES_fall	-0.437015
r_up	VLO_gains	1.13598
r_up	CCI_'s	0.546968
r_up	OXY_stocks	0.377377
r_up	TJX_surprises	0.514647
r_up	COST_stocks	0.0637652
r_up	HES_stocks	-0.254136
r_up	ANF_'s	-0.187245
r_up	TJX_stocks	-0.60968
r_up	BBY_stocks	-0.140929
r_up	TJX_advisories	0.514647
r_up	JCP_'s	-0.0102436
r_up	LOW_'s	-0.146026
r_up	MET_$	-0.593081
r_up	AMD_'s	0.0863351
r_up	URBN_stocks	-0.604843
r_up	NDAQ_'s	0.114333
r_up	PNC_'s	0.0351225
r_up	KO_watch	0.161345
r_up	ICE_'s	0.0613203
r_up	WLP_'s	-1.14776
r_up	STI_'s	-0.0846548
r_up	PRU_$	-0.0636355
r_up	ETR_surprises	-0.302841
r_up	ETR_advisories	-0.302841
r_up	CI_'s	-0.16647
r_up	MDT_'s	0.0115649
r_up	CVX_energy	0.511916
r_up	URBN_$	-0.742064
r_up	WFM_after	-0.358425
r_up	CVX_stocks	-0.620586
r_up	CSCO_after	-0.359426
r_up	CSCO_18	-0.224058
r_up	MDT_$	-0.505774
r_up	ORCL_'s	0.0593747
r_up	VZ_'s	-0.0474365
r_up	SNDK_after	-0.58669
r_up	F_stocks	-0.211287
r_up	AIG_'s	-0.0965476
r_up	USB_banks	-0.41442
r_up	F_'s	-0.196574
r_up	BA_'s	0.182157
r_up	ANF_biggest	-0.235137
r_up	TXN_rally	1.17336
r_up	CHK_gains	0.50162
r_up	MET_'s	0.36834
r_up	ADBE_shares	0.736297
r_up	NBL_$	0.157313
r_up	CHK_gas	0.142025
r_up	EMC_$	-0.192266
r_up	HD_data	0.101673
r_up	KO_$	0.00573181
r_up	MRO_$	-0.686216
r_up	PCG_$	0.125194
r_up	VLO_$	-0.301793
r_up	EMR_'s	-0.443932
r_up	FITB_'s	-0.212414
r_up	BK_'s	-0.239629
r_up	HAL_'s	0.068909
r_up	HAL_stocks	0.420461
r_up	SPLS_stocks	-0.533227
r_up	HBAN_down	-0.847693
r_up	DOW_'s	0.128159
r_up	HAL_$	0.409332
r_up	CF_'s	-0.392949
r_up	EXC_'s	-0.0979102
r_up	WAG_'s	-0.485015
r_up	COP_'s	-0.120492
r_up	SPG_'s	0.462983
r_up	PPG_$	0.0531431
r_up	FCX_'s	-0.050732
r_up	VLO_'s	0.0984062
r_up	BMY_``	0.248664
r_up	JDSU_'s	0.157076
r_up	AA_'s	0.101646
r_up	PG_$	0.18833
r_up	BMY_''	0.248664
r_up	COF_$	0.204519
r_up	SYMC_$	0.513411
r_up	COP_$	0.0174553
r_up	EIX_$	0.141414
r_up	TXN_shares	0.425266
r_up	BSX_'s	0.597795
r_up	NKE_'s	-0.477626
r_up	COST_after	0.599386
r_up	GCI_'s	-0.479575
r_up	CVS_$	0.0577617
r_up	NOC_'s	-0.415216
r_up	ACN_'s	0.0531636
r_up	TXN_late	-0.784101
r_up	PBCT_'s	0.122794
r_up	EA_'s	-0.167626
r_up	SBUX_'s	-0.384247
r_up	BMY_'s	-0.0297942
r_up	EA_sales	0.51855
r_up	MDLZ_'s	0.231119
r_up	AMGN_stocks	0.894921
r_up	GPS_'s	-0.400291
r_up	DFS_stocks	-0.729652
r_up	SLB_'s	0.00683049
r_up	WIN_$	-0.0477757
r_up	APC_'s	0.317533
r_up	AMGN_'s	-0.593783
r_up	MCO_'s	-0.139872
