2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.590756
r_down	BLK_'s	0.28887
r_down	BBY_'s	0.148931
r_down	HES_gains	-0.0322838
r_down	LMT_'s	0.264861
r_down	URBN_surprises	0.00265694
r_down	AMAT_stocks	-0.429355
r_down	CMCSA_'s	0.240904
r_down	URBN_advisories	0.00265694
r_down	VLO_stocks	-0.350148
r_down	COST_stocks	-0.131318
r_down	HES_stocks	-0.271987
r_down	ANF_'s	-0.396793
r_down	BBY_stocks	0.432508
r_down	JCP_stocks	0.574323
r_down	JCP_'s	-0.382851
r_down	M_stocks	0.464076
r_down	LOW_'s	-0.117525
r_down	MET_$	-0.147318
r_down	PG_'s	-0.195936
r_down	AMD_'s	0.216411
r_down	URBN_stocks	0.246917
r_down	X_'s	0.00558842
r_down	ICE_'s	-1.09525
r_down	WLP_'s	0.45935
r_down	STI_'s	-0.604913
r_down	PRU_$	0.577213
r_down	AET_'s	-1.2896
r_down	AIG_$	0.443922
r_down	MDT_'s	0.530059
r_down	CVX_energy	0.115071
r_down	STX_'s	0.0677405
r_down	CSCO_18	0.119189
r_down	MDT_$	0.184152
r_down	DIS_shares	-0.113544
r_down	KO_focus	-0.101502
r_down	WFC_'s	-0.0284464
r_down	ORCL_'s	-0.0220471
r_down	IBM_'s	-0.0611319
r_down	AVP_'s	0.058649
r_down	VLO_energy	0.318939
r_down	ANF_declining	-0.444301
r_down	AIG_'s	-0.114361
r_down	FSLR_stocks	-0.108038
r_down	USB_banks	1.86825
r_down	F_'s	0.356621
r_down	XOM_stocks	-0.0511683
r_down	BA_'s	-0.262846
r_down	MU_shares	0.428446
r_down	PFG_'s	-0.474184
r_down	MCD_'s	0.0142899
r_down	CRM_'s	-0.475569
r_down	TXN_rally	-0.0145433
r_down	GPS_focus	-0.0192901
r_down	NKE_focus	-0.0275664
r_down	MET_'s	-0.159418
r_down	PEP_$	0.549521
r_down	HD_sector	-0.285756
r_down	GIS_'s	0.0542406
r_down	KO_'s	-0.25557
r_down	PCG_$	-0.273679
r_down	VLO_$	-0.261677
r_down	UTX_'s	0.00989667
r_down	APC_stocks	-0.785699
r_down	BK_'s	0.0372938
r_down	EXC_stocks	-0.472583
r_down	SPLS_stocks	0.540337
r_down	DOW_'s	0.292495
r_down	PNC_$	-0.153067
r_down	EMC_'s	0.0421216
r_down	WMB_stocks	-0.148741
r_down	MRO_stocks	-0.137736
r_down	DO_'s	-0.124341
r_down	COF_bank	-0.53413
r_down	WAG_'s	-0.342178
r_down	WAG_$	-0.0109363
r_down	V_'s	0.583759
r_down	BIIB_'s	-0.617299
r_down	GLW_$	-0.550642
r_down	SPG_'s	-0.101154
r_down	OXY_'s	-0.684651
r_down	FCX_'s	0.00772134
r_down	VLO_'s	0.722885
r_down	BMY_``	-0.271336
r_down	JDSU_'s	-0.0944876
r_down	MMM_$	0.172007
r_down	BMY_''	-0.271336
r_down	SYMC_$	-0.129877
r_down	COP_$	0.407793
r_down	MJN_'s	-0.632557
r_down	MMM_stocks	0.268885
r_down	LOW_rise	-0.491821
r_down	EIX_$	-0.129147
r_down	TXN_shares	-0.221042
r_down	COST_after	0.147461
r_down	ACN_'s	-0.31649
r_down	AA_data	0.23363
r_down	PBCT_'s	-0.618435
r_down	EA_'s	-0.0549125
r_down	TWX_$	-0.180519
r_down	SBUX_'s	0.187229
r_down	COST_up	-0.710113
r_down	BBY_gaining	-0.162375
r_down	STI_stocks	-0.15368
r_down	AMGN_stocks	-0.678228
r_down	GPS_'s	0.346978
r_down	HSY_'s	0.080068
