2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.146127
r_down	BLK_'s	-0.320642
r_down	BBY_'s	-0.442492
r_down	CMCSA_'s	0.288107
r_down	VLO_stocks	-0.0794865
r_down	APA_stocks	0.248724
r_down	HES_stocks	0.0691064
r_down	AMAT_up	1.81537
r_down	ANF_'s	-0.114546
r_down	FDX_outlook	0.0750491
r_down	BBY_stocks	-0.00622749
r_down	M_stocks	-0.34708
r_down	LOW_'s	0.0139716
r_down	PG_'s	-0.243759
r_down	URBN_stocks	-0.0870545
r_down	NDAQ_'s	-0.235068
r_down	CME_'s	-0.057407
r_down	WLP_'s	0.726611
r_down	CVX_$	-0.272683
r_down	AET_'s	-0.480228
r_down	DIS_54	0.22412
r_down	AIG_$	-0.018471
r_down	RF_'s	0.709145
r_down	CL_'s	0.510014
r_down	WFM_after	1.35756
r_down	CSCO_shares	-0.0373491
r_down	MDT_$	0.374925
r_down	VLO_losses	0.199926
r_down	ORCL_'s	-0.293304
r_down	AVP_'s	0.112078
r_down	M_$	-0.730111
r_down	KEY_banks	-0.738542
r_down	VLO_energy	0.0154943
r_down	AIG_'s	0.0941994
r_down	USB_banks	0.206749
r_down	F_'s	0.209893
r_down	XOM_energy	0.153632
r_down	BA_'s	-0.614338
r_down	MU_shares	-0.0185798
r_down	NBR_energy	0.177771
r_down	MCD_'s	0.0261669
r_down	TXN_rally	-0.297292
r_down	JWN_stocks	0.940913
r_down	WYNN_$	-0.208103
r_down	MET_'s	-0.292375
r_down	TSO_lead	-0.346765
r_down	A_'s	-0.771899
r_down	PEP_$	0.722719
r_down	AA_shares	0.292394
r_down	CHK_lead	-0.334227
r_down	EMC_$	0.257216
r_down	KO_$	-0.332618
r_down	MRO_$	0.326737
r_down	PCG_$	-0.355392
r_down	VLO_$	-0.0752882
r_down	GILD_$	-0.0488862
r_down	QCOM_2009	-0.0591835
r_down	HBAN_'s	-0.22036
r_down	DVN_stocks	0.161196
r_down	HAL_'s	-0.28782
r_down	HAL_stocks	-0.730056
r_down	CAM_stocks	0.359036
r_down	USB_stocks	-0.324562
r_down	CHK_stocks	0.555631
r_down	HBAN_down	0.178162
r_down	WMB_stocks	0.090332
r_down	SPLS_'s	0.312176
r_down	EXC_'s	0.416029
r_down	WAG_$	-0.205569
r_down	SPG_'s	0.128465
r_down	TWX_'s	0.252867
r_down	FCX_'s	0.140863
r_down	VLO_'s	-0.19739
r_down	PG_$	-0.337111
r_down	ITW_2010	-0.838665
r_down	SWN_'s	-0.00406966
r_down	COP_$	0.336571
r_down	DVN_$	-0.187945
r_down	TXN_shares	-0.485497
r_down	BSX_'s	-0.159253
r_down	GCI_'s	-0.585156
r_down	JNPR_but	0.446782
r_down	CVS_$	0.0387675
r_down	PBCT_'s	-0.60735
r_down	SBUX_'s	0.0483083
r_down	COST_data	-1.27801
r_down	STI_stocks	0.460861
r_down	SCHW_advisories	0.194802
r_down	GPS_'s	0.0951253
r_down	DFS_stocks	0.24402
r_down	CHK_'s	-0.398615
r_down	ADBE_stocks	0.789326
r_down	BBT_$	0.8469
r_down	APC_'s	-0.286907
r_down	MDLZ_focus	-0.567663
r_down	APC_$	0.226626
r_down	CHK_$	-0.0173424
r_down	MU_$	-0.544497
r_down	FITB_stocks	-0.0993113
r_down	SCHW_surprises	0.194802
r_down	TXN_'s	-0.146549
r_down	LEN_'s	0.493104
r_down	PHM_stocks	-0.155006
r_down	NVDA_stocks	-0.113615
r_down	DD_'s	-0.508938
r_down	PHM_'s	0.368297
r_down	PRU_stocks	-0.34145
r_down	NVDA_gains	-0.732292
r_down	MU_focus	-0.508945
r_down	EA_shares	-0.0932067
r_down	CELG_'s	0.305788
r_down	BHI_'s	0.411401
r_down	NKE_stock	-0.306682
r_down	ABT_$	-0.203643
r_down	STI_$	-0.386766
r_down	GNW_'s	0.781945
r_down	YUM_'s	-0.0517829
r_down	AN_'s	-0.0519189
r_down	AMGN_n't	-0.104351
r_down	CMI_'s	-0.220404
r_down	AFL_'s	-0.666964
r_down	DLTR_'s	-0.106102
r_down	AXP_'s	0.493644
r_down	GPS_stocks	0.0376274
r_down	ADBE_'s	-0.52393
r_down	AXP_up	-0.724294
r_down	CAT_'s	0.0898381
r_down	TXN_gains	-0.869904
r_down	GME_stocks	0.315701
r_down	GME_fall	0.79343
r_down	VIAB_$	-0.236157
r_down	WYNN_'s	-1.38815
r_down	GPS_profit	0.0496376
r_down	AXP_after	-0.110724
r_down	INTC_'s	0.362915
r_down	GE_2012	0.887268
r_down	MU_stocks	0.109242
r_down	RTN_'s	0.164466
r_down	GE_'s	-0.0793236
r_down	BMY_stocks	0.495629
r_down	DNR_stocks	0.167534
r_down	HES_energy	0.40754
r_down	APC_energy	0.297895
r_down	ORCL_stocks	-0.0024985
r_down	NOV_stocks	0.351535
r_down	CSCO_'s	0.633292
r_down	LLY_5	0.135539
