2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.408459
r_up	BBY_'s	0.114547
r_up	HD_'s	0.0400936
r_up	NVDA_'s	-0.214817
r_up	UPS_'s	0.517044
r_up	M_'s	-0.12342
r_up	M_retail	0.399826
r_up	LUV_'s	-0.0724174
r_up	COST_retail	0.657281
r_up	COST_'s	-0.0243209
r_up	M_data	1.25987
r_up	VLO_stocks	0.224157
r_up	TJX_surprises	0.347695
r_up	JCP_after	0.106724
r_up	COST_stocks	0.0488274
r_up	ANF_stocks	-0.0094576
r_up	TJX_advisories	0.347695
r_up	LOW_'s	0.0204782
r_up	MET_$	0.234666
r_up	AMD_'s	0.0106171
r_up	URBN_stocks	-0.222851
r_up	NDAQ_'s	0.00404555
r_up	PEP_watch	1.43858
r_up	ICE_'s	0.298813
r_up	WLP_'s	-0.429689
r_up	CVX_$	0.47478
r_up	STI_'s	-0.247115
r_up	PRU_$	-0.396503
r_up	MET_watch	-0.466167
r_up	RF_'s	-0.448682
r_up	AES_'s	0.541215
r_up	KEY_'s	0.0840168
r_up	CVX_stocks	-0.813582
r_up	CSCO_18	-0.138806
r_up	STT_after	-0.1084
r_up	USB_'s	-0.492323
r_up	WYNN_watch	-0.208143
r_up	WFC_'s	-0.0718509
r_up	ORCL_'s	0.149201
r_up	T_'s	-0.156566
r_up	NBR_stocks	-0.398522
r_up	IBM_'s	0.0599748
r_up	AVP_'s	-0.423546
r_up	AIG_'s	0.169889
r_up	FSLR_stocks	-0.0334566
r_up	F_'s	0.0629641
r_up	TAP_'s	0.178919
r_up	XOM_stocks	0.258622
r_up	XOM_energy	0.0292701
r_up	BA_'s	0.173336
r_up	PFG_'s	0.372295
r_up	MCD_'s	-0.172451
r_up	BLK_fund	0.309813
r_up	TXN_rally	0.368617
r_up	TSO_stocks	0.41775
r_up	MET_'s	0.424538
r_up	PEP_$	-0.180208
r_up	JWN_retail	-0.138355
r_up	FDX_focus	0.532643
r_up	APC_gains	0.00170116
r_up	MRO_$	0.204698
r_up	KO_'s	-0.0983986
r_up	APA_prices	0.465423
r_up	PCG_$	0.0135819
r_up	SCHW_rally	1.08102
r_up	GILD_$	-0.0817599
r_up	HBAN_'s	0.589329
r_up	MTB_'s	0.975939
r_up	FITB_'s	0.059972
r_up	UTX_'s	0.514246
r_up	APC_stocks	0.477361
r_up	BK_'s	0.267771
r_up	HAL_stocks	0.00970426
r_up	CAM_stocks	-0.152441
r_up	USB_stocks	0.49207
r_up	CF_$	-0.161099
r_up	CHK_stocks	-0.312552
r_up	SPLS_stocks	-0.127139
r_up	SCHW_stocks	-0.410749
r_up	SLB_stocks	0.788495
r_up	MRO_stocks	0.0749088
r_up	COF_bank	-0.702504
r_up	SPLS_'s	-0.337568
r_up	TWX_shares	-0.544887
r_up	WAG_'s	-0.311658
r_up	WAG_$	0.536599
r_up	COP_'s	-0.198212
r_up	BIIB_'s	-0.190494
r_up	GME_'s	0.0307394
r_up	TWX_'s	-0.116597
r_up	OXY_'s	-0.183498
r_up	MMM_$	-0.0333025
r_up	AA_'s	0.211131
r_up	COF_$	0.208093
r_up	COP_$	0.319318
r_up	APC_n't	-0.142394
r_up	MMM_stocks	-0.159312
r_up	DPS_'s	0.153273
r_up	BSX_'s	-0.135015
r_up	COST_after	0.196422
r_up	AA_higher	0.283752
r_up	NOC_'s	0.0133305
r_up	PBCT_'s	0.457727
r_up	TWX_$	-0.712111
r_up	PLL_'s	0.158404
r_up	ABT_2010	0.427758
r_up	LLY_'s	0.0720362
r_up	EA_sales	1.06204
r_up	MDLZ_'s	0.20722
r_up	DVN_'s	0.520473
r_up	STI_stocks	-0.187281
r_up	SCHW_advisories	-0.0346243
r_up	CHK_'s	-0.162844
r_up	ADBE_watch	-0.729572
