2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.430158
r_down	BLK_'s	-0.34068
r_down	HD_'s	0.468212
r_down	NVDA_'s	0.4837
r_down	M_'s	-0.0879532
r_down	COST_surprises	-0.0426981
r_down	ALL_n't	-0.465564
r_down	COST_sales	0.342024
r_down	BBY_sales	-0.656579
r_down	CMCSA_'s	0.839549
r_down	BBY_view	-1.19776
r_down	VLO_stocks	0.207407
r_down	COST_advisories	-0.0426981
r_down	AMAT_up	0.862675
r_down	ANF_'s	-0.992052
r_down	JCP_stocks	0.0243596
r_down	JCP_'s	0.061295
r_down	LOW_'s	-0.0775811
r_down	PG_'s	-0.0328977
r_down	AMD_'s	-0.0507408
r_down	SJM_surprises	-0.224902
r_down	PNC_'s	-0.0237758
r_down	X_'s	0.33715
r_down	BK_after	0.603046
r_down	CVX_$	0.0356182
r_down	STI_'s	-0.0407376
r_down	PRU_$	0.121985
r_down	AIG_$	-0.0232784
r_down	SJM_advisories	-0.224902
r_down	CI_'s	0.643007
r_down	CSCO_hours	0.780676
r_down	CL_'s	-0.233956
r_down	URBN_$	0.197416
r_down	CSCO_18	-0.253739
r_down	USB_'s	0.0673776
r_down	WFC_'s	-0.256853
r_down	ORCL_'s	-0.414664
r_down	VZ_'s	-0.0884178
r_down	NBR_stocks	0.362565
r_down	AVP_'s	0.136711
r_down	AVP_$	0.64405
r_down	VLO_energy	0.316173
r_down	AIG_'s	0.101827
r_down	FSLR_stocks	0.0901749
r_down	MU_fall	0.602705
r_down	F_'s	0.0661998
r_down	XOM_energy	-0.124703
r_down	BA_'s	0.159784
r_down	NBR_energy	0.370186
r_down	MCD_'s	0.0256208
r_down	NKE_focus	-0.374693
r_down	NKE_profit	-0.0946483
r_down	CHK_gains	-0.700508
r_down	MET_'s	0.0490975
r_down	AA_shares	0.00492019
r_down	ADBE_shares	0.178975
r_down	CHK_gas	-0.226496
r_down	EMC_$	-0.617505
r_down	VLO_lead	-0.964486
r_down	KO_'s	-0.773305
r_down	SBUX_top	-0.679061
r_down	PCG_$	-0.312151
r_down	VLO_$	0.382172
r_down	COF_'s	-0.247404
r_down	EMR_'s	0.0978033
r_down	GILD_$	-0.0692207
r_down	BBT_'s	-0.126933
r_down	FITB_'s	0.0244016
r_down	APC_stocks	-0.200741
r_down	BK_'s	-0.10498
r_down	HAL_stocks	-0.137835
r_down	CAM_stocks	1.30276
r_down	USB_stocks	-0.519087
r_down	CHK_stocks	-0.0647122
r_down	DOW_'s	-0.131227
r_down	PNC_$	-0.377206
r_down	NVDA_techs	-0.462047
r_down	SLB_stocks	-0.234281
r_down	BIG_'s	-0.510445
r_down	WAG_$	-0.381659
r_down	COP_'s	-0.187097
r_down	BIIB_'s	-0.485573
r_down	TWX_'s	-0.375805
r_down	VLO_'s	-0.370653
r_down	AA_'s	0.0271665
r_down	ITW_2010	-0.301541
r_down	CL_$	-1.15046
r_down	D_'s	-0.947196
r_down	MJN_'s	0.354965
r_down	DPS_'s	0.712727
r_down	COST_stock	-0.980083
r_down	TXN_shares	-0.322398
r_down	JNPR_but	0.654344
r_down	EA_'s	-0.31542
r_down	PLL_'s	-0.230027
r_down	SBUX_'s	0.10927
r_down	LOW_stocks	-1.51067
r_down	LLY_'s	0.102665
r_down	JNPR_tech	0.178626
r_down	BBY_up	-0.204867
r_down	BK_n't	0.0407884
r_down	AXP_lower	0.243688
r_down	ADBE_stocks	0.826259
r_down	APC_'s	-0.272362
r_down	MCO_'s	-0.0571343
r_down	APC_$	0.0596329
r_down	CHK_$	0.759784
r_down	FITB_stocks	-0.0248609
r_down	PM_'s	0.551979
r_down	BBY_watch	0.442268
r_down	QCOM_telecoms	0.250384
r_down	HSP_'s	0.510964
r_down	TXN_'s	-0.392568
r_down	CRM_stocks	0.328009
r_down	LEN_'s	0.0122162
r_down	AMD_stocks	0.239493
r_down	BRCM_stocks	-0.281009
r_down	HON_$	-0.132649
r_down	NVDA_stocks	-0.994604
r_down	ADBE_after	0.336988
r_down	BRCM_results	0.382023
r_down	BRCM_'s	-0.209433
r_down	FDX_stocks	-0.408286
r_down	NKE_shares	-1.04429
r_down	FDX_'s	-0.429514
r_down	APA_'s	-0.424554
r_down	YUM_'s	0.22813
r_down	SYY_advisories	-0.441981
r_down	SYY_surprises	-0.441981
r_down	DVN_focus	0.770492
r_down	AMD_rise	-0.261891
r_down	AMD_up	-0.231902
r_down	RDC_stocks	0.0726067
r_down	PG_stocks	0.175973
r_down	GNW_gains	-1.44277
r_down	AXP_'s	0.0440004
r_down	GPS_stocks	-0.17032
r_down	LLY_$	-0.0154186
r_down	AGN_'s	-0.200328
r_down	TXN_tech	0.0307052
r_down	AA_stocks	-0.146093
r_down	HD_sales	0.186298
r_down	CAT_'s	0.169245
r_down	CRM_focus	-0.746632
r_down	GME_stocks	-0.332883
r_down	THC_'s	-0.165838
r_down	NTAP_tech	0.618616
r_down	LNC_'s	-0.0968688
r_down	HD_7.2	-0.37573
r_down	CHK_up	0.279265
r_down	ESRX_'s	0.159891
r_down	GE_'s	0.167576
r_down	CHK_rise	-0.376013
r_down	HAL_rise	-0.239787
r_down	BTU_energy	-1.02922
r_down	CVX_rise	-1.03905
r_down	CVS_'s	0.216244
r_down	TMO_stocks	-0.520079
r_down	ORCL_$	-0.27435
r_down	NVDA_$	-0.0363475
r_down	VZ_n't	-0.838808
r_down	NOV_stocks	0.070233
r_down	EBAY_'s	0.0376544
r_down	ESRX_stocks	-1.49635
r_down	LLY_5	0.499729
r_down	NFLX_'s	-0.0339497
r_down	DIS_'s	-0.458126
r_down	COP_energy	-0.18826
r_down	AMD_tech	0.121176
r_down	ADBE_tech	-0.0273664
r_down	COP_stocks	-0.205266
r_down	MAT_'s	-0.0651296
r_down	HOT_'s	0.0468523
r_down	HES_end	0.374255
r_down	M_profit	0.0749492
r_down	SLM_'s	0.634685
r_down	DE_$	0.865018
