2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.270127
r_up	HD_'s	0.0296061
r_up	HES_gains	0.250507
r_up	X_shares	-0.382593
r_up	COST_'s	0.119922
r_up	LUV_stocks	-0.154794
r_up	AMAT_stocks	-0.158265
r_up	BBY_view	1.27927
r_up	VLO_stocks	0.474051
r_up	VLO_gains	0.252821
r_up	APA_stocks	0.570765
r_up	HIG_focus	0.505327
r_up	JCP_'s	0.352371
r_up	MET_$	-0.0263685
r_up	PG_'s	0.0276248
r_up	AMD_'s	-0.346861
r_up	PNC_'s	-0.000286126
r_up	ICE_'s	0.0513336
r_up	WLP_'s	-0.915385
r_up	CVX_$	0.22154
r_up	STI_'s	-0.0881559
r_up	PRU_$	-0.454317
r_up	AIG_$	0.11718
r_up	WFM_shares	-0.543016
r_up	CL_'s	-0.0892365
r_up	CVX_stocks	-0.382027
r_up	CSCO_shares	0.272716
r_up	MDT_$	-0.314242
r_up	USB_'s	-0.408079
r_up	WFC_'s	0.146771
r_up	VLO_losses	-0.460885
r_up	ORCL_'s	0.0582839
r_up	F_sales	-0.162854
r_up	VZ_'s	0.0449376
r_up	T_'s	0.0752965
r_up	IBM_'s	0.466566
r_up	FSLR_energy	-0.117958
r_up	AVP_'s	-0.006298
r_up	M_$	0.298842
r_up	FSLR_stocks	-0.534022
r_up	TAP_'s	-0.180875
r_up	BA_'s	0.309944
r_up	MU_shares	-0.115916
r_up	NBR_energy	-0.514979
r_up	MCD_'s	0.0752881
r_up	CRM_'s	0.385247
r_up	TXN_rally	0.95455
r_up	TSO_stocks	0.431523
r_up	WYNN_$	0.0195044
r_up	MET_'s	0.106104
r_up	A_'s	0.0016419
r_up	ADBE_shares	0.192869
r_up	CHK_lead	0.365154
r_up	CHK_gas	0.714822
r_up	NTAP_$	-0.0214926
r_up	APC_gains	0.900449
r_up	DRI_'s	0.492704
r_up	KO_'s	0.072021
r_up	PCG_$	0.774545
r_up	COF_'s	0.175555
r_up	EMR_'s	-0.63249
r_up	GILD_$	0.12855
r_up	GILD_stocks	0.73453
