2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.377289
r_down	BLK_'s	-0.163509
r_down	BBY_'s	-0.122867
r_down	HD_'s	0.196309
r_down	UPS_'s	0.0341004
r_down	M_'s	0.21501
r_down	M_retail	-0.571881
r_down	LUV_stocks	0.127672
r_down	ALL_n't	-0.3534
r_down	BBBY_stocks	0.10204
r_down	COST_sales	0.417329
r_down	CMCSA_'s	-0.334033
r_down	CMG_'s	0.141885
r_down	HES_stocks	0.18395
r_down	AMAT_up	0.218662
r_down	ANF_'s	0.259683
r_down	TJX_stocks	1.32304
r_down	BBY_stocks	-0.17698
r_down	APOL_'s	-0.952609
r_down	CMG_stocks	1.06762
r_down	JCP_'s	-0.31836
r_down	M_stocks	0.356785
r_down	URBN_stocks	-0.60281
r_down	CSCO_but	0.299678
r_down	PNC_'s	-0.236388
r_down	MMM_watch	1.13561
r_down	AIG_$	0.15622
r_down	RF_'s	0.384348
r_down	KEY_'s	0.0420931
r_down	CVX_stocks	0.325339
r_down	WFC_'s	0.167601
r_down	F_sales	0.285966
r_down	VZ_'s	-0.207338
r_down	T_'s	-0.177538
r_down	NBR_stocks	0.13239
r_down	FSLR_energy	0.0804718
r_down	AVP_$	0.5552
r_down	VLO_energy	-0.264917
r_down	F_'s	0.121061
r_down	MCD_'s	0.127187
r_down	VLO_rally	-1.06516
r_down	PRU_focus	0.201842
r_down	NKE_data	-0.112894
r_down	CHK_shares	-0.494286
r_down	TXN_rally	-0.493124
r_down	GPS_focus	-0.502994
r_down	MET_'s	0.452826
r_down	NKE_surprises	-0.108328
r_down	JWN_retail	-0.398532
r_down	NKE_advisories	-0.108328
r_down	EMC_$	-0.22442
r_down	LLY_stocks	0.141584
r_down	KO_'s	-0.323702
r_down	PCG_$	-0.139037
r_down	VLO_$	-0.215709
r_down	COF_'s	0.0829452
r_down	SCHW_rally	-0.186445
r_down	HBAN_'s	-0.839221
r_down	SPLS_gains	-0.00973075
r_down	DVN_stocks	-0.71087
r_down	HAL_'s	-0.255933
r_down	USB_declining	0.447678
r_down	USB_gaining	0.447678
r_down	CHK_stocks	0.271253
r_down	HBAN_down	0.392517
r_down	USB_biggest	0.447678
r_down	PNC_$	0.125948
r_down	EMC_'s	0.887546
r_down	WMB_stocks	0.484911
r_down	BK_stocks	0.0943891
r_down	SLB_stocks	0.118198
r_down	MRO_stocks	0.613737
r_down	SPLS_'s	-0.586079
r_down	BIG_'s	-0.440566
r_down	MRO_'s	-0.335522
r_down	WAG_$	-0.160754
r_down	SWY_$	-0.0493627
r_down	SPG_'s	-0.131306
r_down	OXY_'s	0.0613155
r_down	VLO_'s	-0.127368
r_down	CBS_2	-0.223103
r_down	PG_$	-0.728999
r_down	COF_$	0.065265
r_down	APC_n't	0.378055
r_down	MMM_stocks	0.439192
r_down	EIX_$	0.790301
r_down	PEP_'s	-0.109858
r_down	COST_stock	-1.74218
r_down	TXN_shares	-0.0840776
r_down	NKE_'s	0.0699407
r_down	GCI_'s	-0.12912
r_down	CVS_$	-0.291966
r_down	AA_data	0.514833
r_down	EA_'s	-0.444251
r_down	CI_stocks	-0.101229
r_down	JNPR_tech	0.261902
r_down	EA_sales	0.608886
r_down	MDLZ_'s	0.232221
r_down	BBY_gaining	-0.0772303
r_down	FLR_'s	0.353343
r_down	LMT_n't	-1.01156
r_down	DFS_stocks	-0.461489
r_down	CHK_'s	-0.130195
r_down	WIN_$	0.741161
r_down	BBT_$	0.00512718
r_down	BBY_biggest	-0.0772303
r_down	APC_'s	-0.475877
r_down	NKE_stocks	-0.10563
r_down	BRCM_focus	-0.0482794
r_down	MCO_'s	-0.167933
r_down	ABT_'s	-0.300467
r_down	APC_$	0.191288
r_down	CHK_$	-0.219168
r_down	PM_'s	0.264403
r_down	BBY_declining	-0.0772303
r_down	HSP_'s	0.38438
r_down	BRCM_gains	0.193115
r_down	TXN_'s	-0.0792889
r_down	CRM_stocks	0.46676
r_down	BRCM_shares	-0.156466
r_down	AMD_chip	-1.02874
r_down	RAI_$	0.16909
r_down	DHI_'s	-0.399039
r_down	LEN_'s	-0.145853
r_down	AMD_stocks	-0.0176722
r_down	PHM_stocks	0.161391
r_down	FDX_2010	0.177795
r_down	NVDA_stocks	-0.0403411
r_down	PHM_biggest	0.142008
r_down	DD_'s	-0.30413
r_down	PHM_'s	0.429673
r_down	AMD_gains	-0.107429
r_down	BBY_drop	0.434475
r_down	PRU_stocks	0.313045
r_down	BRCM_'s	-0.138651
r_down	DHI_$	1.30051
r_down	EA_shares	-0.294489
r_down	HUM_'s	0.0256804
r_down	STI_$	-0.1414
r_down	JCI_'s	0.838722
r_down	VRSN_'s	-0.159462
r_down	YUM_'s	-0.108928
r_down	DUK_$	-0.0278314
r_down	RF_rise	-0.483351
r_down	LOW_retail	-0.18798
r_down	HIG_'s	-0.0741405
r_down	PG_focus	-0.500413
r_down	AMD_shares	0.637943
r_down	AMD_up	-0.596883
r_down	HUM_shares	-0.381882
r_down	LOW_profit	-0.158149
r_down	AXP_'s	0.0363015
r_down	AXP_$	0.344691
r_down	CBS_'s	0.512318
r_down	SRE_$	-0.00596152
r_down	AGN_'s	-0.777092
r_down	GPS_higher	0.171569
r_down	VIAB_$	0.329492
r_down	RF_stocks	-0.157087
r_down	GPS_profit	0.309417
r_down	ROST_'s	1.18832
r_down	THC_stocks	-0.324843
r_down	AXP_after	-0.198709
r_down	INTC_'s	0.0359783
r_down	GE_2012	-0.0889812
r_down	GE_'s	-0.173943
r_down	BBY_retail	-0.457944
r_down	HAL_rise	-0.17439
r_down	CVX_rise	-0.645577
r_down	ORCL_$	-0.19163
r_down	HES_energy	0.0084486
r_down	NOV_energy	1.17109
r_down	EBAY_'s	-0.159896
r_down	LLY_5	0.115929
r_down	NFLX_'s	0.000149202
r_down	GCI_watch	1.87934
r_down	M_profit	-0.246633
r_down	JWN_profit	-0.0614042
r_down	MON_'s	-0.315446
r_down	YUM_watch	-0.51074
r_down	DE_$	-0.639939
r_down	MAR_'s	0.936793
r_down	JDSU_stocks	0.0685009
r_down	FFIV_stocks	0.102777
r_down	MU_tech	0.937783
r_down	AXP_rally	-0.354682
r_down	AXP_banks	-0.226673
r_down	VZ_stocks	0.696177
r_down	CNX_declining	-0.201295
r_down	M_sales	0.223822
r_down	TGT_sales	0.0914173
r_down	JNJ_'s	-0.0622375
r_down	CNX_biggest	-0.201295
r_down	BK_$	-0.355376
r_down	CNX_gaining	-0.201295
r_down	IRM_'s	0.899176
r_down	IBM_tech	-0.040244
r_down	XOM_'s	0.263888
r_down	NFLX_stocks	0.113114
r_down	NOV_$	-0.241505
r_down	TJX_sales	-0.440797
r_down	CVX_'s	-0.0130954
r_down	AA_earnings	0.293047
r_down	HRB_'s	0.0268238
r_down	BRCM_$	-0.52819
r_down	V_$	0.0452594
r_down	ETFC_stocks	0.167851
r_down	SBUX_watch	-1.37085
r_down	MMM_'s	0.143085
r_down	CAT_up	-0.463094
r_down	CMCSA_$	-0.362827
r_down	JNJ_stocks	-0.283237
r_down	TROW_'s	-0.593911
r_down	LRCX_stocks	-0.971098
r_down	FSLR_biggest	-0.126173
r_down	LM_'s	0.441102
r_down	GNW_stocks	-0.196156
r_down	BTU_'s	0.175073
r_down	MSI_'s	-0.590388
r_down	EQR_'s	0.703818
r_down	TRV_stocks	0.824572
r_down	YHOO_'s	-0.240634
r_down	IGT_'s	0.201274
r_down	COG_stocks	-0.352273
r_down	NFLX_500	0.324066
r_down	CMCSA_n't	0.335347
r_down	BHI_$	0.598357
r_down	AKAM_'s	0.563121
r_down	GILD_'s	0.16572
r_down	WYN_stocks	-0.0336409
r_down	DOW_after	-0.0204893
r_down	DOW_$	-0.16138
r_down	MA_'s	-0.00917471
r_down	DHR_focus	-0.135677
r_down	MA_n't	-0.346297
r_down	HIG_$	-0.0997795
r_down	XRX_$	-0.312517
r_down	JNPR_gaining	-0.630056
r_down	JWN_sales	-0.244098
r_down	R_'s	0.390757
r_down	FDO_'s	-0.184349
r_down	AA_rise	-0.607901
r_down	LNC_8217	-0.0589213
r_down	HUM_stocks	-0.713062
r_down	HIG_higher	-0.518781
r_down	ADM_'s	0.163899
r_down	IBM_$	-0.352073
r_down	INTC_500	1.16644
r_down	TIF_watch	0.889771
r_down	ETR_'s	-1.06138
r_down	TIF_luxury	-0.114217
r_down	SCHW_$	-0.273622
r_down	NDAQ_$	-0.132648
r_down	JBL_'s	-0.427674
r_down	CME_$	-0.32623
r_down	DIS_n't	0.665258
r_down	WAG_stocks	0.0277387
r_down	WAG_focus	0.0554281
r_down	CVS_10	0.284764
r_down	DTE_'s	-0.14932
r_down	RHT_'s	0.735898
r_down	WDC_'s	-0.172581
r_down	CAT_rise	-0.272093
r_down	BBY_rise	-1.01006
r_down	ZION_sector	-1.25018
r_down	BBY_$	-0.18369
r_down	JBL_stocks	-0.314525
r_down	CAG_'s	0.125881
r_down	COF_gaining	0.377943
r_down	VLO_shares	-0.722809
r_down	UNH_insurers	1.61137
r_down	SNDK_'s	-0.435631
r_down	MTB_stocks	-0.41932
r_down	BBY_n't	-0.635336
r_down	HD_$	-0.201266
r_down	ROST_sales	-0.7267
r_down	JNJ_$	0.610263
r_down	TRV_higher	-1.07299
r_down	GE_$	0.312995
r_down	MA_$	0.551081
r_down	QCOM_'s	-0.121475
r_down	DPS_stocks	-0.167298
r_down	CRM_up	0.304479
r_down	HPQ_'s	0.0239391
r_down	MRO_5.2	-0.232473
r_down	NFLX_7	-0.054777
r_down	MRO_2013	-0.232473
r_down	AMD_lead	-0.0560939
r_down	RF_$	0.799049
r_down	KEY_$	0.490196
r_down	UTX_$	-0.868185
r_down	AXP_financials	0.016028
r_down	GNW_lower	0.0438154
r_down	XOM_lower	0.614991
r_down	WMB_watch	0.518567
