2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.109695
r_down	HD_'s	-0.100565
r_down	HES_gains	-0.731972
r_down	LMT_'s	0.409319
r_down	M_'s	-0.195898
r_down	LUV_'s	-0.374049
r_down	COST_'s	-0.568658
r_down	M_after	0.381828
r_down	COST_sales	-0.37336
r_down	APA_stocks	-0.584755
r_down	CMG_'s	0.467238
r_down	APA_gains	0.579957
r_down	COST_stocks	0.703766
r_down	HES_stocks	-0.889987
r_down	FDX_outlook	0.161729
r_down	CCI_$	1.13033
r_down	JCP_stocks	-0.227494
r_down	APOL_'s	-0.222367
r_down	M_stocks	0.201231
r_down	LOW_'s	-0.0791
r_down	URBN_stocks	-0.00845422
r_down	NDAQ_'s	0.0661261
r_down	CME_'s	0.254964
r_down	WLP_'s	0.0217122
r_down	CVX_$	-0.379649
r_down	AES_'s	-0.151874
r_down	KEY_'s	0.405505
r_down	WFM_shares	0.465571
r_down	CI_'s	1.08436
r_down	MDT_'s	-0.200851
r_down	CVX_energy	0.143557
r_down	CVX_stocks	0.561931
r_down	CSCO_after	-0.541222
r_down	WFC_'s	-0.206941
r_down	ORCL_'s	-0.325972
r_down	F_sales	0.253394
r_down	T_'s	-0.410905
r_down	NBR_stocks	0.166893
r_down	IBM_'s	0.428885
r_down	HIG_stocks	-0.114791
r_down	AVP_'s	0.213393
r_down	SNDK_shares	0.244601
r_down	VLO_energy	0.249946
r_down	ANF_declining	0.158183
r_down	USB_banks	0.525439
r_down	F_'s	0.0449093
r_down	XOM_stocks	-0.592215
r_down	MCD_'s	-0.10381
r_down	CHK_shares	-0.524172
r_down	GPS_focus	0.647279
r_down	WYNN_$	0.134099
r_down	ADBE_shares	0.297834
r_down	EMC_$	0.0667078
r_down	LLY_stocks	0.979203
r_down	VLO_lead	0.514332
r_down	APC_gains	-0.18941
r_down	KO_$	0.567969
r_down	MRO_$	0.0230531
r_down	KO_'s	-0.0307026
r_down	VLO_$	0.123823
r_down	COF_'s	-0.173922
r_down	GILD_$	-0.268428
r_down	BBT_'s	-0.297053
r_down	GILD_stocks	-0.210723
r_down	MTB_'s	-0.215336
r_down	UTX_'s	-0.751018
r_down	APC_stocks	0.112958
r_down	DVN_stocks	0.894892
r_down	BK_'s	0.12688
r_down	HAL_'s	0.390557
r_down	HAL_stocks	-0.34623
r_down	COF_buy	-0.233791
r_down	SLB_$	0.0273172
r_down	CHK_stocks	0.770638
r_down	RAI_'s	0.134759
r_down	CMA_stocks	-0.292247
r_down	PNC_$	-0.326962
r_down	EMC_'s	-0.09959
r_down	WMB_stocks	0.407205
r_down	MRO_stocks	0.182736
r_down	HES_market	-0.0160142
r_down	CF_'s	-0.182991
r_down	WAG_'s	0.302348
r_down	MRO_'s	0.859152
r_down	V_'s	0.0631006
r_down	COP_'s	-0.402818
r_down	BIIB_'s	-0.212735
r_down	GME_'s	-0.202618
r_down	SPG_'s	0.224416
r_down	PPG_$	-0.391559
r_down	OXY_'s	-0.135126
r_down	AA_'s	-0.46172
r_down	ITW_2010	-0.315384
r_down	SYMC_$	-0.961031
r_down	COP_$	-0.249125
r_down	D_'s	-0.0762517
r_down	APC_n't	0.404227
r_down	TWX_up	-0.456373
r_down	BSX_'s	-0.255134
r_down	NKE_'s	0.380626
r_down	NOC_'s	-0.0543208
r_down	PLL_'s	0.67665
r_down	SBUX_'s	0.612024
r_down	CI_stocks	-0.458629
r_down	BMY_'s	0.0911012
r_down	COST_data	-0.202097
r_down	LLY_'s	-0.143222
r_down	JNPR_tech	-0.0347574
r_down	BBY_gaining	0.0107381
r_down	EMC_stocks	0.724074
r_down	AMGN_stocks	-0.262405
r_down	GPS_'s	-0.12044
r_down	GILD_focus	-0.197408
r_down	CHK_'s	-0.0737873
r_down	ADBE_stocks	0.11363
r_down	USB_$	0.211144
r_down	DFS_sector	-0.82874
r_down	BBY_biggest	0.0107381
r_down	APC_'s	0.103953
r_down	MCO_'s	-0.0884709
r_down	ABT_'s	-0.0171414
r_down	CHK_$	0.19934
r_down	PM_'s	-0.219298
r_down	QCOM_lead	-0.199844
r_down	BBY_declining	0.0107381
r_down	AMD_``	-0.120188
r_down	HSP_'s	0.314604
r_down	RAI_advisories	0.118516
r_down	TXN_'s	-0.295397
r_down	CRM_stocks	-0.0509765
r_down	RAI_$	0.605152
r_down	HON_$	-0.446281
r_down	NVDA_stocks	-0.176744
r_down	PHM_'s	-0.0383454
r_down	RAI_surprises	0.118516
r_down	AMD_''	-0.120188
