2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.211681
r_down	BLK_'s	-0.14692
r_down	BBY_'s	-0.274228
r_down	HD_'s	-0.123593
r_down	NVDA_'s	-0.156911
r_down	UPS_'s	0.0221286
r_down	M_'s	-0.0734677
r_down	LUV_'s	-0.0783917
r_down	CMCSA_'s	0.701536
r_down	APA_gains	-0.125104
r_down	UPS_stocks	0.468955
r_down	COST_stocks	0.0351976
r_down	HES_stocks	0.334737
r_down	TJX_stocks	0.666532
r_down	JCP_'s	-0.0340188
r_down	M_stocks	-0.0476649
r_down	LOW_'s	0.0507443
r_down	PG_'s	-0.428242
r_down	CSCO_rise	-0.00727532
r_down	NDAQ_'s	0.234816
r_down	CME_'s	0.366663
r_down	PNC_'s	-0.414746
r_down	X_'s	-0.193984
r_down	WLP_'s	0.916539
r_down	KO_advisories	-0.366068
r_down	CVX_$	-0.0238715
r_down	PM_watch	0.128354
r_down	STI_'s	0.448278
r_down	PRU_$	0.295399
r_down	AET_'s	-0.311818
r_down	AIG_$	0.143318
r_down	CSCO_watch	-0.252186
r_down	WFM_after	0.341004
r_down	KO_surprises	-0.366068
r_down	MDT_$	0.103379
r_down	USB_'s	0.166237
r_down	WFC_'s	0.0195566
r_down	ORCL_'s	0.13801
r_down	VZ_'s	-0.109748
r_down	T_'s	0.536131
r_down	NBR_stocks	0.849718
r_down	AVP_'s	-0.188097
r_down	VLO_energy	-0.119963
r_down	F_'s	0.420427
r_down	ANF_biggest	0.879955
r_down	MU_shares	0.273315
r_down	NFLX_futures	0.0337045
r_down	MCD_'s	-0.0998247
r_down	CRM_'s	-0.511708
r_down	PRU_focus	0.0672538
r_down	TXN_rally	-0.651956
r_down	NKE_focus	-0.173198
r_down	TSO_stocks	-0.888677
r_down	MET_'s	-0.174244
r_down	PEP_$	-0.134277
r_down	AA_shares	0.148136
r_down	KO_after	-0.0391325
r_down	EMC_$	0.00941229
r_down	LLY_stocks	0.121902
r_down	HD_data	0.672717
r_down	KO_$	-1.00826
r_down	MRO_$	0.139968
r_down	KO_'s	-0.0523749
r_down	CMA_sector	-0.622419
r_down	PCG_$	-0.03213
r_down	VLO_$	-0.159144
r_down	COF_'s	-0.188598
r_down	BBT_'s	-0.077115
r_down	STT_sector	-0.110097
r_down	MTB_'s	-0.414522
r_down	FITB_'s	0.450676
r_down	BK_'s	0.0829762
r_down	HAL_stocks	-0.793251
r_down	USB_declining	0.0778447
r_down	USB_gaining	0.0778447
r_down	CHK_stocks	0.520955
r_down	RAI_'s	0.278057
r_down	HBAN_down	0.452641
r_down	USB_biggest	0.0778447
r_down	EMC_'s	0.079369
r_down	HAL_$	0.27148
r_down	MCK_'s	-0.0133962
r_down	CF_'s	0.822246
r_down	BIG_'s	-0.0613316
r_down	MRO_'s	-0.180576
r_down	HUM_$	-0.538356
r_down	LLY_n't	-0.139314
r_down	COP_'s	0.37209
r_down	GLW_$	-0.359123
r_down	PPG_$	-0.478073
r_down	TWX_'s	-0.0533729
r_down	VLO_'s	-0.311903
r_down	AA_'s	-0.16013
r_down	SYMC_$	-0.193842
r_down	COP_$	0.0570469
r_down	D_'s	-0.14982
r_down	APC_n't	0.539023
r_down	DPS_'s	0.132414
r_down	PEP_'s	0.0570291
r_down	COST_stock	-0.0610574
r_down	K_'s	0.0667027
r_down	GCI_'s	0.0180788
r_down	JNPR_but	0.340418
r_down	AA_higher	-0.30952
r_down	AA_data	0.0969338
r_down	PBCT_'s	-0.0881033
r_down	EA_'s	-0.166556
r_down	PLL_'s	0.61288
r_down	SBUX_'s	0.216476
r_down	LOW_stocks	-0.00839615
r_down	KR_profit	0.185478
r_down	XLNX_$	0.233552
r_down	BMY_'s	-0.663612
r_down	LLY_'s	0.08117
r_down	MDLZ_'s	-0.6262
r_down	DVN_'s	-0.858781
r_down	ADBE_close	0.202082
r_down	EMC_stocks	0.150872
r_down	FLR_'s	0.181865
r_down	GPS_'s	0.414787
r_down	DFS_stocks	1.3314
r_down	GILD_focus	-0.15772
r_down	CHK_'s	0.1063
r_down	WIN_$	0.342939
r_down	BBT_$	0.508305
r_down	APC_'s	-0.14271
r_down	AMGN_'s	0.291128
r_down	MCO_'s	-0.142019
r_down	MDLZ_focus	-0.468954
r_down	ABT_'s	0.0346435
r_down	APC_$	0.402186
r_down	CHK_$	0.551437
r_down	QCOM_lead	-0.0821113
r_down	COF_stocks	-0.194849
r_down	HSP_'s	0.661681
r_down	BRCM_gains	0.149725
r_down	TXN_'s	-0.347596
r_down	ADBE_gains	-0.454491
r_down	CRM_stocks	0.334707
r_down	AMD_rally	-0.865483
r_down	LEN_'s	-0.664626
r_down	BRCM_stocks	0.0746556
r_down	FDX_2010	-0.556943
r_down	NVDA_stocks	-0.16049
r_down	LEN_stocks	-0.20234
r_down	PHM_'s	0.0122378
r_down	NVDA_gains	-0.0545178
r_down	UNH_'s	0.267309
r_down	EA_shares	-0.27616
r_down	FDX_stocks	-0.13045
r_down	ACN_rise	-0.210322
r_down	CCL_surprises	-0.569644
r_down	NKE_futures	-0.242201
r_down	V_shares	-0.377295
r_down	BHI_'s	0.155443
r_down	CCL_advisories	-0.569644
r_down	ACN_futures	-0.231989
r_down	MRO_lead	0.0462146
r_down	MU_stocks	-0.0506804
r_down	ROK_'s	0.238195
r_down	GME_stocks	0.27473
r_down	CBS_'s	0.158469
r_down	GNW_stocks	-0.0423146
r_down	YUM_'s	0.00953736
r_down	BMY_stocks	0.441851
r_down	MDT_stocks	0.778068
r_down	NOV_lead	0.612193
r_down	ADP_jobs	0.318204
r_down	NVDA_sector	0.100172
r_down	HES_'s	-1.01767
r_down	TXN_stocks	-0.0451044
r_down	FDO_stocks	-0.927072
r_down	FDO_biggest	-0.175429
r_down	FDO_'s	-0.912747
r_down	IP_stocks	-0.0470839
r_down	MAR_'s	0.250172
r_down	WAG_gaining	0.142329
r_down	TSO_'s	0.404594
r_down	IP_'s	0.145056
r_down	OMC_'s	0.0380799
r_down	STZ_focus	0.40976
r_down	LLY_$	0.389255
r_down	WAG_stocks	0.197386
r_down	WAG_biggest	0.142329
r_down	BTU_stocks	0.0294926
r_down	SRE_$	-0.4509
r_down	AXP_$	-0.129633
r_down	AGN_'s	-0.594883
r_down	CRM_shares	0.290825
r_down	TXN_$	0.125503
r_down	LUV_5	-0.0699425
r_down	AA_stocks	0.121511
r_down	NTAP_'s	-0.0749873
r_down	CAT_'s	0.211749
r_down	WHR_'s	0.201783
r_down	VIAB_$	-0.182836
r_down	LNC_'s	-0.0404104
r_down	ROST_stocks	-0.361894
r_down	GPS_profit	0.531539
r_down	JCP_sales	-1.17574
r_down	ROST_'s	0.437992
r_down	NTAP_biggest	-0.000134576
r_down	TWC_'s	-0.208128
r_down	V_$	-0.780792
r_down	BK_$	-0.108766
r_down	ADBE_tech	0.289066
r_down	ABT_2	1.29376
r_down	MA_stocks	0.0709054
r_down	CME_stocks	-0.499498
r_down	KO_futures	-0.470411
r_down	KEY_stocks	0.321688
r_down	HIG_$	0.114311
r_down	NEM_$	-0.215901
r_down	PCG_stocks	0.459807
r_down	PCLN_focus	0.641195
r_down	VIAB_'s	0.112571
r_down	ADM_stocks	0.30433
r_down	DF_stocks	-0.433391
r_down	DUK_'s	-0.118978
r_down	WFM_stocks	0.378889
r_down	LUV_airlines	0.515399
r_down	DF_surprises	0.0295582
r_down	HRB_$	-0.202836
r_down	DF_advisories	0.0295582
r_down	VLO_lower	0.660237
r_down	ANF_retailers	0.67116
r_down	QCOM_$	-0.29189
r_down	COST_retailers	0.407296
r_down	AES_$	0.733626
r_down	QCOM_'s	-0.250734
r_down	DE_'s	-0.686996
r_down	BRCM_$	0.18662
r_down	PG_profit	-0.320429
r_down	SLB_energy	-0.215753
r_down	HUM_stocks	-1.01076
r_down	CCL_stocks	-0.135592
r_down	DD_stocks	0.0058905
r_down	ORCL_$	0.0514473
r_down	WAG_stock	0.062398
r_down	CSCO_'s	-0.0223659
