2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.0929815
r_down	LEN_advisories	0.0565551
r_down	BLK_'s	-0.387626
r_down	BBY_'s	-0.124824
r_down	HES_gains	-0.0961685
r_down	LMT_'s	0.655991
r_down	UPS_'s	-0.403508
r_down	M_'s	0.0727845
r_down	M_retail	-0.118999
r_down	LUV_'s	0.0523398
r_down	COST_'s	0.329401
r_down	COST_surprises	-0.373745
r_down	BBY_sales	-0.231448
r_down	CMCSA_'s	0.133123
r_down	VLO_stocks	-0.307822
r_down	COST_advisories	-0.373745
r_down	CMG_'s	0.534004
r_down	OXY_stocks	0.281676
r_down	COST_stocks	0.540253
r_down	HES_stocks	-0.0820914
r_down	BBBY_retail	-0.0655659
r_down	ANF_'s	0.176508
r_down	LEN_surprises	0.0565551
r_down	CCI_$	0.949078
r_down	BBY_stocks	0.15445
r_down	JCP_stocks	0.171949
r_down	JCP_data	0.20496
r_down	CMG_stocks	0.100604
r_down	X_steel	0.434744
r_down	JCP_'s	-0.061433
r_down	LOW_'s	-0.113687
r_down	MET_$	0.218241
r_down	PG_'s	0.30132
r_down	URBN_stocks	-0.395241
r_down	CME_'s	0.429653
r_down	PNC_'s	-0.235133
r_down	KO_watch	-0.988765
r_down	ICE_'s	-0.513559
r_down	CVX_$	-0.330663
r_down	STI_'s	0.338951
r_down	AET_'s	-0.125103
r_down	AIG_$	-0.077638
r_down	RF_'s	-0.158213
r_down	MDT_'s	0.487141
r_down	WFM_after	0.0116353
r_down	CVX_stocks	0.290772
r_down	CSCO_after	-0.736564
r_down	AKAM_watch	-0.417628
r_down	MDT_$	0.316781
r_down	USB_'s	0.0865582
r_down	ORCL_'s	0.281753
r_down	T_'s	-0.0245978
r_down	IBM_'s	-0.130358
r_down	FSLR_energy	-0.416772
r_down	AVP_'s	0.177569
r_down	M_$	-0.199581
r_down	SNDK_after	0.351182
r_down	KEY_banks	-0.929804
r_down	AIG_'s	0.178523
r_down	USB_banks	0.10839
r_down	COF_banks	1.09339
r_down	F_'s	0.610094
r_down	BA_'s	0.0857103
r_down	ANF_biggest	0.0410129
r_down	MCD_'s	-0.0540596
r_down	CRM_'s	-1.12883
r_down	CHK_shares	-0.00133134
r_down	TXN_rally	-1.01533
r_down	TSO_stocks	-0.158539
r_down	JWN_stocks	0.607996
r_down	MET_'s	-0.53271
r_down	NKE_surprises	-0.149398
r_down	JWN_retail	0.111599
r_down	NKE_advisories	-0.149398
r_down	CHK_gas	-0.783787
r_down	EMC_$	0.218229
r_down	LLY_stocks	1.26101
r_down	APC_lead	0.279492
r_down	KO_$	-0.389948
r_down	MRO_$	0.249017
r_down	PCG_$	-0.914579
r_down	COF_'s	-0.0454782
r_down	BK_gains	-0.100689
r_down	BRCM_2009	-0.0794408
r_down	UTX_'s	-0.507348
r_down	BK_'s	-0.0607298
r_down	HAL_stocks	-0.713736
r_down	CHK_stocks	0.218578
r_down	HBAN_results	-0.584101
r_down	EXC_stocks	0.0266829
r_down	SCHW_stocks	0.213372
r_down	PNC_$	0.251161
r_down	EMC_'s	0.40108
r_down	CF_'s	0.184609
r_down	BIG_'s	-0.0383754
r_down	WAG_'s	-0.18913
r_down	V_'s	0.156665
r_down	COP_'s	0.331486
r_down	SPG_'s	-0.0720481
r_down	PPG_$	-0.0718755
r_down	TWX_'s	0.142679
r_down	VLO_'s	0.0346962
r_down	JDSU_'s	-0.337891
r_down	ITW_2010	-0.586255
r_down	COF_$	0.00685675
r_down	SYMC_$	-0.658202
r_down	APC_n't	1.57081
r_down	BSX_'s	-0.821769
r_down	K_'s	0.0205956
r_down	AA_data	0.245829
r_down	TXN_late	0.353129
r_down	PBCT_'s	-0.448647
r_down	EA_'s	0.157073
r_down	AA_jobs	0.176446
r_down	PLL_'s	0.0949184
