2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.562975
r_up	BLK_'s	-0.179187
r_up	HD_'s	-0.455178
r_up	NVDA_'s	-0.192364
r_up	M_'s	0.0525369
r_up	COST_'s	-0.0947859
r_up	LUV_stocks	0.597498
r_up	ALL_n't	0.760004
r_up	COST_sales	-0.0711827
r_up	M_data	-0.420236
r_up	CMCSA_'s	-0.23421
r_up	AMAT_gains	0.0461061
r_up	HES_stocks	1.03366
r_up	JCP_stocks	0.39745
r_up	APOL_'s	0.389312
r_up	M_stocks	-0.0149646
r_up	MET_$	0.10933
r_up	AMD_'s	0.192821
r_up	NDAQ_'s	-0.439504
r_up	CME_'s	0.374419
r_up	PNC_'s	0.526034
r_up	WLP_'s	-0.121633
r_up	EW_$	0.470769
r_up	STI_'s	-0.541307
r_up	PRU_$	-0.389468
r_up	AET_'s	0.0809151
r_up	RF_'s	-0.0328727
r_up	CVX_stocks	-0.192955
r_up	AKAM_watch	1.95094
r_up	URBN_gaining	1.10411
r_up	USB_'s	-0.345715
r_up	WFC_'s	0.314684
r_up	ORCL_'s	0.0249329
r_up	T_'s	-0.535912
r_up	IBM_'s	-0.307345
r_up	AVP_'s	-0.91167
r_up	AIG_'s	-0.0844525
r_up	FSLR_stocks	-0.111261
r_up	USB_banks	-0.999469
r_up	F_'s	-0.108958
r_up	NFLX_futures	-0.257744
r_up	MCD_'s	0.17849
r_up	NUE_surprises	-0.152457
r_up	CRM_'s	0.0745168
r_up	KO_8217	-0.0772658
r_up	CHK_gains	-0.806318
r_up	TSO_stocks	-0.248328
r_up	JWN_stocks	0.00323321
r_up	PEP_$	-0.0111934
r_up	ADBE_deal	-0.0254045
r_up	NUE_advisories	-0.152457
r_up	KO_s	-0.0772658
r_up	LLY_stocks	-0.160839
r_up	NTAP_$	0.108838
r_up	APC_shares	-0.213428
r_up	DRI_'s	-0.149126
r_up	KO_$	-0.0324594
r_up	MRO_$	-0.510744
r_up	PCG_$	-0.157675
r_up	COF_'s	0.271402
r_up	HBAN_'s	0.517243
r_up	FITB_'s	-0.255548
r_up	APC_stocks	0.19042
r_up	DVN_stocks	-0.33889
r_up	BK_'s	0.203745
r_up	HAL_'s	-0.161587
r_up	CAM_stocks	0.0810109
r_up	CHK_stocks	-0.841145
r_up	EXC_stocks	-0.11345
r_up	SPLS_stocks	-1.00887
r_up	DOW_'s	-0.0573909
r_up	WMB_stocks	0.557599
r_up	MRO_stocks	0.234919
r_up	CF_'s	-0.0810885
r_up	BIG_'s	-0.639588
r_up	WAG_'s	0.17276
r_up	WAG_$	0.0237853
r_up	BIIB_'s	0.210828
r_up	SPG_'s	0.23961
r_up	TWX_'s	0.0598929
r_up	OXY_'s	0.00721683
r_up	VLO_'s	0.235902
r_up	AA_'s	0.168921
r_up	KSS_data	-0.145135
r_up	MMM_stocks	-0.326265
r_up	DPS_'s	-0.269731
r_up	PEP_'s	-0.171193
r_up	COST_stock	0.709514
r_up	TXN_shares	-0.154703
r_up	BSX_'s	0.148649
r_up	GCI_'s	-0.115605
r_up	ACN_'s	0.626727
r_up	TXN_late	-0.00424661
r_up	PBCT_'s	0.308456
