2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.00786556
r_down	BLK_'s	-0.0518272
r_down	BBY_'s	-0.384201
r_down	NVDA_'s	-0.0256263
r_down	LMT_'s	0.0237547
r_down	M_'s	0.0155278
r_down	LUV_'s	0.0603068
r_down	COST_'s	-0.18281
r_down	AMAT_stocks	0.410245
r_down	CMCSA_'s	0.3795
r_down	TWX_2010	0.0953634
r_down	VLO_stocks	0.0609223
r_down	CMG_'s	0.245344
r_down	OXY_stocks	0.00591142
r_down	VLO_refiners	-0.0834589
r_down	COST_stocks	0.473606
r_down	HES_stocks	0.154978
r_down	BBY_stocks	0.110595
r_down	JCP_data	1.19044
r_down	JCP_'s	-0.300805
r_down	LOW_'s	-0.0345282
r_down	AMD_'s	0.162907
r_down	URBN_stocks	-0.839564
r_down	CME_'s	0.645945
r_down	PNC_'s	-0.185979
r_down	WLP_'s	0.779942
r_down	CVX_$	-0.503197
r_down	MET_watch	0.466046
r_down	AIG_$	-0.0893446
r_down	KEY_'s	-0.440451
r_down	WFM_shares	0.290257
r_down	CL_'s	0.116192
r_down	CVX_stocks	0.994643
r_down	MDT_$	0.0397292
r_down	CTL_'s	0.692687
r_down	WFC_'s	-0.0851773
r_down	VZ_'s	0.27202
r_down	T_'s	-0.351486
r_down	MUR_stocks	0.0605931
r_down	AVP_'s	-0.11349
r_down	M_$	-0.290116
r_down	KEY_banks	-0.235147
r_down	AIG_'s	0.106597
r_down	USB_banks	0.186583
r_down	DRI_stocks	-0.572264
r_down	F_'s	-0.0187204
r_down	MCD_'s	0.0931827
r_down	TXN_rally	-0.953121
r_down	TSO_stocks	-0.0812254
r_down	NBL_$	-0.257144
r_down	CHK_gas	-1.60027
r_down	LLY_stocks	0.201801
r_down	MRO_$	0.549641
r_down	KO_'s	-0.475151
r_down	PCG_$	-0.382721
r_down	VLO_$	0.419973
r_down	COF_'s	0.0303833
r_down	BBT_'s	-0.153397
r_down	GILD_stocks	-0.145458
r_down	FITB_'s	0.3933
r_down	UTX_'s	-0.251492
r_down	BK_'s	-0.0714025
r_down	HAL_'s	0.168727
r_down	HAL_stocks	-0.791257
r_down	USB_declining	0.187393
r_down	USB_gaining	0.187393
r_down	CAM_stocks	0.426344
r_down	MRO_gains	0.175695
r_down	SCHW_stocks	0.00308384
r_down	USB_biggest	0.187393
r_down	WMB_stocks	0.316279
r_down	BK_stocks	0.738157
r_down	SLB_stocks	0.133168
r_down	MRO_stocks	0.380128
r_down	CF_'s	0.327225
r_down	EXC_'s	0.101144
r_down	MRO_'s	-0.00629675
r_down	V_'s	-0.239337
r_down	SWY_$	0.283479
r_down	TWX_'s	0.210317
r_down	OXY_'s	-0.134311
r_down	VLO_'s	0.0472798
r_down	JDSU_'s	-0.584029
r_down	PG_$	0.321334
r_down	COF_$	0.333916
r_down	SYMC_$	-1.65705
r_down	COP_$	0.493144
r_down	D_'s	-0.290184
r_down	DVN_$	0.189299
r_down	APC_n't	1.02243
r_down	COST_stock	-1.48861
r_down	K_'s	0.413088
r_down	COST_focus	-0.129396
r_down	PBCT_'s	-0.106229
r_down	EA_'s	0.262481
r_down	COST_up	-0.457205
r_down	BIIB_stocks	0.0244646
r_down	LLY_'s	0.317247
r_down	MDLZ_'s	-0.161626
r_down	DVN_'s	-0.698981
r_down	EMC_stocks	0.0532917
r_down	AMGN_stocks	-0.743482
r_down	GPS_'s	0.0739977
r_down	CHK_'s	0.156628
r_down	WIN_$	0.809067
r_down	BBT_$	0.463377
r_down	V_stocks	-0.244001
r_down	APC_'s	-0.160013
r_down	NKE_stocks	-0.168811
r_down	AMGN_'s	0.133292
r_down	MCO_'s	0.0796458
r_down	APC_$	0.00352074
r_down	CHK_$	0.208259
r_down	BBY_watch	0.335899
