2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.288668
r_down	BLK_'s	-0.14998
r_down	NVDA_'s	-0.0357201
r_down	LMT_'s	0.739143
r_down	M_retail	-0.425922
r_down	COST_'s	0.271961
r_down	APOL_stocks	0.136807
r_down	VLO_stocks	-0.233352
r_down	VLO_gains	-0.140284
r_down	OXY_stocks	0.16081
r_down	HES_stocks	0.333722
r_down	ANF_stocks	0.0392618
r_down	CCI_$	0.379582
r_down	BBY_stocks	0.430565
r_down	JCP_stocks	-0.368906
r_down	JCP_'s	-0.169926
r_down	M_stocks	-0.0947521
r_down	LOW_'s	-0.0011521
r_down	MET_$	-0.0166576
r_down	PG_'s	0.0639518
r_down	NDAQ_'s	0.0402141
r_down	SJM_surprises	-0.0807146
r_down	CME_'s	0.163713
r_down	PNC_'s	-0.290892
r_down	CVX_$	0.143442
r_down	STI_'s	0.298108
r_down	KEY_'s	-0.307619
r_down	WFM_shares	0.781352
r_down	MET_surprises	-0.33972
r_down	SJM_advisories	-0.0807146
r_down	CVX_stocks	0.0746528
r_down	AIG_focus	-0.0421258
r_down	CSCO_18	1.1719
r_down	MDT_$	0.128562
r_down	WYNN_watch	0.193884
r_down	ORCL_'s	-0.379823
r_down	F_sales	0.678674
r_down	VZ_'s	0.334444
r_down	T_'s	-0.310507
r_down	ANF_gaining	0.668093
r_down	AIG_'s	-0.154196
r_down	FSLR_stocks	0.311417
r_down	USB_banks	0.00952644
r_down	XOM_stocks	-0.0399988
r_down	BA_'s	-0.212147
r_down	ANF_biggest	0.108909
r_down	MCD_'s	-0.0810581
r_down	CRM_'s	-0.193789
r_down	TXN_rally	-0.755445
r_down	APC_gas	0.200233
r_down	NKE_profit	-0.843743
r_down	TSO_stocks	-0.390804
r_down	WYNN_$	-0.00234477
r_down	MET_'s	-0.0760106
r_down	PEP_$	-0.0588508
r_down	KO_after	-1.02701
r_down	CHK_lead	-0.251091
r_down	OXY_lead	0.489919
r_down	CHK_gas	-0.200089
r_down	GIS_'s	0.615155
r_down	LLY_stocks	0.460817
r_down	HD_data	0.269496
r_down	KO_$	-0.213201
r_down	MRO_$	0.560881
r_down	VLO_$	0.386406
r_down	COF_'s	-0.360934
r_down	EMR_'s	0.193894
r_down	GILD_$	-1.33986
r_down	MTB_'s	-0.0749299
r_down	FITB_'s	0.511156
r_down	SPLS_futures	0.061809
r_down	DVN_stocks	-0.182121
r_down	BK_'s	-0.369944
r_down	HAL_'s	0.459321
r_down	HAL_stocks	-0.860147
r_down	SLB_$	0.328613
r_down	CAM_stocks	0.321072
r_down	CHK_stocks	0.80613
r_down	SCHW_stocks	0.434846
r_down	HBAN_down	1.43801
r_down	DOW_'s	-0.372018
r_down	EMC_'s	0.106967
r_down	BK_stocks	0.476095
r_down	SPLS_'s	-0.189745
r_down	EXC_'s	0.52094
r_down	WAG_'s	0.260729
r_down	V_'s	0.358802
r_down	COP_'s	0.112927
r_down	BIIB_'s	0.0818343
r_down	FCX_'s	0.528476
r_down	VLO_'s	-0.306175
r_down	JDSU_'s	0.429544
r_down	AA_'s	-0.0218918
r_down	D_'s	-0.291293
r_down	DVN_$	-0.117638
r_down	DPS_'s	0.123171
r_down	EIX_$	-0.0568416
r_down	PEP_'s	0.171608
r_down	TXN_shares	0.329088
r_down	BSX_'s	-0.430932
r_down	NKE_'s	0.622326
r_down	COST_after	-0.344899
r_down	K_'s	0.312406
r_down	GCI_'s	0.0350766
r_down	PBCT_'s	-0.470584
r_down	TWX_$	-0.475518
r_down	PLL_'s	-0.715706
r_down	SBUX_'s	0.239962
r_down	LOW_stocks	0.164603
r_down	KR_profit	0.241697
r_down	WU_'s	0.0344198
r_down	LLY_'s	-0.39636
r_down	JNPR_tech	0.486613
r_down	STI_gaining	0.601325
r_down	HSY_'s	0.305878
r_down	DFS_stocks	0.744887
r_down	CHK_'s	0.16231
r_down	USB_$	-0.23787
r_down	V_stocks	-0.0477471
r_down	STI_biggest	0.601325
r_down	NKE_stocks	0.277609
r_down	AMGN_'s	0.00737473
r_down	MCO_'s	-0.0193693
r_down	MDLZ_focus	-0.637542
r_down	ABT_'s	-0.244349
r_down	AEP_$	-0.0926619
r_down	CHK_$	0.204654
r_down	COF_stocks	-0.293203
r_down	QCOM_telecoms	-0.564164
r_down	COST_outlook	-0.0347548
r_down	BRCM_gains	0.604064
r_down	TXN_'s	-0.124583
r_down	ADBE_gains	-0.123806
r_down	AMD_chip	-0.10537
r_down	AMD_rally	-0.0282471
r_down	AMD_stocks	0.38614
r_down	HON_$	-0.0576238
r_down	PHM_stocks	-0.636429
r_down	NVDA_stocks	-0.633961
r_down	LEN_stocks	0.121629
r_down	PRU_'s	0.0575095
r_down	PRU_stocks	0.0111719
r_down	NVDA_gains	0.12976
r_down	BRCM_after	-1.12468
r_down	DHI_$	0.295253
r_down	EA_shares	-0.298133
r_down	DHR_$	0.445242
r_down	NKE_stock	-0.503587
r_down	FDX_'s	0.612849
r_down	ABT_$	0.654448
r_down	MU_results	-0.826642
r_down	SLB_gains	1.08965
r_down	ZION_$	-0.145221
r_down	CBS_'s	0.504878
r_down	YUM_'s	0.282075
r_down	MDT_focus	0.682069
r_down	BMY_stocks	0.115173
r_down	CHK_energy	-0.0607032
r_down	AMD_focus	-0.0304252
r_down	NVDA_sector	0.800927
r_down	RDC_stocks	0.10619
r_down	AMD_sector	0.875804
r_down	PG_stocks	-0.416136
r_down	TXN_stocks	-0.317529
r_down	PFG_n't	0.342997
r_down	TXN_sector	0.0680716
r_down	FDO_'s	-0.296529
r_down	ADBE_'s	-0.0786524
r_down	FCX_stocks	0.999119
r_down	NOV_stocks	0.775181
r_down	LUV_$	0.118017
r_down	IP_stocks	-0.357269
r_down	MAR_'s	0.942772
r_down	TSO_'s	0.822598
r_down	IP_'s	0.669798
r_down	CNX_stocks	-0.652584
r_down	MU_'s	-0.349116
r_down	SCHW_'s	-0.22518
r_down	BMY_$	-0.0798973
r_down	BTU_stocks	-0.0557693
r_down	MU_losses	0.122668
r_down	EA_sector	-0.682589
r_down	AXP_$	0.34685
r_down	AGN_'s	-0.448547
r_down	TXN_$	-0.444908
r_down	LUV_5	-0.17868
r_down	GPS_mixed	-0.0553768
r_down	NTAP_'s	0.37879
r_down	HAR_'s	0.19325
r_down	THC_'s	-0.536071
r_down	SWN_crude	-0.242579
r_down	NTAP_gains	0.214389
r_down	VIAB_$	-0.154579
r_down	LH_'s	0.746726
r_down	PETM_'s	0.00791574
r_down	NTAP_close	0.884458
r_down	RF_stocks	-0.147268
r_down	ROST_'s	0.700113
r_down	PG_oil	-0.0693842
r_down	SO_'s	0.0840613
r_down	V_$	-0.0348121
r_down	LOW_drop	0.449524
r_down	STI_banks	0.937241
r_down	R_'s	0.0812791
r_down	MCD_stocks	-0.016229
r_down	KO_stocks	-0.046012
r_down	M_holiday	-0.12055
r_down	HIG_$	-0.0525687
r_down	NEM_$	-0.135081
r_down	KEY_$	-0.276512
r_down	VIAB_'s	-0.184082
r_down	WY_'s	-0.0167336
r_down	WFM_'s	-0.0817785
r_down	TRV_stocks	0.0386234
r_down	CSC_stocks	-0.107729
r_down	DUK_'s	-0.193636
r_down	MYL_'s	0.0539141
r_down	QCOM_$	-0.193265
r_down	WFM_profit	0.00674924
r_down	VRSN_'s	0.779779
r_down	QCOM_'s	-0.196851
r_down	ICE_lower	0.291378
r_down	KSS_'s	-0.119361
r_down	VLO_oil	0.215228
r_down	QCOM_stocks	-0.149591
r_down	SLB_oil	-0.0496568
r_down	VLO_shares	-0.197376
r_down	NKE_+12	-0.0436215
r_down	NVDA_$	-0.0247359
r_down	INTC_'s	0.14856
r_down	DLTR_$	0.368293
r_down	ORCL_gain	-0.174261
r_down	CSCO_'s	0.524219
r_down	EBAY_'s	0.129362
r_down	AXP_n't	-0.435807
r_down	NFLX_'s	-0.0175307
r_down	HAL_energy	0.272525
r_down	ORCL_tech	0.205795
r_down	APC_fall	0.661158
r_down	COP_stocks	-0.226853
r_down	MAT_'s	0.0526461
r_down	HOT_'s	0.307863
r_down	TIF_focus	-0.592487
r_down	DFS_$	0.282405
r_down	AXP_'s	-0.0308294
r_down	TIF_stocks	-0.61094
r_down	TIF_profit	-0.194452
r_down	MON_'s	-0.311106
r_down	YUM_watch	-0.18657
r_down	MCD_2	-0.123856
r_down	GE_'s	-0.0251288
r_down	DE_$	-0.334988
r_down	NEM_'s	-0.351281
r_down	BIIB_gaining	0.219825
r_down	CI_focus	0.259315
r_down	CSX_'s	-0.19657
r_down	UTX_$	-0.0163469
r_down	TXN_chip	0.0969822
r_down	M_rise	-0.101328
r_down	TXN_mild	0.0157371
r_down	MRK_'s	0.364163
r_down	NKE_$	0.381957
r_down	M_focus	0.266242
r_down	FSLR_declining	-0.138147
r_down	FSLR_'s	-0.262953
r_down	WDC_'s	0.201025
r_down	PM_$	1.2197
r_down	FSLR_gaining	-0.138147
r_down	ITW_'s	0.345209
r_down	KSS_stocks	0.148417
r_down	FFIV_stocks	-0.248237
r_down	STJ_$	0.0419022
r_down	XOM_'s	-0.142966
r_down	WFC_$	0.215384
r_down	TRV_off	0.0629715
r_down	JOY_'s	0.375366
r_down	CAT_stock	-0.499456
r_down	MO_$	-0.671662
r_down	STT_'s	-0.46999
r_down	CVC_$	-0.24497
r_down	ETN_$	-0.0605127
r_down	AMGN_earnings	-0.0880964
r_down	GWW_$	-0.0801172
r_down	COG_energy	-0.841187
r_down	HOG_'s	-0.136417
r_down	KEY_gaining	0.87448
r_down	HOG_stocks	-0.0526783
r_down	BAX_'s	0.477778
r_down	KEY_n't	-0.246867
r_down	ALTR_'s	-0.863357
r_down	EA_stocks	-0.299148
r_down	BAX_stocks	-0.0643974
r_down	AXP_fall	1.26878
r_down	HPQ_gains	-0.162559
r_down	CNX_energy	-0.0647463
r_down	CBS_$	0.199517
r_down	BEN_stocks	-0.158317
r_down	TER_stocks	-0.409753
r_down	DO_energy	-0.148177
r_down	T_10	-0.196943
r_down	IBM_stocks	-0.657083
r_down	ETR_'s	-1.00118
r_down	BIIB_12	0.299532
r_down	HD_$	-0.802036
r_down	ANF_sales	-0.24173
r_down	MMM_'s	0.585384
r_down	AMGN_$	-0.136125
r_down	MSI_'s	-0.0694835
r_down	CHK_oil	0.50778
r_down	SYK_'s	-0.237296
r_down	HPQ_techs	-0.554881
r_down	CHK_rise	-0.627498
r_down	JNJ_'s	0.308571
r_down	INTC_shares	-0.128233
r_down	INTC_$	-0.357429
r_down	NFLX_watch	0.0722046
r_down	DOW_n't	-0.743866
r_down	GD_watch	-0.37788
r_down	KR_'s	-0.140798
r_down	ABT_drug	-1.30034
r_down	SYK_$	-0.601149
r_down	JWN_'s	-0.293216
r_down	M_drop	0.434222
r_down	HES_$	0.748473
r_down	AMAT_fall	0.492105
r_down	DVN_gains	-0.075286
r_down	JDSU_stocks	-0.141603
r_down	MCO_rating	-0.0390252
r_down	HBAN_stocks	-1.14763
r_down	DOW_after	-1.14367
r_down	LNC_stocks	-0.0200083
r_down	TWX_n't	-0.332217
r_down	AA_results	0.422408
r_down	LNC_$	0.560675
r_down	AA_gains	-0.700696
r_down	AA_gain	-1.00221
r_down	AA_focus	0.779367
r_down	PNC_banks	0.0451625
r_down	GNW_'s	0.250716
r_down	M_mixed	-0.239567
