2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.762277
r_down	NVDA_market	0.288201
r_down	BBY_'s	-0.295797
r_down	HD_'s	0.0755145
r_down	NVDA_'s	-0.0709269
r_down	HES_gains	-0.141923
r_down	M_'s	-0.0485973
r_down	LUV_stocks	-0.548778
r_down	AMAT_stocks	0.218771
r_down	ALL_n't	-0.999017
r_down	APOL_stocks	0.458715
r_down	BBBY_stocks	-0.74872
r_down	CMCSA_'s	0.250294
r_down	VLO_stocks	-0.0804105
r_down	OXY_stocks	0.631674
r_down	APA_gains	0.950095
r_down	UPS_stocks	0.0992034
r_down	AMAT_up	1.02074
r_down	ANF_'s	0.322445
r_down	TJX_stocks	0.0802107
r_down	BBY_stocks	0.216437
r_down	CSX_stock	-0.197306
r_down	M_stocks	-0.294093
r_down	LOW_'s	0.0914072
r_down	MET_$	-0.21129
r_down	PG_'s	0.0120154
r_down	CSCO_rise	-0.19999
r_down	AMD_'s	-0.284811
r_down	URBN_stocks	-0.00785826
r_down	SJM_surprises	-0.0685193
r_down	CME_'s	0.496039
r_down	X_'s	0.0162042
r_down	EW_$	-0.359119
r_down	BK_higher	-0.341364
r_down	KO_advisories	-0.192884
r_down	CVX_$	-0.413087
r_down	PRU_$	-0.0122918
r_down	AET_'s	-0.550067
r_down	RF_'s	0.296083
r_down	CSCO_watch	-0.624109
r_down	SJM_advisories	-0.0685193
r_down	CI_'s	0.586373
r_down	CL_'s	-0.131888
r_down	CVX_stocks	0.214383
r_down	STX_'s	-0.218334
r_down	KO_surprises	-0.192884
r_down	CSCO_shares	-0.309583
r_down	MDT_$	0.0554608
r_down	USB_'s	0.47842
r_down	WFC_'s	-0.0335282
r_down	VZ_'s	0.13395
r_down	IBM_'s	-0.055793
r_down	AVP_$	0.193917
r_down	KEY_banks	-0.859907
r_down	AIG_'s	0.296447
r_down	F_'s	0.394389
r_down	TAP_'s	0.140626
r_down	BA_'s	-0.129691
r_down	ANF_biggest	0.440671
r_down	PFG_'s	-0.00205976
r_down	MCD_'s	0.0700347
r_down	VLO_rally	-1.19862
r_down	CRM_'s	-0.507127
r_down	TXN_rally	-0.669658
r_down	GPS_focus	-0.374022
r_down	TSO_stocks	-0.111433
r_down	JWN_stocks	-0.456681
r_down	LOW_sector	0.309984
r_down	AA_shares	-0.0120367
r_down	ADBE_shares	-0.0239473
r_down	CHK_lead	-0.156657
r_down	APC_gains	-0.0299558
r_down	KO_$	0.176923
r_down	MRO_$	0.516781
r_down	KO_'s	-0.151594
r_down	PCG_$	-0.657011
r_down	BBT_'s	-0.491093
r_down	HBAN_'s	-0.872694
r_down	OXY_crude	-0.0202958
r_down	CAH_'s	-0.21314
r_down	APC_stocks	0.190076
r_down	DVN_stocks	-0.177765
r_down	KR_advisories	0.0576138
r_down	HAL_'s	-0.127574
r_down	ABC_'s	0.432404
r_down	CAM_stocks	0.0878501
r_down	CHK_stocks	0.188414
r_down	SPLS_stocks	0.615839
r_down	EMC_'s	0.411724
r_down	HAL_$	-0.108372
r_down	KR_surprises	0.0576138
r_down	DO_'s	-0.0264833
r_down	BIG_'s	-0.634269
