2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.239858
r_up	NVDA_market	-0.187548
r_up	BLK_'s	0.404568
r_up	BBY_'s	0.498816
r_up	NVDA_'s	-0.590053
r_up	UPS_'s	0.603618
r_up	M_'s	-0.14544
r_up	COST_'s	0.282946
r_up	LUV_stocks	-0.375726
r_up	ALL_n't	0.0016713
r_up	BBBY_stocks	0.871085
r_up	M_data	-0.0329149
r_up	BBY_sales	0.21693
r_up	CMCSA_'s	0.111577
r_up	VLO_stocks	0.561433
r_up	APA_stocks	0.104075
r_up	ANF_stocks	0.243012
r_up	TJX_stocks	-0.148125
r_up	BBY_stocks	-0.62767
r_up	JCP_'s	0.32409
r_up	M_stocks	0.473673
r_up	LOW_'s	-0.00802147
r_up	PG_'s	-0.0786226
r_up	CSCO_rise	0.712393
r_up	CME_'s	-0.41249
r_up	ICE_'s	0.198455
r_up	WLP_'s	-0.0958982
r_up	CVX_$	-0.12823
r_up	STI_'s	-0.441773
r_up	ETR_surprises	0.475849
r_up	AES_'s	-0.0245891
r_up	ETR_advisories	0.475849
r_up	CI_'s	-0.462657
r_up	MDT_'s	-0.560084
r_up	CVX_energy	-0.133932
r_up	URBN_$	-0.448119
r_up	MDT_$	0.280124
r_up	USB_'s	-0.198777
r_up	WFC_'s	0.161868
r_up	ORCL_'s	0.118051
r_up	VZ_'s	-0.0542927
r_up	T_'s	-0.0770275
r_up	NBR_stocks	-0.14416
r_up	AVP_'s	-0.442032
r_up	SNDK_after	-0.365663
r_up	XOM_stocks	0.140995
r_up	BA_'s	0.270112
r_up	MCD_'s	0.110738
r_up	CRM_'s	1.57595
r_up	TXN_rally	0.802661
r_up	NKE_profit	0.189714
r_up	MET_'s	0.027269
r_up	CHK_gas	0.406588
r_up	EMC_$	-0.497282
r_up	LLY_stocks	-0.123062
r_up	NTAP_$	-0.0860937
r_up	APC_lead	-0.0390985
r_up	KO_$	-0.386549
r_up	KO_'s	0.0892564
r_up	SLB_rally	0.597175
r_up	BK_gains	0.688512
r_up	UTX_'s	0.0901034
r_up	CAH_'s	0.105098
r_up	DVN_stocks	0.418741
r_up	HAL_'s	0.306168
r_up	HAL_stocks	0.484947
r_up	CAM_stocks	-0.27297
r_up	CHK_stocks	-0.829155
r_up	DOW_'s	0.523997
r_up	EMC_'s	-0.0497053
r_up	DO_'s	0.0144816
r_up	HBAN_after	-0.221639
r_up	EXC_'s	-0.744407
r_up	WAG_'s	0.046085
r_up	MRO_'s	0.356047
r_up	V_'s	-0.125299
r_up	COP_'s	-0.362493
r_up	PPG_$	-0.703498
r_up	TWX_'s	0.0262855
r_up	FCX_'s	-0.0446519
r_up	VLO_'s	0.0728426
r_up	AA_'s	0.0658928
r_up	COF_$	0.0693058
r_up	SYMC_$	0.82566
r_up	JDSU_tech	-0.684625
r_up	APC_n't	-0.389955
r_up	MMM_stocks	-0.086705
r_up	PEP_'s	0.0570311
r_up	COST_stock	0.216962
r_up	BSX_'s	0.513624
r_up	GCI_declining	0.218138
r_up	NKE_'s	-0.101456
r_up	TXN_late	-0.0277913
r_up	SBUX_'s	-0.632153
r_up	APC_back	0.694874
r_up	BMY_'s	0.213679
r_up	BIIB_stocks	0.08059
r_up	LLY_'s	0.282512
r_up	MDLZ_'s	-0.173762
r_up	EMC_close	0.731371
r_up	BBY_gaining	0.0887954
r_up	STI_stocks	-0.35813
r_up	EMC_stocks	-0.417982
r_up	AMGN_stocks	0.229486
r_up	GPS_'s	-0.474822
r_up	SLB_'s	-0.775605
r_up	GILD_focus	0.0528355
r_up	AMGN_declining	0.185455
r_up	BBT_$	-0.00674761
r_up	BBY_biggest	0.0887954
r_up	APC_'s	-0.0234917
r_up	AMGN_'s	0.0378173
r_up	AMGN_gaining	0.185455
r_up	ABT_'s	-0.455516
r_up	APC_$	0.352101
r_up	CHK_$	-0.172295
r_up	POM_$	-0.0374293
r_up	BBY_declining	0.0887954
r_up	AMGN_biggest	0.185455
r_up	HSP_'s	-0.949488
r_up	AMD_gaining	-0.350155
r_up	TXN_'s	0.221621
r_up	EA_$	0.693895
r_up	DHI_stocks	-0.528386
r_up	AMD_rally	1.2259
r_up	DHI_'s	-0.682077
r_up	AMD_stocks	-0.0469352
r_up	BRCM_stocks	0.226587
r_up	FDX_2010	0.300038
r_up	NVDA_stocks	-0.237628
r_up	DD_'s	-0.3255
r_up	PHM_'s	0.188862
r_up	AMD_gains	0.854396
r_up	PRU_stocks	-0.837114
r_up	NVDA_gains	-0.711055
r_up	SWN_shares	0.945387
r_up	KMX_stocks	-0.181698
r_up	UNH_'s	-0.0246865
r_up	BHI_'s	-0.043497
r_up	FDX_'s	0.186352
r_up	URBN_stock	0.104425
r_up	ACN_after	0.434486
r_up	HUM_'s	0.371812
r_up	ABT_$	0.164082
r_up	MRO_lead	-0.721808
r_up	MU_stocks	0.362808
r_up	PRU_insurers	-1.56492
r_up	SLB_gains	-0.148197
r_up	ZION_$	0.664421
r_up	BHI_lead	-0.453691
r_up	GME_stocks	-1.18549
r_up	CBS_'s	-0.309373
r_up	GNW_stocks	0.243923
r_up	YUM_'s	0.577237
r_up	AMD_shares	-0.467096
r_up	AMD_red	-0.296357
r_up	HES_'s	0.10101
r_up	TXN_stocks	0.294742
r_up	FDO_stocks	0.0221091
r_up	MAR_stocks	-0.146684
r_up	VNO_'s	-0.731541
r_up	ADBE_'s	0.0241608
r_up	HCBK_'s	-0.823364
r_up	MUR_'s	0.10459
r_up	BMY_n't	0.155091
r_up	IP_'s	-0.280881
r_up	OMC_'s	-0.0303002
r_up	MU_'s	0.271027
r_up	WAG_stocks	-0.261823
r_up	BMY_$	0.635491
r_up	MU_declining	0.0143712
r_up	AGN_'s	0.0434125
r_up	AXP_up	0.366068
r_up	AA_stocks	-0.0528628
r_up	HD_sales	-0.109555
r_up	NTAP_stocks	-0.383114
r_up	VIAB_$	0.669833
r_up	LNC_'s	-0.430463
r_up	DD_$	0.170453
r_up	ROST_'s	-0.661434
r_up	EMC_gains	0.419936
r_up	HRL_surprises	0.166981
r_up	JWN_surprises	0.489453
r_up	SO_'s	-0.668994
r_up	V_$	0.276021
r_up	JWN_advisories	0.489453
r_up	STI_banks	-0.260131
r_up	BK_$	-0.201074
r_up	HRL_advisories	0.166981
r_up	MCD_stocks	-0.216382
r_up	CPB_'s	-0.248647
r_up	MA_'s	0.137349
r_up	PNC_stocks	0.559878
r_up	HIG_$	-0.52072
r_up	KEY_$	0.0192603
r_up	DVN_advisories	0.147558
r_up	DVN_surprises	0.147558
r_up	MYL_stocks	-0.23714
r_up	HRB_$	-0.695967
r_up	PCLN_'s	0.187514
r_up	NDAQ_stocks	0.168978
r_up	MYL_'s	-0.282236
r_up	ADM_'s	-0.410163
r_up	VRSN_stocks	0.472901
r_up	GPS_biggest	-0.864244
r_up	DE_'s	0.263759
r_up	KSS_'s	-0.122768
r_up	PCLN_advisories	0.166134
r_up	MAT_focus	0.212635
r_up	PCLN_surprises	0.166134
r_up	PG_amp	0.645723
r_up	ORCL_$	-0.305309
r_up	CVS_'s	0.179769
r_up	VZ_n't	0.317749
r_up	ORCL_stocks	-0.10708
r_up	AXP_n't	0.018175
r_up	NFLX_'s	0.254315
r_up	DIS_'s	0.451183
r_up	NVDA_tech	-0.0628322
r_up	HOT_'s	-0.165856
r_up	JNPR_techs	-0.0675208
r_up	TIF_stocks	0.110303
r_up	JWN_profit	1.40218
r_up	TIF_profit	0.247225
r_up	DIS_stocks	0.517341
r_up	GE_'s	0.199205
r_up	MON_data	-0.0305098
r_up	MON_watch	0.0306491
r_up	AET_stocks	0.900184
r_up	SBUX_stocks	0.928646
r_up	LM_'s	0.256923
r_up	UTX_$	0.853228
r_up	ACN_$	0.349764
r_up	M_focus	-0.481779
r_up	GPS_rise	0.220973
r_up	FSLR_declining	0.193545
r_up	WDC_'s	0.373765
r_up	GPS_$	-0.0442203
r_up	FSLR_gaining	0.193545
r_up	NE_energy	-0.11333
r_up	INTC_tech	-0.443701
r_up	STJ_$	-0.533182
r_up	XOM_'s	0.0742841
r_up	JOY_'s	-0.693426
r_up	INTC_but	0.0430741
r_up	CVX_'s	-0.121561
r_up	STT_focus	0.13742
r_up	MO_$	0.195453
r_up	SO_$	-0.00244691
r_up	HES_crude	0.0315781
r_up	SCHW_12	0.120507
r_up	CSX_profit	0.404546
r_up	LMT_$	-0.0710522
r_up	STT_'s	0.0952813
r_up	USB_focus	1.26866
r_up	CVC_$	0.0589828
r_up	ETN_'s	-0.13249
r_up	ETN_2008	-0.478427
r_up	SNDK_$	0.15268
r_up	TXN_retreat	-1.19295
r_up	BLK_$	0.00137466
r_up	BAX_'s	-0.600623
r_up	LEG_focus	0.526444
r_up	EA_stocks	0.0133915
r_up	NWL_surprises	-0.438788
r_up	T_stocks	-0.471805
r_up	INTC_stocks	-0.0116281
r_up	NWL_advisories	-0.438788
r_up	JNPR_shares	-0.0992487
r_up	IBM_stocks	0.268738
r_up	ETR_'s	0.34876
r_up	HD_$	0.24886
r_up	GPS_shares	-0.180749
r_up	USB_bank	-0.302568
r_up	ADI_stocks	-0.527604
r_up	MMM_'s	-0.207776
r_up	TIF_$	0.0487189
r_up	FE_stocks	1.05506
r_up	CSX_advisories	0.25769
r_up	MSI_'s	-0.438677
r_up	HAL_focus	-0.21908
r_up	TXN_up	-0.184008
r_up	TXN_watch	-0.287044
r_up	CSX_surprises	0.25769
r_up	COG_500	2.34393
r_up	JNJ_'s	-0.116127
r_up	TRV_financial	-0.627467
r_up	XOM_rise	0.54297
r_up	BIG_watch	-0.158681
r_up	NRG_energy	-1.24362
r_up	NFLX_data	-0.0343672
r_up	TXN_sales	0.100011
r_up	PFE_'s	-0.135714
r_up	PFE_$	-0.0314156
r_up	NRG_stocks	-0.0390199
r_up	SYK_$	0.751094
r_up	SWY_'s	0.513691
r_up	FIS_'s	0.0688313
r_up	ZION_stocks	0.406711
r_up	XRX_'s	-0.331141
r_up	NDAQ_$	0.568345
