2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.489668
r_down	LEN_advisories	0.308779
r_down	NVDA_'s	-0.398572
r_down	LMT_'s	-0.197153
r_down	UPS_'s	0.069264
r_down	M_'s	0.122869
r_down	LUV_'s	0.155506
r_down	VLO_fall	0.721757
r_down	ALL_n't	-0.415062
r_down	APOL_stocks	0.160614
r_down	COST_sales	0.137088
r_down	BBY_sales	-0.36866
r_down	CMCSA_'s	0.290967
r_down	OXY_stocks	0.139895
r_down	HES_stocks	-0.0303893
r_down	AMAT_up	0.915533
r_down	ANF_'s	-0.237367
r_down	LEN_surprises	0.308779
r_down	TJX_stocks	0.173275
r_down	BBY_stocks	0.419507
r_down	CMG_stocks	0.306183
r_down	JCP_'s	-0.301747
r_down	M_stocks	-0.459314
r_down	LOW_'s	-0.0573734
r_down	PG_'s	0.279239
r_down	CSCO_rise	0.27358
r_down	AMD_'s	-0.0856251
r_down	NDAQ_'s	0.0125586
r_down	PNC_'s	-0.217771
r_down	WLP_'s	0.24321
r_down	CVX_$	-0.233959
r_down	STI_'s	0.0428555
r_down	AES_'s	-0.190087
r_down	MDT_'s	0.0349328
r_down	DIS_rise	-0.424161
r_down	IR_52	-0.124639
r_down	CTL_'s	-0.926772
r_down	WFC_'s	-0.0730071
r_down	ORCL_'s	-0.0492723
r_down	MUR_stocks	0.50613
r_down	SNDK_fall	0.109751
r_down	AVP_'s	0.124156
r_down	M_$	-0.393577
r_down	AVP_$	0.530886
r_down	SNDK_after	0.17081
r_down	VLO_energy	-0.793709
r_down	USB_banks	0.0224851
r_down	XOM_energy	0.0425013
r_down	BA_'s	-0.338359
r_down	MCD_'s	-0.0958123
r_down	CRM_'s	-0.177066
r_down	BLK_fund	-0.307784
r_down	GPS_focus	-0.155113
r_down	CHK_gains	-0.0366193
r_down	MET_'s	-0.0945348
r_down	APC_shares	-0.0543352
r_down	CAM_shares	-0.356287
r_down	JWN_higher	-0.195755
r_down	KO_$	-0.0451843
r_down	MRO_$	0.214319
r_down	KO_'s	-0.150014
r_down	PCG_$	-0.37907
r_down	VLO_$	-0.129117
r_down	SCHW_rally	-0.21806
r_down	CAH_'s	0.251594
r_down	BK_'s	0.30281
r_down	HAL_'s	0.20782
r_down	HAL_stocks	-1.1271
r_down	ABC_'s	0.507002
r_down	RAI_'s	0.126154
r_down	SCHW_stocks	0.236249
r_down	HBAN_down	0.212364
r_down	DOW_'s	0.00696092
r_down	PNC_$	-0.212839
r_down	HAL_$	0.30198
r_down	WMB_stocks	0.465381
r_down	BK_stocks	0.042527
r_down	MRO_stocks	-0.341423
r_down	COF_bank	0.0256067
r_down	SPLS_'s	0.223665
r_down	EXC_'s	0.438856
r_down	WAG_'s	0.350967
r_down	MRO_'s	-0.406189
r_down	WAG_$	-0.416583
r_down	V_'s	-0.0271391
r_down	FCX_'s	0.341886
r_down	VLO_'s	-0.523353
r_down	AA_'s	-0.347706
r_down	SYMC_$	-0.613436
r_down	COP_$	-0.408675
r_down	PEP_'s	-0.157947
r_down	COST_stock	-1.22417
r_down	TXN_shares	-1.0148
r_down	BSX_'s	-0.380145
r_down	NKE_'s	0.235127
r_down	GCI_'s	-0.0294169
r_down	AA_higher	-0.165842
r_down	COST_focus	-0.166487
r_down	PBCT_'s	-0.320742
r_down	SBUX_'s	0.419557
r_down	KR_profit	1.41969
r_down	BMY_'s	-0.0206498
r_down	LLY_'s	-0.0163621
r_down	EA_sales	-0.299255
r_down	MDLZ_'s	-0.243027
r_down	DVN_'s	-0.322129
r_down	ADBE_stock	0.184359
r_down	EMC_stocks	0.170781
r_down	BBY_up	-0.0365794
r_down	STI_gaining	0.547985
r_down	CHK_'s	0.25945
r_down	BBT_$	0.212115
r_down	STI_biggest	0.547985
r_down	APC_'s	0.133502
r_down	ABT_'s	-0.824497
r_down	APC_$	-0.202315
r_down	CHK_$	-0.0651027
r_down	PM_'s	-0.0222631
r_down	RRC_stocks	1.38387
r_down	HSP_'s	1.42045
r_down	NVDA_rally	-0.462445
r_down	EA_$	-0.328685
r_down	DHI_stocks	0.180397
r_down	ADBE_gains	-0.0607954
r_down	CRM_stocks	0.0827256
r_down	AMD_rally	-0.102102
r_down	LEN_'s	-0.259263
r_down	AMD_stocks	0.22125
r_down	BRCM_stocks	0.0100041
r_down	HON_$	-0.369911
r_down	PHM_stocks	-0.208094
r_down	NVDA_stocks	-0.234971
r_down	DD_'s	0.229815
r_down	PHM_'s	-0.406547
r_down	SYMC_stocks	0.599378
r_down	NVDA_chip	1.46217
r_down	BRCM_after	-0.271533
r_down	UNH_'s	0.0218897
r_down	MU_focus	-0.0421482
r_down	EA_shares	-0.584299
r_down	V_shares	-0.589228
r_down	BHI_'s	0.61541
r_down	NKE_stock	-0.021293
r_down	FDX_'s	0.00145038
r_down	ABT_$	0.623225
r_down	BSX_focus	0.0324258
r_down	MU_stocks	-0.28195
r_down	PRU_insurers	0.332851
r_down	SLB_gains	0.747439
r_down	ZION_$	-0.697273
r_down	HIG_insurers	0.579309
r_down	YUM_'s	-0.0663423
r_down	BMY_stocks	0.113743
r_down	MDT_stocks	0.0986435
r_down	AFL_'s	0.206589
r_down	RDC_stocks	0.28294
r_down	HES_'s	-0.507935
r_down	TXN_stocks	0.0716498
r_down	BRCM_sector	1.2074
r_down	NOV_stocks	0.382005
r_down	HCBK_'s	0.00323658
r_down	SCHW_financial	-0.10181
r_down	HIG_'s	-0.0899252
r_down	TSO_'s	0.359814
r_down	IP_'s	0.0172104
r_down	OXY_$	0.12485
r_down	EA_game	-0.491638
r_down	WAG_stocks	0.174624
r_down	BMY_$	-0.628745
r_down	MU_losses	0.0641091
r_down	SRE_$	-0.259511
r_down	ADBE_but	-0.822844
r_down	AXP_$	0.227196
r_down	INTU_advisories	0.213019
r_down	AGN_'s	-0.404157
r_down	INTU_surprises	0.213019
r_down	TXN_tech	-0.126085
r_down	NTAP_'s	0.00398266
r_down	NTAP_focus	0.0669535
r_down	HD_sales	0.398383
r_down	CAT_'s	0.0940015
r_down	NTAP_earnings	0.621973
r_down	NTAP_tech	0.489596
r_down	PETM_'s	0.127359
r_down	RF_stocks	-0.611393
r_down	WYNN_'s	0.261272
r_down	JCP_sales	0.284087
r_down	NTAP_surprises	0.221441
r_down	ROST_'s	0.158665
r_down	NTAP_advisories	0.221441
r_down	SO_'s	0.399385
r_down	LUV_sector	0.183658
r_down	V_$	-0.646288
r_down	EIX_'s	-0.92323
r_down	STI_banks	0.900356
r_down	BK_$	0.166267
r_down	PNC_stocks	-0.409638
r_down	HIG_$	0.165118
r_down	KEY_$	-0.329562
r_down	SE_stocks	0.330396
r_down	HSP_biggest	0.150762
r_down	WFM_gaining	-0.0216747
r_down	MYL_stocks	0.0269355
r_down	TRV_stocks	0.207596
r_down	HSP_stocks	1.08334
r_down	WFM_stocks	-0.53472
r_down	CSC_'s	0.272587
r_down	WFM_declining	-0.0216747
r_down	VLO_lower	0.41219
r_down	QCOM_$	-0.536679
r_down	GPS_retailers	0.519098
r_down	DE_'s	-0.61935
r_down	BRCM_$	-0.260534
r_down	KSS_'s	-0.0995861
r_down	SJM_'s	-0.281527
r_down	DD_lower	0.2406
r_down	HUM_stocks	-0.0910171
r_down	VLO_shares	-0.674125
r_down	NVDA_$	-0.111394
r_down	APC_energy	0.0837785
r_down	INTC_'s	0.174442
r_down	DLTR_$	0.698065
r_down	ORCL_stocks	0.214708
r_down	EBAY_'s	0.138303
r_down	ESRX_'s	0.325087
r_down	NFLX_'s	0.0174678
