2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.0510746
r_up	NVDA_market	-1.5065
r_up	BLK_'s	0.22063
r_up	HD_'s	-0.128564
r_up	NVDA_'s	0.149035
r_up	UPS_'s	0.513725
r_up	COST_surprises	0.27316
r_up	APOL_stocks	0.185306
r_up	BBBY_stocks	0.760024
r_up	COST_sales	-0.29478
r_up	BBY_sales	0.218404
r_up	CMCSA_'s	0.186296
r_up	BBY_data	0.257061
r_up	COST_advisories	0.27316
r_up	JCP_after	0.0231843
r_up	HES_stocks	-0.226516
r_up	HIG_focus	0.0276353
r_up	TJX_stocks	0.437165
r_up	BBY_stocks	-0.0630068
r_up	M_stocks	0.176401
r_up	LOW_'s	3.10126e-05
r_up	MET_$	-0.140355
r_up	PG_'s	-0.00324387
r_up	CSCO_but	-0.742569
r_up	CME_'s	-0.0939963
r_up	KO_watch	0.552466
r_up	CVX_$	0.344601
r_up	PRU_$	-0.380558
r_up	CSCO_advisories	0.394053
r_up	AIG_$	0.132053
r_up	DIS_profit	0.101775
r_up	KEY_'s	-0.106892
r_up	CSCO_watch	0.909272
r_up	WFM_shares	-0.009768
r_up	CI_'s	-0.203931
r_up	CVX_stocks	-0.10946
r_up	CSCO_surprises	0.394053
r_up	AIG_focus	0.90452
r_up	USB_'s	0.0545473
r_up	WFC_'s	0.297112
r_up	ORCL_'s	0.0946711
r_up	F_sales	-0.698242
r_up	T_'s	-0.0576797
r_up	IBM_'s	-0.220185
r_up	MUR_stocks	-0.397838
r_up	AVP_'s	-0.37499
r_up	SNDK_shares	0.563938
r_up	F_stocks	-0.188436
r_up	AIG_'s	0.131466
r_up	USB_banks	-0.911034
r_up	F_'s	-0.0465749
r_up	TAP_'s	-0.314883
r_up	XOM_energy	-0.411025
r_up	BA_'s	0.173903
r_up	MU_shares	-0.011009
r_up	MCD_'s	-0.0257583
r_up	VLO_rally	0.359105
r_up	CRM_'s	1.04732
r_up	BLK_fund	0.234781
r_up	TXN_rally	1.70952
r_up	TSO_stocks	-0.0653451
r_up	WYNN_$	0.368358
r_up	PEP_$	0.299039
r_up	LOW_data	-0.759002
r_up	FDX_focus	-5.19727e-07
r_up	EMC_$	-0.306604
r_up	LLY_stocks	-0.381489
r_up	NTAP_$	-0.232171
r_up	APC_gains	0.243838
r_up	JWN_higher	0.447337
r_up	MRO_$	-0.606089
r_up	KO_'s	0.0352921
r_up	OXY_prices	0.106055
r_up	PCG_$	0.219531
r_up	VLO_$	0.266298
r_up	COF_'s	-0.23958
r_up	BBT_'s	0.0976901
r_up	HBAN_'s	-0.0459375
r_up	FITB_'s	-0.614201
r_up	UTX_'s	0.756518
r_up	CAH_'s	-0.213896
r_up	APC_stocks	0.27112
r_up	DVN_stocks	0.182907
r_up	HAL_'s	-0.160538
r_up	HAL_stocks	0.558476
r_up	CHK_stocks	-0.515973
r_up	HBAN_results	0.341466
r_up	EXC_stocks	0.0183615
r_up	SPLS_stocks	-0.608613
r_up	PNC_$	0.227663
r_up	EMC_'s	-0.443441
r_up	SPLS_'s	0.319115
r_up	CF_'s	-0.355536
r_up	WAG_'s	-0.0499909
r_up	MRO_'s	0.749325
r_up	V_'s	-0.910753
r_up	COP_'s	-0.436578
r_up	SWY_$	0.077674
r_up	SPG_'s	0.107907
r_up	PPG_$	0.449203
r_up	FCX_'s	-0.551103
r_up	MMM_$	-0.303667
r_up	AA_'s	0.202386
r_up	SWN_'s	0.333817
r_up	KEY_rise	-0.268636
r_up	COP_$	-0.0305944
r_up	MJN_'s	-0.712682
r_up	APC_n't	-0.487858
r_up	MMM_stocks	-0.366503
r_up	BSX_'s	0.0962164
r_up	NKE_'s	-0.591879
r_up	GCI_'s	-0.433325
r_up	CVS_$	-0.755965
r_up	NOC_'s	-0.0377244
r_up	COST_focus	0.544364
r_up	AA_data	-0.150584
r_up	AA_jobs	-0.185822
r_up	TWX_$	-0.146178
r_up	KR_profit	-0.113944
r_up	LLY_'s	0.0291955
r_up	EA_sales	-0.739034
r_up	MDLZ_'s	0.0214415
r_up	STI_stocks	-0.292258
r_up	AMGN_stocks	0.199528
r_up	GPS_'s	-0.0387015
r_up	STI_gaining	-0.0166006
r_up	DFS_stocks	-0.527975
r_up	CHK_'s	-0.066683
r_up	WIN_$	-0.643786
r_up	USB_$	-0.045216
r_up	BBT_$	-0.105594
r_up	STI_biggest	-0.0166006
r_up	APC_'s	-0.2163
r_up	ABT_stocks	-0.488887
r_up	AMGN_'s	-0.38276
r_up	ABT_'s	0.540543
r_up	APC_$	0.0902263
r_up	CHK_$	0.108496
r_up	QCOM_telecoms	0.543379
r_up	HSP_'s	-0.997444
r_up	EA_$	0.194638
r_up	BRCM_shares	0.277611
r_up	AMD_chip	0.721938
r_up	AMD_stocks	-0.00327888
r_up	HON_$	-0.375738
r_up	PHM_stocks	0.0743944
r_up	NVDA_stocks	0.239822
r_up	DD_'s	-0.135636
r_up	PHM_'s	0.030156
r_up	BRCM_after	0.112794
r_up	HUM_'s	0.825282
r_up	SLB_gains	-1.41262
r_up	GME_stocks	-0.0296102
r_up	CBS_'s	-0.703949
r_up	GNW_stocks	0.29442
r_up	BMY_stocks	-0.0575643
r_up	ADP_jobs	0.438769
r_up	NVDA_sector	-1.82602
r_up	TXN_stocks	0.378459
r_up	CAH_$	0.185812
r_up	MET_n't	0.77788
r_up	BRCM_sector	0.737302
r_up	TXN_fall	-0.293356
r_up	HIG_sector	0.158497
r_up	NOV_stocks	-0.866094
r_up	HCBK_'s	-0.176921
r_up	MAR_'s	-0.221958
r_up	HIG_'s	0.564796
r_up	TSO_'s	-0.260515
r_up	SLB_surprises	-0.0621151
r_up	MAR_focus	-0.0692103
r_up	OXY_$	-0.193977
r_up	CNX_stocks	0.303836
r_up	EA_game	-0.0101886
r_up	MU_'s	0.380823
r_up	SCHW_'s	0.823229
r_up	LLY_$	0.456598
r_up	SLB_advisories	-0.0621151
r_up	BMY_$	0.179806
r_up	GPS_stocks	-0.678111
r_up	AXP_$	0.309317
r_up	AA_stocks	-0.185651
r_up	CVC_'s	-0.221631
r_up	WHR_'s	-0.343928
r_up	THC_'s	0.292633
r_up	EMC_tech	-0.298072
r_up	NTAP_stocks	0.282175
r_up	PETM_'s	-0.256321
r_up	DD_$	-0.424506
r_up	ADI_'s	0.410516
r_up	SJM_focus	1.30804
r_up	QCOM_higher	1.15918
r_up	RF_stocks	0.100611
r_up	WYNN_'s	-0.556386
r_up	ROST_'s	-0.746056
r_up	TWC_'s	-0.0214814
r_up	EMC_gains	0.000844429
r_up	LUV_up	0.155296
r_up	SO_'s	-0.0192279
r_up	FITB_banks	0.058084
r_up	EIX_'s	0.576045
r_up	ABT_2	-0.0543383
r_up	MA_stocks	0.166032
r_up	MA_'s	0.623519
r_up	PNC_stocks	0.108949
r_up	HIG_$	-0.0295231
r_up	PCLN_stocks	1.13842
r_up	VIAB_'s	0.13739
r_up	WY_'s	1.0738
r_up	NDAQ_stocks	0.186869
r_up	QCOM_$	0.510035
r_up	M_hit	-0.439043
r_up	QCOM_'s	-0.0022788
r_up	DE_'s	0.591145
r_up	KSS_'s	-0.0413512
r_up	BMY_shares	0.0838468
r_up	BIIB_drug	0.359002
r_up	QCOM_gains	0.407296
r_up	QCOM_stocks	0.574483
r_up	SJM_profit	0.654616
r_up	VLO_shares	-0.0281681
r_up	CCL_stocks	-0.128948
r_up	JNPR_rise	0.274869
r_up	DD_stocks	0.266618
r_up	ORCL_$	-0.377134
r_up	NVDA_$	0.287493
r_up	INTC_'s	-0.523934
r_up	JOY_watch	-0.185279
r_up	ESRX_biggest	0.771279
r_up	EBAY_'s	0.212347
r_up	GCI_watch	-0.922016
r_up	ORCL_tech	-0.212181
r_up	DIS_'s	0.00338433
r_up	ESRX_declining	0.276166
r_up	COP_stocks	-0.221359
r_up	DFS_$	-0.509623
r_up	AXP_'s	-0.239247
r_up	JWN_profit	0.213135
r_up	TXN_ekes	-0.964565
r_up	HAL_end	-0.882783
r_up	MON_'s	0.0363592
r_up	ADP_says	0.298905
