2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.693157
r_down	HD_'s	0.0786807
r_down	NVDA_'s	-0.196317
r_down	M_'s	0.102412
r_down	COST_'s	0.198922
r_down	MYL_$	0.773388
r_down	AMAT_stocks	-0.162441
r_down	CMCSA_'s	0.18775
r_down	VLO_stocks	-0.276733
r_down	OXY_stocks	0.242126
r_down	UPS_stocks	1.08961
r_down	HES_stocks	-0.0645363
r_down	ANF_'s	-0.155432
r_down	JCP_'s	-0.301947
r_down	M_stocks	0.0222968
r_down	LOW_'s	-0.0576412
r_down	PG_'s	0.190271
r_down	AMD_'s	-0.227194
r_down	URBN_stocks	0.00365441
r_down	NDAQ_'s	0.00541166
r_down	CME_'s	0.158461
r_down	PNC_'s	-0.255765
r_down	ICE_'s	-0.573888
r_down	WLP_'s	0.367465
r_down	CVX_$	0.145649
r_down	STI_'s	0.382854
r_down	PRU_$	0.569059
r_down	AIG_$	0.154496
r_down	CSCO_watch	-0.0173912
r_down	CVX_energy	0.0986553
r_down	CL_'s	0.113801
r_down	CVX_stocks	0.121162
r_down	CMA_'s	1.29048
r_down	STT_higher	-0.0348898
r_down	USB_'s	-0.0187357
r_down	KO_focus	0.523401
r_down	WFC_'s	-0.253565
r_down	ORCL_'s	-0.119038
r_down	VZ_'s	0.0954683
r_down	NBR_stocks	0.555863
r_down	MUR_stocks	0.267856
r_down	AVP_'s	0.297738
r_down	SNDK_shares	0.183064
r_down	F_stocks	0.135431
r_down	AIG_'s	0.050725
r_down	F_'s	0.172592
r_down	BA_'s	-0.151433
r_down	MU_shares	0.343154
r_down	MCD_'s	-0.045391
r_down	NUE_surprises	0.0920947
r_down	CRM_'s	-0.112891
r_down	PRU_focus	0.088031
r_down	APC_gas	0.161795
r_down	CHK_gains	0.181663
r_down	JWN_stocks	0.396724
r_down	WYNN_$	0.0492357
r_down	MET_'s	-0.276756
r_down	PEP_$	0.00800329
r_down	CHK_lead	-0.225154
r_down	NUE_advisories	0.0920947
r_down	HD_sector	-0.648925
r_down	CHK_gas	0.458623
r_down	MMM_focus	0.359909
r_down	EMC_$	-0.455915
r_down	HD_data	1.21458
r_down	DRI_'s	-0.194918
r_down	EMR_'s	0.341358
r_down	BBT_'s	-0.0205763
r_down	HBAN_'s	-0.787465
r_down	FITB_'s	-0.360957
r_down	CAH_'s	0.223316
r_down	HAL_stocks	-0.228538
r_down	SLB_$	0.904929
r_down	CAM_stocks	0.128939
r_down	EMC_'s	0.124004
r_down	HAL_$	0.833327
r_down	MRO_stocks	0.274466
r_down	SPLS_'s	-0.282203
r_down	CF_'s	0.10016
r_down	WAG_'s	-0.013576
r_down	MRO_'s	-0.116385
r_down	MRK_n't	-0.236653
r_down	V_'s	-0.000455132
r_down	PPG_$	-0.0284607
r_down	TWX_'s	0.143689
r_down	OXY_'s	0.294588
r_down	FCX_'s	0.0415576
r_down	KEY_rise	-0.417843
r_down	COF_$	0.124929
r_down	SYMC_$	-1.07486
r_down	COP_$	-0.152183
r_down	KSS_data	1.96294e-05
r_down	APC_n't	0.450241
r_down	MMM_stocks	-0.0534817
r_down	DPS_'s	-0.0139882
r_down	BSX_'s	-0.284954
r_down	JNPR_but	0.0834756
r_down	CVS_$	0.327379
r_down	NOC_'s	-0.381858
r_down	COST_profit	-1.30688
r_down	AA_data	1.51591
r_down	TXN_late	0.117814
r_down	PBCT_'s	-0.166484
r_down	GCI_stocks	-0.0749613
r_down	TWX_$	-0.210709
r_down	TWX_but	-0.45495
r_down	TWX_futures	-0.00393112
r_down	BMY_'s	-0.0539707
r_down	LLY_'s	0.137802
r_down	JNPR_tech	0.121585
r_down	EA_sales	0.32838
r_down	EMC_stocks	0.490417
r_down	GPS_'s	0.761876
r_down	CHK_'s	0.103423
r_down	AMGN_declining	-0.341438
r_down	WIN_$	0.0775725
r_down	BBT_$	0.240603
r_down	NKE_stocks	-0.946906
r_down	MCO_'s	0.0906747
r_down	AMGN_gaining	-0.341438
r_down	EMC_losses	0.147668
r_down	AEP_$	-0.465125
r_down	APC_$	-0.247169
r_down	FITB_stocks	-0.0198063
r_down	QCOM_lead	-0.322026
r_down	BBY_futures	0.194608
r_down	AMGN_biggest	-0.341438
r_down	LEN_declining	-0.124787
r_down	TXN_'s	-0.158751
