2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.449433
r_down	LEN_advisories	0.152748
r_down	BLK_'s	-0.0634321
r_down	BBY_'s	-0.0899158
r_down	HD_'s	-0.373388
r_down	NVDA_'s	-0.197023
r_down	LMT_'s	0.636251
r_down	COST_'s	0.188942
r_down	LUV_stocks	-0.144376
r_down	BBBY_stocks	-0.318795
r_down	BBY_sales	-0.909694
r_down	APA_stocks	0.245788
r_down	OXY_stocks	0.926587
r_down	COST_stocks	0.178541
r_down	HES_stocks	-0.67914
r_down	ANF_stocks	-0.0704353
r_down	ANF_'s	0.125315
r_down	LEN_surprises	0.152748
r_down	CCI_$	0.111322
r_down	BBY_stocks	0.0522228
r_down	LOW_'s	0.135964
r_down	PG_'s	0.0165349
r_down	AMD_'s	-0.457963
r_down	CME_'s	0.548773
r_down	PNC_'s	-0.362203
r_down	ICE_'s	-0.465675
r_down	STI_'s	-0.301566
r_down	AIG_$	0.191033
r_down	RF_'s	0.347239
r_down	WFM_advisories	0.0735199
r_down	KEY_'s	0.208606
r_down	MDT_'s	0.0403911
r_down	URBN_$	0.714242
r_down	STX_'s	-0.231698
r_down	WFM_surprises	0.0735199
r_down	USB_'s	0.220178
r_down	WFC_'s	-0.0215989
r_down	VZ_'s	0.57211
r_down	T_'s	-0.552079
r_down	AVP_'s	0.149614
r_down	M_$	-1.25443
r_down	KEY_banks	-0.280125
r_down	AIG_'s	0.177896
r_down	XOM_stocks	-0.530536
r_down	XOM_energy	-0.137348
r_down	BA_'s	-0.568248
r_down	MCD_'s	-0.0043343
r_down	CRM_'s	-0.0896165
r_down	CHK_shares	-0.00344491
r_down	TXN_rally	-0.269538
r_down	NKE_surprises	-0.44525
r_down	NKE_advisories	-0.44525
r_down	HD_sector	0.0560679
r_down	EMC_$	0.0362443
r_down	APC_gains	-0.901412
r_down	KO_'s	-0.224
r_down	GILD_$	-0.473926
r_down	BBT_'s	-0.158264
r_down	HBAN_'s	-0.45396
r_down	MTB_'s	-0.596044
r_down	OXY_crude	-1.06543
r_down	UTX_'s	-0.0285615
r_down	CAH_'s	-0.165273
r_down	APC_stocks	0.021272
r_down	DVN_stocks	-0.21544
r_down	BK_'s	-0.255375
r_down	HAL_stocks	-0.158803
r_down	LUV_higher	-0.0468598
r_down	USB_stocks	-0.379947
r_down	CHK_stocks	0.773238
r_down	EXC_stocks	0.0530192
r_down	DOW_'s	-0.0113936
r_down	PNC_$	-0.097502
r_down	EMC_'s	0.219148
r_down	BK_stocks	0.635284
r_down	SLB_stocks	-0.26825
r_down	MRO_stocks	-0.280484
r_down	DO_'s	-0.0865911
r_down	EXC_'s	0.208201
r_down	BIG_'s	-0.348071
r_down	WAG_'s	0.0725195
r_down	MRO_'s	0.229164
r_down	HUM_$	-0.297279
r_down	V_'s	-0.176316
r_down	COP_'s	0.380525
r_down	PPG_$	-0.00641537
r_down	TWX_'s	0.0888491
r_down	MMM_$	-0.504629
r_down	AA_'s	-0.182058
r_down	ITW_2010	-0.0460619
r_down	SWN_'s	-0.277131
r_down	KEY_rise	-0.272406
r_down	COF_$	-0.0331908
r_down	SYMC_$	-0.800022
r_down	COP_$	0.0701858
r_down	APC_n't	0.482944
r_down	MMM_stocks	0.726941
r_down	DPS_'s	0.188394
r_down	TXN_shares	-0.0333609
r_down	CI_gaining	0.00652048
r_down	BSX_'s	-0.541686
r_down	NKE_'s	0.152206
r_down	K_'s	0.455188
r_down	CVS_$	-0.370398
r_down	NOC_'s	-0.0848847
r_down	EA_'s	-0.16038
