2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.359816
r_up	BBY_'s	0.115155
r_up	HD_'s	0.015422
r_up	M_'s	0.028099
r_up	LUV_'s	-0.357493
r_up	COST_'s	0.179654
r_up	MYL_$	0.105785
r_up	LUV_stocks	0.306655
r_up	AMAT_stocks	0.0679566
r_up	ALL_n't	0.537529
r_up	BBBY_stocks	-0.873164
r_up	COST_sales	-0.0044395
r_up	BBY_sales	0.480892
r_up	CMCSA_'s	0.089324
r_up	VLO_stocks	0.458706
r_up	CMG_'s	-0.142329
r_up	APA_gains	0.2716
r_up	HES_stocks	-1.21949
r_up	CCI_$	0.89929
r_up	JCP_stocks	-0.366801
r_up	APOL_'s	0.332865
r_up	JCP_data	-0.414088
r_up	JCP_'s	0.346135
r_up	PG_'s	-0.151638
r_up	AMD_'s	0.130985
r_up	NDAQ_'s	0.229822
r_up	CME_'s	0.557884
r_up	PNC_'s	0.0343286
r_up	X_'s	0.444557
r_up	NDAQ_after	0.485814
r_up	WLP_'s	-0.31302
r_up	EW_$	0.498393
r_up	CVX_$	0.155644
r_up	PRU_$	0.148995
r_up	AIG_$	0.024537
r_up	RF_'s	-0.635321
r_up	KEY_'s	-0.189571
r_up	CVX_stocks	-0.645781
r_up	STX_'s	0.0206044
r_up	CTL_'s	1.24817
r_up	WFC_'s	0.0532428
r_up	ORCL_'s	0.136804
r_up	VZ_'s	0.155091
r_up	T_'s	0.801274
r_up	NBR_stocks	0.0448508
r_up	IBM_'s	-0.494343
r_up	HIG_stocks	0.389463
r_up	AVP_'s	-0.263725
r_up	SNDK_shares	-0.195267
r_up	AIG_'s	0.295468
r_up	FSLR_stocks	-0.202836
r_up	USB_banks	-0.908049
r_up	F_'s	-0.503814
r_up	XOM_stocks	0.102264
r_up	BA_'s	0.0704844
r_up	YHOO_new	-0.0715538
r_up	ANF_biggest	-0.653453
r_up	MU_shares	0.0694049
r_up	NBR_energy	-0.130835
r_up	MCD_'s	-0.134402
r_up	PRU_focus	0.101684
r_up	APC_gas	-0.18888
r_up	NKE_focus	0.285089
r_up	JWN_stocks	-0.149904
r_up	WYNN_$	0.0256327
r_up	MET_'s	0.284619
r_up	LOW_sector	-0.109467
r_up	NBL_$	0.0433489
r_up	CHK_gas	0.896434
r_up	HD_data	-0.20795
r_up	KO_$	0.406612
r_up	EMR_'s	-0.19408
r_up	GILD_$	0.0533505
r_up	GILD_stocks	0.547914
r_up	APC_stocks	0.200222
r_up	HAL_stocks	0.780633
r_up	SLB_$	0.200021
r_up	ABC_stocks	0.281215
r_up	DOW_'s	-0.412286
r_up	EMC_'s	-0.353286
r_up	HAL_$	0.427068
r_up	BK_stocks	0.287894
r_up	MRO_stocks	0.635937
r_up	CF_'s	0.125993
r_up	BIG_'s	-0.278093
r_up	WAG_'s	-0.905035
r_up	MRO_'s	0.281092
r_up	WAG_$	0.362639
r_up	HUM_$	-0.0243535
r_up	COP_'s	-0.0684337
r_up	GLW_$	0.141535
r_up	TWX_2	-0.0727337
r_up	GME_'s	0.184036
r_up	SPG_'s	0.0417188
r_up	VLO_'s	0.148315
r_up	AA_'s	0.21548
r_up	COP_$	0.21454
r_up	CMCSA_2	-0.589941
r_up	TXN_shares	0.153736
r_up	NKE_'s	-0.193195
r_up	COST_after	0.724702
r_up	LLY_2010	0.257539
r_up	CVS_$	0.113421
r_up	AA_data	0.140731
r_up	SBUX_'s	-0.442249
r_up	TWX_data	0.135139
r_up	LLY_'s	0.693507
r_up	MDLZ_'s	0.10902
r_up	DVN_'s	0.310605
r_up	STI_stocks	-0.00354018
r_up	AMGN_stocks	0.287171
r_up	CHK_'s	0.358431
r_up	AMGN_'s	-0.251077
r_up	MCO_'s	0.0956477
r_up	ABT_'s	0.0581852
r_up	CHK_$	0.054282
r_up	FITB_stocks	0.870927
r_up	BRCM_gains	-0.272264
r_up	TXN_'s	0.289002
r_up	CRM_stocks	0.0283066
r_up	AMD_stocks	-0.118939
r_up	BRCM_stocks	-0.379512
r_up	PHM_stocks	0.128167
r_up	NVDA_stocks	0.20779
r_up	PHM_'s	-0.499212
r_up	AMD_gains	0.809604
r_up	NVDA_chip	0.263957
r_up	NVDA_gains	0.321643
r_up	AMD_declining	-0.502162
r_up	BRCM_'s	0.0479806
r_up	CELG_stocks	-0.00039362
r_up	CAT_3	-0.898324
r_up	CELG_'s	-1.07241
r_up	HUM_'s	-0.0821814
r_up	ABT_$	0.139422
r_up	NSC_'s	0.371349
r_up	STI_$	0.272536
r_up	AIG_4	-0.612629
r_up	JCI_'s	-0.0754399
r_up	GNW_'s	-0.0727476
r_up	DUK_$	-0.705899
r_up	AN_'s	-0.114917
r_up	HES_'s	-0.0700785
r_up	LOW_retail	-0.599909
r_up	HIG_'s	0.184282
r_up	AMD_focus	-0.724815
r_up	RDC_stocks	-0.0665112
r_up	WLP_shares	-0.148663
r_up	DLTR_'s	0.304381
r_up	AXP_'s	-0.0376954
r_up	LLY_$	0.163143
r_up	ADBE_but	0.750984
r_up	ADBE_'s	0.18269
r_up	TXN_$	-0.514217
r_up	GPS_surprises	-0.801779
r_up	GPS_advisories	-0.801779
r_up	TXN_stocks	0.124018
r_up	CAT_'s	-0.0586588
r_up	TXN_gains	0.277175
r_up	HD_7.2	0.311844
r_up	JCP_sales	-0.0471025
r_up	PGR_'s	-0.258598
r_up	AXP_after	0.302788
r_up	INTC_'s	0.135775
r_up	GE_'s	0.373495
r_up	CHK_rise	0.837473
r_up	TRV_rise	-0.0407154
r_up	CVX_rise	0.226113
r_up	ORCL_$	0.0318599
r_up	UNP_profit	-0.683181
r_up	LLY_5	-0.533664
r_up	GCI_watch	-0.466607
r_up	DIS_'s	0.0198089
r_up	COP_energy	-0.32577
r_up	MYL_'s	0.160703
r_up	NVDA_tech	-0.116414
r_up	JWN_shares	-0.107396
r_up	DFS_$	-0.126832
r_up	JNPR_techs	-0.0227167
r_up	GPS_after	-0.454875
r_up	GD_$	-0.175076
r_up	MON_'s	-0.0888144
r_up	DIS_stocks	0.11233
r_up	TGT_$	0.047076
r_up	DE_$	0.354501
r_up	MAR_'s	-0.17105
r_up	VNO_$	0.194533
r_up	JDSU_stocks	0.237395
r_up	AIG_rally	0.978841
r_up	MU_tech	-0.173086
r_up	RHT_$	0.190588
r_up	KSS_'s	-0.148847
r_up	K_stocks	0.39756
r_up	BLK_5	0.995065
r_up	CNX_stocks	0.243281
r_up	HD_stocks	-0.676778
r_up	HAR_biggest	-1.45108
r_up	JNJ_'s	-0.342535
r_up	ANF_data	-0.157474
r_up	KR_'s	-0.221486
r_up	TGT_holiday	-0.0310019
r_up	PHM_home	0.905496
r_up	NE_stocks	-0.185073
r_up	NE_energy	-0.0117918
r_up	KSS_stocks	-0.829456
r_up	STJ_$	-0.996927
r_up	NOV_$	0.397534
r_up	TSO_energy	-0.0548712
r_up	CVX_'s	-0.274638
r_up	AA_earnings	-0.497914
r_up	SLM_stocks	0.97477
r_up	SNDK_stocks	0.354166
r_up	MMM_'s	-0.597672
r_up	SNDK_up	-0.573481
r_up	CMCSA_$	0.191754
r_up	CSCO_stocks	0.297936
r_up	NI_stocks	0.502017
r_up	F_watch	0.0471698
r_up	KMB_'s	0.702096
r_up	LM_'s	-0.332342
r_up	MCD_stocks	-0.152565
r_up	XOM_gains	1.21625
r_up	TRV_stocks	-0.195364
r_up	HOG_'s	0.00666809
r_up	SWN_energy	-0.032878
r_up	HPQ_techs	-0.242906
r_up	TRV_'s	0.458452
r_up	M_rise	0.531165
r_up	DE_'s	0.614231
r_up	JWN_'s	0.456146
r_up	AKAM_stocks	0.622493
r_up	FSLR_'s	0.522849
r_up	GILD_'s	0.192441
r_up	DOW_$	0.59016
r_up	AA_after	0.172976
r_up	KEY_stocks	0.40296
r_up	HIG_$	-0.134103
r_up	AA_end	-0.1959
r_up	FITB_banks	0.396977
r_up	RTN_$	0.157079
r_up	BBBY_'s	-0.510917
r_up	R_'s	-0.992489
r_up	FDO_'s	0.297107
r_up	WDC_stocks	0.0318003
r_up	AA_rise	1.24823
r_up	HIG_insurers	0.429863
r_up	LNC_8217	0.0055909
r_up	VTR_'s	0.0675412
r_up	ADM_'s	-0.0829298
r_up	BLK_8217	0.462124
r_up	AA_fall	-1.34151
r_up	RDC_energy	-0.216681
r_up	AXP_gains	0.261704
r_up	AXP_stocks	-0.362214
r_up	XOM_500	-1.80807
r_up	XOM_sector	-0.54745
r_up	EBAY_$	-0.226928
r_up	WMB_$	-0.0672824
r_up	MU_techs	-0.452778
r_up	EMC_advisories	-0.113489
r_up	QCOM_deal	0.783862
r_up	NRG_12	0.0726245
r_up	TIF_luxury	0.791078
r_up	CSCO_tech	-0.50857
r_up	SCHW_$	0.377115
r_up	CSCO_gains	0.824266
r_up	CCL_watch	0.757906
r_up	CME_$	0.161784
r_up	EMC_surprises	-0.113489
r_up	EOG_stocks	0.536818
r_up	ZION_'s	-1.83421
