2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.386993
r_up	BLK_'s	0.00436024
r_up	BBY_'s	0.0151352
r_up	LMT_'s	-0.103682
r_up	UPS_'s	0.115213
r_up	M_'s	-0.208477
r_up	M_retail	0.302518
r_up	LUV_'s	0.32139
r_up	COST_'s	0.048419
r_up	MYL_$	0.34131
r_up	AMAT_stocks	-0.0197521
r_up	M_data	0.202577
r_up	BBY_sales	0.840006
r_up	CMCSA_'s	-0.237017
r_up	VLO_stocks	0.250937
r_up	CCI_'s	0.802489
r_up	OXY_stocks	-0.148997
r_up	UPS_stocks	0.0877386
r_up	TJX_surprises	0.0513084
r_up	COST_stocks	0.239927
r_up	ANF_stocks	-0.358725
r_up	AMAT_up	-0.228513
r_up	BBBY_retail	0.173056
r_up	ANF_'s	0.176268
r_up	BBY_stocks	-0.247295
r_up	JCP_stocks	-0.434062
r_up	TJX_advisories	0.0513084
r_up	JCP_'s	0.371208
r_up	M_stocks	0.0337708
r_up	AMD_'s	0.125439
r_up	NDAQ_'s	0.164358
r_up	CME_'s	-0.273789
r_up	PEP_watch	0.371279
r_up	PNC_'s	0.0382653
r_up	WLP_'s	-0.561839
r_up	CVX_$	0.168601
r_up	AIG_$	0.0652444
r_up	WFM_shares	-0.974206
r_up	CL_'s	-0.0817335
r_up	CVX_stocks	-0.358455
r_up	MRK_2011	-0.162775
r_up	MDT_$	-0.236556
r_up	USB_'s	-0.341448
r_up	WFC_'s	-0.0565498
r_up	VLO_losses	-0.271825
r_up	T_'s	-0.0586606
r_up	IBM_'s	-0.343648
r_up	HIG_stocks	0.422104
r_up	M_$	0.686488
r_up	USB_banks	-0.788848
r_up	F_'s	-0.145599
r_up	TAP_'s	-1.26031
r_up	BA_'s	0.305124
r_up	MCD_'s	0.0286197
r_up	TXN_rally	1.00638
r_up	TSO_stocks	0.183235
r_up	WYNN_$	0.0215674
r_up	MET_'s	1.19185
r_up	JWN_retail	-0.0926062
r_up	NBL_$	0.384256
r_up	CHK_gas	1.79525
r_up	EMC_$	0.150193
r_up	LLY_stocks	-0.166476
r_up	APC_lead	-0.645859
r_up	MRO_$	-0.992718
r_up	KO_'s	0.295387
r_up	PCG_$	0.748064
r_up	VLO_$	0.257928
r_up	COF_'s	-0.21471
r_up	MTB_'s	0.239242
r_up	OXY_crude	0.0216895
r_up	FITB_'s	0.261837
r_up	BK_'s	0.0509266
r_up	HAL_stocks	1.01558
r_up	SLB_$	-0.270711
r_up	CAM_stocks	-0.683626
r_up	CHK_stocks	-0.417085
r_up	EXC_stocks	0.227781
r_up	SPLS_stocks	-0.48818
r_up	DOW_'s	0.197706
r_up	MRO_stocks	0.206105
r_up	DO_'s	0.584926
r_up	MCK_'s	0.271619
r_up	HES_market	0.211404
r_up	BIG_stocks	0.471857
r_up	WAG_'s	-0.317414
r_up	MRO_'s	0.173043
r_up	WAG_$	0.294174
r_up	V_'s	0.0918296
r_up	COP_'s	-0.353417
r_up	BIIB_'s	0.102968
r_up	SWY_$	-0.773158
r_up	GME_'s	-0.3877
r_up	TWX_'s	-0.30092
r_up	OXY_'s	0.328151
r_up	FCX_'s	0.0998176
r_up	VLO_'s	-0.0932819
r_up	MMM_$	0.623473
r_up	AA_'s	0.0119619
r_up	COF_$	0.248084
r_up	SYMC_$	0.118623
r_up	JDSU_tech	-0.323605
r_up	COP_$	-0.104301
r_up	DVN_$	0.33461
r_up	APC_n't	-0.31699
r_up	BSX_'s	0.533027
r_up	NKE_'s	-0.620012
r_up	COST_after	0.11966
r_up	GCI_'s	-0.0235045
r_up	GCI_biggest	-0.364469
r_up	COST_focus	0.152766
r_up	PBCT_'s	1.05433
r_up	AA_jobs	-0.647267
r_up	COST_data	0.590506
r_up	EA_sales	0.278585
r_up	FLR_'s	0.453608
r_up	AMGN_stocks	1.53472
r_up	STI_gaining	-0.41979
r_up	CHK_'s	0.18463
r_up	ADBE_stocks	-0.407392
r_up	V_stocks	0.141577
r_up	STI_biggest	-0.41979
r_up	APC_'s	0.0928035
r_up	AMGN_'s	-0.489567
r_up	ABT_'s	0.0341879
r_up	APC_$	0.969205
r_up	CHK_$	-0.38901
r_up	EOG_'s	0.168475
r_up	BBY_watch	0.0183991
r_up	QCOM_telecoms	0.40427
r_up	HSP_'s	-0.446079
r_up	CRM_stocks	-0.434336
r_up	AMD_chip	0.460718
r_up	DHI_'s	0.40824
r_up	LEN_'s	0.456171
r_up	BRCM_stocks	-0.588272
r_up	HON_$	0.0826789
r_up	PRU_'s	-0.611696
r_up	NVDA_biggest	0.359476
r_up	ITW_$	0.00146593
r_up	PHM_'s	-0.0335429
r_up	SYMC_stocks	-0.331002
r_up	BRCM_after	0.263889
r_up	UNH_'s	0.0119835
r_up	CELG_stocks	0.280504
r_up	MU_focus	0.525901
r_up	NKE_rise	0.226175
r_up	CELG_'s	0.0390818
r_up	FDX_'s	-0.214531
r_up	HUM_'s	0.27996
r_up	CBS_media	-0.211215
r_up	CBS_'s	-0.244839
r_up	GNW_stocks	0.385881
r_up	MDT_stocks	-0.466039
r_up	AMD_shares	0.219661
r_up	RDC_stocks	-0.0672425
r_up	AMD_sector	0.431693
r_up	AMAT_lower	-0.805317
r_up	TXN_stocks	0.491636
r_up	MAR_stocks	-0.502463
r_up	MET_n't	-0.0910662
r_up	VNO_'s	-0.30087
r_up	MU_broad	-0.244372
r_up	FDO_'s	0.73089
r_up	ADBE_'s	0.362724
r_up	LUV_$	-0.126863
r_up	HIG_'s	0.147684
r_up	IP_'s	-0.209576
r_up	GME_up	-0.562463
r_up	LLY_$	0.0821255
r_up	AGN_'s	0.259482
r_up	INTU_shares	0.217416
r_up	NTAP_'s	-0.271701
r_up	SWN_crude	0.0614264
r_up	NTAP_stocks	0.2865
r_up	NTAP_tech	-0.354197
r_up	VIAB_$	0.473742
r_up	LNC_'s	0.0798082
r_up	RF_stocks	0.0597071
r_up	WYNN_'s	-0.140566
r_up	NTAP_biggest	0.126997
r_up	TWC_'s	-0.00342124
r_up	EMC_gains	0.587484
r_up	LOW_after	-0.0802412
r_up	SO_'s	-0.752904
r_up	LUV_sector	-1.33554
r_up	STI_banks	-0.196634
r_up	SLM_'s	0.0247052
r_up	MA_stocks	-0.426266
r_up	CPB_'s	-0.519234
r_up	M_holiday	-0.328469
r_up	WYN_'s	0.48849
r_up	SNDK_'s	-1.04216
r_up	PNC_stocks	0.729192
r_up	HIG_$	-0.442901
r_up	PCLN_stocks	-0.287299
r_up	VIAB_'s	0.13282
r_up	WY_'s	0.896787
r_up	WFM_'s	0.0556037
r_up	DF_stocks	0.0336086
r_up	DF_'s	-0.185213
r_up	WFM_stocks	-0.3025
r_up	NDAQ_stocks	-1.00384
r_up	ADM_'s	-0.323876
r_up	JWN_retailers	-0.656202
r_up	GPS_biggest	-0.254197
r_up	QCOM_'s	-0.107029
r_up	DE_'s	0.734442
r_up	BRCM_$	-0.220556
r_up	SJM_'s	-0.00134591
r_up	TAP_focus	0.337701
r_up	VLO_shares	0.0589488
r_up	JNPR_rise	0.254726
r_up	DD_stocks	-1.36923
r_up	NVDA_$	0.351237
r_up	APC_energy	-0.364029
r_up	MRK_5	-0.106261
r_up	CSCO_'s	0.0164158
r_up	EBAY_'s	0.282569
r_up	NFLX_'s	-0.0623941
r_up	DIS_'s	0.244127
r_up	ORCL_slips	-0.620818
r_up	CMCSA_stock	-0.311085
r_up	NVDA_tech	-0.679222
r_up	HOT_'s	-0.640886
r_up	MET_shares	-0.773804
r_up	AMD_gain	0.0327165
r_up	AXP_'s	0.214802
r_up	VLO_gas	-0.381232
r_up	TIF_futures	5.26839e-05
r_up	TIF_stocks	0.0389091
r_up	YUM_watch	0.254447
r_up	TGT_$	0.355422
r_up	DE_$	0.271314
r_up	VNO_$	0.644083
r_up	CBS_gaining	0.174288
r_up	CBS_declining	0.174288
r_up	SBUX_stocks	0.167256
r_up	MO_'s	-0.00193226
r_up	CA_stocks	-0.0723512
r_up	UTX_$	0.217896
r_up	CA_'s	-0.082293
r_up	PPL_$	-0.147646
r_up	BBY_2010	0.569949
r_up	M_rise	0.927745
r_up	MRK_'s	0.307582
r_up	NKE_$	-0.158743
r_up	WDC_biggest	0.243991
r_up	SPG_$	0.433529
