2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.779938
r_up	LEN_advisories	-0.00558849
r_up	BLK_'s	-0.219116
r_up	NVDA_'s	-0.111573
r_up	M_'s	-0.0491896
r_up	LUV_'s	0.0551993
r_up	APOL_stocks	-0.670547
r_up	COST_sales	0.12866
r_up	BBY_sales	0.416041
r_up	CMCSA_'s	-0.112284
r_up	OXY_gains	0.16018
r_up	VLO_gains	0.848919
r_up	CMG_'s	0.706978
r_up	COST_stocks	0.372892
r_up	HES_stocks	-0.287177
r_up	ANF_stocks	0.303372
r_up	ANF_'s	0.37543
r_up	LEN_surprises	-0.00558849
r_up	TJX_stocks	-0.416372
r_up	CCI_$	0.585749
r_up	BBY_stocks	-0.116942
r_up	JCP_stocks	0.217395
r_up	JCP_'s	0.173508
r_up	M_stocks	0.418613
r_up	LOW_'s	0.159992
r_up	COF_after	-0.768048
r_up	PG_'s	0.117396
r_up	NDAQ_'s	0.350381
r_up	PNC_'s	-0.208004
r_up	ICE_'s	-0.109069
r_up	CVX_$	0.398228
r_up	AES_'s	0.695802
r_up	WFM_shares	-0.321101
r_up	CI_'s	-0.610767
r_up	MDT_'s	0.480674
r_up	CVX_energy	0.188999
r_up	CVX_stocks	-0.404212
r_up	IR_watch	-0.576473
r_up	CSCO_after	-0.431721
r_up	MDT_$	-0.247589
r_up	USB_'s	-0.172338
r_up	WFC_'s	0.103087
r_up	ORCL_'s	-0.20651
r_up	T_'s	0.360457
r_up	NBR_stocks	-0.215559
r_up	M_$	0.0795526
r_up	SNDK_shares	-0.30003
r_up	VLO_energy	-0.0793811
r_up	USB_banks	-0.1172
r_up	F_'s	0.122073
r_up	TAP_'s	-0.945256
r_up	BA_'s	0.308767
r_up	MCD_'s	-0.0765637
r_up	NKE_focus	0.782512
r_up	TSO_stocks	0.461021
r_up	TXN_deal	0.552498
r_up	JWN_retail	-0.529763
r_up	HD_sector	0.111606
r_up	GIS_'s	-0.269736
r_up	ADBE_focus	0.819655
r_up	APC_shares	0.135976
r_up	KO_$	-0.549792
r_up	CAM_gains	0.318893
r_up	MRO_$	-0.412373
r_up	COF_'s	-0.0652563
r_up	BBT_'s	0.117759
r_up	HBAN_'s	0.0597775
r_up	MTB_'s	1.03367
r_up	BK_gains	0.822059
r_up	UTX_'s	0.279421
r_up	HAL_'s	-0.0383594
r_up	HAL_stocks	0.41161
r_up	MRO_gains	0.149004
r_up	EXC_stocks	0.59353
r_up	DOW_'s	-0.244651
r_up	PNC_$	0.0971144
r_up	WMB_stocks	0.115582
