2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.184846
r_down	BLK_'s	-0.29892
r_down	BBY_'s	-0.0611134
r_down	MET_2012	0.0653653
r_down	LMT_'s	0.691809
r_down	UPS_'s	0.243484
r_down	M_'s	0.124746
r_down	COST_'s	-0.213911
r_down	VLO_fall	0.0837994
r_down	CMCSA_'s	0.166817
r_down	HES_stocks	-0.939548
r_down	ANF_stocks	0.391632
r_down	ANF_'s	-0.0739664
r_down	TJX_stocks	0.378498
r_down	BBY_stocks	0.404467
r_down	JCP_stocks	-0.0529475
r_down	LOW_'s	-0.0440943
r_down	MET_$	-0.179893
r_down	PG_'s	0.268854
r_down	URBN_stocks	-0.502761
r_down	PNC_'s	-0.291932
r_down	KO_watch	-0.295765
r_down	ICE_'s	-0.299506
r_down	NDAQ_after	-0.148606
r_down	WLP_'s	0.0238139
r_down	CVX_$	-0.685432
r_down	PRU_$	0.720236
r_down	AET_'s	-0.315532
r_down	AIG_$	0.135233
r_down	RF_'s	0.0140733
r_down	KEY_'s	-0.181411
r_down	MDLZ_watch	1.21543
r_down	MET_surprises	-0.376439
r_down	CI_'s	0.240336
r_down	CL_'s	0.30064
r_down	CVX_stocks	0.164062
r_down	CSCO_shares	-0.371599
r_down	NDAQ_fall	-1.61981
r_down	AKAM_watch	-0.221485
r_down	USB_'s	0.0403456
r_down	WFC_'s	-0.194452
r_down	VZ_'s	0.425406
r_down	T_'s	-0.320403
r_down	HIG_stocks	0.474735
r_down	M_$	-0.615079
r_down	AVP_$	0.255592
r_down	SNDK_after	1.02379
r_down	AIG_'s	0.361717
r_down	F_'s	0.540212
r_down	XOM_stocks	-0.0772101
r_down	NBR_energy	0.182713
r_down	PFG_'s	-0.147815
r_down	PRU_focus	0.671138
r_down	TXN_rally	-0.277475
r_down	NKE_profit	-0.507981
r_down	JWN_stocks	-0.137321
r_down	MET_'s	-0.558732
r_down	HES_rally	-0.637201
r_down	CHK_gas	-0.427025
r_down	LLY_stocks	1.15946
r_down	JWN_higher	-0.22579
r_down	APC_lead	1.26386
r_down	MRO_$	0.143129
r_down	KO_'s	-0.402528
r_down	PLL_advisories	0.187255
r_down	PLL_surprises	0.187255
r_down	PCG_$	-0.618143
r_down	SCHW_rally	-0.113558
r_down	HBAN_'s	-0.537796
r_down	MTB_'s	-0.874202
r_down	FITB_'s	0.115376
r_down	UTX_'s	0.0147979
r_down	CAH_'s	0.248053
r_down	APC_stocks	-0.617446
r_down	BK_'s	0.0608084
r_down	HAL_'s	0.0949876
r_down	HAL_stocks	-0.073052
r_down	USB_stocks	-0.246791
r_down	CHK_stocks	0.715601
r_down	SPLS_stocks	0.144036
r_down	DOW_'s	0.275489
r_down	APC_market	0.375793
r_down	PNC_$	0.119242
r_down	HAL_$	0.0272215
r_down	WMB_stocks	-0.167048
r_down	BK_stocks	0.13233
r_down	DO_'s	-0.147447
r_down	MRO_broad	0.301225
r_down	CF_'s	0.262475
r_down	EXC_'s	0.167059
r_down	BIG_'s	0.233983
r_down	WAG_'s	0.0779846
r_down	V_'s	0.0407343
r_down	COP_'s	0.238924
r_down	BIIB_'s	-0.0148938
r_down	SPG_'s	0.124102
r_down	OXY_'s	-0.0180323
r_down	JDSU_'s	-0.17631
r_down	FFIV_'s	-0.437244
r_down	AA_'s	-0.0905957
r_down	SYMC_$	-0.607534
r_down	COP_$	0.13337
r_down	APC_n't	0.351244
r_down	PEP_'s	0.0388592
r_down	TXN_shares	-0.20192
r_down	BSX_'s	-0.43689
r_down	NKE_'s	0.235533
r_down	COST_after	-0.45824
r_down	CVS_$	-0.325659
r_down	ACN_'s	-0.276364
r_down	JNPR_sector	-0.478215
r_down	PBCT_'s	-0.0283837
r_down	TWX_futures	-0.599593
r_down	LLY_'s	0.152275
r_down	MDLZ_'s	-0.2069
r_down	DVN_'s	-0.118022
r_down	EMC_stocks	0.188137
r_down	GPS_'s	0.151173
r_down	DFS_stocks	0.823641
r_down	SLB_'s	0.291355
r_down	GILD_focus	-0.16278
r_down	CHK_'s	0.16926
r_down	ADBE_stocks	-0.103926
r_down	BBT_$	0.324201
r_down	FITB_biggest	1.31587
r_down	APC_'s	-0.0847543
r_down	ABT_stocks	-0.333608
r_down	MCO_'s	0.00954502
r_down	ABT_'s	-0.128495
r_down	AEP_$	-0.0912233
r_down	APC_$	0.206222
r_down	CHK_$	0.0159193
r_down	MU_$	0.0978109
r_down	EOG_'s	-0.276905
r_down	PM_'s	-0.665762
r_down	COF_stocks	-0.385179
r_down	RRC_stocks	0.108615
r_down	AMD_``	-0.0380488
r_down	BRCM_gains	0.136435
r_down	TXN_'s	-0.359385
r_down	DHI_stocks	0.828073
r_down	ADBE_gains	-0.4038
r_down	CF_stocks	0.34364
r_down	AMD_rally	-0.481776
r_down	AMD_stocks	0.809785
r_down	HON_$	0.0176728
r_down	NVDA_stocks	-0.763224
r_down	ITW_$	-0.0852223
r_down	ADBE_after	0.0397169
r_down	AMD_''	-0.0380488
r_down	BRCM_'s	0.755676
r_down	DHR_$	0.0124866
r_down	V_shares	-0.43982
r_down	BHI_'s	0.586241
r_down	ABT_$	0.155284
r_down	MU_stocks	-0.111583
r_down	SLB_gains	0.727436
r_down	ZION_$	-0.499866
r_down	HAL_lead	0.306472
r_down	ROK_focus	0.631389
r_down	CBS_'s	0.353203
r_down	YUM_'s	0.0793718
r_down	BMY_stocks	0.125547
r_down	BSX_$	0.237039
r_down	NVDA_sector	0.499247
r_down	TXN_stocks	-0.157277
r_down	RF_rally	-0.162643
r_down	CAH_$	-0.481791
r_down	VNO_'s	0.250169
r_down	MCHP_stocks	-0.184877
r_down	ADBE_'s	-0.410254
r_down	LUV_$	0.0662955
r_down	IP_stocks	-0.0956544
r_down	LLY_market	0.111574
r_down	HCBK_'s	1.00362
r_down	MAR_'s	0.564389
r_down	DFS_'s	-0.663526
r_down	TSO_'s	0.0934372
r_down	IP_'s	0.177126
r_down	WAG_stocks	0.203746
r_down	BMY_$	-0.293639
r_down	GPS_stocks	0.308606
r_down	AXP_$	0.00374434
r_down	AA_stocks	0.104992
r_down	CVC_'s	-0.290342
r_down	NTAP_'s	0.313037
r_down	HD_sales	0.282506
r_down	CAT_'s	-0.286311
r_down	CRM_profit	0.484659
r_down	SWN_crude	-0.859442
r_down	LUV_prices	-0.0750995
r_down	RF_stocks	-0.0531653
r_down	JCP_sales	-0.0681851
r_down	TWC_'s	0.377677
r_down	SO_'s	0.716563
r_down	FITB_banks	-0.0387994
r_down	BK_$	-0.342179
r_down	MCD_stocks	-0.361049
r_down	MAS_stocks	0.372864
r_down	CME_stocks	0.137141
r_down	HIG_after	0.380971
r_down	MA_'s	-0.201992
r_down	SNDK_'s	0.206957
r_down	NEM_$	-0.209189
r_down	ADM_stocks	-0.355228
r_down	ADM_oil	-0.614229
r_down	WY_'s	-0.620946
r_down	WFM_'s	-0.475299
r_down	WFM_stocks	0.707573
r_down	PCG_'s	0.766872
r_down	PCLN_'s	-0.613489
r_down	NDAQ_stocks	-0.0413271
r_down	MYL_'s	0.579326
r_down	VLO_market	-0.360434
r_down	VRSN_'s	0.100434
r_down	QCOM_'s	-0.40656
r_down	SBUX_$	0.566056
r_down	DE_'s	-0.558652
r_down	QCOM_stocks	-0.181209
r_down	FHN_stocks	-0.689482
r_down	NVDA_$	-0.0205763
r_down	DLTR_$	0.568939
r_down	ORCL_gain	-0.186735
r_down	SLB_profit	0.0598016
r_down	CSCO_'s	-0.46561
r_down	LLY_5	-0.27744
r_down	NFLX_'s	-0.0465222
r_down	MON_biggest	-0.387568
r_down	ORCL_tech	-0.348484
r_down	DIS_'s	-0.310473
r_down	NVDA_tech	0.270173
r_down	TXN_techs	-0.0461471
r_down	DFS_$	0.170768
r_down	HOT_$	1.7288
r_down	AXP_'s	0.0387415
r_down	VLO_gas	1.08403
r_down	GD_$	0.455375
r_down	TXN_rise	-0.282327
r_down	DTV_$	-0.210849
r_down	YUM_watch	-0.0543416
r_down	MON_after	-0.0786236
r_down	AET_stocks	-0.217716
r_down	V_biggest	0.215127
r_down	GILD_'s	0.0471269
r_down	MO_'s	0.31234
r_down	CSX_'s	0.24853
r_down	UTX_$	-0.0926513
r_down	V_gaining	0.215127
r_down	V_declining	0.215127
r_down	PPL_$	0.106351
r_down	NBL_stocks	-0.957096
r_down	M_sales	-0.259791
r_down	BBY_retail	-0.103465
r_down	KSS_sales	-0.274187
r_down	GPS_rise	-0.833001
r_down	WDC_stocks	0.137276
r_down	MDLZ_profit	-0.312211
r_down	NE_stocks	0.0466014
r_down	KSS_biggest	1.65689
r_down	NFLX_stocks	-0.285575
r_down	WFC_$	0.0793271
r_down	JOY_'s	0.420755
r_down	NOV_$	-0.0774204
r_down	TJX_sales	0.177326
r_down	CVX_'s	0.000476882
r_down	HES_crude	-1.45841
r_down	NTRS_'s	1.28094
r_down	SNDK_stocks	0.191739
r_down	RF_up	-0.051581
r_down	NOC_$	0.0385354
r_down	ETN_'s	-0.124356
r_down	WIN_stocks	0.784016
r_down	WM_'s	-1.35634
r_down	COG_energy	-0.020729
r_down	SCHW_$	0.288893
r_down	UTX_stocks	0.153798
r_down	TXN_retreat	0.983627
r_down	BLK_$	-0.136113
r_down	HOG_stocks	-1.06354
r_down	CHK_natural	-0.60214
r_down	TXT_stocks	0.61906
r_down	BAX_'s	0.418556
r_down	AMAT_sector	0.396419
r_down	ALTR_'s	-0.76806
r_down	DNR_energy	-0.0814957
r_down	AXP_fall	0.128818
r_down	TROW_'s	-0.185538
r_down	CNX_energy	0.0328772
r_down	INTC_stocks	0.115848
r_down	CMCSA_$	0.117905
r_down	NFLX_gains	-0.00216378
r_down	IBM_stocks	-0.279957
r_down	JNPR_gains	1.21925
r_down	XRX_$	-0.984948
r_down	GPS_shares	0.170496
r_down	PEP_stocks	0.0984272
r_down	MMM_'s	0.136089
r_down	AMGN_$	-0.13806
r_down	MON_$	-0.327819
r_down	HAL_focus	1.30206
r_down	CHK_oil	0.467082
r_down	SYK_'s	-0.169223
r_down	YHOO_'s	0.280286
r_down	HAL_oil	0.115719
r_down	COG_stocks	-0.396882
r_down	JNJ_'s	0.0461888
r_down	BHI_stocks	-0.256308
r_down	X_advisories	-0.0610097
r_down	NRG_rise	-0.035307
r_down	STI_sector	-1.38815
r_down	BHI_energy	-0.241657
r_down	X_surprises	-0.0610097
r_down	T_$	-0.246814
r_down	PFE_$	0.245712
r_down	NRG_stocks	-0.250252
r_down	ANF_drop	0.265749
r_down	JWN_'s	-0.0597644
r_down	HES_$	1.14075
r_down	ZION_'s	0.102203
r_down	XRX_'s	0.101984
r_down	COF_surprises	0.0179646
r_down	COF_advisories	0.0179646
r_down	BHI_10	-0.302025
r_down	HBAN_stocks	-0.260769
r_down	JDSU_biggest	-0.734725
r_down	DOW_stocks	-0.167285
r_down	ADSK_'s	-0.276957
r_down	LM_focus	-0.572454
r_down	NBL_gains	-0.00688081
r_down	AA_gains	-0.68303
r_down	AA_after	0.615747
r_down	KMX_'s	0.0675637
r_down	NOV_gains	0.0759595
r_down	LMT_cuts	0.517058
r_down	BBBY_focus	0.601794
r_down	RTN_$	0.0127881
r_down	M_mixed	-0.20816
r_down	MU_n't	1.00893
r_down	PHM_$	0.0964845
r_down	CAT_stocks	-0.0694676
r_down	QCOM_5	0.853152
r_down	HST_stocks	0.771539
r_down	AA_fall	0.296404
r_down	IBM_$	-0.436869
r_down	XOM_500	1.46655
r_down	EBAY_$	0.0522245
r_down	AIG_billion	-0.121117
r_down	CSCO_gains	-0.89915
r_down	CME_$	-0.453758
r_down	NDAQ_trading	-0.531527
r_down	CCL_'s	0.402138
r_down	DIS_n't	1.60692
r_down	CVS_10	-0.270998
r_down	COF_50	0.192492
r_down	LO_'s	1.02604
r_down	CVX_rise	-1.74359
r_down	WAG_20	-0.172163
r_down	NDAQ_2008	-0.260739
r_down	NVDA_up	0.245583
r_down	RHT_stocks	-0.0776791
r_down	CI_$	-0.188008
r_down	CPB_focus	-0.249475
r_down	MET_gains	-0.642641
r_down	CRM_$	0.118937
r_down	EA_fall	-0.353197
r_down	TXN_futures	0.331696
r_down	MCD_focus	-0.126882
r_down	ETFC_'s	0.896122
r_down	ETFC_stocks	0.346496
r_down	TER_'s	-2.30249
r_down	IPG_'s	-0.29503
r_down	GNW_focus	-0.438324
r_down	HD_drop	0.15624
r_down	LOW_30	-0.0477487
r_down	CNX_'s	-0.333014
r_down	JNJ_$	0.12582
r_down	FITB_$	0.38339
r_down	CHK_fall	1.87425
r_down	LUV_shares	-0.175842
r_down	ADBE_sector	0.259672
r_down	GIS_stocks	0.781617
r_down	AMD_fall	-0.316491
r_down	BBY_n't	-0.826304
r_down	MS_'s	-0.674272
r_down	HPQ_'s	-0.140817
r_down	TRV_$	-0.553733
r_down	QCOM_data	0.106363
r_down	COST_$	-0.530938
r_down	IBM_n't	-0.892417
r_down	TGT_'s	0.0128945
r_down	INTU_'s	0.141758
r_down	ESRX_focus	-0.0521969
r_down	TYC_'s	-0.281872
r_down	EMC_higher	0.0243422
r_down	CVX_gain	-0.197426
r_down	CAT_$	-0.240334
r_down	JNJ_watch	-0.0375325
r_down	XOM_gain	-0.668852
r_down	EQR_$	0.202515
r_down	DISCA_'s	0.773253
r_down	ACE_'s	0.802162
r_down	CSCO_slip	0.954054
r_down	NFLX_tech	1.17555
r_down	SPLS_$	0.509914
r_down	AIG_stocks	-1.1213
r_down	GNW_gains	-0.882187
r_down	D_$	0.0295768
r_down	AXP_gain	-0.360604
r_down	NEM_dollar	0.926647
r_down	JOY_$	0.2353
r_down	NKE_durable-goods	-0.0707219
r_down	ADBE_10	0.596279
r_down	BMS_'s	-0.559858
r_down	NEM_biggest	-0.0802536
r_down	EA_focus	-0.414794
r_down	AXP_higher	-0.0895363
r_down	AXP_lead	-0.288574
r_down	NRG_$	0.10795
r_down	RTN_'s	-0.245613
r_down	ESRX_$	-0.161371
r_down	AFL_$	0.197244
r_down	HAL_gains	-0.0874016
r_down	UTX_11	3.32113e-05
r_down	COP_top	-0.499744
r_down	ACE_$	-0.352844
r_down	SBUX_futures	-0.430214
r_down	TSO_higher	-0.137497
r_down	TGT_15	0.324383
r_down	CVX_market	0.315328
r_down	FDO_$	0.0279558
r_down	VZ_$	0.135764
r_down	M_8	0.239142
r_down	FHN_'s	-0.369152
r_down	CELG_$	0.291757
r_down	CMCSA_19	0.0923912
r_down	COP_66	0.332079
r_down	HPQ_tech	-0.173088
r_down	AXP_rally	-1.28411
r_down	BA_$	0.152281
r_down	CPB_27	0.391407
r_down	BA_up	0.231723
r_down	VLO_but	-1.01617
r_down	LEN_$	0.242517
r_down	XLNX_stocks	-0.0181386
r_down	CPB_stocks	-0.0543847
r_down	CBG_'s	-0.0484724
r_down	BAC_$	-0.313234
r_down	MCO_n't	0.539369
r_down	AIG_after	-0.308947
r_down	FSLR_up	-0.0678466
r_down	EMC_after	0.272321
r_down	CAM_energy	-0.399765
r_down	APOL_watch	0.681344
r_down	MRO_2	-0.284252
r_down	PEP_futures	-0.543207
r_down	VFC_'s	-0.474254
r_down	DOW_2009	0.890726
r_down	DTV_'s	-0.336232
r_down	BMY_lower	0.501305
r_down	MCK_$	-0.380273
r_down	LEN_fall	0.980498
r_down	MDT_surprises	0.171363
r_down	MDT_advisories	0.171363
r_down	HD_27	0.0325858
r_down	TIF_gains	-0.0915677
r_down	LO_n't	0.199903
r_down	M_fall	0.210849
r_down	M_gains	-0.222124
r_down	CLF_stocks	-0.174399
r_down	MDT_after	0.794025
r_down	EA_end	0.126145
r_down	THC_$	-0.802338
r_down	AXP_after	-0.148946
r_down	GME_6.7	0.481173
r_down	C_'s	0.0965888
r_down	ORCL_after	0.773337
r_down	GS_'s	0.262182
r_down	SYY_'s	-0.101853
r_down	PCLN_watch	-0.279812
r_down	HAL_advisories	-0.10917
r_down	HAL_surprises	-0.10917
r_down	DE_7	0.454689
r_down	MCD_up	-0.23556
r_down	ADI_shares	-0.212781
r_down	CF_10	0.795263
r_down	MTB_stocks	-0.349283
r_down	PBI_stocks	-0.666748
r_down	AA_11,000	-0.453554
r_down	QCOM_smartphones	1.1504
r_down	JNJ_n't	0.273517
r_down	AMZN_stocks	0.0199007
r_down	MAT_stocks	-0.0659563
r_down	MCD_fall	0.523421
r_down	CVX_oil	0.387238
r_down	STX_$	0.431858
r_down	AIG_rise	0.0976272
r_down	C_higher	0.478083
r_down	TIF_2.5	-0.133904
r_down	BA_787s	-0.102773
r_down	AMD_slip	1.1496
r_down	PNC_n't	-0.060866
r_down	TRV_into	-0.819307
r_down	TGT_3.7	0.225141
r_down	HD_14	-0.116241
r_down	EBAY_stocks	0.38224
r_down	FSLR_$	0.205079
r_down	PEG_'s	-0.186928
r_down	MSI_$	-0.0518074
r_down	AIG_plan	0.0571671
r_down	BAX_2	-0.027398
r_down	CSX_2011	-0.368176
r_down	UNP_'s	-0.23051
r_down	WFC_earnings	0.216319
r_down	HPQ_8	-0.254347
r_down	CME_after	0.826245
r_down	NFLX_$	0.628161
r_down	JNJ_2013	-0.0543757
r_down	STX_tech	-0.160902
r_down	MMM_2012	0.56368
r_down	SE_$	0.550841
r_down	VLO_gain	-0.608943
r_down	MAT_10	0.351901
r_down	GLW_17	0.420657
r_down	VZ_7	0.181283
r_down	TGT_may	0.476503
r_down	AMD_down	0.452367
r_down	CAM_advisories	0.362664
r_down	CAM_surprises	0.362664
r_down	CTSH_21	0.207281
r_down	COV_'s	-0.154686
r_down	WFC_22	-0.165694
r_down	SLB_off	1.55102
r_down	MDT_5.2	0.905901
r_down	WMT_sales	-0.000476854
r_down	DIS_10	-0.167334
r_down	EBAY_buy	0.233934
r_down	MMM_943	0.182889
r_down	LM_market	0.331631
r_down	AA_500	-0.0444111
r_down	KO_500	0.27492
r_down	SWY_2010	0.322835
r_down	SCHW_23	-0.805571
r_down	VIAB_2	-0.0809257
r_down	SLB_31	0.0829371
r_down	COH_14	-0.425851
r_down	VZ_250.4	0.0404329
r_down	T_250.4	0.0404329
r_down	MCD_3.1	0.414453
r_down	UPS_2.2	-0.381665
r_down	PEP_21	0.239355
r_down	KEY_focus	-0.816516
r_down	PFE_profit	0.647046
r_down	UNH_13	-0.00275506
r_down	LOW_44	0.694806
r_down	CPB_11	-0.420646
r_down	KMB_8.1	-0.297197
r_down	BK_2nd	-0.0792469
r_down	STT_2nd	-0.0792469
r_down	MAT_6.2	-0.121489
r_down	MDT_54	0.101364
r_down	TIF_26	0.117608
r_down	HRL_41	0.159895
r_down	ETFC_27	-0.356686
r_down	FDX_33	0.206162
r_down	TSN_21	0.183638
r_down	CLX_1.2	0.312954
r_down	BAC_14,000	-0.0385281
r_down	KO_14,000	-0.0385281
