2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.0807179
r_down	HD_'s	0.449695
r_down	NVDA_'s	0.0635408
r_down	LMT_'s	-0.320536
r_down	M_'s	0.146039
r_down	LUV_'s	-0.0652369
r_down	COST_surprises	-0.0735387
r_down	MYL_$	-0.0995766
r_down	AMAT_stocks	0.30485
r_down	COST_sales	-0.142275
r_down	CMCSA_'s	0.248537
r_down	VLO_stocks	-0.0370771
r_down	COST_advisories	-0.0735387
r_down	APA_stocks	0.235178
r_down	CMG_'s	1.02333
r_down	COST_stocks	0.0975971
r_down	HES_stocks	-0.850242
r_down	ANF_stocks	-0.0226802
r_down	ANF_'s	0.288657
r_down	TJX_stocks	0.197979
r_down	CCI_$	0.307458
r_down	BBY_stocks	0.119195
r_down	JCP_'s	-0.0214984
r_down	LOW_'s	-0.254636
r_down	PG_'s	0.0827952
r_down	AMD_'s	-0.0683374
r_down	URBN_stocks	-0.0943416
r_down	CME_'s	0.165944
r_down	PNC_'s	-0.370454
r_down	ICE_'s	-0.243986
r_down	WLP_'s	0.342427
r_down	CVX_$	-0.251439
r_down	STI_'s	0.0359322
r_down	PRU_$	0.436438
r_down	AET_'s	-0.216795
r_down	AIG_$	0.197797
r_down	WFM_shares	0.455164
r_down	CI_'s	0.745793
r_down	MDT_'s	0.00240614
r_down	CVX_energy	0.0143473
r_down	URBN_$	0.154789
r_down	CVX_stocks	0.0433427
r_down	CSCO_shares	-0.93131
r_down	MDT_$	0.906781
r_down	USB_'s	0.213385
r_down	WYNN_watch	0.0598476
r_down	WFC_'s	-0.182969
r_down	ORCL_'s	-0.385657
r_down	IBM_'s	-0.35754
r_down	FSLR_energy	-0.208341
r_down	M_$	-0.682056
r_down	SNDK_shares	-0.0388252
r_down	AVP_$	0.129667
r_down	F_stocks	-0.273038
r_down	VLO_energy	-0.167468
r_down	AIG_'s	0.0973106
r_down	USB_banks	0.637667
r_down	XOM_energy	0.149028
r_down	BA_'s	-0.835272
r_down	MCD_'s	-0.187146
r_down	CRM_'s	-0.53177
r_down	KO_8217	-0.0377424
r_down	DRI_focus	-0.0753763
r_down	NKE_profit	-0.286267
r_down	TSO_stocks	-0.32603
r_down	MET_'s	-0.00319511
r_down	AA_shares	0.0653681
r_down	CHK_lead	-0.131807
r_down	NBL_$	0.104771
r_down	CHK_gas	-0.807581
r_down	KO_billion	0.647414
r_down	KO_s	-0.0377424
r_down	LLY_stocks	0.674418
r_down	HD_data	0.894751
r_down	DRI_'s	0.189617
r_down	KO_$	-0.349126
r_down	KO_'s	-0.124555
r_down	PCG_$	-0.099781
r_down	COF_'s	0.0695975
r_down	STT_sector	-0.370561
r_down	MTB_'s	-0.0208313
r_down	FHN_sector	-1.03409
r_down	UTX_'s	-0.0575034
r_down	BK_'s	-0.213224
r_down	HAL_'s	0.0552905
r_down	HAL_stocks	-0.852656
r_down	CHK_stocks	0.380853
r_down	EXC_stocks	0.528984
r_down	APC_broad	-0.388306
r_down	PNC_$	-0.0795764
r_down	WMB_stocks	0.547286
r_down	WAG_$	0.446662
r_down	MRK_n't	-0.128214
r_down	HUM_$	-0.888354
r_down	LLY_n't	-0.113334
r_down	V_'s	0.13853
r_down	GME_'s	-0.199712
r_down	SPG_'s	-0.249132
r_down	OXY_'s	0.392084
r_down	VLO_'s	-0.554272
r_down	AA_'s	-0.261984
r_down	PG_$	0.130547
r_down	COF_$	0.16744
r_down	D_'s	-0.265495
r_down	APC_n't	0.404455
r_down	TWX_up	0.43123
r_down	PEP_'s	-0.156433
r_down	BSX_'s	-0.465837
r_down	NKE_'s	0.109217
r_down	K_'s	1.0785
r_down	GCI_'s	0.329405
r_down	NOC_'s	-0.394042
r_down	COST_profit	-0.123034
r_down	COST_focus	-0.00403245
r_down	AA_data	0.242141
