2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.199525
r_up	BBY_'s	0.397386
r_up	HD_'s	0.305281
r_up	M_report	-0.0537505
r_up	URBN_surprises	-0.0239274
r_up	UPS_'s	-0.196503
r_up	M_'s	-0.0514339
r_up	COST_'s	0.214559
r_up	MYL_$	0.240749
r_up	LUV_stocks	0.0403494
r_up	AMAT_stocks	0.138743
r_up	BBBY_stocks	0.158964
r_up	CMCSA_'s	-0.32922
r_up	URBN_advisories	-0.0239274
r_up	VLO_stocks	0.104894
r_up	APOL_focus	-0.179448
r_up	VLO_gains	0.385745
r_up	CMG_biggest	1.27443
r_up	BBY_stocks	-0.181964
r_up	JCP_stocks	0.279831
r_up	APOL_'s	0.193876
r_up	M_stocks	0.756511
r_up	LOW_'s	-0.0319655
r_up	MET_$	0.502737
r_up	PG_'s	-0.403314
r_up	AMD_'s	-0.16544
r_up	URBN_stocks	-0.0462124
r_up	NDAQ_'s	0.0165999
r_up	SJM_surprises	0.213549
r_up	CME_'s	-0.365995
r_up	ICE_'s	0.265257
r_up	WLP_'s	-0.188107
r_up	STI_'s	-0.237481
r_up	PRU_$	-0.307506
r_up	AIG_$	-0.260536
r_up	WFM_shares	-1.18354
r_up	SJM_advisories	0.213549
r_up	CI_'s	-0.490578
r_up	CL_'s	0.210188
r_up	CVX_stocks	-0.238366
r_up	MDT_$	-0.154354
r_up	WFC_'s	0.0435056
r_up	ORCL_'s	-0.278417
r_up	VZ_'s	0.0608533
r_up	T_'s	0.169166
r_up	IBM_'s	-0.492981
r_up	AVP_'s	-0.816907
r_up	M_$	0.158272
r_up	VLO_energy	0.244063
r_up	FSLR_stocks	-0.0304626
r_up	USB_banks	-0.719488
r_up	XOM_energy	-0.376644
r_up	BA_'s	0.85778
r_up	PFG_'s	0.384034
r_up	WYNN_$	0.0640058
r_up	MET_'s	0.323672
r_up	TSO_lead	0.214987
r_up	CHK_lead	0.304771
r_up	GIS_'s	-0.386201
r_up	EMC_$	-0.0747575
r_up	ADBE_focus	-0.363988
r_up	APC_gains	0.698129
r_up	MRO_$	-0.445463
r_up	COF_'s	0.148118
r_up	GILD_$	0.789782
r_up	UTX_'s	0.323419
r_up	DVN_stocks	0.0620981
r_up	HAL_'s	0.122015
r_up	USB_stocks	0.291441
r_up	CHK_stocks	-0.157579
r_up	RAI_'s	-1.03623
r_up	DOW_'s	0.196726
r_up	HAL_$	0.257214
r_up	SPLS_'s	-0.375474
r_up	CF_'s	-0.109067
r_up	EXC_'s	-0.62236
r_up	WAG_'s	-0.6089
r_up	MRO_'s	0.573915
r_up	WAG_$	0.157357
r_up	HUM_$	1.05592
r_up	V_'s	-0.297616
r_up	GLW_$	0.292286
r_up	SPG_'s	0.0276276
r_up	PPG_$	0.0205289
r_up	OXY_'s	-0.175231
r_up	PG_$	0.263252
r_up	SWN_'s	0.63751
r_up	COF_$	0.0258549
r_up	SYMC_$	1.23491
r_up	D_'s	0.153104
r_up	MMM_stocks	-0.106912
r_up	PEP_'s	0.028499
r_up	BSX_'s	0.299811
r_up	NKE_'s	-0.0710369
r_up	GCI_'s	-0.357706
r_up	NOC_'s	1.16259
r_up	COST_focus	0.341988
r_up	AA_data	-1.0998
r_up	PBCT_'s	0.246096
r_up	EA_'s	0.162493
r_up	SBUX_'s	-0.633181
r_up	LOW_stocks	0.500048
r_up	BMY_'s	0.0542928
r_up	BIIB_stocks	1.03009
r_up	LLY_'s	-0.0147838
r_up	EA_sales	0.285074
r_up	MDLZ_'s	0.194193
r_up	EMC_stocks	-0.0351437
r_up	BBY_up	1.30274
r_up	AMGN_stocks	0.289337
r_up	STI_gaining	-0.389849
r_up	SLB_'s	0.194418
r_up	STI_biggest	-0.389849
r_up	BRCM_focus	-0.551178
r_up	AMGN_'s	-0.191421
r_up	MCO_'s	0.0372448
r_up	ABT_'s	0.0389015
r_up	AEP_$	0.0597561
r_up	APC_$	-0.37307
r_up	CHK_$	0.0195263
