2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.487758
r_down	NVDA_market	1.96731
r_down	BLK_'s	-0.00536656
r_down	BBY_'s	-0.0265065
r_down	NVDA_'s	0.27414
r_down	LMT_'s	0.058403
r_down	M_'s	0.170356
r_down	LUV_'s	0.144947
r_down	COST_'s	-0.328679
r_down	VLO_fall	1.05377
r_down	LUV_stocks	0.267337
r_down	AMAT_stocks	0.569222
r_down	APOL_biggest	0.346374
r_down	BBBY_stocks	-0.238149
r_down	CMCSA_'s	0.0503652
r_down	VLO_stocks	-0.211451
r_down	BBY_data	-0.733269
r_down	OXY_stocks	0.000834202
r_down	TJX_surprises	-0.437746
r_down	COST_stocks	0.248692
r_down	TJX_stocks	0.675473
r_down	TJX_advisories	-0.437746
r_down	JCP_'s	-0.0853251
r_down	LOW_'s	0.0214817
r_down	PG_'s	0.0942348
r_down	NDAQ_'s	0.0482902
r_down	CME_'s	0.425556
r_down	PNC_'s	-0.148654
r_down	KO_watch	-1.34834
r_down	ICE_'s	-0.137321
r_down	WLP_'s	0.524892
r_down	CVX_$	-0.0809491
r_down	PRU_$	0.206985
r_down	AET_'s	0.0163259
r_down	CI_'s	0.0949776
r_down	CL_'s	0.176841
r_down	URBN_$	0.666667
r_down	CVX_stocks	0.822528
r_down	TGT_but	0.37857
r_down	MDT_$	0.379328
r_down	WFC_'s	-0.0783515
r_down	VZ_'s	0.129152
r_down	T_'s	-0.263187
r_down	NBR_stocks	0.159159
r_down	ANF_gaining	0.657632
r_down	AVP_'s	0.573036
r_down	KEY_banks	-0.007967
r_down	F_stocks	0.748945
r_down	AIG_'s	-0.0270275
r_down	FSLR_stocks	-0.040926
r_down	USB_banks	0.32468
r_down	XOM_stocks	-0.194651
r_down	BA_'s	-0.830215
r_down	MCD_'s	0.0871113
r_down	CHK_shares	0.345723
r_down	TSO_stocks	-0.41251
r_down	JWN_stocks	0.275744
r_down	WYNN_$	-0.180997
r_down	MET_'s	-0.203097
r_down	CHK_gas	-0.483764
r_down	GIS_'s	0.375401
r_down	EMC_$	-0.160658
r_down	LLY_stocks	0.748836
r_down	KO_$	-0.639319
r_down	MRO_$	0.366639
r_down	KO_'s	-0.0133292
r_down	OXY_prices	-0.0530074
r_down	PCG_$	-0.46169
r_down	COF_'s	-0.0831006
r_down	EMR_'s	0.592953
r_down	GILD_$	-0.0665321
r_down	BBT_'s	-0.137347
r_down	HBAN_'s	-0.0563225
r_down	FITB_'s	0.159582
r_down	DVN_stocks	-0.19497
r_down	BK_'s	0.167378
r_down	HAL_'s	0.233036
r_down	HAL_stocks	-0.460299
r_down	CHK_stocks	0.323216
r_down	HBAN_results	-0.0211729
r_down	WMB_stocks	0.333261
r_down	SLB_stocks	0.254048
r_down	DO_'s	-0.829887
r_down	EXC_'s	0.0103934
r_down	BIG_'s	-0.227855
r_down	WAG_'s	0.0223643
r_down	WAG_$	0.141282
r_down	LLY_n't	1.11972
r_down	COP_'s	0.446625
r_down	TWX_'s	0.106656
r_down	OXY_'s	-0.0552185
r_down	FCX_'s	0.451809
r_down	VLO_'s	-0.101986
r_down	MMM_$	-0.00853371
r_down	AA_'s	-0.203057
r_down	PG_$	0.146074
r_down	COP_$	0.0902841
r_down	D_'s	-0.962248
r_down	DPS_'s	0.000328561
r_down	PEP_'s	0.126078
r_down	TXN_shares	-0.348173
r_down	NKE_'s	0.367351
r_down	GCI_'s	0.501777
r_down	AA_higher	-0.152915
r_down	NOC_'s	-0.209412
r_down	SBUX_'s	0.211872
r_down	KR_profit	1.47515
r_down	COST_data	-0.113005
r_down	LLY_'s	0.153004
r_down	MDLZ_'s	-0.292576
r_down	BBY_up	-0.00143798
r_down	AMGN_stocks	-0.833843
r_down	GPS_'s	0.147472
r_down	HSY_'s	0.37349
r_down	SLB_'s	0.18244
r_down	GILD_focus	-1.21028
r_down	WIN_$	0.647521
r_down	APC_'s	-0.00728856
r_down	AMGN_'s	0.2225
r_down	MCO_'s	-0.0303144
r_down	ABT_'s	-0.133461
r_down	CHK_$	0.0600863
r_down	MU_$	0.118578
r_down	STI_lower	0.789062
r_down	HSP_'s	0.12838
r_down	BRCM_gains	0.398701
r_down	TXN_'s	-0.211749
r_down	ADBE_gains	-0.651999
r_down	CRM_stocks	0.138115
r_down	AMD_rally	-1.30429
r_down	DHI_'s	0.115941
r_down	LEN_'s	0.0335235
r_down	AMD_stocks	0.227764
r_down	PHM_declining	-0.0224225
r_down	NVDA_stocks	-0.777509
r_down	STZ_'s	-0.347452
r_down	DD_'s	0.0166599
r_down	PHM_'s	-0.715344
r_down	PHM_gaining	-0.0224225
r_down	BRCM_after	-0.749404
r_down	BRCM_'s	0.0573595
r_down	FDX_after	0.740366
r_down	EA_shares	-0.0896286
r_down	DHR_$	0.366769
r_down	NKE_shares	0.379064
r_down	FDX_'s	0.116513
r_down	ABT_$	0.0826286
r_down	SLB_gains	0.323761
r_down	ZION_$	-0.225657
r_down	MU_after	-0.161182
r_down	JNPR_after	0.546679
r_down	CBS_'s	0.187293
r_down	BMY_stocks	0.385036
r_down	BSX_$	0.107711
r_down	DO_stocks	0.168743
r_down	NVDA_sector	0.528174
r_down	AMD_rise	-0.59744
r_down	PG_3	0.217517
r_down	RDC_stocks	0.238117
r_down	FDO_focus	-0.589777
r_down	MAR_stocks	0.893269
r_down	VNO_'s	0.522889
r_down	HOT_stocks	0.251266
r_down	ADBE_'s	-0.171733
r_down	HCBK_'s	0.0481948
r_down	BMY_n't	-0.10269
r_down	TSO_'s	0.165095
r_down	OMC_'s	0.716851
r_down	OXY_$	0.195066
r_down	CNX_stocks	-0.439282
r_down	SCHW_'s	-0.464924
r_down	WAG_stocks	0.451341
r_down	SRE_$	-0.139708
r_down	AGN_'s	-0.157901
r_down	TXN_$	0.271876
r_down	AXP_up	-0.275812
r_down	AA_stocks	0.0227827
r_down	CVC_'s	-0.369404
r_down	TXN_gains	-0.0638932
r_down	HD_loss	0.683836
r_down	THC_'s	-0.574398
r_down	SWN_crude	-0.334316
r_down	VIAB_$	-0.167501
r_down	PETM_'s	0.667658
r_down	LUV_prices	-0.38407
r_down	SJM_focus	-0.430411
r_down	WYNN_'s	0.0631873
r_down	JCP_sales	0.364245
r_down	SO_'s	1.36505
r_down	FHN_results	-0.322041
r_down	V_$	-0.721868
r_down	EIX_'s	-0.304462
r_down	STI_banks	0.571916
r_down	BK_$	-0.0487771
r_down	R_'s	0.345261
r_down	ABT_2	0.250492
r_down	SLM_'s	-0.443166
r_down	M_holiday	0.0118854
