2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.283001
r_down	BLK_'s	-0.158485
r_down	BBY_'s	-0.0212584
r_down	UPS_'s	0.0622831
r_down	M_'s	-0.111534
r_down	M_after	0.427844
r_down	LUV_stocks	-0.0573396
r_down	APOL_biggest	0.356496
r_down	CMCSA_'s	0.545786
r_down	VLO_stocks	-0.0271615
r_down	OXY_gains	0.524407
r_down	VLO_gains	-0.365706
r_down	UPS_stocks	0.177423
r_down	TJX_surprises	-0.0419398
r_down	VLO_refiners	0.631317
r_down	BBY_stocks	0.277704
r_down	TJX_advisories	-0.0419398
r_down	CMG_stocks	0.145286
r_down	JCP_'s	-0.32052
r_down	LOW_'s	-0.0384754
r_down	MET_$	-0.419476
r_down	PG_'s	0.253846
r_down	AMD_'s	-0.00419225
r_down	URBN_stocks	-0.244622
r_down	NDAQ_'s	-0.00655032
r_down	SJM_surprises	-0.0846738
r_down	CME_'s	0.355878
r_down	PNC_'s	-0.519368
r_down	ICE_'s	-0.452438
r_down	WLP_'s	0.593241
r_down	KO_advisories	-0.0448824
r_down	CVX_$	-0.277909
r_down	AET_'s	-0.152058
r_down	AIG_$	0.0637321
r_down	AES_'s	-0.0592073
r_down	WFM_shares	0.67636
r_down	SJM_advisories	-0.0846738
r_down	CL_'s	-0.919264
r_down	URBN_$	0.997083
r_down	CVX_stocks	0.744624
r_down	KO_surprises	-0.0448824
r_down	AIG_focus	-0.0590215
r_down	WFC_'s	-0.320173
r_down	ORCL_'s	-0.283088
r_down	IBM_'s	0.00697584
r_down	AVP_'s	0.0265725
r_down	SNDK_after	0.639197
r_down	VLO_energy	0.361158
r_down	AIG_'s	0.134275
r_down	FSLR_stocks	0.0313153
r_down	USB_banks	0.39759
r_down	F_'s	0.350406
r_down	BA_'s	-0.147488
r_down	MCD_'s	0.0523539
r_down	CRM_'s	-0.343073
r_down	CHK_shares	0.106794
r_down	NKE_focus	-0.153455
r_down	TSO_stocks	-0.669936
r_down	MET_'s	-0.214459
r_down	CHK_gas	-0.518964
r_down	SNI_'s	0.898557
r_down	GIS_'s	-0.117304
r_down	HES_lead	0.0434193
r_down	KO_$	-0.514661
r_down	MRO_$	0.617102
r_down	KO_'s	-0.458146
r_down	PLL_advisories	0.20851
r_down	PLL_surprises	0.20851
r_down	VLO_$	-0.077478
r_down	GILD_$	-0.132887
r_down	GILD_stocks	-0.345522
r_down	MTB_'s	-0.0014718
r_down	SPLS_gains	-0.0614787
r_down	FITB_'s	0.105867
r_down	BK_'s	0.418366
r_down	HAL_stocks	-1.05293
r_down	LUV_higher	0.0621984
r_down	CAM_stocks	0.223802
r_down	EXC_stocks	0.0515069
r_down	CMA_stocks	-0.254894
r_down	APC_market	-0.949317
r_down	PNC_$	0.189935
r_down	MRO_stocks	-0.182224
r_down	CF_'s	0.243767
r_down	BIG_'s	-0.0339238
r_down	WAG_'s	-0.142034
r_down	MRO_'s	-0.0718451
r_down	HUM_$	-0.72865
r_down	TWX_tech	-0.524894
r_down	V_'s	-0.441801
r_down	COP_'s	0.242919
r_down	BIIB_'s	0.307446
r_down	SPG_'s	-0.229773
r_down	TWX_'s	0.247101
r_down	OXY_'s	-0.0533772
r_down	FCX_'s	0.0618961
r_down	MMM_$	0.0027622
r_down	AA_'s	-0.0863554
r_down	SYMC_$	-0.795847
r_down	COP_$	-0.0934931
r_down	MJN_'s	-0.142811
r_down	APC_n't	0.475371
r_down	COST_stock	-0.645598
r_down	TXN_shares	-0.378696
r_down	NKE_'s	0.520392
r_down	COST_after	-0.246936
r_down	CVS_$	-0.021753
r_down	COST_focus	-0.254348
r_down	PBCT_'s	-0.38969
r_down	EA_'s	-0.0187006
r_down	TWX_$	0.188074
r_down	SBUX_'s	0.491834
r_down	LOW_stocks	-0.321418
r_down	BIIB_stocks	-0.427314
r_down	JNPR_tech	0.488749
r_down	DVN_'s	-0.601985
r_down	EMC_stocks	0.634262
r_down	AMGN_stocks	-0.265102
r_down	HSY_'s	-0.0502663
r_down	CHK_'s	0.257675
r_down	BBT_$	0.335061
r_down	GD_'s	0.167252
r_down	APC_'s	-0.0081777
r_down	AMGN_'s	0.636793
r_down	MCO_'s	-0.20902
r_down	NOC_n't	0.00918006
r_down	FITB_stocks	-0.0725217
r_down	HSP_'s	0.976698
r_down	TXN_'s	-0.368683
r_down	DHI_stocks	0.0361551
r_down	ADBE_gains	-0.454102
r_down	AMD_rally	-0.887544
r_down	HON_$	-0.367169
r_down	FDX_2010	-1.12014
r_down	NVDA_stocks	0.00120841
r_down	DD_'s	0.575566
r_down	PHM_'s	-0.785152
r_down	CELG_stocks	-0.111128
r_down	FDX_stocks	0.20431
r_down	CCL_surprises	-0.371748
r_down	BHI_'s	0.317407
r_down	CCL_advisories	-0.371748
r_down	NKE_stock	-0.759481
r_down	ABT_$	0.0452554
r_down	MU_stocks	-0.214621
r_down	GME_$	0.873506
r_down	MU_results	-0.419591
r_down	HAL_lead	0.426954
r_down	STI_n't	0.124621
r_down	YUM_'s	-0.313707
r_down	NOV_lead	0.695794
r_down	BSX_$	0.565161
r_down	NVDA_sector	0.252542
r_down	AFL_'s	-0.17458
r_down	RDC_stocks	0.823909
r_down	MAR_stocks	0.795449
r_down	MON_stocks	-0.0213324
r_down	ADBE_'s	-0.11126
r_down	NOV_stocks	0.703741
r_down	MAR_'s	0.576901
r_down	DFS_'s	0.491337
r_down	TSO_'s	0.514904
r_down	IP_'s	0.482413
r_down	OMC_'s	0.371635
r_down	OXY_$	0.061352
r_down	SCHW_'s	-0.355828
r_down	MCD_n't	-0.322978
r_down	LLY_$	0.08987
r_down	BMY_$	0.0528471
r_down	EMC_but	-0.124773
r_down	GPS_stocks	0.241661
r_down	AGN_'s	-0.543874
r_down	TXN_$	-0.0796464
r_down	LUV_5	-0.1799
r_down	TXN_tech	-0.0732846
r_down	AA_stocks	0.00514819
r_down	NTAP_'s	0.182741
r_down	CAT_'s	0.128171
r_down	PETM_focus	0.0365954
r_down	VIAB_$	-0.384347
r_down	LNC_'s	-0.567772
r_down	DD_$	-0.286753
r_down	RF_stocks	-0.147544
r_down	WYNN_'s	0.308321
r_down	PGR_'s	-0.773162
r_down	EMC_gains	-0.0463518
r_down	HBAN_banks	-0.0999896
r_down	SO_'s	0.0057445
r_down	V_$	-0.331136
r_down	EIX_'s	-0.483017
r_down	ABT_2	0.63717
r_down	MA_stocks	0.421585
r_down	MA_'s	0.0522458
r_down	SNDK_'s	0.0574588
r_down	HIG_$	0.0319639
r_down	NEM_$	-0.138195
r_down	PCLN_stocks	0.0833074
r_down	KEY_$	-0.0114363
r_down	EQR_'s	0.267658
r_down	THC_biggest	0.205033
r_down	DF_stocks	-0.207671
r_down	PCG_'s	0.312131
r_down	NDAQ_stocks	-0.117011
r_down	VLO_lower	0.372594
r_down	QCOM_may	0.0786904
r_down	WMB_lower	0.093945
