2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.83776
r_down	HD_'s	-0.0128263
r_down	M_'s	0.0204516
r_down	M_retail	-0.0036825
r_down	LUV_'s	0.307049
r_down	COST_'s	-0.0695262
r_down	BBY_view	-0.426269
r_down	VLO_stocks	-0.152808
r_down	OXY_stocks	0.727825
r_down	TJX_stocks	0.247584
r_down	JCP_'s	-0.330108
r_down	M_stocks	0.258716
r_down	LOW_'s	-0.167182
r_down	CSCO_rise	-0.366179
r_down	PNC_'s	-0.00311964
r_down	ICE_'s	-0.561486
r_down	NDAQ_after	-0.23354
r_down	WLP_'s	0.358653
r_down	AIG_$	-0.169838
r_down	MDT_'s	0.116564
r_down	CVX_energy	-0.30967
r_down	CVX_stocks	0.0955186
r_down	CSCO_shares	-0.112153
r_down	IR_52	-0.453889
r_down	MDT_$	0.186939
r_down	WYNN_watch	0.674146
r_down	WFC_'s	-0.0585893
r_down	ORCL_'s	-0.452193
r_down	IBM_'s	-0.439317
r_down	M_$	-0.641324
r_down	AVP_$	0.331974
r_down	KEY_banks	-0.968707
r_down	ANF_declining	-0.0472727
r_down	AIG_'s	0.00157195
r_down	USB_banks	0.191109
r_down	XOM_stocks	-0.03167
r_down	NBR_energy	0.0840413
r_down	MCD_'s	0.0587769
r_down	GPS_focus	-0.0764232
r_down	CHK_gains	-0.151268
r_down	GIS_advisories	0.314429
r_down	WYNN_$	0.422603
r_down	MET_'s	-0.646595
r_down	NKE_surprises	-0.00524599
r_down	CHK_lead	-0.621933
r_down	NKE_advisories	-0.00524599
r_down	NBL_$	0.638238
r_down	GIS_surprises	0.314429
r_down	CHK_gas	-0.294066
r_down	GIS_'s	0.431976
r_down	NTAP_$	1.07426
r_down	KO_$	0.0699205
r_down	MRO_$	0.169493
r_down	KO_'s	-0.371412
r_down	PCG_$	-0.315279
r_down	VLO_$	-0.815035
r_down	COF_'s	0.376534
r_down	SCHW_rally	-0.105239
r_down	HAL_'s	-0.0485541
r_down	HAL_stocks	-0.496761
r_down	SLB_$	-0.194881
r_down	USB_stocks	-1.16307
r_down	CHK_stocks	0.456613
r_down	CMA_stocks	-0.267599
r_down	DO_'s	-0.286977
r_down	EXC_'s	0.0689074
r_down	MRO_'s	-0.0372576
