2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.481089
r_up	BLK_'s	0.494925
r_up	BBY_'s	0.122885
r_up	HES_gains	0.225163
r_up	LMT_'s	0.179948
r_up	UPS_'s	0.0404225
r_up	CB_n't	0.0583994
r_up	M_'s	-0.0979713
r_up	M_retail	0.564718
r_up	LUV_'s	-0.00984811
r_up	GIS_focus	0.365697
r_up	AMAT_stocks	0.0334293
r_up	APOL_stocks	-0.108782
r_up	COST_sales	-0.252452
r_up	BBY_sales	0.220829
r_up	CMCSA_'s	-0.542893
r_up	VLO_stocks	0.0209764
r_up	CCI_'s	0.497686
r_up	TJX_surprises	0.13521
r_up	COST_stocks	0.191919
r_up	AMAT_up	-0.0722486
r_up	APOL_'s	-0.184854
r_up	TJX_advisories	0.13521
r_up	JCP_'s	0.243436
r_up	LOW_'s	-0.034716
r_up	AMD_'s	0.149087
r_up	CME_'s	-0.162902
r_up	PNC_'s	0.0095098
r_up	X_'s	0.382081
r_up	ICE_'s	0.00672852
r_up	WLP_'s	-0.208975
r_up	CVX_$	0.52095
r_up	MET_watch	-0.693623
r_up	AIG_$	0.172512
r_up	RF_'s	-0.138455
r_up	CVX_stocks	-0.161624
r_up	STX_'s	0.697651
r_up	CMA_'s	0.597444
r_up	IR_52	0.210881
r_up	WLP_2011	0.025302
r_up	AKAM_watch	0.943523
r_up	MDT_$	-0.384667
r_up	WFC_'s	-0.102485
r_up	ORCL_'s	0.1373
r_up	T_'s	-0.119705
r_up	IBM_'s	-0.077204
r_up	HIG_stocks	0.12735
r_up	M_$	0.630739
r_up	SNDK_shares	-0.332914
r_up	F_stocks	-0.89977
r_up	ORCL_watch	-0.0401542
r_up	AIG_'s	-0.098091
r_up	FSLR_stocks	-0.258393
r_up	TAP_'s	-0.659486
r_up	BA_'s	0.425744
r_up	ANF_biggest	-0.938949
r_up	MU_shares	-0.290213
r_up	PFG_'s	-0.0463788
r_up	MCD_'s	-0.0383281
r_up	TXN_rally	0.753868
r_up	TSO_stocks	0.243979
r_up	MET_'s	0.495169
r_up	NBL_$	0.0150392
r_up	CHK_gas	1.48315
r_up	APC_lead	-0.503282
r_up	MRO_$	-0.323549
r_up	KO_'s	0.492783
r_up	PCG_$	0.783835
r_up	VLO_$	0.223158
r_up	GILD_$	-0.0613148
r_up	DVN_stocks	0.147312
r_up	BK_'s	0.256321
r_up	HAL_'s	0.652759
r_up	HAL_stocks	0.346785
r_up	CHK_stocks	-0.212078
r_up	SCHW_stocks	-0.266652
r_up	HBAN_down	-0.0430643
r_up	CMA_stocks	0.303607
