2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.0823325
r_up	UPS_'s	0.104959
r_up	M_'s	-0.11981
r_up	M_retail	0.281486
r_up	COST_retail	0.0992439
r_up	COST_'s	0.085299
r_up	MYL_$	0.185167
r_up	M_data	0.220795
r_up	CMCSA_'s	0.11592
r_up	BBY_view	0.630482
r_up	BBY_data	0.496822
r_up	VLO_gains	0.0477187
r_up	COST_stocks	0.637358
r_up	ANF_stocks	-0.0318736
r_up	AMAT_up	-0.272572
r_up	ANF_'s	0.102188
r_up	JCP_stocks	-0.408381
r_up	JCP_'s	0.140101
r_up	LOW_'s	-0.0272192
r_up	CSCO_rise	-0.164234
r_up	NDAQ_'s	0.477676
r_up	PEP_watch	0.787635
r_up	PNC_'s	-0.314338
r_up	WLP_'s	-0.939576
r_up	CVX_$	0.365618
r_up	STI_'s	-0.420405
r_up	CSCO_advisories	0.415218
r_up	MDT_'s	-0.508993
r_up	CVX_stocks	-0.516627
r_up	STX_'s	0.292066
r_up	CSCO_surprises	0.415218
r_up	CSCO_after	-0.253135
r_up	IR_52	0.624446
r_up	CSCO_18	-0.41519
r_up	MDT_$	-0.420432
r_up	WYNN_watch	-0.328165
r_up	WFC_'s	-0.171642
r_up	VLO_losses	-1.25714
r_up	ORCL_'s	0.0421323
r_up	VZ_'s	-0.269551
r_up	T_'s	0.0475304
r_up	NBR_stocks	-0.514244
r_up	FSLR_energy	-0.2271
r_up	M_$	0.275369
r_up	F_stocks	-0.55801
r_up	AIG_'s	0.150249
r_up	USB_banks	-0.178684
r_up	F_'s	0.00798734
r_up	XOM_stocks	0.298571
r_up	MCD_'s	-0.0931696
r_up	VLO_sector	-1.33837
r_up	CRM_'s	0.354911
r_up	CHK_shares	-0.609401
r_up	BLK_fund	0.925484
r_up	TXN_rally	0.423365
r_up	APC_gas	-0.698911
r_up	CHK_gains	0.54465
r_up	TSO_stocks	0.39664
r_up	MET_'s	0.594599
r_up	ADBE_surprises	0.0281485
r_up	CHK_lead	-0.0238578
r_up	CHK_gas	0.961404
r_up	EMC_$	-0.0134485
r_up	ADBE_advisories	0.0281485
r_up	APC_gains	0.187601
r_up	DRI_'s	0.0973388
r_up	CAM_gains	0.985249
r_up	MRO_$	-0.248837
r_up	KO_'s	0.215443
r_up	PCG_$	0.443561
r_up	COF_'s	0.10323
r_up	SCHW_rally	0.196126
r_up	EMR_'s	-0.0671595
r_up	BBT_'s	-0.331163
r_up	HBAN_'s	1.01385
r_up	MTB_'s	0.623088
r_up	FITB_'s	0.0504405
r_up	UTX_'s	0.300012
r_up	APC_stocks	0.268884
r_up	BK_'s	0.16091
r_up	HAL_'s	0.00812717
r_up	ABC_'s	-0.00476658
r_up	CAM_stocks	-0.243758
r_up	CHK_stocks	-0.391323
r_up	EXC_stocks	0.327685
r_up	SPLS_stocks	-0.255522
r_up	SCHW_stocks	-0.627605
r_up	APC_market	-0.0280965
r_up	EMC_'s	-0.225381
r_up	V_says	-0.34405
r_up	CF_'s	-0.186853
r_up	WAG_'s	-0.361585
r_up	WAG_$	0.183971
r_up	COP_'s	-0.0354371
r_up	BIIB_'s	-0.0135376
r_up	SPG_'s	0.0369213
r_up	TWX_'s	-0.0281083
r_up	OXY_'s	-0.237671
r_up	FCX_'s	-0.303329
r_up	VLO_'s	-0.201646
r_up	AA_'s	0.0288876
r_up	PG_$	-0.0796251
r_up	SWN_'s	-0.144053
r_up	COF_$	0.365682
r_up	COP_$	-0.194718
r_up	APC_n't	0.0801879
r_up	TXN_shares	0.402712
r_up	COST_after	0.00473122
r_up	JNPR_but	-0.826
r_up	LLY_2010	0.320821
r_up	COST_focus	0.370947
r_up	WU_$	0.195083
r_up	TWX_$	-0.0660691
r_up	KR_profit	-0.851694
r_up	ABT_2010	0.132219
r_up	BMY_'s	0.0333751
r_up	COST_data	0.353481
r_up	EA_sales	0.0215349
r_up	BBY_up	-0.281781
r_up	AMGN_stocks	0.213927
r_up	SCHW_advisories	-0.0631604
r_up	WIN_$	-0.0567322
r_up	BBT_$	-0.21971
r_up	V_stocks	0.164576
r_up	FITB_biggest	0.104028
r_up	APC_'s	0.174357
r_up	NKE_stocks	0.305889
r_up	AMGN_'s	-0.0560895
r_up	MCO_'s	-0.0847719
r_up	CHK_$	-0.811578
r_up	MU_$	0.139542
r_up	FITB_stocks	0.250709
r_up	PM_'s	0.897021
r_up	SCHW_surprises	-0.0631604
r_up	QCOM_telecoms	0.977497
r_up	HSP_'s	-0.367809
r_up	BRCM_gains	-0.927915
r_up	TXN_'s	0.0552879
r_up	SCHW_shares	0.386165
r_up	PRU_declining	-0.298895
r_up	DHI_stocks	-0.0310462
r_up	ADBE_gains	0.914162
r_up	CRM_stocks	-0.305912
r_up	PRU_gaining	-0.298895
r_up	PRU_biggest	-0.298895
r_up	AMD_chip	0.313689
r_up	RAI_$	-0.602029
r_up	AMD_rally	0.442738
r_up	DHI_'s	0.241882
r_up	LEN_'s	0.111431
r_up	AMD_stocks	-0.0473874
r_up	HON_$	0.261737
r_up	NVDA_stocks	0.625638
r_up	PHM_biggest	0.0529896
r_up	PRU_'s	-0.403703
r_up	ITW_$	0.25979
r_up	PHM_'s	-0.131655
r_up	ADBE_after	-0.99583
r_up	AMD_gains	0.531192
r_up	RRC_gas	0.449512
r_up	BRCM_after	0.400585
r_up	BRCM_'s	0.241446
r_up	DFS_surprises	-0.370634
r_up	DFS_advisories	-0.370634
r_up	DHI_$	-0.220134
r_up	MU_focus	0.224063
r_up	EA_shares	-0.0708808
r_up	CAT_3	-0.627855
r_up	CELG_'s	-0.371575
r_up	V_shares	0.218943
r_up	BHI_'s	-0.557197
r_up	ABT_$	-0.0217326
r_up	MU_stocks	-0.0243259
r_up	CBS_'s	-0.563332
r_up	GNW_stocks	0.308206
r_up	MO_n't	-0.419649
r_up	BMY_stocks	-0.350837
r_up	MDT_stocks	-1.24501
r_up	CHK_energy	0.166759
r_up	PG_focus	-0.164961
r_up	PG_3	-0.77527
r_up	HES_'s	0.372618
r_up	TXN_stocks	0.253144
r_up	AMGN_n't	0.684969
r_up	MAR_stocks	-0.587048
r_up	MON_stocks	0.254906
r_up	KLAC_stocks	0.057522
r_up	FDO_'s	0.875647
