2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.0411487
r_up	BBY_'s	0.100059
r_up	NVDA_'s	0.462648
r_up	HES_gains	0.051619
r_up	UPS_'s	0.0953174
r_up	M_'s	-0.0359869
r_up	M_retail	-0.132925
r_up	APOL_stocks	-0.254077
r_up	M_data	0.0779319
r_up	BBY_sales	0.0827871
r_up	CMCSA_'s	-0.209533
r_up	BBY_view	0.616744
r_up	VLO_stocks	0.328061
r_up	TJX_surprises	0.147115
r_up	ANF_'s	-0.4055
r_up	TJX_stocks	-0.032014
r_up	CMG_biggest	0.466847
r_up	BBY_stocks	-0.217908
r_up	TJX_advisories	0.147115
r_up	JCP_'s	0.5613
r_up	M_stocks	0.0324757
r_up	MET_$	0.341153
r_up	NDAQ_'s	-0.0733106
r_up	CME_'s	-0.0211264
r_up	PNC_'s	0.697056
r_up	X_'s	0.0566359
r_up	WLP_'s	-0.551715
r_up	CVX_$	-0.266124
r_up	STI_'s	-0.193199
r_up	PRU_$	-0.131605
r_up	KEY_'s	0.204435
r_up	WFM_shares	-1.62215
r_up	IR_watch	0.0216192
r_up	MRK_2011	-0.0311838
r_up	AKAM_watch	0.1265
r_up	ORCL_'s	0.00589651
r_up	T_'s	0.52793
r_up	NBR_stocks	-0.688922
r_up	IBM_'s	0.105069
r_up	HIG_gaining	0.136549
r_up	M_$	0.463129
r_up	AVP_$	-0.206111
r_up	VLO_energy	0.00435336
r_up	AIG_'s	-0.058142
r_up	F_'s	-0.0275681
r_up	TAP_'s	-0.801353
r_up	BA_'s	0.232086
r_up	ANF_biggest	-0.146218
r_up	MU_shares	-0.784963
r_up	MCD_'s	-0.0961194
r_up	CRM_'s	0.214195
r_up	CHK_shares	-0.334282
r_up	BLK_fund	0.147593
r_up	TXN_rally	1.18226
r_up	TSO_stocks	0.136153
r_up	JWN_stocks	-0.288117
r_up	A_'s	0.0444122
r_up	PEP_$	-0.0455268
r_up	JWN_retail	-0.323701
r_up	CHK_gas	1.75692
r_up	KO_2.4	-0.465578
r_up	LLY_stocks	-0.581599
r_up	APC_gains	1.26876
r_up	MRO_$	-0.0441466
r_up	KO_'s	0.0406075
r_up	COF_'s	0.172212
r_up	BK_gains	0.283147
r_up	FITB_'s	-0.439149
r_up	UTX_'s	0.0112209
r_up	APC_stocks	0.235431
r_up	SLB_$	-0.61486
r_up	CHK_stocks	-0.373263
r_up	CMA_stocks	0.0494617
r_up	SLB_stocks	0.417749
r_up	MCK_'s	0.676572
r_up	CF_'s	-0.408798
r_up	LLY_n't	-0.124698
r_up	COP_'s	-0.040288
r_up	BIIB_'s	-0.0888734
r_up	GLW_$	-0.118899
r_up	SPG_'s	-0.219081
r_up	PPG_$	0.113688
r_up	TWX_'s	-0.0531061
r_up	JDSU_'s	-0.235301
r_up	MMM_$	-0.023784
r_up	AA_'s	0.090973
r_up	COF_$	-0.159315
r_up	D_'s	0.104239
r_up	PEP_'s	0.094056
