2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.298822
r_up	BLK_'s	0.0110058
r_up	BBY_'s	0.109107
r_up	LMT_'s	-0.209107
r_up	UPS_'s	0.79184
r_up	M_'s	-0.130442
r_up	COST_retail	0.0985797
r_up	COST_'s	-0.0213815
r_up	COST_sales	-0.243968
r_up	M_data	1.03731
r_up	BBY_sales	0.464083
r_up	CMCSA_'s	-0.202732
r_up	VLO_stocks	0.182733
r_up	VLO_gains	0.696034
r_up	APA_stocks	-0.184088
r_up	CCI_'s	0.279709
r_up	OXY_stocks	0.060168
r_up	APA_gains	0.157181
r_up	UPS_stocks	0.226705
r_up	LOW_'s	-0.0738356
r_up	MET_$	-0.1388
r_up	AMD_'s	0.384307
r_up	NDAQ_'s	0.222528
r_up	PNC_'s	0.197542
r_up	ICE_'s	0.252588
r_up	WLP_'s	-0.228911
r_up	CVX_$	0.0743701
r_up	STI_'s	-0.455304
r_up	DIS_54	-0.143606
r_up	KEY_'s	0.193648
r_up	CI_'s	-0.538456
r_up	CVX_stocks	-0.45391
r_up	AKAM_shares	-0.313957
r_up	MDT_$	-0.782646
r_up	STT_after	-0.666011
r_up	NOC_budget	-0.171735
r_up	VLO_losses	-1.42521
r_up	VZ_'s	-0.0281708
r_up	T_'s	-0.368427
r_up	AVP_'s	-0.364451
r_up	M_$	1.16859
r_up	SNDK_after	-0.243384
r_up	FSLR_stocks	-0.302464
r_up	USB_banks	-0.0110695
r_up	XOM_stocks	0.100174
r_up	XOM_energy	0.108213
r_up	BA_'s	0.757593
r_up	MU_shares	-0.937938
r_up	MCD_'s	-0.0717904
r_up	NUE_surprises	0.0165438
r_up	BLK_fund	0.655767
r_up	TXN_rally	0.254108
r_up	GPS_focus	0.0217338
r_up	CHK_gains	0.0980634
r_up	TSO_stocks	0.328676
r_up	MET_'s	0.31497
r_up	NUE_advisories	0.0165438
r_up	NBL_$	0.00550008
r_up	CHK_gas	0.537992
r_up	EMC_$	0.334041
r_up	APC_shares	-0.472911
r_up	DRI_'s	0.0720618
r_up	KO_$	-0.0294076
r_up	CAM_gains	1.4824
r_up	APA_prices	1.83768
r_up	PCG_$	0.171956
r_up	BBT_'s	0.0349744
r_up	HBAN_'s	0.360972
r_up	MTB_'s	0.0828586
r_up	BRCM_2009	0.199514
r_up	FITB_'s	0.570629
r_up	UTX_'s	-0.228125
r_up	APC_stocks	0.132596
r_up	BK_'s	-0.233616
r_up	HAL_'s	-0.0651445
r_up	HAL_stocks	0.807754
r_up	CHK_stocks	-0.263783
r_up	SPLS_stocks	-0.190048
r_up	HBAN_down	-0.222461
r_up	EMC_'s	-0.42794
r_up	HAL_$	-0.369625
r_up	MRO_stocks	0.120902
r_up	CF_'s	-0.0827547
r_up	WAG_'s	-0.3913
r_up	MRO_'s	0.0121302
r_up	SWY_$	-0.245878
r_up	JDSU_'s	-0.78334
r_up	MMM_$	-0.00683469
r_up	FFIV_'s	-0.104857
r_up	COP_$	-0.0262711
r_up	APC_n't	-0.381455
r_up	EIX_$	0.548482
r_up	NKE_'s	-0.30203
r_up	COST_after	0.0710796
r_up	GCI_'s	-0.367194
r_up	PBCT_'s	0.325013
r_up	ABT_2010	0.222283
r_up	BMY_'s	0.212406
r_up	COST_data	1.3513
r_up	LLY_'s	0.391893
