2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.0017625
r_up	BBY_'s	0.466604
r_up	NVDA_'s	0.217674
r_up	LMT_'s	0.0132116
r_up	UPS_'s	-0.16454
r_up	M_retail	0.220743
r_up	LUV_'s	0.312542
r_up	COST_surprises	0.0232897
r_up	AMAT_stocks	-0.126081
r_up	ALL_n't	1.11448
r_up	COST_sales	0.0188813
r_up	BBY_sales	0.620027
r_up	CMCSA_'s	-0.283116
r_up	VLO_stocks	0.105015
r_up	COST_advisories	0.0232897
r_up	OXY_stocks	-0.273184
r_up	HES_stocks	0.0660259
r_up	BBY_stocks	-0.150389
r_up	APOL_'s	0.209984
r_up	JCP_'s	0.240891
r_up	LOW_'s	0.0430071
r_up	MET_$	-0.101269
r_up	PG_'s	-0.465245
r_up	AMD_'s	0.0376634
r_up	URBN_stocks	0.20924
r_up	SJM_surprises	0.11932
r_up	CME_'s	-0.403148
r_up	PNC_'s	0.581213
r_up	KO_watch	0.583608
r_up	WLP_'s	-0.0580482
r_up	CVX_$	0.0247145
r_up	STI_'s	-0.389764
r_up	RF_'s	0.243209
r_up	AES_'s	-0.0192465
r_up	SJM_advisories	0.11932
r_up	CI_'s	-0.526213
r_up	ICE_higher	1.24325
r_up	URBN_$	-0.228116
r_up	STX_'s	0.00901448
r_up	IR_watch	0.746598
r_up	IR_52	0.252027
r_up	MDT_$	-0.136414
r_up	USB_'s	-0.631881
r_up	VLO_losses	-0.442736
r_up	ORCL_'s	0.354986
r_up	VZ_'s	-0.141055
r_up	T_'s	0.211065
r_up	NBR_stocks	-0.0455567
r_up	IBM_'s	0.430325
r_up	MUR_stocks	-0.00834262
r_up	M_$	0.0543008
r_up	AVP_$	-0.280077
r_up	SNDK_after	-0.316082
r_up	ORCL_watch	-0.0343625
r_up	AIG_'s	-0.0882514
r_up	USB_banks	-0.556382
r_up	MU_fall	-0.605067
r_up	XOM_stocks	0.320096
r_up	XOM_energy	-0.967454
r_up	MCD_'s	-0.111577
r_up	CRM_'s	0.195591
r_up	BLK_fund	0.267513
r_up	TXN_rally	0.0539726
r_up	TSO_stocks	0.288328
r_up	MET_'s	0.469407
r_up	PEP_$	0.122792
r_up	CHK_gas	1.65824
r_up	SNI_'s	-1.14344
r_up	LLY_stocks	-0.07994
r_up	APC_shares	-0.0250676
r_up	APC_lead	-0.670954
r_up	KO_$	0.411756
r_up	MRO_$	-0.549089
r_up	KO_'s	0.0117522
r_up	PCG_$	0.178876
r_up	HBAN_'s	0.0779713
r_up	MTB_'s	0.0494343
r_up	SPLS_gains	0.0538295
r_up	FITB_'s	-0.451878
r_up	UTX_'s	0.325477
r_up	HAL_'s	-0.155021
r_up	HAL_stocks	0.839111
r_up	USB_declining	-0.136533
r_up	USB_gaining	-0.136533
r_up	CHK_stocks	-0.689425
r_up	HBAN_down	-0.116584
r_up	USB_biggest	-0.136533
r_up	EMC_'s	-0.432619
r_up	BK_declining	-0.113935
r_up	DO_'s	0.367525
r_up	CF_'s	-0.35254
r_up	EXC_'s	-0.275124
r_up	BIG_'s	0.115559
r_up	LLY_n't	-0.0582823
r_up	GLW_$	0.0622214
r_up	SWY_$	-0.00719698
r_up	TWX_'s	-0.0492849
r_up	JDSU_'s	0.484119
r_up	FFIV_'s	0.0814471
r_up	SYMC_$	1.01303
r_up	DVN_$	0.349442
r_up	PEP_'s	0.0698912
r_up	COST_stock	0.644581
r_up	TXN_shares	-0.0403123
r_up	BSX_'s	0.159916
r_up	CVS_$	-0.257295
r_up	AA_higher	0.40151
r_up	COST_focus	0.570371
r_up	PBCT_'s	0.412032
r_up	EA_'s	-0.0633091
r_up	TWX_$	-0.333452
r_up	SBUX_'s	-0.161569
r_up	LOW_stocks	0.0440293
r_up	KR_profit	-0.91691
r_up	TWX_but	0.447792
r_up	BMY_'s	-0.208622
r_up	LLY_'s	-0.0173137
r_up	DVN_'s	0.589507
r_up	AMGN_stocks	0.27927
r_up	GPS_'s	-0.667336
r_up	STI_gaining	-0.0508572
