2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.525892
r_down	NVDA_market	0.401446
r_down	LEN_advisories	0.0234361
r_down	BLK_'s	-0.490272
r_down	NVDA_'s	0.249701
r_down	HES_gains	-0.0349631
r_down	LMT_'s	0.190926
r_down	M_'s	0.0858029
r_down	COST_retail	-0.089543
r_down	JCP_surprises	0.149775
r_down	BBBY_stocks	-0.656374
r_down	BBY_sales	-0.316283
r_down	CMCSA_'s	0.357002
r_down	VLO_gains	-0.341264
r_down	OXY_stocks	0.296244
r_down	UPS_stocks	0.807972
r_down	TJX_surprises	-0.0846559
r_down	ANF_'s	-0.26465
r_down	LEN_surprises	0.0234361
r_down	TJX_stocks	0.123229
r_down	BBY_stocks	-0.265337
r_down	TJX_advisories	-0.0846559
r_down	JCP_advisories	0.149775
r_down	M_stocks	0.189049
r_down	LOW_'s	0.0928968
r_down	PG_'s	0.0711387
r_down	CSCO_rise	-0.122715
r_down	PNC_'s	-0.161559
r_down	KO_watch	-0.129288
r_down	X_'s	-0.202601
r_down	COF_higher	-0.335208
r_down	AIG_$	-0.22561
r_down	CI_'s	0.0231643
r_down	CL_'s	0.407495
r_down	WFM_after	0.0211268
r_down	CVX_stocks	-0.066194
r_down	STX_'s	-0.27051
r_down	CSCO_shares	-0.332851
r_down	IR_52	-0.0633014
r_down	CTL_'s	-0.138594
r_down	USB_'s	0.577057
r_down	ORCL_'s	-0.139219
r_down	F_sales	-0.308863
r_down	VZ_'s	0.114538
r_down	T_'s	-0.724933
r_down	NBR_stocks	0.0998793
r_down	MUR_energy	-0.608484
r_down	AVP_'s	0.118289
r_down	M_$	-0.363586
r_down	KEY_banks	0.380344
r_down	ORCL_watch	-0.381647
r_down	FSLR_stocks	0.147041
r_down	USB_banks	0.337288
r_down	F_'s	0.732229
r_down	XOM_energy	-0.0849855
r_down	MU_shares	0.128233
r_down	MCD_'s	0.0454591
r_down	PRU_focus	0.0619514
r_down	NKE_focus	-0.15317
r_down	NKE_profit	-0.667282
r_down	MET_'s	-0.132723
r_down	QCOM_gain	-0.00651296
r_down	ADBE_shares	-0.594871
r_down	EMC_$	-0.108017
r_down	LLY_stocks	0.696549
r_down	ADBE_focus	0.312816
r_down	APC_gains	-0.50463
r_down	KO_$	-0.290101
r_down	MRO_$	0.32184
r_down	KO_'s	-0.063172
r_down	PCG_$	-0.228828
r_down	COF_'s	-0.331846
r_down	BK_gains	-0.0574876
r_down	UTX_'s	0.0432361
r_down	DVN_stocks	0.0932935
r_down	BK_'s	0.0551856
r_down	HAL_stocks	-0.13588
r_down	LUV_higher	-0.652338
r_down	SLB_$	0.565871
r_down	CHK_stocks	0.0425348
r_down	BIG_gaining	-0.595609
r_down	PNC_$	-0.0872261
r_down	HAL_$	0.0231506
r_down	SLB_stocks	-0.207813
r_down	BIG_declining	-0.595609
r_down	DO_'s	-0.348389
r_down	COF_bank	-0.195575
r_down	EXC_'s	0.591655
r_down	WAG_'s	0.459751
r_down	LLY_n't	0.585904
r_down	BIIB_'s	-0.188042
r_down	GME_'s	-0.0659429
r_down	TWX_'s	0.172027
r_down	FCX_'s	-0.0460097
r_down	DNR_'s	-0.213772
r_down	SWN_'s	-0.569464
r_down	COF_$	0.189975
r_down	SYMC_$	-1.25652
r_down	COP_$	-0.0133431
r_down	D_'s	-0.0595562
r_down	MJN_'s	-0.459426
r_down	APC_n't	0.29543
r_down	COST_stock	-0.442253
r_down	TXN_shares	0.310477
r_down	BSX_'s	-0.230377
r_down	NKE_'s	0.0382936
r_down	GCI_'s	0.127562
r_down	JNPR_but	0.853354
r_down	LLY_2010	-0.359082
r_down	NOC_'s	-0.0787955
r_down	ACN_'s	-0.14495
r_down	AA_data	0.910016
r_down	ABT_2010	-0.0751003
r_down	COST_data	-1.66498
r_down	BIIB_stocks	-0.0195183
r_down	LLY_'s	0.180003
r_down	MDLZ_'s	-0.00757024
r_down	ADBE_close	0.0229991
r_down	BBY_gaining	-0.134307
r_down	STI_stocks	0.769204
r_down	BBY_up	-0.571393
r_down	AMGN_stocks	-0.704985
r_down	GPS_'s	0.115135
r_down	DFS_stocks	1.12024
r_down	FITB_declining	0.327933
r_down	SLB_'s	-0.867678
r_down	CHK_'s	0.073529
r_down	ADBE_stocks	0.309016
r_down	BBT_$	1.25406
r_down	BBY_biggest	-0.134307
r_down	APC_'s	-0.0504808
r_down	BRCM_focus	-0.602146
r_down	MCO_'s	-0.00389469
r_down	ABT_'s	0.515971
r_down	APC_$	-0.230133
r_down	CHK_$	0.000161208
r_down	MU_$	-0.034029
r_down	BBY_declining	-0.134307
r_down	ADBE_losses	0.182465
r_down	BBY_futures	-1.05549
r_down	HSP_'s	0.334802
r_down	JOY_surprises	0.192664
r_down	TXN_'s	-0.704699
r_down	EA_$	-0.126174
r_down	AMD_chip	-0.0558046
r_down	LEN_'s	-0.427843
r_down	AMD_stocks	0.106656
r_down	HON_$	-0.0105636
r_down	BBY_shares	-0.12166
r_down	NVDA_stocks	-0.1589
r_down	PRU_'s	-0.245018
r_down	DD_'s	-0.149661
r_down	NOV_'s	0.12605
r_down	JOY_advisories	0.192664
r_down	UNH_'s	0.0157029
r_down	FDX_stocks	-0.0620567
