2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.138517
r_up	BLK_'s	0.0800506
r_up	HD_'s	0.0636334
r_up	HES_gains	0.0149711
r_up	M_'s	-0.022409
r_up	LUV_'s	0.262585
r_up	COST_retail	0.229628
r_up	COST_'s	0.350859
r_up	GIS_focus	0.318567
r_up	ALL_n't	0.672468
r_up	CMCSA_'s	-0.280075
r_up	APA_stocks	-0.162361
r_up	OXY_stocks	-0.464164
r_up	TJX_surprises	0.263137
r_up	VLO_refiners	0.0652655
r_up	BBY_stocks	-0.296132
r_up	JCP_stocks	-0.0322129
r_up	TJX_advisories	0.263137
r_up	M_stocks	0.21107
r_up	LOW_'s	0.10828
r_up	MET_$	0.146754
r_up	PG_'s	-0.0411847
r_up	AMD_'s	-0.112197
r_up	URBN_stocks	0.280061
r_up	CME_'s	-0.558495
r_up	ICE_'s	0.356848
r_up	WLP_'s	-0.568859
r_up	KO_advisories	0.0647805
r_up	STI_'s	-0.10999
r_up	AIG_$	0.0193617
r_up	KEY_'s	-0.192632
r_up	CSCO_watch	0.559429
r_up	MDT_'s	-0.197174
r_up	CVX_stocks	-0.378886
r_up	KO_surprises	0.0647805
r_up	CSCO_shares	0.0126253
r_up	CSCO_18	-0.790832
r_up	WYNN_watch	-0.0428059
r_up	ORCL_'s	0.131669
r_up	T_'s	0.139166
r_up	IBM_'s	-0.226768
r_up	HIG_stocks	-0.295516
r_up	M_$	0.882517
r_up	AIG_'s	-0.0148124
r_up	NFLX_stock	0.23621
r_up	DRI_stocks	0.0471762
r_up	BA_'s	0.850031
r_up	ANF_biggest	-0.0898854
r_up	PFG_'s	-0.148412
r_up	MCD_'s	0.120747
r_up	NUE_surprises	-0.216891
r_up	CRM_'s	0.180106
r_up	TXN_rally	0.611983
r_up	TSO_stocks	0.0303347
r_up	NUE_advisories	-0.216891
r_up	FDX_focus	-0.0421399
r_up	CHK_gas	0.786992
r_up	EMC_$	0.225763
r_up	NTAP_$	0.0164586
r_up	KO_$	0.263729
r_up	MRO_$	-0.414202
r_up	KO_'s	0.496709
r_up	PCG_$	0.694142
r_up	VLO_$	-0.159637
r_up	COF_'s	0.0175634
r_up	EMR_'s	0.0215185
r_up	BBT_'s	0.300311
r_up	FHN_sector	0.0863342
r_up	FITB_'s	-0.199823
r_up	BK_'s	-0.182643
r_up	SLB_$	-0.304634
r_up	ABC_'s	-1.00876
r_up	CAM_stocks	-0.0272471
r_up	CHK_stocks	-0.208631
r_up	HBAN_down	-0.406071
r_up	CMA_stocks	1.53388
r_up	DOW_'s	-0.163564
r_up	PNC_$	-0.454268
r_up	EMC_'s	-0.142774
r_up	HAL_$	-0.46403
r_up	SLB_stocks	0.117687
r_up	BIG_'s	0.0876916
r_up	TWX_shares	0.0490062
r_up	WAG_'s	-0.292694
r_up	V_'s	-0.24181
r_up	GME_'s	0.164816
r_up	TWX_'s	-0.171047
r_up	OXY_'s	0.0431332
r_up	FCX_'s	-0.46628
r_up	VLO_'s	0.090951
r_up	MMM_$	0.0590672
r_up	SYMC_$	1.24303
r_up	D_'s	0.131076
r_up	APC_n't	-0.803423
r_up	DPS_'s	-0.934797
r_up	PEP_'s	-0.209998
r_up	COST_stock	0.664314
r_up	GCI_declining	-0.673674
r_up	GCI_'s	-0.105424
r_up	CVS_$	-0.221477
r_up	PLL_focus	-0.0508294
