2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	-0.210896
r_up	LEN_advisories	-0.174283
r_up	BLK_'s	0.062992
r_up	HD_'s	-0.216128
r_up	NVDA_'s	0.589884
r_up	UPS_'s	0.0449174
r_up	M_'s	-0.0686774
r_up	M_retail	0.804963
r_up	LUV_'s	-0.350856
r_up	M_after	-0.102969
r_up	LUV_stocks	-0.466713
r_up	ALL_n't	0.133201
r_up	BBBY_stocks	0.379983
r_up	APOL_focus	-0.151374
r_up	ANF_'s	-0.059083
r_up	LEN_surprises	-0.174283
r_up	CCI_$	0.511084
r_up	BBY_stocks	-0.0783205
r_up	JCP_stocks	-0.27468
r_up	APOL_'s	0.151133
r_up	CMG_stocks	-0.308518
r_up	JCP_'s	0.269986
r_up	CSX_stock	0.808093
r_up	LOW_'s	-0.0261484
r_up	PG_'s	-0.151816
r_up	CSCO_rise	0.140477
r_up	CME_'s	-0.634274
r_up	X_'s	0.166345
r_up	ICE_'s	0.349317
r_up	WLP_'s	-0.2515
r_up	CVX_$	0.306815
r_up	STI_'s	-0.123335
r_up	MET_watch	-0.102155
r_up	AET_'s	0.314738
r_up	AIG_$	-0.00982857
r_up	URBN_$	-0.0595136
r_up	CVX_stocks	-0.314829
r_up	CSCO_18	-0.467635
r_up	MDT_$	-0.29821
r_up	CTL_'s	0.229366
r_up	WFC_'s	0.137044
r_up	ORCL_'s	0.0919914
r_up	F_sales	0.21585
r_up	T_'s	0.286341
r_up	NBR_stocks	-0.284227
r_up	IBM_'s	0.324627
r_up	M_$	0.303115
r_up	KEY_banks	-0.109849
r_up	FSLR_stocks	-0.104829
r_up	USB_banks	-0.0338371
r_up	F_'s	-0.158744
r_up	XOM_stocks	-0.0386864
r_up	BA_'s	0.639471
r_up	NFLX_futures	0.0164669
r_up	M_10	0.172311
r_up	MCD_'s	-0.0663832
r_up	CRM_'s	0.139215
r_up	GPS_focus	0.110309
r_up	NKE_focus	0.245417
r_up	TSO_stocks	0.382272
r_up	LOW_sector	-0.537643
r_up	PEP_$	0.0771624
r_up	NBL_$	0.22091
r_up	HES_rally	0.25684
r_up	HD_sector	-0.454955
r_up	CHK_gas	0.975639
r_up	KO_$	0.433408
r_up	MRO_$	-0.536345
r_up	OXY_prices	0.277875
r_up	COF_'s	-0.0348906
r_up	EMR_'s	-0.106266
r_up	QCOM_2009	0.841478
r_up	HBAN_'s	-0.125048
r_up	OXY_crude	0.06416
r_up	FHN_sector	0.937994
r_up	FITB_'s	-0.103302
r_up	HAL_'s	-0.0651579
r_up	HAL_stocks	1.00654
r_up	CHK_stocks	-0.261677
r_up	EXC_stocks	0.832624
r_up	SCHW_stocks	-0.471767
r_up	CMA_stocks	1.1237
r_up	EMC_'s	-0.280956
r_up	MRO_stocks	-0.31755
r_up	SPLS_'s	0.190956
r_up	HES_market	0.363767
r_up	CF_'s	-0.378787
r_up	WAG_'s	-0.378001
r_up	WAG_$	0.356916
r_up	COP_'s	-0.494998
r_up	BIIB_'s	-0.222357
r_up	SPG_'s	0.0662668
r_up	OXY_'s	0.417198
r_up	VLO_'s	0.0748109
r_up	COF_$	-0.305075
r_up	SYMC_$	0.461358
r_up	COP_$	-0.073338
r_up	DVN_$	-0.0945111
r_up	APC_n't	-0.342641
r_up	DPS_'s	-0.220195
r_up	COST_stock	1.08552
r_up	BSX_'s	-0.0531036
r_up	K_'s	-0.123595
