2	***CATEGORICAL***	r_up	r_down
r_up	***BIAS***	0.0316042
r_up	BLK_'s	0.265722
r_up	HD_'s	0.0268261
r_up	NVDA_'s	0.498885
r_up	MET_2012	0.1428
r_up	LMT_'s	0.288402
r_up	M_'s	0.16425
r_up	COST_'s	-0.118636
r_up	APOL_stocks	0.060356
r_up	UPS_stocks	-0.260647
r_up	COST_stocks	0.134692
r_up	HES_stocks	0.167418
r_up	ANF_stocks	0.261727
r_up	TJX_stocks	-0.483925
r_up	JCP_stocks	0.0604071
r_up	LOW_'s	0.0379121
r_up	NDAQ_'s	0.281241
r_up	CME_'s	0.0246261
r_up	PNC_'s	0.0314402
r_up	X_'s	0.475812
r_up	WLP_'s	-0.0369164
r_up	DIS_watch	0.21432
r_up	AIG_$	-0.00816939
r_up	AVP_stocks	0.0246983
r_up	CVX_surprises	0.11209
r_up	WFM_shares	-0.621828
r_up	CVX_advisories	0.11209
r_up	CI_'s	-0.241022
r_up	ICE_higher	0.661509
r_up	MDT_'s	-1.10001
r_up	CVX_stocks	-0.419657
r_up	CMA_'s	-0.228294
r_up	IR_52	0.312845
r_up	AKAM_watch	0.878693
r_up	CSCO_18	-0.378215
r_up	MDT_$	-0.0489241
r_up	CTL_'s	0.549697
r_up	USB_'s	-0.230481
r_up	VZ_'s	-0.020717
r_up	T_'s	0.252311
r_up	FSLR_energy	0.0102431
r_up	MUR_stocks	-0.406589
r_up	HIG_stocks	0.20484
r_up	AVP_'s	0.336409
r_up	VLO_energy	0.0155033
r_up	AIG_'s	-0.353939
r_up	XOM_stocks	0.381243
r_up	XOM_energy	0.156039
r_up	BA_'s	0.0758156
r_up	NBR_energy	-0.506563
r_up	MCD_'s	-0.0802683
r_up	VLO_sector	-0.901181
r_up	PRU_focus	-0.272633
r_up	CHK_shares	-0.0516751
r_up	TXN_rally	0.232893
r_up	WYNN_$	0.118293
r_up	MET_'s	0.320151
r_up	PEP_$	-0.125257
r_up	NKE_after	-0.178969
r_up	SNI_'s	-0.417259
r_up	KO_2.4	0.182842
r_up	EMC_$	-0.0511102
r_up	LLY_stocks	-1.02656
r_up	VLO_lead	0.594603
r_up	HD_data	-0.223756
r_up	APC_shares	-0.400189
r_up	DRI_'s	0.00529566
r_up	KO_$	0.00646748
r_up	MRO_$	-0.512442
r_up	OXY_market	0.572111
r_up	COF_'s	0.199614
r_up	EMR_'s	-0.439803
r_up	BBT_'s	0.374421
r_up	HBAN_'s	0.380329
r_up	OXY_crude	0.365964
r_up	FITB_'s	-0.560908
r_up	UTX_'s	0.0445994
r_up	SPLS_futures	-0.129705
r_up	BK_'s	-0.0418179
r_up	SPLS_biggest	-0.452941
r_up	HAL_stocks	0.609479
r_up	CAM_stocks	-0.728617
r_up	CHK_stocks	-0.0281246
r_up	EXC_stocks	-0.102942
r_up	CMA_stocks	0.297795
r_up	DOW_'s	0.329327
r_up	SPLS_gaining	-0.452941
r_up	WMB_stocks	-0.129912
r_up	MRO_broad	-0.170473
r_up	SPLS_'s	-0.43181
r_up	BIG_'s	0.544485
r_up	TWX_'s	-0.280924
r_up	FCX_'s	-0.770501
r_up	MMM_$	-0.431638
r_up	AA_'s	-0.0285352
r_up	COF_$	0.238513
r_up	TXN_n't	-0.141964
r_up	COP_$	0.361099
r_up	D_'s	0.0165351
r_up	MJN_'s	-0.0594575
r_up	APC_n't	-0.608388
r_up	PEP_'s	0.0164871
r_up	LLY_advisories	0.000717347
r_up	COST_stock	1.06428
r_up	TXN_shares	0.414522
r_up	AA_higher	0.0229443
r_up	NOC_'s	0.5801
r_up	TWX_$	-0.0450611
r_up	SBUX_'s	-0.553162
r_up	COST_up	1.23236
r_up	LLY_surprises	0.000717347
r_up	EA_sales	0.640157
r_up	DVN_'s	0.11992
r_up	EMC_stocks	-0.758242
r_up	HSY_'s	-0.7597
r_up	DFS_stocks	-0.127814
r_up	SLB_'s	-0.981679
r_up	CHK_'s	-0.0405456
r_up	AXP_lower	-0.636251
r_up	BBT_$	0.0370139
r_up	APC_'s	0.00612403
r_up	AMGN_'s	-0.171873
r_up	MCO_'s	0.215224
r_up	CHK_$	0.0848315
r_up	VLO_crude	0.0962623
r_up	QCOM_telecoms	1.25456
r_up	RRC_stocks	-0.0277065
r_up	AMD_``	0.272779
r_up	COF_stock	0.913087
r_up	TXN_'s	0.155323
r_up	EA_$	0.595964
r_up	CRM_stocks	-0.422335
r_up	BRCM_shares	0.493454
r_up	LEN_'s	-0.0380642
r_up	AMD_stocks	-0.556137
r_up	AMD_''	0.272779
r_up	UNH_'s	-0.381114
r_up	DHR_$	0.348085
r_up	LUV_deal	0.271417
r_up	FDX_'s	-0.253847
r_up	HUM_'s	-0.241598
r_up	GME_$	-0.165368
r_up	MU_results	0.523007
r_up	ZION_$	0.467878
r_up	HAL_lead	-0.213214
r_up	CBS_media	-0.174971
r_up	HAL_sector	-0.279944
r_up	CHK_energy	-0.917593
r_up	GT_declining	0.727553
r_up	NVDA_sector	-0.189412
r_up	AMD_up	0.796006
r_up	RDC_stocks	-0.0720061
r_up	FDO_stocks	0.156232
r_up	MON_stocks	0.592096
r_up	SYMC_'s	-0.391866
r_up	AMAT_after	-0.679789
r_up	FDO_'s	0.212434
r_up	ADBE_'s	0.449878
r_up	LUV_$	-0.0383563
r_up	MAR_'s	-0.491824
r_up	DFS_'s	-0.13176
r_up	HIG_'s	0.647022
r_up	MUR_'s	-0.00332657
r_up	TSO_'s	-0.500876
r_up	IP_'s	0.0367311
r_up	OXY_$	-0.385771
r_up	EA_game	0.657015
r_up	BTU_stocks	-0.35133
r_up	GPS_stocks	-0.554232
r_up	SRE_$	-0.770502
r_up	INTU_advisories	-0.194908
r_up	AGN_'s	0.0130437
r_up	INTU_surprises	-0.194908
r_up	LUV_5	0.805902
r_up	TXN_tech	0.582394
r_up	AA_stocks	-0.0630813
r_up	CVC_'s	-0.470215
r_up	NTAP_focus	0.0690615
r_up	CAT_'s	-0.794674
r_up	THC_'s	0.376672
r_up	NTAP_tech	-0.357551
r_up	LUV_prices	0.729302
r_up	RF_stocks	-0.363083
r_up	WYNN_'s	-0.209731
r_up	JCP_sales	-0.662112
r_up	EMC_gains	-0.779725
r_up	NOC_tanker	0.647653
r_up	SO_'s	-0.0563349
r_up	V_$	0.386495
r_up	EIX_'s	0.152724
r_up	BK_$	-0.0745019
r_up	HON_'s	0.0859587
r_up	R_'s	0.114563
r_up	WYN_gaining	-0.0615787
r_up	SLM_'s	-0.0509966
r_up	MA_stocks	-0.276646
r_up	CME_stocks	0.060178
r_up	KO_stocks	-0.0983548
r_up	MA_'s	-0.0936343
r_up	SNDK_'s	-0.370256
r_up	KEY_$	0.553128
r_up	VIAB_'s	0.162205
r_up	ADM_stocks	-0.298698
r_up	WFM_'s	-0.0088423
r_up	MMC_'s	0.262927
r_up	DF_'s	-0.249764
r_up	PCG_'s	-0.464149
r_up	PCLN_'s	1.07512
r_up	MYL_'s	-0.268592
r_up	TRV_'s	-0.240191
r_up	ADM_'s	-0.0789566
r_up	QCOM_$	0.00727087
r_up	ED_'s	-0.207478
r_up	QCOM_'s	0.16114
r_up	DE_'s	0.625612
r_up	BRCM_$	-0.424255
r_up	KSS_'s	0.00332224
r_up	SJM_'s	-0.0764628
r_up	QCOM_stocks	0.00989715
r_up	APC_after	0.796798
r_up	DD_stocks	-0.377632
r_up	CVS_'s	0.0888111
r_up	ORCL_stocks	0.0499822
r_up	EBAY_'s	0.232749
r_up	LLY_5	0.442026
r_up	CVS_stock	0.0884417
r_up	ORCL_tech	0.133676
r_up	AMD_tech	-0.0487791
r_up	MAT_'s	0.557327
r_up	DFS_$	-0.217794
r_up	AXP_'s	-0.0541031
r_up	TIF_stocks	0.410521
r_up	DE_$	-0.123354
r_up	CVS_stocks	-0.259688
r_up	AET_stocks	1.26684
r_up	AET_biggest	0.294608
r_up	NWL_'s	0.379887
r_up	AKAM_stocks	0.962863
r_up	K_stocks	1.13894
r_up	CSX_'s	-0.0641168
r_up	AET_declining	0.294608
r_up	AON_'s	-0.482178
r_up	MDLZ_stocks	0.202559
r_up	KSS_sales	-0.338552
r_up	M_focus	-0.0354668
r_up	M_off	0.201481
r_up	TGT_stocks	0.234205
r_up	WDC_stocks	0.200774
r_up	TGT_rise	0.0955682
r_up	JCP_focus	0.15902
r_up	NFLX_gaining	0.465141
r_up	KSS_stocks	-0.883291
r_up	NFLX_biggest	0.11462
r_up	FFIV_stocks	0.407558
r_up	WFC_$	-0.139193
r_up	NFLX_declining	0.465141
r_up	JOY_'s	-0.202887
r_up	SNDK_sector	0.748921
r_up	STT_up	0.41281
r_up	MO_$	0.116755
r_up	SO_$	-0.516261
r_up	SCHW_12	0.515414
r_up	NTRS_'s	-0.530992
r_up	LLTC_focus	0.463022
r_up	MTB_$	-0.448997
r_up	STT_'s	0.117367
r_up	CVC_$	0.06988
r_up	ETN_'s	-0.727999
r_up	GWW_12	-0.365083
r_up	TSN_'s	0.361951
r_up	DVN_energy	-0.475795
r_up	SCHW_$	0.172271
r_up	TXT_'s	0.160436
r_up	BLK_$	-0.228756
r_up	ALTR_focus	-0.448183
r_up	EA_biggest	0.0228183
r_up	DHR_'s	0.0160984
r_up	BAX_'s	-0.432101
r_up	SLM_stocks	0.628638
r_up	BAX_$	-0.11515
r_up	HBAN_$	-1.22075
r_up	DNR_energy	0.679099
r_up	IGT_stocks	-0.449151
r_up	CSCO_stocks	0.119277
r_up	AXP_fall	-0.448797
r_up	HPQ_gains	0.482746
r_up	TROW_'s	0.607014
r_up	INTC_stocks	0.165509
r_up	JNPR_stocks	0.483615
r_up	TER_stocks	0.350087
r_up	CMCSA_$	0.223946
r_up	IBM_stocks	0.417422
r_up	GCI_$	-1.03029
r_up	BBBY_'s	0.0911877
r_up	ROST_sales	0.512266
r_up	CAG_$	-0.0411005
r_up	FDO_declining	0.514574
r_up	MMM_'s	0.298201
r_up	DD_focus	-0.260675
r_up	MWV_'s	-0.280921
r_up	AMGN_$	0.014501
r_up	MON_$	0.203306
r_up	COH_'s	-0.837259
r_up	MSI_'s	0.310885
r_up	HAL_focus	-0.146549
r_up	DGX_'s	-0.163229
r_up	HAL_watch	-0.18996
r_up	HPQ_techs	-0.116727
r_up	YHOO_'s	-0.29202
r_up	NSC_'s	0.201218
r_up	HAL_oil	-0.0948387
r_up	CHK_rise	0.0999367
r_up	BHI_stocks	-0.557854
r_up	TXN_60	-0.403957
r_up	TXN_earnings	0.539627
r_up	JNPR_'s	0.570452
r_up	AMD_$	0.369709
r_up	QCOM_shares	0.801052
r_up	AXP_financial	0.109523
r_up	DOW_n't	-0.054005
r_up	T_$	0.527341
r_up	PFE_'s	-0.29443
r_up	CHK_end	-1.23099
r_up	KR_'s	-0.550216
r_up	ZION_'s	-0.0290037
r_up	XRX_stocks	-0.805834
r_up	ALL_'s	-0.0786648
r_up	APA_$	-0.0800144
r_up	BHI_$	-0.0268757
r_up	AA_earnings	-0.484196
r_up	DVN_sector	-0.407708
r_up	BHI_gas	-0.180765
r_up	X_stocks	-0.217857
r_up	ADSK_stocks	-0.140665
r_up	MON_shares	-0.514259
r_up	DOW_after	-1.11782
r_up	DOW_$	-0.122472
r_up	AA_results	-0.121091
r_up	AA_after	-0.234024
r_up	KMX_'s	0.863464
r_up	GNW_'s	-0.759047
r_up	RTN_$	0.295329
r_up	TJX_'s	0.20418
r_up	PFG_stocks	-0.343856
r_up	PHM_$	-1.05795
r_up	AA_surprises	0.17835
r_up	AA_rise	-0.122828
r_up	AA_advisories	0.17835
r_up	FDO_futures	0.461694
r_up	AXP_gains	1.38112
r_up	HPQ_$	-0.122604
r_up	ADBE_higher	-0.390072
r_up	CNX_gains	-0.0614774
r_up	EBAY_$	0.109978
r_up	IBM_techs	-0.34991
r_up	CVX_deal	0.473144
r_up	TIF_demand	0.140363
r_up	TIF_'s	-0.0192261
r_up	CVS_10	-0.331123
r_up	RHT_watch	-1.29949
r_up	LO_'s	-0.0189618
r_up	CVX_rise	0.422815
r_up	RHT_'s	-0.268261
r_up	BMY_higher	0.103254
r_up	BBY_$	-0.263986
r_up	JBL_stocks	0.277673
r_up	RHT_stocks	0.818472
r_up	SRE_'s	-0.210367
r_up	APC_2009	0.167323
r_up	FDX_6.4	0.248135
r_up	UNH_insurers	0.362558
r_up	GNW_$	-0.0766108
r_up	IPG_'s	0.372261
r_up	JCP_$	0.487694
r_up	TGT_sales	0.0132558
r_up	EXC_$	-0.476938
r_up	SLM_$	0.328525
r_up	FITB_drop	0.263498
r_up	KEY_stock	0.0563695
r_up	BCR_$	0.188587
r_up	SEE_$	-0.200633
