2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	-0.316705
r_down	BLK_'s	-0.080915
r_down	BBY_'s	0.0469667
r_down	NVDA_'s	-0.29943
r_down	LMT_'s	0.41315
r_down	LUV_'s	-0.128172
r_down	APOL_biggest	0.222433
r_down	CMCSA_'s	0.476233
r_down	OXY_stocks	0.290538
r_down	UPS_stocks	1.09589
r_down	TJX_surprises	-0.455886
r_down	COST_stocks	0.280696
r_down	HES_stocks	-0.193331
r_down	ANF_stocks	-0.0547721
r_down	ANF_'s	-0.206932
r_down	BBY_stocks	1.29431
r_down	TJX_advisories	-0.455886
r_down	CMG_stocks	0.243274
r_down	JCP_'s	-0.196447
r_down	M_stocks	-0.388913
r_down	LOW_'s	-0.0904253
r_down	CSCO_rise	-0.192891
r_down	URBN_stocks	-0.173033
r_down	CME_'s	0.310185
r_down	X_'s	-0.0224623
r_down	ICE_'s	-0.151334
r_down	WLP_'s	0.227788
r_down	URBN_biggest	-0.183108
r_down	AET_'s	0.0297243
r_down	AIG_$	0.112538
r_down	CI_'s	0.00914702
r_down	MDT_'s	-0.11051
r_down	CVX_energy	-0.704048
r_down	CVX_stocks	0.405489
r_down	IR_52	-0.359427
r_down	NDAQ_fall	-0.875005
r_down	MDT_$	0.319523
r_down	CTL_'s	0.0853144
r_down	CVX_losses	0.31099
r_down	VZ_'s	0.0327313
r_down	T_'s	-0.651499
r_down	NBR_stocks	1.07717
r_down	IBM_'s	0.110318
r_down	FSLR_energy	-0.300359
r_down	ANF_gaining	0.483518
r_down	M_$	-0.673183
r_down	SNDK_after	0.646225
r_down	VLO_energy	0.388121
r_down	AIG_'s	0.140673
r_down	F_'s	0.180922
r_down	XOM_energy	0.347845
r_down	ANF_biggest	0.589206
r_down	MU_shares	0.0500297
r_down	AIG_financials	0.496684
r_down	MCD_'s	0.0716444
r_down	CRM_'s	-0.290527
r_down	TXN_rally	-0.414331
r_down	TSO_stocks	-0.643442
r_down	AA_shares	0.387282
r_down	KO_after	-0.798331
r_down	CHK_gas	-0.626446
r_down	EMC_$	-0.29512
r_down	LLY_stocks	0.0594049
r_down	HD_data	0.381064
r_down	APC_shares	0.210626
r_down	DRI_'s	0.598699
r_down	KO_$	-1.00974
r_down	MRO_$	0.886921
r_down	KO_'s	-0.265308
r_down	PCG_$	-0.236099
r_down	VLO_$	-0.0268103
r_down	APA_rally	-0.200111
r_down	COF_'s	-0.202119
r_down	HBAN_'s	-0.151738
r_down	FITB_'s	0.134239
r_down	UTX_'s	0.30857
r_down	SPLS_futures	0.199318
r_down	APC_stocks	-0.0718969
r_down	HAL_'s	0.133953
r_down	HAL_stocks	-0.296841
r_down	WMB_gains	0.272591
r_down	SLB_$	0.00155825
r_down	ABC_'s	0.257715
r_down	USB_declining	0.0969333
r_down	USB_gaining	0.0969333
r_down	CAM_stocks	0.28357
r_down	CHK_stocks	0.547135
r_down	DOW_'s	-0.0207685
r_down	USB_biggest	0.0969333
r_down	EMC_'s	0.0697928
r_down	V_says	0.0631176
r_down	BK_stocks	0.163546
r_down	MRO_stocks	0.0808311
r_down	SPLS_'s	-0.318355
r_down	EXC_'s	0.552439
r_down	V_'s	-0.248338
r_down	COP_'s	0.231988
r_down	GLW_$	-0.255044
r_down	SPG_'s	0.120171
r_down	JDSU_'s	-0.345131
r_down	AA_'s	-0.274872
r_down	SYMC_$	-1.35581
r_down	COP_$	0.0147479
r_down	APC_n't	0.629286
r_down	DPS_'s	0.204622
r_down	PEP_'s	-0.0538283
r_down	COST_stock	-0.839508
r_down	TXN_shares	-0.242253
r_down	GCI_'s	-0.284712
r_down	CVS_$	0.272657
r_down	AA_higher	-0.0812175
r_down	NOC_'s	-0.336411
r_down	PBCT_'s	-0.0696046
r_down	TWX_$	0.119782
