2	***CATEGORICAL***	r_down	r_up
r_down	***BIAS***	0.503955
r_down	BLK_'s	-0.0333712
r_down	BBY_'s	-0.397699
r_down	UPS_'s	0.853065
r_down	M_retail	0.520064
r_down	LUV_'s	-0.505039
r_down	COST_retail	0.134135
r_down	AMAT_stocks	-0.100823
r_down	BBY_sales	-0.37051
r_down	CMCSA_'s	0.261915
r_down	VLO_stocks	-0.40333
r_down	CMG_'s	0.283176
r_down	OXY_stocks	0.0216996
r_down	ANF_stocks	0.423802
r_down	ANF_'s	-0.346603
r_down	CCI_$	0.193127
r_down	BBY_stocks	0.532014
r_down	APOL_'s	-0.462203
r_down	LOW_'s	0.0189377
r_down	MET_$	-0.290681
r_down	PG_'s	-0.0621301
r_down	CSCO_rise	-0.117701
r_down	NDAQ_'s	0.0654293
r_down	ICE_'s	-0.186073
r_down	CVX_$	-0.690989
r_down	PRU_$	0.729278
r_down	AET_'s	-0.0411144
r_down	AIG_$	0.121377
r_down	RF_'s	0.0295478
r_down	WFM_advisories	0.103091
r_down	KEY_'s	-0.117002
r_down	CI_'s	0.206729
r_down	CVX_energy	0.1932
r_down	CL_'s	0.15901
r_down	NDAQ_fall	0.159743
r_down	WFM_surprises	0.103091
r_down	MDT_$	0.103418
r_down	USB_'s	0.361641
r_down	WFC_'s	-0.135419
r_down	VLO_losses	1.39298
r_down	ORCL_'s	-0.116782
r_down	VZ_'s	-0.26723
r_down	HIG_stocks	-0.301019
r_down	AVP_'s	0.235351
r_down	VLO_energy	-0.137746
r_down	AIG_'s	0.142392
r_down	HIG_biggest	-0.0536565
r_down	F_'s	0.428067
r_down	BA_'s	-0.389776
r_down	NBR_energy	0.933451
r_down	HES_sector	0.151477
r_down	MCD_'s	-0.134629
r_down	NUE_surprises	0.296769
r_down	CRM_'s	-0.385088
r_down	APC_gas	0.434915
r_down	GPS_focus	0.00617917
r_down	JWN_stocks	-0.483974
r_down	MET_'s	-0.429136
r_down	NUE_advisories	0.296769
r_down	DFS_focus	0.213187
r_down	APC_sector	1.17682
r_down	CHK_gas	-0.375103
r_down	SNI_'s	0.488074
r_down	HD_data	0.386743
r_down	APC_gains	0.0262221
r_down	APC_shares	0.181314
r_down	APC_lead	0.228386
r_down	KO_$	-0.0620644
r_down	MRO_$	0.229892
r_down	KO_'s	-0.0029588
r_down	COF_'s	-0.184645
r_down	EMR_'s	0.180201
r_down	GILD_$	-0.176504
r_down	HBAN_'s	-0.4614
r_down	FHN_sector	-0.204214
r_down	FITB_'s	0.0416515
r_down	UTX_'s	-0.604851
r_down	BK_'s	-0.168146
r_down	HAL_stocks	-0.841188
r_down	CHK_stocks	0.838966
r_down	EXC_stocks	0.312185
r_down	HBAN_down	0.1527
r_down	CMA_stocks	-1.16924
r_down	DOW_'s	0.000995953
r_down	PNC_$	-0.532874
r_down	SPLS_'s	0.379415
r_down	HES_market	-1.09144
r_down	CF_'s	0.276554
r_down	EXC_'s	0.246239
r_down	TWX_shares	-0.214926
r_down	V_'s	0.36261
r_down	COP_'s	0.311868
r_down	GLW_$	-0.071551
r_down	GME_'s	-0.115195
r_down	SPG_'s	0.249147
r_down	TWX_'s	0.130266
r_down	JDSU_'s	-0.399476
r_down	AA_'s	-0.109225
r_down	COF_$	-0.171349
r_down	SYMC_$	-0.422868
r_down	COP_$	0.161125
r_down	CMCSA_2	-1.78257
r_down	APC_n't	0.0113428
r_down	PEP_'s	-0.445325
r_down	TXN_shares	-0.0371537
r_down	BSX_'s	-0.321523
r_down	NKE_'s	-0.118454
r_down	GCI_'s	0.485439
r_down	CVS_$	-0.282595
r_down	NOC_'s	-0.556025
r_down	PBCT_'s	-0.298993
r_down	EA_'s	0.20452
r_down	AA_jobs	0.412839
r_down	SBUX_'s	0.15949
r_down	BMY_'s	0.123148
r_down	TWX_data	-0.014936
r_down	LLY_'s	0.0276456
r_down	MDLZ_'s	-0.0546197
r_down	STI_stocks	-0.0464269
r_down	EMC_stocks	-0.289353
r_down	AMGN_stocks	-1.24916
r_down	HSY_'s	0.0459398
r_down	DFS_stocks	0.589917
r_down	ADBE_watch	0.142231
r_down	AXP_lower	0.23408
r_down	ADBE_stocks	0.258472
r_down	WIN_$	0.280678
r_down	BBT_$	0.0592981
r_down	MCO_'s	-0.0517168
r_down	NOC_n't	0.447609
r_down	ABT_'s	0.0686005
r_down	CHK_$	0.241388
r_down	ADBE_losses	0.349466
r_down	BRCM_gains	0.880216
r_down	ADBE_gains	-0.0242957
r_down	AMD_chip	0.0652842
r_down	AMD_rally	1.48202
r_down	LEN_'s	-0.410843
r_down	ACN_focus	-0.0868085
r_down	HON_$	-0.11823
r_down	NVDA_stocks	-0.73956
r_down	PHM_'s	0.131661
r_down	SYMC_stocks	0.435804
r_down	CELG_'s	0.0280853
r_down	NKE_futures	-0.289264
r_down	NKE_shares	0.00271124
r_down	HUM_'s	-0.0328816
r_down	MCD_2010	0.322709
r_down	ABT_$	0.118633
r_down	MU_stocks	0.225955
r_down	MU_results	-0.217818
r_down	MCD_but	-0.384213
r_down	JNPR_after	-1.13658
r_down	GME_stocks	-0.66133
r_down	BSX_stocks	-0.377469
r_down	PG_gaining	-0.537203
r_down	GT_declining	0.639701
r_down	AMD_focus	-0.0670115
r_down	NVDA_sector	0.719009
r_down	PG_biggest	-0.537203
r_down	RDC_stocks	0.217984
r_down	PG_up	-0.100718
r_down	HES_'s	0.0465175
r_down	PG_declining	-0.537203
r_down	LUV_lower	0.166873
r_down	FDO_stocks	-0.159944
r_down	RF_n't	-0.721057
r_down	BRCM_sector	0.455678
r_down	AMAT_after	0.0787751
r_down	ADBE_'s	-0.155352
r_down	LUV_$	0.39846
r_down	MRO_rise	1.66738
r_down	HIG_'s	-0.0622917
r_down	TSO_'s	0.0507892
r_down	IP_'s	0.40651
r_down	EA_game	-0.319744
r_down	MU_'s	-0.374899
r_down	SCHW_'s	-0.278948
r_down	LLY_$	-0.138515
r_down	BMY_$	-0.0225647
r_down	BTU_stocks	0.608502
r_down	GPS_stocks	-0.10135
r_down	AGN_'s	-0.290517
r_down	AA_stocks	0.0765812
